S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 Code,Census 2011 Code
31,36,Telangana,501,Adilabad,4306,6,Adilabad Urban,2,4306
32,20,Jharkhand,341,Saraikela Kharsawan,2752,1,Adityapur(Gamharia),9,2752
33,17,Meghalaya,656,North Garo Hills,7334,2,Adokgre,0,0
34,28,Andhra Pradesh,511,Kurnool,5271,2,Adoni,22,5271
35,28,Andhra Pradesh,511,Kurnool,7563,1,Adoni-2,0,0
36,32,Kerala,564,Pathanamthitta,5683,2,Adoor,5,5683
37,29,Karnataka,538,Kalaburagi,5581,1,Afzalpur,2,5581
38,28,Andhra Pradesh,754,Sri Sathya Sai,5354,2,Agali,51,5354
39,21,Odisha,345,Balangir,7452,2,Agalpur,0,0
40,18,Assam,285,Dhubri,2006,10,Agamoni,1,2006
41,23,Madhya Pradesh,667,Agar-Malwa,3518,2,Agar,4,3518
42,33,Tamil Nadu,575,Kanniyakumari,5884,1,Agastheeswaram,4,5884
43,31,Lakshadweep,553,Lakshadweep District,5626,1,Agatti,2,5626
44,13,Nagaland,251,Zunheboto,1771,1,Aghunato,5,1771
45,10,Bihar,193,Bhojpur,1432,1,Agiaon,12,1432
46,28,Andhra Pradesh,748,Eluru,5005,3,Agiripalli,16,5005
47,9,Uttar Pradesh,118,Agra,766,1,Agra,2,766
48,27,Maharashtra,475,Gadchiroli,4062,1,Aheri,11,4062
49,22,Chhattisgarh,378,Durg,7331,3,Ahiwara,0,0
50,27,Maharashtra,481,Latur,4228,2,Ahmadpur,3,4228
51,3,Punjab,737,Malerkotla,6856,7,Ahmedgarh,0,0
52,8,Rajasthan,104,Jalore,586,3,Ahore,2,586
53,24,Gujarat,444,Dangs,3921,4,Ahwa,1,3921
54,15,Mizoram,261,Aizawl,1904,1,Aibawk,3,1904
55,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4933,2,Ainavilli,49,4933
56,13,Nagaland,250,Wokha,1781,1,Aitepyong,2,1781
57,1,Jammu And Kashmir,623,Bandipora,6810,3,Ajas,0,0
58,23,Madhya Pradesh,420,Panna,3435,3,Ajaygarh,1,3435
59,22,Chhattisgarh,383,Korba,7241,1,Ajgarbahar,0,0
60,9,Uttar Pradesh,122,Auraiya,6877,4,Ajitmal,0,0
61,29,Karnataka,532,Chikkamagaluru,7078,16,Ajjampura,0,0
62,8,Rajasthan,86,Ajmer,607,5,Ajmer,2,607
63,3,Punjab,27,Amritsar,255,5,Ajnala,1,255
64,27,Maharashtra,480,Kolhapur,4292,1,Ajra,10,4292
65,22,Chhattisgarh,379,Janjgir-Champa,3278,1,Akaltara,0,3278
66,9,Uttar Pradesh,121,Ambedkar Nagar,910,4,Akbarpur,3,910
67,10,Bihar,210,Nawada,1519,1,Akbarpur,9,1519
68,9,Uttar Pradesh,156,Kanpur Dehat,845,8,Akbarpur,3,845
69,36,Telangana,692,Siddipet,7524,1,Akberpet-Bhoompally,0,0
70,1,Jammu And Kashmir,5,Jammu,78,11,Akhnoor,1,78
71,28,Andhra Pradesh,523,West Godavari,4975,1,Akividu,32,4975
72,27,Maharashtra,496,Solapur,4254,1,Akkalkot,11,4254
73,27,Maharashtra,486,Nandurbar,3950,1,Akkalkuwa,1,3950
74,36,Telangana,692,Siddipet,6285,1,Akkannapet,0,0
75,8,Rajasthan,105,Jhalawar,680,2,Aklera,3,680
76,27,Maharashtra,467,Akola,3991,1,Akola,4,3991
77,27,Maharashtra,466,Ahilyanagar,4201,2,Akole,1,4201
78,10,Bihar,215,Rohtas,1472,1,Akorhi Gola,16,1472
79,27,Maharashtra,467,Akola,3989,1,Akot,2,3989
80,27,Maharashtra,486,Nandurbar,3951,1,Akrani,2,3951
81,13,Nagaland,251,Zunheboto,1774,1,Akuhaito,0,1774
82,13,Nagaland,251,Zunheboto,1768,1,Akuluto,2,1768
83,36,Telangana,697,Yadadri Bhuvanagiri,4617,3,Alair,5,4617
84,10,Bihar,205,Madhepura,1169,1,Alamnagar,12,1169
85,2,Himachal Pradesh,18,Kangra,6900,6,Alampur,0,0
86,36,Telangana,695,Jogulamba Gadwal,4612,3,Alampur,64,4612
87,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4925,2,Alamuru,41,4925
88,29,Karnataka,538,Kalaburagi,5580,3,Aland,1,5580
89,33,Tamil Nadu,568,Chennai,5704,7,Alandur,0,5704
90,33,Tamil Nadu,582,Pudukkottai,5824,1,Alangudi,6,5824
91,33,Tamil Nadu,733,Tenkasi,5875,2,Alangulam,6,5875
92,32,Kerala,563,Palakkad,5651,1,Alathur,5,5651
93,33,Tamil Nadu,581,Perambalur,5951,7,Alathur,0,0
94,10,Bihar,202,Khagaria,1322,1,Alauli,1,1322
95,20,Jharkhand,331,Gumla,2715,1,Albert Ekka(Jari),0,2715
96,6,Haryana,65,Jind,6409,2,Alewa,0,0
97,18,Assam,289,Hailakandi,2106,2,Algapur,1,2106
98,27,Maharashtra,491,Raigad,4177,1,Alibag,6,4177
99,9,Uttar Pradesh,138,Etah,1007,1,Aliganj,3,1007
100,8,Rajasthan,116,Tonk,7371,3,Aligarh,0,0
101,10,Bihar,195,Darbhanga,1187,1,Alinagar,7,1187
102,19,West Bengal,664,Alipurduar,2173,2,Alipurduar - I,8,2173
103,19,West Bengal,664,Alipurduar,2174,2,Alipurduar - II,9,2174
104,23,Madhya Pradesh,639,Alirajpur,3713,6,Alirajpur,7,3713
105,36,Telangana,513,Medak,4470,2,Alladurg,20,4470
106,28,Andhra Pradesh,755,Nandyal,5298,2,Allagadda,49,5298
107,9,Uttar Pradesh,120,Prayagraj,890,1,Allahabad,3,890
108,36,Telangana,690,Bhadradri Kothagudem,6267,3,Allapalli,0,0
109,9,Uttar Pradesh,121,Ambedkar Nagar,908,2,Allapur,2,908
110,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4940,2,Allavaram,56,4940
111,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,5167,1,Allur,15,5167
112,29,Karnataka,530,Vijayapura,7123,4,Almel,0,0
113,5,Uttarakhand,45,Almora,330,11,Almora,3,330
114,29,Karnataka,536,Dharwad,7081,2,Alnavar,0,0
115,13,Nagaland,246,Mokokchung,1759,1,Alongkima,2,1759
116,36,Telangana,516,Nizamabad,7528,1,Aloor,0,0
117,1,Jammu And Kashmir,623,Bandipora,6809,4,Aloosa,0,0
118,23,Madhya Pradesh,423,Ratlam,3502,2,Alot,3,3502
119,28,Andhra Pradesh,511,Kurnool,5274,1,Alur,25,5274
120,29,Karnataka,539,Hassan,5557,1,Alur,5,5557
121,32,Kerala,555,Ernakulam,5658,1,Aluva,2,5658
122,36,Telangana,700,Medchal Malkajgiri,6328,1,Alwal,0,0
123,8,Rajasthan,87,Alwar,499,5,Alwar,7,499
124,28,Andhra Pradesh,754,Sri Sathya Sai,5361,2,Amadagur,58,5361
125,28,Andhra Pradesh,519,Srikakulam,4798,1,Amadalavalasa,30,4798
126,13,Nagaland,614,Kiphire,1836,1,Amahator,14,1836
127,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4941,2,Amalapuram,57,4941
128,27,Maharashtra,478,Jalgaon,3969,1,Amalner,10,3969
129,36,Telangana,518,Ranga Reddy,4563,3,Amangal,15,4563
130,23,Madhya Pradesh,420,Panna,3439,3,Amanganj,0,3439
131,28,Andhra Pradesh,754,Sri Sathya Sai,5351,2,Amarapuram,48,5351
132,28,Andhra Pradesh,751,Palnadu,5052,2,Amaravathi,13,5052
133,36,Telangana,693,Wanaparthy,6290,2,Amarchintha,0,0
134,3,Punjab,737,Malerkotla,7122,7,Amargarh,0,0
135,9,Uttar Pradesh,173,Pilibhit,6867,7,Amariya,0,0
136,23,Madhya Pradesh,784,Maihar,3468,7,Amarpatan,5,3468
137,16,Tripura,654,Gomati,6695,1,Amarpur,2,0
138,10,Bihar,190,Banka,1346,1,Amarpur,2,1346
139,28,Andhra Pradesh,750,Bapatla,5086,3,Amarthalur,47,5086
140,23,Madhya Pradesh,399,Chhindwara,3648,2,Amarwara,2,3648
141,10,Bihar,196,Gaya,1499,1,Amas,13,1499
142,2,Himachal Pradesh,26,Una,148,13,Amb,2,148
143,21,Odisha,347,Bargarh,2768,1,Ambabhona,13,2768
144,27,Maharashtra,479,Jalna,4129,1,Ambad,5,4129
145,22,Chhattisgarh,761,Mohla-Manpur-Ambagarh Chouki,3310,3,Ambagarh Chouki,8,3310
146,23,Madhya Pradesh,417,Morena,3385,4,Ambah,1,3385
147,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4935,2,Ambajipeta,51,4935
148,6,Haryana,58,Ambala,359,5,Ambala,2,359
149,6,Haryana,58,Ambala,6406,1,Ambala Cantonment,0,0
150,32,Kerala,554,Alappuzha,5674,1,Ambalappuzha,2,5674
151,27,Maharashtra,497,Thane,4170,1,Ambarnath,14,4170
152,33,Tamil Nadu,592,Tirunelveli,5878,6,Ambasamudram,9,5878
153,16,Tripura,269,Dhalai,6697,1,Ambassa,3,0
154,33,Tamil Nadu,568,Chennai,5700,4,Ambattur,8,5700
155,27,Maharashtra,490,Pune,4188,1,Ambegaon,2,4188
156,27,Maharashtra,470,Beed,4225,2,Ambejogai,11,4225
157,8,Rajasthan,102,Jaipur,547,5,Amber,10,547
158,36,Telangana,507,Hyderabad,4502,1,Amberpet,7,4502
159,24,Gujarat,459,Surat,7552,2,Ambika,0,0
160,22,Chhattisgarh,389,Surguja,3247,3,Ambikapur,6,3247
161,33,Tamil Nadu,732,Tirupathur,5719,16,Ambur,0,5719
162,10,Bihar,201,Katihar,1157,1,Amdabad,16,1157
163,19,West Bengal,303,North 24 Parganas,2322,1,Amdanga,7,2322
164,36,Telangana,691,Sangareddy,6276,2,Ameenpur,0,0
165,36,Telangana,507,Hyderabad,4497,1,Ameerpet,2,4497
166,8,Rajasthan,112,Rajsamand,641,7,Amet,3,641
167,9,Uttar Pradesh,640,Amethi,914,37,Amethi,3,914
168,27,Maharashtra,476,Gondia,4047,1,Amgaon,4,4047
169,18,Assam,300,Sivasagar,2072,3,Amguri,3,2072
170,31,Lakshadweep,553,Lakshadweep District,5620,1,Amini,1,5620
171,33,Tamil Nadu,568,Chennai,7161,1,Aminjikarai,0,0
172,24,Gujarat,441,Banas Kantha,3736,1,Amirgadh,5,3736
173,23,Madhya Pradesh,394,Betul,3605,1,Amla,5,3605
174,17,Meghalaya,275,West Jaintia Hills,1998,1,Amlarem,3,1998
175,22,Chhattisgarh,645,Gariyaband,7307,7,Amlipadar,0,0
176,3,Punjab,30,Fatehgarh Sahib,222,1,Amloh,3,222
177,10,Bihar,218,Saran,1261,1,Amnour,14,1261
178,24,Gujarat,442,Bharuch,3914,1,Amod,2,3914
179,10,Bihar,214,Purnia,1138,1,Amour,11,1138
180,36,Telangana,694,Nagarkurnool,4578,3,Amrabad,30,4578
181,20,Jharkhand,337,Pakur,2574,1,Amrapara,2,2574
182,27,Maharashtra,468,Amravati,4009,1,Amravati,9,4009
183,24,Gujarat,439,Amreli,3843,1,Amreli,5,3843
184,24,Gujarat,439,Amreli,7432,1,Amreli-City,0,0
185,9,Uttar Pradesh,141,Farrukhabad,831,6,Amritpur,2,831
186,3,Punjab,27,Amritsar,256,2,Amritsar -I,2,256
187,3,Punjab,27,Amritsar,257,1,Amritsar- II,3,257
188,9,Uttar Pradesh,154,Amroha,730,6,Amroha,2,730
189,19,West Bengal,313,Howrah,2400,1,Amta - I,3,2400
190,19,West Bengal,313,Howrah,2399,1,Amta - II,2,2399
191,33,Tamil Nadu,595,Vellore,5964,12,Anaicut,0,0
192,33,Tamil Nadu,569,Coimbatore,6643,1,Anaimalai,0,0
193,28,Andhra Pradesh,744,Anakapalli,4871,3,Anakapalli,31,4871
194,21,Odisha,361,Keonjhar,2854,6,Anandapur,19,2854
195,28,Andhra Pradesh,520,Visakhapatnam,4863,1,Anandapuram,23,4863
196,24,Gujarat,440,Anand,6530,1,Anand City,0,0
197,20,Jharkhand,343,West Singhbhum,2734,2,Anandpur,0,2734
198,8,Rajasthan,88,Banswara,6061,1,Anandpuri,0,0
199,3,Punjab,42,Rupnagar,262,1,Anandpur Sahib,1,262
200,24,Gujarat,440,Anand,3864,3,Anand Rural,4,3864
201,28,Andhra Pradesh,502,Ananthapuramu,5330,5,Anantapur Rural,27,5330
202,28,Andhra Pradesh,502,Ananthapuramu,7426,4,Anantapur Urban,0,0
203,28,Andhra Pradesh,745,Alluri Sitharama Raju,4845,2,Ananthagiri,5,4845
204,36,Telangana,696,Suryapet,6302,1,Ananthagiri,0,0
205,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,5173,1,Ananthasagaram,21,5173
206,1,Jammu And Kashmir,1,Anantnag,55,15,Anantnag,3,55
207,1,Jammu And Kashmir,1,Anantnag,6822,8,Anantnag East (Mattan),0,0
208,28,Andhra Pradesh,505,East Godavari,4917,2,Anaparthi,33,4917
209,33,Tamil Nadu,577,Krishnagiri,6662,1,Anchetty,0,0
210,19,West Bengal,704,Paschim Bardhaman,2272,4,Andal,5,2272
211,10,Bihar,222,Siwan,1243,1,Andar,15,1243
212,27,Maharashtra,483,Mumbai Suburban,7179,1,Andheri,0,0
213,8,Rajasthan,102,Jaipur,7140,7,Andhi,0,0
214,10,Bihar,206,Madhubani,1096,1,Andhratharhi,17,1096
215,33,Tamil Nadu,610,Ariyalur,5983,4,Andimadam,0,0
216,33,Tamil Nadu,588,Theni,5846,1,Andipatti,5,5846
217,36,Telangana,691,Sangareddy,4479,2,Andole,29,4479
218,31,Lakshadweep,553,Lakshadweep District,5627,1,Andrott,3,5627
219,29,Karnataka,525,Bengaluru Urban,5545,1,Anekal,3,5545
220,12,Arunachal Pradesh,230,Dibang Valley,1720,2,Anelih,4,1720
221,20,Jharkhand,339,Ranchi,2686,1,Angara,4,2686
222,13,Nagaland,247,Mon,1754,1,Angjangyang,0,1754
223,21,Odisha,344,Angul,3011,17,Angul,12,3011
224,2,Himachal Pradesh,20,Kullu,121,3,Ani,5,121
225,12,Arunachal Pradesh,230,Dibang Valley,1718,2,Anini,0,1718
226,23,Madhya Pradesh,393,Barwani,3557,1,Anjad,0,3557
227,27,Maharashtra,468,Amravati,4003,1,Anjangaon Surji,3,4003
228,24,Gujarat,449,Kachchh,3725,1,Anjar,4,3725
229,24,Gujarat,440,Anand,3868,1,Anklav,8,3868
230,24,Gujarat,442,Bharuch,3918,1,Anklesvar,6,3918
231,29,Karnataka,550,Uttara Kannada,5484,1,Ankola,7,5484
232,36,Telangana,690,Bhadradri Kothagudem,6268,1,Annapureddypalli,0,0
233,29,Karnataka,536,Dharwad,7080,2,Annigeri,0,0
234,33,Tamil Nadu,569,Coimbatore,5955,1,Annur,0,0
235,8,Rajasthan,89,Baran,671,2,Anta,2,671
236,22,Chhattisgarh,381,Uttar Bastar Kanker,3353,3,Antagarh,5,3353
237,8,Rajasthan,92,Bhilwara,7362,10,Antali,0,0
238,36,Telangana,682,Peddapalli,6214,1,Anthergaon,0,0
239,33,Tamil Nadu,573,Erode,5969,1,Anthiyur,0,0
240,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,5165,1,Anumasamudrampeta,13,5165
241,36,Telangana,514,Nalgonda,4660,2,Anumula,48,4660
242,8,Rajasthan,100,Ganganagar,462,10,Anupgarh,6,462
243,23,Madhya Pradesh,390,Anuppur,3694,3,Anuppur,6,3694
244,9,Uttar Pradesh,134,Bulandshahr,748,2,Anupshahr,4,748
245,9,Uttar Pradesh,130,Bareilly,786,1,Aonla,3,786
246,13,Nagaland,764,Niuland,1793,2,Aquqhnaqua,0,1793
247,8,Rajasthan,86,Ajmer,6659,11,Arain,0,0
248,29,Karnataka,546,Raichur,7403,2,Arakera,0,0
249,33,Tamil Nadu,731,Ranipet,5715,13,Arakonam,4,5715
250,28,Andhra Pradesh,745,Alluri Sitharama Raju,4844,2,Araku Valley,4,4844
251,19,West Bengal,312,Hooghly,2340,1,Arambag,3,2340
252,22,Chhattisgarh,387,Raipur,3330,6,Arang,7,3330
253,33,Tamil Nadu,593,Tiruvannamalai,5721,2,Arani,1,5721
254,33,Tamil Nadu,582,Pudukkottai,5826,1,Aranthangi,7,5826
255,10,Bihar,188,Araria,1116,1,Araria,5,1116
256,33,Tamil Nadu,576,Karur,5768,2,Aravakurichi,1,5768
257,33,Tamil Nadu,731,Ranipet,5716,9,Arcot,5,5716
258,27,Maharashtra,485,Nanded,4099,3,Ardhapur,5,4099
259,28,Andhra Pradesh,790,Markapuram,5116,2,Ardhaveedu,20,5116
260,10,Bihar,213,Purbi Champaran,1045,1,Areraj,15,1045
261,24,Gujarat,459,Surat,7553,6,Areth,0,0
262,10,Bihar,219,Sheikhpura,1377,1,Ariari,6,1377
263,1,Jammu And Kashmir,11,Pulwama,6795,7,Aripal,0,0
264,33,Tamil Nadu,610,Ariyalur,5787,2,Ariyalur,3,5787
265,22,Chhattisgarh,646,Balod,7253,3,Arjunda,0,0
266,27,Maharashtra,476,Gondia,4050,1,Arjuni Morgaon,7,4050
267,29,Karnataka,539,Hassan,5558,1,Arkalgud,6,5558
268,2,Himachal Pradesh,25,Solan,158,14,Arki,1,158
269,36,Telangana,516,Nizamabad,4360,3,Armoor,4,4360
270,27,Maharashtra,475,Gadchiroli,4053,1,Armori,2,4053
271,1,Jammu And Kashmir,627,Reasi,6740,2,Arnas,0,0
272,27,Maharashtra,500,Yavatmal,4088,1,Arni,10,4088
273,1,Jammu And Kashmir,5,Jammu,6717,2,Arnia,0,0
274,8,Rajasthan,629,Pratapgarh,700,3,Arnod,13,700
275,23,Madhya Pradesh,406,Guna,3682,1,Aron,8,3682
276,10,Bihar,193,Bhojpur,1422,1,Arrah,2,1422
277,19,West Bengal,321,Purulia,2389,1,Arsha,12,2389
278,29,Karnataka,539,Hassan,5555,1,Arsikere,3,5555
279,8,Rajasthan,88,Banswara,6922,8,Arthuna,0,0
280,33,Tamil Nadu,597,Virudhunagar,5853,1,Aruppukkottai,7,5853
281,27,Maharashtra,498,Wardha,4017,2,Arvi,3,4017
282,10,Bihar,611,Arwal,1542,1,Arwal,1,1542
283,10,Bihar,207,Munger,1361,1,Asarganj,6,1361
284,24,Gujarat,438,Ahmedabad,6512,1,Asarva,0,0
285,23,Madhya Pradesh,391,Ashoknagar,3686,2,Ashoknagar,4,3686
286,23,Madhya Pradesh,427,Sehore,3584,1,Ashta,2,3584
287,27,Maharashtra,470,Beed,4215,1,Ashti,1,4215
288,27,Maharashtra,498,Wardha,4015,1,Ashti,1,4015
289,36,Telangana,699,Kumuram Bheem Asifabad,4319,2,Asifabad,15,4319
290,36,Telangana,507,Hyderabad,4506,2,Asif Nagar,11,4506
291,21,Odisha,354,Ganjam,3078,6,Asika,7,3078
292,8,Rajasthan,92,Bhilwara,627,13,Asind,1,627
293,8,Rajasthan,105,Jhalawar,6055,4,Asnawar,0,0
294,28,Andhra Pradesh,511,Kurnool,5275,1,Aspari,26,5275
295,8,Rajasthan,99,Dungarpur,647,2,Aspur,2,647
296,6,Haryana,67,Karnal,373,4,Assandh,4,373
297,1,Jammu And Kashmir,4,Doda,6752,4,Assar,0,0
298,21,Odisha,369,Puri,3060,3,Astaranga,5,3060
299,10,Bihar,209,Nalanda,1385,1,Asthawan,8,1385
300,13,Nagaland,251,Zunheboto,1770,1,Asuto,4,1770
301,36,Telangana,690,Bhadradri Kothagudem,4728,2,Aswapuram,6,4728
302,36,Telangana,690,Bhadradri Kothagudem,4749,2,Aswaraopeta,27,4749
303,9,Uttar Pradesh,128,Banda,873,1,Atarra,3,873
304,28,Andhra Pradesh,751,Palnadu,5050,2,Atchampet,11,5050
