entity_id,time,product,value,source_id
arunachal-pradesh,2017,diesel-hsd,146.42,src-cba8334fedc5
arunachal-pradesh,2017,kerosene,11.72,src-cba8334fedc5
arunachal-pradesh,2017,lpg,19.92,src-cba8334fedc5
arunachal-pradesh,2017,petrol,39.88,src-cba8334fedc5
arunachal-pradesh,2018,diesel-hsd,150.109,src-cba8334fedc5
arunachal-pradesh,2018,kerosene,11.975,src-cba8334fedc5
arunachal-pradesh,2018,lpg,21.639,src-cba8334fedc5
arunachal-pradesh,2018,others,0.031,src-cba8334fedc5
arunachal-pradesh,2018,petrol,46.15,src-cba8334fedc5
arunachal-pradesh,2019,diesel-hsd,161.495,src-cba8334fedc5
arunachal-pradesh,2019,kerosene,10.02,src-cba8334fedc5
arunachal-pradesh,2019,lpg,23.194,src-cba8334fedc5
arunachal-pradesh,2019,others,0.031120000000000002,src-cba8334fedc5
arunachal-pradesh,2019,petrol,51.77016924167251,src-cba8334fedc5
arunachal-pradesh,2020,diesel-hsd,174.87,src-cba8334fedc5
arunachal-pradesh,2020,kerosene,10.5,src-cba8334fedc5
arunachal-pradesh,2020,lpg,23.770035000000007,src-cba8334fedc5
arunachal-pradesh,2020,others,0.016762,src-cba8334fedc5
arunachal-pradesh,2020,petrol,50.6,src-cba8334fedc5
arunachal-pradesh,2021,diesel-hsd,192.45689342148768,src-cba8334fedc5
arunachal-pradesh,2021,kerosene,9.655831953307395,src-cba8334fedc5
arunachal-pradesh,2021,lpg,25.362636000000037,src-cba8334fedc5
arunachal-pradesh,2021,others,0.001006,src-cba8334fedc5
arunachal-pradesh,2021,petrol,55.40792729978736,src-cba8334fedc5
arunachal-pradesh,2022,diesel-hsd,227.00561523967025,src-cba8334fedc5
arunachal-pradesh,2022,kerosene,8.123611151750957,src-cba8334fedc5
arunachal-pradesh,2022,lpg,26.89626000000002,src-cba8334fedc5
arunachal-pradesh,2022,others,0.001006,src-cba8334fedc5
arunachal-pradesh,2022,petrol,66.70055512402557,src-cba8334fedc5
arunachal-pradesh,2023,diesel-hsd,244.5251241157033,src-cba8334fedc5
arunachal-pradesh,2023,kerosene,8.84036631906614,src-cba8334fedc5
arunachal-pradesh,2023,lpg,28.381815999999958,src-cba8334fedc5
arunachal-pradesh,2023,others,0.509,src-cba8334fedc5
arunachal-pradesh,2023,petrol,77.99412600283489,src-cba8334fedc5
arunachal-pradesh,2024,diesel-hsd,253,src-cba8334fedc5
arunachal-pradesh,2024,kerosene,8.5,src-cba8334fedc5
arunachal-pradesh,2024,lpg,29.8,src-cba8334fedc5
arunachal-pradesh,2024,petrol,89.7,src-cba8334fedc5
assam,2010,diesel-hsd,699,src-cba8334fedc5
assam,2010,kerosene,260,src-cba8334fedc5
assam,2010,lpg,204,src-cba8334fedc5
assam,2010,others,233,src-cba8334fedc5
assam,2010,petrol,149,src-cba8334fedc5
assam,2011,diesel-hsd,758,src-cba8334fedc5
assam,2011,kerosene,257,src-cba8334fedc5
assam,2011,lpg,216,src-cba8334fedc5
assam,2011,others,201,src-cba8334fedc5
assam,2011,petrol,164,src-cba8334fedc5
assam,2012,diesel-hsd,731,src-cba8334fedc5
assam,2012,kerosene,257,src-cba8334fedc5
assam,2012,lpg,212,src-cba8334fedc5
assam,2012,others,163,src-cba8334fedc5
assam,2012,petrol,168,src-cba8334fedc5
assam,2013,diesel-hsd,762,src-cba8334fedc5
assam,2013,kerosene,257,src-cba8334fedc5
assam,2013,lpg,238,src-cba8334fedc5
assam,2013,others,269,src-cba8334fedc5
assam,2013,petrol,190,src-cba8334fedc5
assam,2014,diesel-hsd,777.2,src-cba8334fedc5
assam,2014,kerosene,257,src-cba8334fedc5
assam,2014,lpg,267.1,src-cba8334fedc5
assam,2014,others,228,src-cba8334fedc5
assam,2014,petrol,220,src-cba8334fedc5
assam,2015,diesel-hsd,851.7,src-cba8334fedc5
assam,2015,kerosene,252,src-cba8334fedc5
assam,2015,lpg,294.7,src-cba8334fedc5
assam,2015,naphtha,25,src-cba8334fedc5
assam,2015,others,265,src-cba8334fedc5
assam,2015,petrol,267,src-cba8334fedc5
assam,2016,diesel-hsd,860.72,src-cba8334fedc5
assam,2016,kerosene,225.42199999999997,src-cba8334fedc5
assam,2016,lpg,324.98,src-cba8334fedc5
assam,2016,naphtha,58.322100000000006,src-cba8334fedc5
assam,2016,others,33.721,src-cba8334fedc5
assam,2016,petrol,307.82,src-cba8334fedc5
assam,2016,petroleum-coke,239.811,src-cba8334fedc5
assam,2017,diesel-hsd,925.5865599999994,src-cba8334fedc5
assam,2017,kerosene,192.01,src-cba8334fedc5
assam,2017,lpg,372.59,src-cba8334fedc5
assam,2017,naphtha,152.54083,src-cba8334fedc5
assam,2017,others,26.557,src-cba8334fedc5
assam,2017,petrol,356.75,src-cba8334fedc5
assam,2017,petroleum-coke,289.6,src-cba8334fedc5
assam,2018,diesel-hsd,984.561,src-cba8334fedc5
assam,2018,kerosene,190.145,src-cba8334fedc5
assam,2018,lpg,420.853,src-cba8334fedc5
assam,2018,naphtha,204.6,src-cba8334fedc5
assam,2018,others,18.872,src-cba8334fedc5
assam,2018,petrol,411.631,src-cba8334fedc5
assam,2018,petroleum-coke,267.012,src-cba8334fedc5
assam,2019,diesel-hsd,1023.8010742671939,src-cba8334fedc5
assam,2019,kerosene,138.814,src-cba8334fedc5
assam,2019,lpg,450.898,src-cba8334fedc5
assam,2019,naphtha,303.182383,src-cba8334fedc5
assam,2019,others,51.49254006951787,src-cba8334fedc5
assam,2019,petrol,445.1451335304964,src-cba8334fedc5
assam,2019,petroleum-coke,183.36138999999997,src-cba8334fedc5
assam,2020,diesel-hsd,904.01,src-cba8334fedc5
assam,2020,kerosene,120.3,src-cba8334fedc5
assam,2020,lpg,505.74646869999816,src-cba8334fedc5
assam,2020,naphtha,320.1,src-cba8334fedc5
assam,2020,others,44.34207131761537,src-cba8334fedc5
assam,2020,petrol,431.9,src-cba8334fedc5
assam,2020,petroleum-coke,205.93279000000004,src-cba8334fedc5
assam,2021,diesel-hsd,1122.9435358630856,src-cba8334fedc5
assam,2021,kerosene,92.31737287159528,src-cba8334fedc5
assam,2021,lpg,486.32033380000024,src-cba8334fedc5
assam,2021,naphtha,297.42463799999996,src-cba8334fedc5
assam,2021,others,39.33457015545341,src-cba8334fedc5
assam,2021,petrol,510.00191794296205,src-cba8334fedc5
assam,2021,petroleum-coke,182.28362999999996,src-cba8334fedc5
