external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
AAAP,AAAP,Aapki Apni Adhikar Party,parties.IN.AAAP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
AAP,AAP,Aam Aadmi Party,parties.IN.AAP,parties.IN.AAP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
ABGP,ABGP,Akhil Bharatiya Gram Parishad,parties.IN.ABGP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
AGP,AGP,Asom Gana Parisad,parties.IN.AGP,parties.IN.AGP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
AHFBK,AHFBK,Akhil Hind Forward Bloc (Krantikari),parties.IN.AHFBK,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
ADK,ADK,All India Anna Dravida Munnetra Kazhagam,parties.IN.AIADMK,parties.IN.AIADMK,alias-add,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
FBL,FBL,All India Forward Bloc,parties.IN.AIFB,parties.IN.AIFB,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
AITC,AITC,All India Trinamool Congress,parties.IN.AITC,parties.IN.AITC,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
AIUDF,AIUDF,All India United Democratic Front,parties.IN.AIUDF,parties.IN.AIUDF,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
AJKMP,AJKMP,All J & K Kisan Majdoor Party,parties.IN.AJKMP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
AKBMP,AKBMP,Akhil Bharitya Mithila Party,parties.IN.AKBMP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
AMB,AMB,Amara Bengali,parties.IN.AMB,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
AOP,AOP,Aama Odisha Party,parties.IN.AOP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
APKSP,APKSP,Apna Kisan Party,parties.IN.APKSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
ARVP,ARVP,Adarsh Rashtriya Vikas Party,parties.IN.ARVP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
AVIRP,AVIRP,Aarakshan Virodhi Party,parties.IN.AVIRP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BASD,BASD,Bahujan Sangharshh Dal,parties.IN.BASD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BC,BC,Bundelkhand Congress,parties.IN.BC,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BCUF,BCUF,B. C. United Front,parties.IN.BCUF,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BDBRAJP,BDBRAJP,Bharatiya Dr. B.R.Ambedkar Janta Party,parties.IN.BDBRAJP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BHBP,BHBP,Bharatiya Bahujan Party,parties.IN.BHBP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BHNP,BHNP,Bharat Nirman Party,parties.IN.BHNP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BHRTSBLP,BHRTSBLP,Bhartiya Sablog Party,parties.IN.BHRTSBLP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BJD,BJD,Biju Janata Dal,parties.IN.BJD,parties.IN.BJD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
BJJD,BJJD,Bharatiya Jantantrik Janta Dal,parties.IN.BJJD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BJKD,BJKD,Bharatiya Jan Kranti Dal (Democratic),parties.IN.BJKD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BJKVP,BJKVP,Bajjikanchal Vikas Party,parties.IN.BJKVP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BJP,BJP,Bharatiya Janta Party,parties.IN.BJP,parties.IN.BJP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
BJS,BJS,Bhartiya Jan Sangh,parties.IN.BJS,parties.IN.BJS,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
BLD,BLD,Bharatiya Lok Dal,parties.IN.BLD,parties.IN.BLD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
BLRP,BLRP,Bhartiya Lokmat Rashtrwadi Party,parties.IN.BLRP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BMF,BMF,Bharatiya Momin Front,parties.IN.BMF,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BRPP,BRPP,Bharatiya Republican Paksha,parties.IN.BRPP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
TRS,TRS,Telangana Rashtra Samithi,parties.IN.BRS,parties.IN.BRS,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
BRSP,BRSP,Bharatiya Rashtravadi Samanta Party,parties.IN.BRSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BSA,BSA,Bahujan Shakty,parties.IN.BSA,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BSCP,BSCP,Bhartiya Shakti Chetna Party,parties.IN.BSCP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
