election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenMay2026,S22,AC,169,NANNILAM,267576,231444,86.5,6,NOTA,NOTA,,936,0.4,0,1,,,
AcGenMay2026,S22,AC,170,THIRUVIDAIMARUDUR (SC),257014,208944,81.3,1,Govi.chezhiaan,DMK,582,79951,38.26,1,0,,,
AcGenMay2026,S22,AC,170,THIRUVIDAIMARUDUR (SC),257014,208944,81.3,2,S.prabakaran,TVK,3679,65835,31.51,0,0,,,
AcGenMay2026,S22,AC,170,THIRUVIDAIMARUDUR (SC),257014,208944,81.3,3,Elamathi Subramanian,ADMK,75,52922,25.33,0,0,,,
AcGenMay2026,S22,AC,170,THIRUVIDAIMARUDUR (SC),257014,208944,81.3,4,M.divya Bharathi,NTK,,6363,3.05,0,0,,,
AcGenMay2026,S22,AC,170,THIRUVIDAIMARUDUR (SC),257014,208944,81.3,5,T.m.puratchi Mani,BSP,,1043,0.5,0,0,,,
AcGenMay2026,S22,AC,170,THIRUVIDAIMARUDUR (SC),257014,208944,81.3,6,NOTA,NOTA,,747,0.36,0,1,,,
AcGenMay2026,S22,AC,171,KUMBAKONAM,254383,208288,81.88,1,Vinoth,TVK,3679,78650,37.76,1,0,,,
AcGenMay2026,S22,AC,171,KUMBAKONAM,254383,208288,81.88,2,Anbalagan G,DMK,582,77971,37.43,0,0,,,
AcGenMay2026,S22,AC,171,KUMBAKONAM,254383,208288,81.88,3,Ashokkumar R,BJP,369,40103,19.25,0,0,,,
AcGenMay2026,S22,AC,171,KUMBAKONAM,254383,208288,81.88,4,Anandh M,NTK,,7710,3.7,0,0,,,
AcGenMay2026,S22,AC,171,KUMBAKONAM,254383,208288,81.88,5,Stalin Ma Ka,IND,,1405,0.67,0,0,,,
AcGenMay2026,S22,AC,171,KUMBAKONAM,254383,208288,81.88,6,NOTA,NOTA,,960,0.46,0,1,,,
AcGenMay2026,S22,AC,172,PAPANASAM,256617,207723,80.95,1,A.m. Shahjahan,IUML,772,69284,33.35,1,0,,,
AcGenMay2026,S22,AC,172,PAPANASAM,256617,207723,80.95,2,Azarudeen Uduman Ali,TVK,3679,68219,32.84,0,0,,,
AcGenMay2026,S22,AC,172,PAPANASAM,256617,207723,80.95,3,Dorai. Shanmuga Prabu,ADMK,75,57072,27.48,0,0,,,
AcGenMay2026,S22,AC,172,PAPANASAM,256617,207723,80.95,4,Anis Fathima,NTK,,9604,4.62,0,0,,,
AcGenMay2026,S22,AC,172,PAPANASAM,256617,207723,80.95,5,C. Chandrasekaran,TDMK,,524,0.25,0,0,,,
AcGenMay2026,S22,AC,172,PAPANASAM,256617,207723,80.95,6,NOTA,NOTA,,716,0.34,0,1,,,
AcGenMay2026,S22,AC,173,THIRUVAIYARU,258597,222111,85.89,1,Durai. Chandrasekaran,DMK,582,80425,36.21,1,0,,,
AcGenMay2026,S22,AC,173,THIRUVAIYARU,258597,222111,85.89,2,Mathi. Manikandan,TVK,3679,71870,32.36,0,0,,,
AcGenMay2026,S22,AC,173,THIRUVAIYARU,258597,222111,85.89,3,Velu. Karthikeyan,AMMKMNKZ,2866,55121,24.82,0,0,,,
AcGenMay2026,S22,AC,173,THIRUVAIYARU,258597,222111,85.89,4,Durai. Senthilnathan,NTK,,10681,4.81,0,0,,,
AcGenMay2026,S22,AC,173,THIRUVAIYARU,258597,222111,85.89,5,Vijaya Babu,tavk,,1130,0.51,0,0,,,
AcGenMay2026,S22,AC,173,THIRUVAIYARU,258597,222111,85.89,6,NOTA,NOTA,,948,0.43,0,1,,,
AcGenMay2026,S22,AC,174,THANJAVUR,252841,198798,78.63,1,R. Vijaysaravanan,TVK,3679,87705,44.12,1,0,,,
AcGenMay2026,S22,AC,174,THANJAVUR,252841,198798,78.63,2,Shan. Ramanathan,DMK,582,70750,35.59,0,0,,,
AcGenMay2026,S22,AC,174,THANJAVUR,252841,198798,78.63,3,Karuppu Muruganantham,BJP,369,26790,13.48,0,0,,,
AcGenMay2026,S22,AC,174,THANJAVUR,252841,198798,78.63,4,N. Krishnakumar,NTK,,9383,4.72,0,0,,,
AcGenMay2026,S22,AC,174,THANJAVUR,252841,198798,78.63,5,R. Muralidharan,IND,,844,0.42,0,0,,,
AcGenMay2026,S22,AC,174,THANJAVUR,252841,198798,78.63,6,NOTA,NOTA,,1274,0.64,0,1,,,
AcGenMay2026,S22,AC,175,ORATHANADU,233758,195304,83.55,1,R. Vaithilingam,DMK,582,86759,44.42,1,0,,,
AcGenMay2026,S22,AC,175,ORATHANADU,233758,195304,83.55,2,Dr. K. Arvind,TVK,3679,51731,26.49,0,0,,,
AcGenMay2026,S22,AC,175,ORATHANADU,233758,195304,83.55,3,M. Sekar,ADMK,75,44260,22.66,0,0,,,
AcGenMay2026,S22,AC,175,ORATHANADU,233758,195304,83.55,4,S.thirumurugan,NTK,,10135,5.19,0,0,,,
AcGenMay2026,S22,AC,175,ORATHANADU,233758,195304,83.55,5,M. Selvaraj,PFTROOBC,,548,0.28,0,0,,,
AcGenMay2026,S22,AC,175,ORATHANADU,233758,195304,83.55,6,NOTA,NOTA,,631,0.32,0,1,,,
AcGenMay2026,S22,AC,176,PATTUKKOTTAI,242451,183745,75.79,1,Annadurai K,DMK,582,65963,35.9,1,0,,,
AcGenMay2026,S22,AC,176,PATTUKKOTTAI,242451,183745,75.79,2,Mathan C,TVK,3679,52209,28.41,0,0,,,
AcGenMay2026,S22,AC,176,PATTUKKOTTAI,242451,183745,75.79,3,Sekar C V,ADMK,75,49575,26.98,0,0,,,
AcGenMay2026,S22,AC,176,PATTUKKOTTAI,242451,183745,75.79,4,Kannan S,NTK,,13145,7.15,0,0,,,
AcGenMay2026,S22,AC,176,PATTUKKOTTAI,242451,183745,75.79,5,Gurumoorthy M,PT,,521,0.28,0,0,,,
AcGenMay2026,S22,AC,176,PATTUKKOTTAI,242451,183745,75.79,6,NOTA,NOTA,,738,0.4,0,1,,,
AcGenMay2026,S22,AC,177,PERAVURANI,213974,176274,82.38,1,Ashokkumar. N,DMK,582,60919,34.56,1,0,,,
AcGenMay2026,S22,AC,177,PERAVURANI,213974,176274,82.38,2,Govi.elango,ADMK,75,57757,32.77,0,0,,,
AcGenMay2026,S22,AC,177,PERAVURANI,213974,176274,82.38,3,D.chandrakandeeban,TVK,3679,45576,25.86,0,0,,,
