election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,3,A. SIVASHANMUGAM,INC,,2601,9.63,0,0,M,52,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,4,V. MOUROUGAYAN,IND,,1538,5.69,0,0,M,49,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,5,M.R. GOVINDAN,ADMK,,1043,3.86,0,0,M,50,GEN
AcGenMay2016,U07,AC,7,Kadirgamam,33083,27013,81.65,6,NOTA,NOTA,,897,3.32,0,1,,,
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,1,N. RANGASAMY,AINRC,,15463,52.69,1,0,M,67,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,2,V. AROUMOUGAM  A.K.D.,INC,,12059,41.09,0,0,M,51,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,3,T. GUNASEGARAN,ADMK,,612,2.09,0,0,M,53,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,4,V. MURUGAN,BJP,,228,0.78,0,0,M,50,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,5,E. VADIVEL,PMK,,224,0.76,0,0,M,59,GEN
AcGenMay2016,U07,AC,8,Indira Nagar,34534,29345,84.97,6,NOTA,NOTA,,470,1.6,0,1,,,
AcGenMay2016,U07,AC,9,Thattanchavady,30551,23662,77.45,1,ASHOK ANAND,AINRC,,12754,53.9,1,0,M,42,GEN
AcGenMay2016,U07,AC,9,Thattanchavady,30551,23662,77.45,2,K. SETHU @ SETHUSELVAM,CPI,,5296,22.38,0,0,M,45,GEN
AcGenMay2016,U07,AC,9,Thattanchavady,30551,23662,77.45,3,S. CASSINADIN,ADMK,,1649,6.97,0,0,M,62,GEN
AcGenMay2016,U07,AC,9,Thattanchavady,30551,23662,77.45,4,N. KALIAPERUMAL,DMK,,1467,6.2,0,0,M,64,GEN
AcGenMay2016,U07,AC,9,Thattanchavady,30551,23662,77.45,5,P. SIVANANDAME,BJP,,897,3.79,0,0,M,39,GEN
AcGenMay2016,U07,AC,9,Thattanchavady,30551,23662,77.45,6,NOTA,NOTA,,922,3.9,0,1,,,
AcGenMay2016,U07,AC,10,Kamaraj Nagar,33299,25769,77.39,1,VE. VAITHILINGAM,INC,,11618,45.09,1,0,M,65,GEN
AcGenMay2016,U07,AC,10,Kamaraj Nagar,33299,25769,77.39,2,P. GANESAN,ADMK,,6512,25.27,0,0,M,61,GEN
AcGenMay2016,U07,AC,10,Kamaraj Nagar,33299,25769,77.39,3,B. THAYALAN,AINRC,,3642,14.13,0,0,M,46,GEN
AcGenMay2016,U07,AC,10,Kamaraj Nagar,33299,25769,77.39,4,L. MUNISAMY,IND,,1241,4.82,0,0,M,50,GEN
AcGenMay2016,U07,AC,10,Kamaraj Nagar,33299,25769,77.39,5,R VISWANATHAN,CPI,,857,3.33,0,0,M,67,GEN
AcGenMay2016,U07,AC,10,Kamaraj Nagar,33299,25769,77.39,6,NOTA,NOTA,,694,2.69,0,1,,,
AcGenMay2016,U07,AC,11,Lawspet,30928,25883,83.69,1,V.P. SIVAKOLUNDHU,INC,,12144,46.92,1,0,M,65,GEN
AcGenMay2016,U07,AC,11,Lawspet,30928,25883,83.69,2,M. VAITHIANATHAN,IND,,5695,22.0,0,0,M,42,GEN
AcGenMay2016,U07,AC,11,Lawspet,30928,25883,83.69,3,NANDHA T. SARAVANAN,AINRC,,4066,15.71,0,0,M,46,GEN
AcGenMay2016,U07,AC,11,Lawspet,30928,25883,83.69,4,V. SAMINATHAN,BJP,,1509,5.83,0,0,M,48,GEN
