event_id,state_code,scope,kind,polled_on,leading_party_id,seats_won,seats_contested,turnout_pct,runner_up_party_id,runner_up_seats,source_id
assembly-1990,S12,state,assembly,1990-02-27,parties.IN.BJP,220,320,52.8568,parties.IN.INC,56,src-0c1b8f274551
assembly-1990,S13,state,assembly,1990-02-01,parties.IN.INC,141,288,61.1892,parties.IN.SHS,52,src-0c1b8f274551
assembly-1990,S14,state,assembly,1990-02-12,parties.IN.INC,24,54,88.9594,parties.IN.JD,11,src-0c1b8f274551
assembly-1990,S18,state,assembly,1990-02-27,parties.IN.JD,123,147,55.5092,parties.IN.INC,10,src-0c1b8f274551
assembly-1990,S20,state,assembly,1990-02-27,parties.IN.BJP,85,200,56.1571,parties.IN.JD,55,src-0c1b8f274551
assembly-1990,U07,state,assembly,1990-02-27,parties.IN.INC,11,30,71.8003,parties.IN.DMK,9,src-0c1b8f274551
assembly-1991,S03,state,assembly,1991-06-08,parties.IN.INC,66,126,70.339,parties.IN.AGP,19,src-0c1b8f274551
assembly-1991,S07,state,assembly,1991-05-20,parties.IN.INC,51,90,63.5076,parties.IN.JP,16,src-0c1b8f274551
assembly-1991,S11,state,assembly,1991-06-18,parties.IN.INC,55,140,72.1075,parties.IN.CPIM,30,src-0c1b8f274551
assembly-1991,S22,state,assembly,1991-02-01,parties.IN.ADK,164,234,61.6657,parties.IN.INC,60,src-0c1b8f274551
assembly-1991,S24,state,assembly,1991-05-01,parties.IN.BJP,221,419,46.4198,parties.IN.JD,91,src-0c1b8f274551
assembly-1991,S25,state,assembly,1991-04-24,parties.IN.CPIM,189,294,74.831,parties.IN.INC,43,src-0c1b8f274551
assembly-1991,U07,state,assembly,1991-06-15,parties.IN.INC,15,30,65.8886,parties.IN.ADK,6,src-0c1b8f274551
assembly-1992,S19,state,assembly,1992-02-01,parties.IN.INC,87,117,22.8144,parties.IN.BSP,9,src-0c1b8f274551
assembly-1993,S08,state,assembly,1993-09-11,parties.IN.INC,52,68,70.9428,parties.IN.BJP,8,src-0c1b8f274551
assembly-1993,S12,state,assembly,1993-11-24,parties.IN.INC,174,320,58.8699,parties.IN.BJP,117,src-0c1b8f274551
assembly-1993,S15,state,assembly,1993-02-19,parties.IN.INC,24,60,77.8057,parties.IN.HPU,11,src-0c1b8f274551
assembly-1993,S16,state,assembly,1993-11-30,parties.IN.INC,16,40,79.9748,parties.IN.MNF,14,src-0c1b8f274551
assembly-1993,S17,state,assembly,1993-02-15,parties.IN.INC,35,60,90.8853,parties.IN.NPC,17,src-0c1b8f274551
assembly-1993,S20,state,assembly,1993-11-11,parties.IN.BJP,95,199,59.4019,parties.IN.INC,76,src-0c1b8f274551
assembly-1993,S23,state,assembly,1993-02-15,parties.IN.CPIM,44,60,80.0846,parties.IN.INC,10,src-0c1b8f274551
assembly-1993,S24,state,assembly,1993-11-01,parties.IN.BJP,177,423,55.8091,parties.IN.SP,109,src-0c1b8f274551
assembly-1993,U05,state,assembly,1993-11-06,parties.IN.BJP,49,70,60.6994,parties.IN.INC,14,src-0c1b8f274551
assembly-1994,S01,state,assembly,1994-12-01,parties.IN.TDP,216,294,69.6183,parties.IN.INC,26,src-0c1b8f274551
assembly-1994,S05,state,assembly,1994-11-16,parties.IN.INC,18,40,69.9936,parties.IN.MAG,12,src-0c1b8f274551
assembly-1994,S10,state,assembly,1994-12-01,parties.IN.JD,115,224,67.1475,parties.IN.BJP,40,src-0c1b8f274551
assembly-1994,S21,state,assembly,1994-11-16,parties.IN.SDF,19,32,79.6613,parties.IN.SSP,10,src-0c1b8f274551
assembly-1995,S02,state,assembly,1995-03-01,parties.IN.INC,43,60,79.5555,parties.IN.IND,12,src-0c1b8f274551
assembly-1995,S04,state,assembly,1995-03-28,parties.IN.JD,167,324,59.8276,parties.IN.BJP,41,src-0c1b8f274551
assembly-1995,S06,state,assembly,1995-02-01,parties.IN.BJP,121,182,62.1897,parties.IN.INC,45,src-0c1b8f274551
assembly-1995,S13,state,assembly,1995-03-01,parties.IN.INC,80,288,69.9248,parties.IN.SHS,73,src-0c1b8f274551
assembly-1995,S14,state,assembly,1995-02-19,parties.IN.INC,22,60,90.2515,parties.IN.MPP,18,src-0c1b8f274551
assembly-1995,S18,state,assembly,1995-03-09,parties.IN.INC,81,147,71.7257,parties.IN.JD,46,src-0c1b8f274551
assembly-1996,S03,state,assembly,1996-04-27,parties.IN.AGP,59,122,74.894,parties.IN.INC,34,src-0c1b8f274551
assembly-1996,S07,state,assembly,1996-05-01,parties.IN.HVP,33,90,67.9822,parties.IN.SAP,24,src-0c1b8f274551
assembly-1996,S11,state,assembly,1996-04-27,parties.IN.CPIM,40,140,69.0884,parties.IN.INC,37,src-0c1b8f274551
assembly-1996,S22,state,assembly,1996-02-01,parties.IN.DMK,173,234,63.9123,parties.IN.TMC_M,39,src-0c1b8f274551
assembly-1996,S24,state,assembly,1996-09-30,parties.IN.BJP,174,424,54.941,parties.IN.SP,110,src-0c1b8f274551
assembly-1996,S25,state,assembly,1996-05-13,parties.IN.CPIM,157,294,80.6433,parties.IN.INC,82,src-0c1b8f274551
assembly-1996,U07,state,assembly,1996-04-27,parties.IN.INC,9,30,72.6432,parties.IN.DMK,7,src-0c1b8f274551
assembly-1997,S19,state,assembly,1997-02-07,parties.IN.SAD,75,117,67.6027,parties.IN.BJP,18,src-0c1b8f274551
assembly-1998,S06,state,assembly,1998-03-01,parties.IN.BJP,117,182,56.6201,parties.IN.INC,53,src-0c1b8f274551
assembly-1998,S08,state,assembly,1998-06-03,parties.IN.BJP,32,68,70.3017,parties.IN.INC,30,src-0c1b8f274551
assembly-1998,S12,state,assembly,1998-11-27,parties.IN.INC,172,320,59.1748,parties.IN.BJP,119,src-0c1b8f274551
assembly-1998,S15,state,assembly,1998-02-16,parties.IN.INC,25,60,72.3445,parties.IN.UDP,20,src-0c1b8f274551
assembly-1998,S16,state,assembly,1998-11-25,parties.IN.MNF,21,40,75.8787,parties.IN.MPC,12,src-0c1b8f274551
assembly-1998,S17,state,assembly,1998-02-23,parties.IN.INC,53,60,21.955,parties.IN.IND,7,src-0c1b8f274551
assembly-1998,S20,state,assembly,1998-11-25,parties.IN.INC,153,200,62.5064,parties.IN.BJP,33,src-0c1b8f274551
assembly-1998,S23,state,assembly,1998-02-16,parties.IN.CPIM,38,60,79.0347,parties.IN.INC,13,src-0c1b8f274551
assembly-1998,U05,state,assembly,1998-11-25,parties.IN.INC,52,70,48.5502,parties.IN.BJP,15,src-0c1b8f274551
assembly-1999,S01,state,assembly,1999-10-01,parties.IN.TDP,180,294,67.0829,parties.IN.INC,91,src-0c1b8f274551
assembly-1999,S02,state,assembly,1999-10-03,parties.IN.INC,52,59,67.7117,parties.IN.NCP,4,src-0c1b8f274551
assembly-1999,S05,state,assembly,1999-06-04,parties.IN.INC,21,40,63.5401,parties.IN.BJP,10,src-0c1b8f274551
assembly-1999,S10,state,assembly,1999-09-11,parties.IN.INC,132,224,64.8274,parties.IN.BJP,44,src-0c1b8f274551
assembly-1999,S13,state,assembly,1999-10-01,parties.IN.INC,75,288,57.7686,parties.IN.SHS,69,src-0c1b8f274551
assembly-1999,S21,state,assembly,1999-10-03,parties.IN.SDF,24,32,80.2449,parties.IN.SSP,7,src-0c1b8f274551
assembly-2000,S04,state,assembly,2000-02-22,parties.IN.RJD,124,324,61.6596,parties.IN.BJP,67,src-0c1b8f274551
assembly-2000,S07,state,assembly,2000-02-22,parties.IN.INLD,47,90,68.6825,parties.IN.INC,21,src-0c1b8f274551
assembly-2000,S14,state,assembly,2000-02-22,parties.IN.MSCP,23,60,89.0168,parties.IN.INC,11,src-0c1b8f274551
assembly-2000,S18,state,assembly,2000-02-22,parties.IN.BJD,68,147,58.3938,parties.IN.BJP,38,src-0c1b8f274551
assembly-2001,S03,state,assembly,2001-05-10,parties.IN.INC,71,126,73.6824,parties.IN.AGP,20,src-0c1b8f274551
assembly-2001,S11,state,assembly,2001-05-10,parties.IN.INC,62,140,72.4471,parties.IN.CPIM,23,src-0c1b8f274551
assembly-2001,S22,state,assembly,2001-05-01,parties.IN.AIADMK,132,234,59.052,parties.IN.DMK,31,src-0c1b8f274551
assembly-2001,S25,state,assembly,2001-05-10,parties.IN.CPIM,143,294,75.234,parties.IN.AITC,60,src-0c1b8f274551
assembly-2001,U07,state,assembly,2001-05-10,parties.IN.INC,11,30,72.4374,parties.IN.DMK,7,src-0c1b8f274551
assembly-2002,S05,state,assembly,2002-05-30,parties.IN.BJP,17,40,68.6918,parties.IN.INC,16,src-0c1b8f274551
assembly-2002,S06,state,assembly,2002-12-01,parties.IN.BJP,125,182,61.3245,parties.IN.INC,53,src-0c1b8f274551
assembly-2002,S14,state,assembly,2002-02-21,parties.IN.INC,20,60,89.6292,parties.IN.FPM,13,src-0c1b8f274551
assembly-2002,S19,state,assembly,2002-02-13,parties.IN.INC,62,117,65.0264,parties.IN.SAD,41,src-0c1b8f274551
assembly-2002,S24,state,assembly,2002-02-01,parties.IN.SP,142,403,53.6956,parties.IN.BSP,99,src-0c1b8f274551
assembly-2002,S28,state,assembly,2002-02-14,parties.IN.INC,36,70,54.1948,parties.IN.BJP,19,src-0c1b8f274551
assembly-2003,S08,state,assembly,2003-02-26,parties.IN.INC,43,68,74.4192,parties.IN.BJP,16,src-0c1b8f274551
assembly-2003,S12,state,assembly,2003-11-27,parties.IN.BJP,173,230,67.2183,parties.IN.INC,38,src-0c1b8f274551
assembly-2003,S15,state,assembly,2003-02-26,parties.IN.INC,22,60,70.3486,parties.IN.NCP,14,src-0c1b8f274551
assembly-2003,S16,state,assembly,2003-11-20,parties.IN.MNF,21,40,78.5885,parties.IN.INC,12,src-0c1b8f274551
assembly-2003,S17,state,assembly,2003-02-26,parties.IN.INC,21,60,87.5764,parties.IN.NPF,19,src-0c1b8f274551
assembly-2003,S20,state,assembly,2003-12-01,parties.IN.BJP,120,200,67.141,parties.IN.INC,56,src-0c1b8f274551
assembly-2003,S23,state,assembly,2003-02-26,parties.IN.CPIM,38,60,78.6237,parties.IN.INC,13,src-0c1b8f274551
assembly-2003,S26,state,assembly,2003-12-01,parties.IN.BJP,50,90,71.2774,parties.IN.INC,37,src-0c1b8f274551
assembly-2003,U05,state,assembly,2003-12-01,parties.IN.INC,47,70,53.4174,parties.IN.BJP,20,src-0c1b8f274551
assembly-2004,S01,state,assembly,2004-05-01,parties.IN.INC,185,294,69.9061,parties.IN.TDP,46,src-0c1b8f274551
assembly-2004,S02,state,assembly,2004-10-07,parties.IN.INC,31,57,70.6755,parties.IN.IND,13,src-0c1b8f274551
assembly-2004,S10,state,assembly,2004-04-26,parties.IN.BJP,79,224,65.1236,parties.IN.INC,65,src-0c1b8f274551
assembly-2004,S13,state,assembly,2004-10-01,parties.IN.NCP,71,288,63.4111,parties.IN.INC,69,src-0c1b8f274551
