event_id,state_code,scope,kind,polled_on,leading_party_id,seats_won,seats_contested,turnout_pct,runner_up_party_id,runner_up_seats,source_id
assembly-2011,S11,state,assembly,2011-04-13,parties.IN.CPIM,45,140,75.2399,parties.IN.INC,38,src-0c1b8f274551
assembly-2011,S22,state,assembly,2011-05-01,parties.IN.AIADMK,150,234,78.1446,parties.IN.DMDK,29,src-0c1b8f274551
assembly-2011,S25,state,assembly,2011-05-10,parties.IN.AITC,185,294,84.5445,parties.IN.INC,42,src-0c1b8f274551
assembly-2011,U07,state,assembly,2011-04-13,parties.IN.AINRC,15,30,84.6208,parties.IN.INC,7,src-0c1b8f274551
assembly-2012,S05,state,assembly,2012-03-03,parties.IN.BJP,21,40,82.7105,parties.IN.INC,9,src-0c1b8f274551
assembly-2012,S06,state,assembly,2012-12-01,parties.IN.BJP,115,182,72.1085,parties.IN.INC,62,src-0c1b8f274551
assembly-2012,S08,state,assembly,2012-11-04,parties.IN.INC,36,68,73.3673,parties.IN.BJP,26,src-0c1b8f274551
assembly-2012,S14,state,assembly,2012-01-28,parties.IN.INC,42,60,79.8998,parties.IN.AITC,7,src-0c1b8f274551
assembly-2012,S19,state,assembly,2012-01-30,parties.IN.SAD,56,117,78.2006,parties.IN.INC,46,src-0c1b8f274551
assembly-2012,S24,state,assembly,2012-02-08,parties.IN.SP,224,403,59.4656,parties.IN.BSP,80,src-0c1b8f274551
assembly-2012,S28,state,assembly,2012-01-30,parties.IN.INC,33,70,66.5834,parties.IN.BJP,30,src-0c1b8f274551
assembly-2013,S10,state,assembly,2013-05-05,parties.IN.INC,122,224,71.7716,parties.IN.BJP,40,src-0c1b8f274551
assembly-2013,S12,state,assembly,2013-11-25,parties.IN.BJP,165,229,72.6112,parties.IN.INC,58,src-0c1b8f274551
assembly-2013,S15,state,assembly,2013-02-23,parties.IN.INC,29,60,87.7075,parties.IN.IND,13,src-0c1b8f274551
assembly-2013,S16,state,assembly,2013-11-25,parties.IN.INC,29,32,83.7309,parties.IN.MNF,3,src-0c1b8f274551
assembly-2013,S17,state,assembly,2013-02-23,parties.IN.NPF,38,60,91.1206,parties.IN.INC,8,src-0c1b8f274551
assembly-2013,S20,state,assembly,2013-12-13,parties.IN.BJP,163,200,75.5845,parties.IN.INC,21,src-0c1b8f274551
assembly-2013,S23,state,assembly,2013-02-14,parties.IN.CPIM,49,60,93.3675,parties.IN.INC,10,src-0c1b8f274551
assembly-2013,S26,state,assembly,2013-11-19,parties.IN.BJP,49,90,77.3794,parties.IN.INC,39,src-0c1b8f274551
assembly-2013,U05,state,assembly,2013-12-04,parties.IN.BJP,31,70,65.964,parties.IN.AAAP,28,src-0c1b8f274551
assembly-2014,S01,state,assembly,2014-05-07,parties.IN.TDP,101,175,78.2541,parties.IN.YSRCP,68,src-0c1b8f274551
assembly-2014,S02,state,assembly,2014-04-09,parties.IN.INC,42,60,66.935,parties.IN.BJP,11,src-0c1b8f274551
assembly-2014,S07,state,assembly,2014-10-15,parties.IN.BJP,47,90,76.2216,parties.IN.INLD,19,src-0c1b8f274551
assembly-2014,S13,state,assembly,2014-10-01,parties.IN.BJP,114,266,64.0886,parties.IN.SHS,57,src-0c1b8f274551
assembly-2014,S18,state,assembly,2014-04-17,parties.IN.BJD,117,146,73.7984,parties.IN.INC,16,src-0c1b8f274551
assembly-2014,S21,state,assembly,2014-04-12,parties.IN.SDF,21,29,83.8098,parties.IN.SKM,7,src-0c1b8f274551
assembly-2014,S27,state,assembly,2014-12-20,parties.IN.BJP,37,81,66.5053,parties.IN.JMM,19,src-0c1b8f274551
assembly-2014,S29,state,assembly,2014-04-30,parties.IN.BRS,57,109,69.8256,parties.IN.INC,21,src-0c1b8f274551
assembly-2015,S04,state,assembly,2015-11-05,parties.IN.RJD,80,243,56.8475,parties.IN.JDU,71,src-0c1b8f274551
assembly-2015,U05,state,assembly,2015-02-07,parties.IN.AAAP,67,70,67.4384,parties.IN.BJP,3,src-0c1b8f274551
assembly-2016,S03,state,assembly,2016-04-11,parties.IN.BJP,61,126,84.5618,parties.IN.INC,25,src-0c1b8f274551
assembly-2016,S11,state,assembly,2016-05-16,parties.IN.CPIM,58,140,77.5043,parties.IN.INC,22,src-0c1b8f274551
assembly-2016,S22,state,assembly,2016-05-16,parties.IN.AIADMK,134,232,74.7664,parties.IN.DMK,89,src-0c1b8f274551
assembly-2016,S25,state,assembly,2016-05-05,parties.IN.AITC,211,294,82.949,parties.IN.INC,44,src-0c1b8f274551
assembly-2016,U07,state,assembly,2016-05-16,parties.IN.INC,14,30,82.8527,parties.IN.AINRC,9,src-0c1b8f274551
assembly-2017,S05,state,assembly,2017-02-04,parties.IN.INC,17,40,82.4164,parties.IN.BJP,13,src-0c1b8f274551
assembly-2017,S06,state,assembly,2017-12-09,parties.IN.BJP,99,182,68.9619,parties.IN.INC,77,src-0c1b8f274551
