state,event,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing_party,n_oracles_agreeing_candidate,yen_gov_winner_party_id,yen_gov_winner_candidate_name,yen_gov_winner_votes,other_sources,party_id_alliance,verdict_party,verdict_candidate,verdict,curator_note,curator_source_id
karnataka,AcGenMay2023,1,NIPPANI,2,2,2,parties.IN.BJP,JOLLE SHASHIKALA ANNASAHEB,73348,thecont1-state:parties.IN.BJP:JOLLE SHASHIKALA ANNASAHEB:73348,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,2,CHIKKODI-SADALGA,2,2,2,parties.IN.INC,GANESH PRAKASH HUKKERI,128349,thecont1-state:parties.IN.INC:GANESH PRAKASH HUKKERI:128349,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,3,ATHANI,2,2,2,parties.IN.INC,LAXMAN. SANGAPPA. SAVADI,131404,thecont1-state:parties.IN.INC:LAXMAN. SANGAPPA. SAVADI:131404,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,4,KAGWAD,2,2,2,parties.IN.INC,BHARAMGOUDA ALAGOUDA KAGE,83387,thecont1-state:parties.IN.INC:BHARAMGOUDA ALAGOUDA KAGE:83387,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,5,KUDACHI,2,2,2,parties.IN.INC,MAHENDRA. KALLAPPA. TAMMANNAVAR,85321,thecont1-state:parties.IN.INC:MAHENDRA. KALLAPPA. TAMMANNAVAR:85321,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,6,RAYBAG,2,2,2,parties.IN.BJP,AIHOLE DURYODHAN MAHALINGAPPA,57500,thecont1-state:parties.IN.BJP:AIHOLE DURYODHAN MAHALINGAPPA:57500,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,7,HUKKERI,2,2,2,parties.IN.BJP,KATTI NIKHIL UMESH,103574,thecont1-state:parties.IN.BJP:KATTI NIKHIL UMESH:103574,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,8,ARABHAVI,2,2,2,parties.IN.BJP,BALACHANDRA LAXMANRAO JARKIHOLI,115402,thecont1-state:parties.IN.BJP:BALACHANDRA LAXMANRAO JARKIHOLI:115402,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,9,GOKAK,2,2,2,parties.IN.BJP,JARKIHOLI RAMESH LAXMANRAO,105313,thecont1-state:parties.IN.BJP:JARKIHOLI RAMESH LAXMANRAO:105313,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,10,YEMKANMARDI,2,2,2,parties.IN.INC,SATISH LAXMANARAO JARKIHOLI,100290,thecont1-state:parties.IN.INC:SATISH LAXMANARAO JARKIHOLI:100290,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,11,BELGAUM UTTAR,2,2,2,parties.IN.INC,Asif (Raju) Sait,69184,thecont1-state:parties.IN.INC:Asif (Raju) Sait:69184,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,12,BELGAUM DAKSHIN,2,2,2,parties.IN.BJP,ABHAY PATIL,77094,thecont1-state:parties.IN.BJP:ABHAY PATIL:77094,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,13,BELGAUM RURAL,2,2,2,parties.IN.INC,Laxmi R. Hebbalkar,107619,thecont1-state:parties.IN.INC:Laxmi R. Hebbalkar:107619,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,14,KHANAPUR,2,2,2,parties.IN.BJP,Vithal Somanna Halagekar,91834,thecont1-state:parties.IN.BJP:Vithal Somanna Halagekar:91834,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,15,KITTUR,2,2,2,parties.IN.INC,BABASAHEB PATIL,77536,thecont1-state:parties.IN.INC:BABASAHEB PATIL:77536,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,16,BAILHONGAL,2,2,2,parties.IN.INC,KOUJALAGI. MAHANTESH. SHIVANAND.,58408,thecont1-state:parties.IN.INC:KOUJALAGI. MAHANTESH. SHIVANAND.:58408,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,17,SAUNDATTI YELLAMMA,2,2,2,parties.IN.INC,VISHWAS VASANT VAIDYA,71224,thecont1-state:parties.IN.INC:VISHWAS VASANT VAIDYA:71224,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,18,RAMDURG,2,2,2,parties.IN.INC,ASHOK MAHADEVAPPA PATTAN,80294,thecont1-state:parties.IN.INC:ASHOK MAHADEVAPPA PATTAN:80294,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,19,MUDHOL,2,2,2,parties.IN.INC,TIMMAPUR. RAMAPPA. BALAPPA.,77298,thecont1-state:parties.IN.INC:TIMMAPUR. RAMAPPA. BALAPPA.:77298,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,20,TERDAL,2,2,2,parties.IN.BJP,SIDDU SAVADI,77265,thecont1-state:parties.IN.BJP:SIDDU SAVADI:77265,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,21,JAMKHANDI,2,2,2,parties.IN.BJP,JAGADEESH SHIVAYYA GUDAGUNTI,81937,thecont1-state:parties.IN.BJP:JAGADEESH SHIVAYYA GUDAGUNTI:81937,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,22,BILGI,2,2,2,parties.IN.INC,J. T. PATIL.,95652,thecont1-state:parties.IN.INC:J. T. PATIL.:95652,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,23,BADAMI,2,2,2,parties.IN.INC,B.B.CHIMMANAKATTI,65845,thecont1-state:parties.IN.INC:B.B.CHIMMANAKATTI:65845,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,24,BAGALKOT,2,2,2,parties.IN.INC,METI. HULLAPPA. YAMANAPPA,79336,thecont1-state:parties.IN.INC:METI. HULLAPPA. YAMANAPPA:79336,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,25,HUNGUND,2,2,2,parties.IN.INC,KASHAPPANAVARA VIJAYANAND SHIVASHANKRAPPA,78434,thecont1-state:parties.IN.INC:KASHAPPANAVARA VIJAYANAND SHIVASHANKRAPPA:78434,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,26,MUDDEBIHAL,2,2,2,parties.IN.INC,APPAJI. ALIYAS. CHANNABASAVARAJ. S/O SHANKARAO. NADAGOUDA.,79483,thecont1-state:parties.IN.INC:APPAJI. ALIYAS. CHANNABASAVARAJ. S/O SHANKARAO. NADAGOUDA.:79483,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,27,DEVAR HIPPARGI,2,2,2,parties.IN.JDS,BHIMANAGOUDA (RAJUGOUDA) BASANAGOUDA PATIL,65952,thecont1-state:parties.IN.JDS:BHIMANAGOUDA (RAJUGOUDA) BASANAGOUDA PATIL:65952,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,28,BASAVANA BAGEVADI,2,2,2,parties.IN.INC,SHIVANAND PATIL,68126,thecont1-state:parties.IN.INC:SHIVANAND PATIL:68126,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,29,BABALESHWAR,2,2,2,parties.IN.INC,M B PATIL.,93923,thecont1-state:parties.IN.INC:M B PATIL.:93923,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,30,BIJAPUR CITY,2,2,2,parties.IN.BJP,BASANAGOUDA R PATIL (YATNAL),94211,thecont1-state:parties.IN.BJP:BASANAGOUDA R PATIL (YATNAL):94211,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,31,NAGTHAN,2,2,2,parties.IN.INC,KATAKADHOND VITTHAL DONDIBA,78990,thecont1-state:parties.IN.INC:KATAKADHOND VITTHAL DONDIBA:78990,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,32,INDI,2,2,2,parties.IN.INC,YASHAVANTARAYGOUD. VITTALAGOUD. PATIL,71785,thecont1-state:parties.IN.INC:YASHAVANTARAYGOUD. VITTALAGOUD. PATIL:71785,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,33,SINDGI,2,2,2,parties.IN.INC,ASHOK MALLAPPA MANAGULI,87621,thecont1-state:parties.IN.INC:ASHOK MALLAPPA MANAGULI:87621,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,34,AFZALPUR,2,2,2,parties.IN.INC,M.Y.PATIL,56313,thecont1-state:parties.IN.INC:M.Y.PATIL:56313,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,35,JEVARGI,2,2,2,parties.IN.INC,AJAY SINGH,70810,thecont1-state:parties.IN.INC:AJAY SINGH:70810,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,36,SHORAPUR,2,2,2,parties.IN.INC,RAJA VENKATAPPA NAIK,113559,thecont1-state:parties.IN.INC:RAJA VENKATAPPA NAIK:33019,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,37,SHAHAPUR,2,2,2,parties.IN.INC,SHARANABASAPPA DARSHANAPUR,78353,thecont1-state:parties.IN.INC:SHARANABASAPPA DARSHANAPUR:78353,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,38,YADGIR,2,2,2,parties.IN.INC,CHANNAREDDY PATIL TUNNUR,53802,thecont1-state:parties.IN.INC:CHANNAREDDY PATIL TUNNUR:53802,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,39,GURMITKAL,2,2,2,parties.IN.JDS,SHARANA GOWDA KANDAKUR,72297,thecont1-state:parties.IN.JDS:SHARANA GOWDA KANDAKUR:72297,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,40,CHITTAPUR,2,2,2,parties.IN.INC,PRIYANK KHARGE,81323,thecont1-state:parties.IN.INC:PRIYANK KHARGE:81323,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,41,SEDAM,2,2,2,parties.IN.INC,DR. SHARANPRAKASH RUDRAPPA PATIL,93377,thecont1-state:parties.IN.INC:DR. SHARANPRAKASH RUDRAPPA PATIL:93377,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,42,CHINCHOLI,2,2,2,parties.IN.BJP,AVINASH UMESH JADHAV,69963,thecont1-state:parties.IN.BJP:AVINASH UMESH JADHAV:69963,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,43,GULBARGA RURAL,2,2,2,parties.IN.BJP,BASAWARAJ MATTIMUDU,84466,thecont1-state:parties.IN.BJP:BASAWARAJ MATTIMUDU:84466,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,44,GULBARGA DAKSHIN,2,2,2,parties.IN.INC,ALLAMPRABHU PATIL,87345,thecont1-state:parties.IN.INC:ALLAMPRABHU PATIL:87345,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,45,GULBARGA UTTAR,2,2,2,parties.IN.INC,KANEEZ FATIMA,80973,thecont1-state:parties.IN.INC:KANEEZ FATIMA:80973,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,46,ALAND,2,2,2,parties.IN.INC,Bhojaraj,89508,thecont1-state:parties.IN.INC:Bhojaraj:89508,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,47,BASAVAKALYAN,2,2,2,parties.IN.BJP,SHARANU SALAGAR,92920,thecont1-state:parties.IN.BJP:SHARANU SALAGAR:92920,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,48,HOMNABAD,2,2,2,parties.IN.BJP,SIDDU PATIL,75515,thecont1-state:parties.IN.BJP:SIDDU PATIL:75515,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,49,BIDAR SOUTH,2,2,2,parties.IN.BJP,DR. SHAILENDRA BELDALE,49872,thecont1-state:parties.IN.BJP:DR. SHAILENDRA BELDALE:49872,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,50,BIDAR,2,2,2,parties.IN.INC,Rahim Khan,69165,thecont1-state:parties.IN.INC:Rahim Khan:69165,,VERIFIED,VERIFIED,VERIFIED,,
karnataka,AcGenMay2023,51,BHALKI,2,2,2,parties.IN.INC,ESHWAR KHANDRE,99451,thecont1-state:parties.IN.INC:ESHWAR KHANDRE:99451,,VERIFIED,VERIFIED,VERIFIED,,
