entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-andhra-pradesh-3432,andhra-pradesh,2019,MYDUKUR,208194,169289,81.31,Raghurami Reddy Settipally,,94849,56.03,Putta Sudhakar Yadav,,65505,29344,17.34,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3433,andhra-pradesh,2019,ALLAGADDA,221164,185693,83.96,Gangula Brijendra Reddy (Nani),,105905,57.03,Akhila Priya Bhuma,,70292,35613,19.18,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3434,andhra-pradesh,2019,KADAPA,265211,166688,62.85,AMZATH BASHA SHAIK BEPARI,,104822,62.89,AMEER BABU NAWABJAN,,50028,54794,32.88,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3435,andhra-pradesh,2019,SRISAILAM,185218,152679,82.43,SILPA CHAKRAPANI REDDY,,92236,60.41,BUDDA RAJASEKHARA REDDY,,53538,38698,25.34,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3436,andhra-pradesh,2019,NANDIKOTKUR,197720,172529,87.26,THOGURU ARTHUR,,102565,59.45,BANDI JAYARAJU,,61955,40610,23.54,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3437,andhra-pradesh,2019,RAYACHOTI,231856,173843,74.98,GADIKOTA. SRIKANTH REDDY.,,98990,56.94,RAMESH KUMAR REDDY REDDAPPAGARI,,66128,32862,18.9,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-3438,andhra-pradesh,2019,KURNOOL,258876,152659,58.97,Abdul Hafeez Khan,,72819,47.7,T.G. Bharath,,67466,5353,3.51,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci1,andhra-pradesh,2019,ICHCHAPURAM,247941,172423,69.54,ASHOK BENDALAM,,79992,46.39,PIRIYA SAIRAJ,,72847,7145,4.14,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci10,andhra-pradesh,2019,PALAKONDA  (ST),184967,136712,73.91,VISWASARAYI KALAVATHI,,72054,52.7,JAYAKRISHNA NIMMAKA,,54074,17980,13.15,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci100,andhra-pradesh,2019,GURAZALA,268598,225103,83.81,KASU MAHESH REDDY,,117204,52.07,YARAPATHINENI SRINIVASA RAO,,88591,28613,12.71,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci101,andhra-pradesh,2019,MACHERLA,250403,211900,84.62,RAMAKRISHNAREDDY PINNELLI.,,110406,52.1,ANJI REDDY ANNAPUREDDY,,88488,21918,10.34,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci102,andhra-pradesh,2019,YERRAGONDAPALEM,200581,176447,87.97,Audimulapu Suresh,,99408,56.34,Budala Ajitha Rao,,67776,31632,17.93,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci103,andhra-pradesh,2019,DARSI,214440,195348,91.1,Maddisetty Venugopal,,111914,57.29,Kadiri Babu Rao,,72857,39057,19.99,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci104,andhra-pradesh,2019,PARCHUR,230219,203155,88.24,YELURI SAMBA SIVARAO,,97076,47.78,DAGGUBATI VENKATESWARA RAO,,95429,1647,0.81,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci105,andhra-pradesh,2019,ADDANKI,231977,207501,89.45,GOTTIPATI RAVIKUMAR,,105545,50.86,BACHINA CHENCHU GARATAIAH,,92554,12991,6.26,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci106,andhra-pradesh,2019,CHIRALA,190830,157511,82.54,KARANAM BALARAMA KRISHNA MURTHY,,83901,53.27,AMANCHI KRISHNA MOHAN,,66482,17419,11.06,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci107,andhra-pradesh,2019,SANTHANUTHALAPADU,211557,180290,85.22,T.J.R. Sudhakar Babu,,89160,49.45,Vijay Kumar B.N,,80082,9078,5.03,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci108,andhra-pradesh,2019,ONGOLE,229462,193971,84.53,BALINENI SRINIVASA REDDY (VASU),,101022,52.08,DAMACHARLA JANARDHANA RAO,,78777,22245,11.47,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci109,andhra-pradesh,2019,KANDUKUR,218961,195916,89.48,MAHEEDHAR REDDY MANUGUNTA,,101275,51.69,POTHULA RAMA RAO,,86339,14936,7.62,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci11,andhra-pradesh,2019,KURUPAM,184259,143258,77.75,PUSHPASREEVANI . PAMULA,,74527,52.02,VEERA VARA THODRAMAL NARA SIMHA PRIYA THATRAJ,,47925,26602,18.57,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci110,andhra-pradesh,2019,KONDAPI,231653,203376,87.79,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,,98142,48.26,MADASI VENKAIAH,,97118,1024,0.51,src-1b7bc1c9d39a
IN-AC-2008-andhra-pradesh-eci111,andhra-pradesh,2019,MARKAPURAM,210105,177714,84.58,Kunduru Nagarjuna Reddy,,92680,52.15,Kandula Narayana Reddy,,74013,18667,10.5,src-1b7bc1c9d39a
