constituency_slug,constituency_name,district,category,voters_eligible,votes_polled,turnout_pct,nota_votes,winner_candidate,winner_party_abbreviation,winner_votes,runnerup_candidate,runnerup_party_abbreviation,runnerup_votes,margin_votes,margin_pct
gogunda,gogunda,UDAIPUR,ST,529618,193470,36.5301,3527,Pratap Lal Bheel,BJP,87827,Dr. Mangi Lal Garasiya,INC,84162,3665,1.8944
gudha-malani,gudamalani,BARMER,GEN,540268,217958,40.3426,2358,KRISHAN KUMAR K.K. VISHNOI,BJP,107632,COL. SONARAM CHOUDHARY,INC,92415,15217,6.9816
hanumangarh,hanumangarh,HANUMANGARH,GEN,595534,239508,40.2174,1715,GANESHRAJ BANSAL,IND,89323,AMIT SAHU,BJP,79625,9698,4.0491
hawamahal,Hawa Mahal,,GEN,508801,193710,38.0719,1463,BALMUKUNDACHARY,BJP,95989,R.R. TIWARI,INC,95015,974,0.5028
hindaun,hindun,KARAULI,SC,553810,185732,33.5371,1686,ANITA JATAV,INC,91627,RAJKUMARI JATAV,BJP,53351,38276,20.6082
hindoli,hindoli,BUNDI,GEN,547162,222130,40.5968,2861,ASHOK,INC,127354,PRABHU LAL SAINI,BJP,82350,45004,20.2602
jahazpur,jahajpur,BHILWARA,GEN,495782,197943,39.9254,2542,GOPICHAND MEENA,BJP,96933,DHIRAJ GURJAR,INC,96353,580,0.293
jaisalmer,jaisalmer,JAISALMER,GEN,506830,197237,38.9158,1602,CHHOTUSINGH,BJP,104636,RUPARAM,INC,85949,18687,9.4744
jaitaran,jaitaaran,PALI,GEN,617872,210407,34.0535,3060,AVINASH GEHLOT,BJP,66277,SURENDRA GOYAL,INC,52751,13526,6.4285
jalore,jalaur,JALORE,SC,575908,178919,31.0673,3177,JOGESHWAR GARG,BJP,84519,RAMILA MEGHWAL,INC,64983,19536,10.9189
jamwa-ramgarh,jamawaramgarh,JAIPUR,ST,464434,178271,38.3846,1438,MAHENDRA PAL MEENA,BJP,100041,GOPAL LAL MEENA,INC,61614,38427,21.5554
jayal,jaayal,NAGAUR,SC,524798,177583,33.8384,2200,Dr. Manju Baghmar,BJP,70468,Dr. Manju Devi,INC,68903,1565,0.8813
jhadol,jhaadol,UDAIPUR,ST,546986,212258,38.805,6488,Babulal Kharadi,BJP,76537,Heeralal Darangi,INC,70049,6488,3.0567
jhalrapatan,jhalarapatan,JHALAWAR,GEN,595824,230077,38.6149,3194,Vasundhara Raje,BJP,138831,Ramlal,INC,85638,53193,23.1197
jhotwara,jhotwada,JAIPUR,GEN,858069,308681,35.9739,1111,COL. RAJYAVARDHAN RATHORE,BJP,147913,ABHISHEK CHOUDHARY,INC,97746,50167,16.2521
jhunjhunu,jhunjhunu,JHUNJHUNU,GEN,544706,193757,35.5709,1385,Brijendra Singh Ola,INC,86798,Nisheet Kumar,BJP,57935,28863,14.8965
jodhpur,jodhpur,JODHPUR,GEN,399396,131166,32.8411,844,ATUL BHANSALI,BJP,71192,MANISHA PANWAR,INC,57667,13525,10.3114
kaman,kama,BHARATPUR,GEN,531598,206906,38.9215,1076,NAUKSHAM,BJP,78646,MUKHTYAR AHMAD,IND,64740,13906,6.7209
kapasan,kapaasana,CHITTORGARH,SC,539448,198913,36.8734,2845,ARJUN LAL JINGAR,BJP,84778,SHANKAR LAL BERWA,INC,63434,21344,10.7303
karanpur,karanpur,GANGANAGAR,GEN,240827,194552,80.785,1034,RUPINDER SINGH KOONER,INC,94950,SURENDERPAL SINGH,BJP,83667,11283,5.7995
karauli,karauli,KARAULI,GEN,513826,193759,37.7091,1135,DARSHAN SINGH,BJP,89666,LAKHAN SINGH,INC,87483,2183,1.1267
kathumar,kathu mar,ALWAR,SC,458798,163651,35.6695,738,RAMESH KHINCHI,BJP,79756,SANJNA,INC,79347,409,0.2499
kekri,ke kadi,AJMER,GEN,523492,198808,37.9773,1547,SHATRUGHAN GAUTAM,BJP,99671,DR. RAGHU SHARMA,INC,92129,7542,3.7936
keshoraipatan,ke shoraipatan,BUNDI,SC,555720,203078,36.5432,2947,CHUNNILAL C.L. PREMI BAIRWA,INC,101541,CHANDRAKANTA MEGHWAL,BJP,84454,17087,8.414
khajuwala,khajuwala,BIKANER,SC,473676,175289,37.0061,2062,DR VISHWANATH MEGHWAL,BJP,91276,GOVINDRAM MEGHWAL,INC,73902,17374,9.9116
khandar,khandar,SAWAI MADHOPUR,SC,495658,178197,35.9516,2056,JITENDRA KUMAR GOTHWAL,BJP,92059,ASHOK,INC,78044,14015,7.8649
khandela,khandela,SIKAR,GEN,535008,202558,37.8607,1445,SUBHASH MEEL,BJP,114236,MAHADEV SINGH,INC,71597,42639,21.0503
khanpur,khanpur,JHALAWAR,GEN,494308,200958,40.6544,2106,SURESH GURJAR,INC,101045,NARENDRA NAGAR,BJP,92620,8425,4.1924
kherwara,kherwada,UDAIPUR,ST,595418,215913,36.2624,3265,Dr. Dayaram Parmar,INC,77342,Nana Lal Ahari,BJP,60098,17244,7.9866
khetri,khetadi,JHUNJHUNU,GEN,455704,167812,36.8248,1013,DHARMPAL,BJP,70597,MANOJ GHUMARIA,BSP,61483,9114,5.4311
khinwsar,khinvsar,NAGAUR,GEN,566104,207231,36.6065,2130,HANUMAN BENIWAL,RLP,79492,REWANT RAM DANGA,BJP,77433,2059,0.9936
kishanganj,kishanganj,BARAN,ST,463354,188314,40.6415,2322,LALIT MEENA,BJP,101857,NIRMALA,INC,79576,22281,11.8318
kishangarh,kishangarh,AJMER,GEN,565310,213273,37.7267,3467,VIKASH CHOUDHARY,INC,83645,SURESH TAK,IND,80025,3620,1.6974
kishangarh-bas,kishangadhbaas,ALWAR,GEN,513552,201052,39.1493,1037,DEEPCHAND KHAIRIYA,INC,91916,RAMHET SINGH YADAV,BJP,81420,10496,5.2205
kishanpole,Kishan Pole,,GEN,385316,147843,38.3693,1026,AMIN KAGZI,INC,76611,CHANDRA MANOHAR BATWARA ADVOCATE,BJP,69555,7056,4.7726
kolayat,kolayat,BIKANER,GEN,512368,200162,39.0661,1856,ANSHUMAN SINGH BHATI,BJP,101093,BHANWAR SINGH BHATI,INC,68160,32933,16.4532
kota-north,kota uttar,KOTA,GEN,511442,190110,37.1714,1594,SHANTI DHARIWAL,INC,94899,PRAHLAD GUNJAL,BJP,92413,2486,1.3077
kota-south,kota dakshin,KOTA,GEN,489896,181472,37.043,1727,SANDEEP SHARMA,BJP,95393,RAKHI GAUTAM,INC,83431,11962,6.5917
kotputli,kotputli,JAIPUR,GEN,457906,175536,38.3345,930,HANSRAJ PATEL,BJP,67716,RAJENDRA SINGH YADAV,INC,67395,321,0.1829
kumbhalgarh,ku mbhalgarh,RAJSAMAND,GEN,452920,154001,34.0018,1915,Surendra Singh Rathore,BJP,78133,Yogendra Singh Parmar,INC,56073,22060,14.3246
kushalgarh,ku shalgarh,BANSWARA,ST,529742,230569,43.5248,4410,RAMILA KHADIYA,INC,97480,BHEEMA BHAI,BJP,87676,9804,4.2521
lachmangarh,lakshmanagarh,SIKAR,GEN,560056,214205,38.2471,1552,GOVIND SINGH DOTASRA,INC,113304,SUBHASH MAHARIA,BJP,94334,18970,8.856
ladnun,ladnun,NAGAUR,GEN,538508,191241,35.5131,2499,MUKESH BHAKAR,INC,97229,KARNI SINGH,BJP,81275,15954,8.3424
ladpura,ladpura,KOTA,GEN,580606,220965,38.0577,2440,KALPANA DEVI,BJP,121248,NAIMUDDIN GUDDU,INC,95726,25522,11.5502
lalsot,lalsot,DAUSA,ST,510536,196643,38.517,2419,RAMBILAS,BJP,120962,PARSADILAL,INC,73894,47068,23.9358
lohawat,lohawat,JODHPUR,GEN,536478,206575,38.5058,1913,GAJENDRA SINGH,BJP,81415,KISHNA RAM VISHNOI,INC,70866,10549,5.1066
luni,luni,JODHPUR,GEN,670336,242238,36.1368,1875,JOGARAM PATEL,BJP,123498,MAHENDRA BISHNOI,INC,98820,24678,10.1875
lunkaransar,lunkarnsar,BIKANER,GEN,521770,199979,38.327,1613,SUMIT GODARA,BJP,60452,DR. RAJENDRA MOOND,INC,51583,8869,4.435
mahuwa,mahua,DAUSA,GEN,442600,158665,35.8484,1133,RAJENDRA,BJP,66376,OMPRAKASH HUDLA,INC,58459,7917,4.9898
makrana,makraana,NAGAUR,GEN,543732,204145,37.5452,1673,JAKIR HUSSAIN GESAWAT,INC,96544,SUMITA BHINCHAR,BJP,67230,29314,14.3594
malpura,malpura,TONK,GEN,542716,206615,38.0706,1816,KANHAIYALAL,BJP,85915,GHASI LAL CHOUDHARY,INC,69726,16189,7.8353
malviya-nagar,malviya nagar,JAIPUR,GEN,434003,151008,34.7942,1598,KALICHARAN SARAF,BJP,92506,ARCHANA SHARMA,INC,57012,35494,23.5047
mandal,mandal,BHILWARA,GEN,542266,219974,40.5657,2248,UDAI LAL BHADANA,BJP,126291,RAM LAL JAT,INC,90413,35878,16.3101
