constituency_slug,constituency_name,district,category,candidate_slug,candidate_name,party_slug,party_abbreviation,votes,vote_share_pct,position,won
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425135,KUNDAN VAISHNAV,ind,IND,1971,1.3886,4,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425129,RAMESH KUMAR TEHLANI,aap,AAP,688,0.4847,5,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425133,DEVENDRA,rtorp,RTORP,417,0.2938,6,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425131,SUSHILA,bsp-2,BSP,301,0.2121,7,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425138,BALVEER SINGH SHEKHAWAT,ind,IND,282,0.1987,8,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425132,HARIRAM,rlp-3,RLP,216,0.1522,9,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425139,LAL SINGH,ind,IND,200,0.1409,10,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425134,MEWALAL,apoi,APOI,183,0.1289,11,0
ajmer-north,ajmer uttar,AJMER,GEN,c-ac-425137,DAYA MOHAN GARG,ind,IND,182,0.1282,12,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425140,ANITA BHADEL,bjp,BJP,71319,50.8223,1,1
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425141,DR. DROPDI KOLI,inc,INC,66873,47.6541,2,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425148,VINOD KUMAR,ind,IND,456,0.3249,3,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425142,PARMESHWAR LAL KATARIYA,rlp-3,RLP,440,0.3135,4,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425143,RAVINDRA (RAVI BALOTIYA),aap,AAP,362,0.258,5,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425144,HEMANT KUMAR SOLANKI,bsp-2,BSP,297,0.2116,6,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425147,HITESH SHAKYA,rtorp,RTORP,220,0.1568,7,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425146,VIJAY  KHERALIYA,nfp,NFP,208,0.1482,8,0
ajmer-south,ajmer dakshin,AJMER,SC,c-ac-425145,PINKY KHORWAL,rpg,RPG,155,0.1105,9,0
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425151,Tikaram Jully,inc,INC,108584,55.5622,1,1
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425150,Jairam Jatav,bjp,BJP,81251,41.5759,2,0
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425149,Jagdish Prasad,bsp-2,BSP,1617,0.8274,3,0
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425152,Mahavir  Prasad Rajoria,aap,AAP,1604,0.8208,4,0
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425153,Mukesh Kumar,rlp-3,RLP,979,0.501,5,0
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425154,Nisha Devi,ind,IND,794,0.4063,6,0
alwar-rural,alvar gramin,ALWAR,SC,c-ac-425155,Meena Kumari,ind,IND,599,0.3065,7,0
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425158,SANJAY SHARMA,bjp,BJP,90504,51.8443,1,1
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425156,AJAY AGARWAL,inc,INC,81417,46.6389,2,0
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425157,NEHA SHARMA,bsp-2,BSP,1076,0.6164,3,0
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425160,BHARAT BHUSHAN,ind,IND,634,0.3632,4,0
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425161,DR. MAHESH VERMA,ind,IND,449,0.2572,5,0
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425159,PANNA LAL,ind,IND,325,0.1862,6,0
alwar-urban,alvar shahari,ALWAR,GEN,c-ac-425162,SUNIL KUMAR AGARWAL,ind,IND,164,0.0939,7,0
amber,amer,JAIPUR,GEN,c-ac-425164,PRASHANT SHARMA,inc,INC,108914,48.2736,1,1
amber,amer,JAIPUR,GEN,c-ac-425167,SATISH POONIA,bjp,BJP,99822,44.2438,2,0
amber,amer,JAIPUR,GEN,c-ac-425166,VINOD JAT,rlp-3,RLP,4326,1.9174,3,0
amber,amer,JAIPUR,GEN,c-ac-425176,RAJ KUMAR SHARMA,ind,IND,2585,1.1457,4,0
amber,amer,JAIPUR,GEN,c-ac-425169,OM PRAKASH SAINI,ind,IND,2202,0.976,5,0
amber,amer,JAIPUR,GEN,c-ac-425163,P. S. TOMAR,aap,AAP,1412,0.6258,6,0
amber,amer,JAIPUR,GEN,c-ac-425175,RAVINDER KUMAR YADAV,ind,IND,1343,0.5953,7,0
amber,amer,JAIPUR,GEN,c-ac-425177,HEM CHAND SAINI,ind,IND,1010,0.4477,8,0
amber,amer,JAIPUR,GEN,c-ac-425165,MUKESH KUMAR SHARMA,bsp-2,BSP,879,0.3896,9,0
amber,amer,JAIPUR,GEN,c-ac-425170,KALU RAM BHAWARIYA,ind,IND,795,0.3524,10,0
amber,amer,JAIPUR,GEN,c-ac-425174,MOHD SHAFIQUE,ind,IND,772,0.3422,11,0
amber,amer,JAIPUR,GEN,c-ac-425168,AYYUB KURESHI,aam-aadmi-parivartan-party,AAMAADMIPARI,689,0.3054,12,0
amber,amer,JAIPUR,GEN,c-ac-425171,KISHAN LAL JANGID,ind,IND,326,0.1445,13,0
amber,amer,JAIPUR,GEN,c-ac-425173,MURARI LAL MEENA,ind,IND,309,0.137,14,0
amber,amer,JAIPUR,GEN,c-ac-425172,PRAKASH KUMAR SHARMA,ind,IND,234,0.1037,15,0
anta,anta,BARAN,GEN,c-ac-425179,KANWARLAL,bjp,BJP,87390,49.9963,1,1
anta,anta,BARAN,GEN,c-ac-425182,PRAMOD JAIN,inc,INC,81529,46.6432,2,0
anta,anta,BARAN,GEN,c-ac-425178,OM PRAKASH GOCHAR,aap,AAP,1334,0.7632,3,0
anta,anta,BARAN,GEN,c-ac-425183,DHANRAJ,ind,IND,1159,0.6631,4,0
anta,anta,BARAN,GEN,c-ac-425180,KARAMAT,rlp-3,RLP,934,0.5343,5,0
anta,anta,BARAN,GEN,c-ac-425188,YOGENDRA BAIRWA,ind,IND,568,0.325,6,0
anta,anta,BARAN,GEN,c-ac-425181,DINESH,bsp-2,BSP,530,0.3032,7,0
anta,anta,BARAN,GEN,c-ac-425185,PURUSHOTTAM SUMAN,ind,IND,393,0.2248,8,0
anta,anta,BARAN,GEN,c-ac-425187,BHUVNESH KUMAR,ind,IND,368,0.2105,9,0
anta,anta,BARAN,GEN,c-ac-425184,NAUSHAD,ind,IND,313,0.1791,10,0
anta,anta,BARAN,GEN,c-ac-425186,BANWARI,ind,IND,275,0.1573,11,0
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425190,SHIMLA DEVI,inc,INC,102746,53.6967,1,1
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425192,SANTOSH BAWRI,bjp,BJP,64865,33.8995,2,0
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425195,SHIMLA BAWRI,ind,IND,10933,5.7138,3,0
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425191,SHOBHA SINGH,cpi-m,CPI(M),8886,4.644,4,0
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425189,KRISHAN LAL MAGWAL,bsp-2,BSP,1637,0.8555,5,0
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425193,SUNDER PAL,rlp-3,RLP,1609,0.8409,6,0
anupgarh,anupgarh,GANGANAGAR,SC,c-ac-425194,OMPRAKASH,mkad,MKAD,669,0.3496,7,0
asind,asind,BHILWARA,GEN,c-ac-425196,Jabbar Singh Sankhala,bjp,BJP,74586,33.905,1,1
