entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-S22-AC-2008-24-AcGenMay2026-C05,2026,AcGenMay2026,5,candidate-votes-polled,124.0,,src-3da941c21223,raw
IN-S22-AC-2008-25-AcGenApr2021-C01,2021,AcGenApr2021,5,candidate-votes-polled,68392.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C02,2021,AcGenApr2021,5,candidate-votes-polled,55759.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C03,2021,AcGenApr2021,5,candidate-votes-polled,14904.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C04,2021,AcGenApr2021,5,candidate-votes-polled,10124.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C05,2021,AcGenApr2021,5,candidate-votes-polled,1118.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C06,2021,AcGenApr2021,5,candidate-votes-polled,413.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C07,2021,AcGenApr2021,5,candidate-votes-polled,203.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C08,2021,AcGenApr2021,5,candidate-votes-polled,181.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C09,2021,AcGenApr2021,5,candidate-votes-polled,129.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C10,2021,AcGenApr2021,5,candidate-votes-polled,117.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C11,2021,AcGenApr2021,5,candidate-votes-polled,113.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C12,2021,AcGenApr2021,5,candidate-votes-polled,112.0,,src-4c63b70dbcf5,raw
IN-S22-AC-2008-25-AcGenApr2021-C13,2021,AcGenApr2021,5,candidate-votes-polled,93.0,,src-4c63b70dbcf5,raw
