party_abbreviation,party_full_name,slug,iv_type,ls_seats_won,vs_seats_won,contested,active_period_from,active_period_to,iv_url,source_lane,notes
KPPU,Kamatapur People’s Party (United),kppu,,,,,,,https://www.indiavotes.com/parties/kppu/,probe,probe-from-label='KPPU'
KS,Kalinga Sena,ks,,,,,,,https://www.indiavotes.com/parties/ks/,probe,probe-from-label='KS'
LAD,Lok Awaz Dal,lad,,,,,,,https://www.indiavotes.com/parties/lad/,probe,probe-from-label='LAD'
LGJNPSCL,Log Jan Party - Secular,lgjnpscl,,,,,,,https://www.indiavotes.com/parties/lgjnpscl/,probe,probe-from-label='LGJNPSCL'
LIP,Lok Insaaf Party,lip,,,,,,,https://www.indiavotes.com/parties/lip/,probe,probe-from-label='LIP'
LJP,Lok Jan Shakti Party,ljp,state,12,46,"1,793",2005,2023,https://www.indiavotes.com/parties/ljp/,listing,
LKD,Lok Dal,lkd,national,3,252,"1,778",1980,2022,https://www.indiavotes.com/parties/lkd/,listing,
LOG-PARTY,Log Party,log-party,,,,,,,https://www.indiavotes.com/parties/log-party/,probe,probe-from-label='Log Party'
LOK-JANSHAKTI-PARTY-RAM-VILAS,Lok Janshakti Party(Ram Vilas),lok-janshakti-party-ram-vilas,,,,,,,https://www.indiavotes.com/parties/lok-janshakti-party-ram-vilas/,probe,probe-from-label='Lok Janshakti Party(Ram Vilas)'
LSSP,Loktantrik Sarvjan Samaj Party,lssp,,,,,,,https://www.indiavotes.com/parties/lssp/,probe,probe-from-label='LSSP'
LTSD,Loktantrik Samata Dal,ltsd,,,,,,,https://www.indiavotes.com/parties/ltsd/,probe,probe-from-label='LTSD'
MADP,Moulik Adhikar Party,madp,,,,,,,https://www.indiavotes.com/parties/madp/,probe,probe-from-label='MADP'
MAG,Maharashtrawadi Gomantak,mag,state,4,76,287,1971,2022,https://www.indiavotes.com/parties/mag/,listing,
MBCOI,Most Backward Classes Of India,mbcoi,,,,,,,https://www.indiavotes.com/parties/mbcoi/,probe,probe-from-label='MBCOI'
MCO,Marxist Coordination,mco,,,,,,,https://www.indiavotes.com/parties/mco/,probe,probe-from-label='MCO'
MCPI,Marxist Communist Partyof India (Srivastava),mcpi,,,,,,,https://www.indiavotes.com/parties/mcpi/,probe,probe-from-label='MCPI'
MCPI-S,Marxist Communist Party Of India (S.S.Srivastava),mcpi-s,,,,,,,https://www.indiavotes.com/parties/mcpi-s/,probe,probe-from-label='MCPI(S)'
MD,Mahan Dal,md,,,,,,,https://www.indiavotes.com/parties/md/,probe,probe-from-label='MD'
MNF,Mizo National Front,mnf,state,2,114,302,1989,2024,https://www.indiavotes.com/parties/mnf/,listing,
MSCP,Manipur State Congress Party,mscp,,,,,,,https://www.indiavotes.com/parties/mscp/,probe,probe-from-label='MSCP'
MUL,Muslim Leage,mul,state,16,92,446,1967,1996,https://www.indiavotes.com/parties/mul/,listing,
NCP,Nationalist Congress Party,ncp,national,38,430,"4,029",1999,2026,https://www.indiavotes.com/parties/ncp/,listing,
NIP,New India Party,nip,,,,,,,https://www.indiavotes.com/parties/nip/,probe,probe-from-label='NIP'
NPF,Naga Peoples Front,npf-2,state,2,78,170,2012,2024,https://www.indiavotes.com/parties/npf-2/,listing,
NRCP,Navarang Congress Party,nrcp,,,,,,,https://www.indiavotes.com/parties/nrcp/,probe,probe-from-label='NRCP'
NSAM,Navjawan Sangharsh Morcha,nsam,,,,,,,https://www.indiavotes.com/parties/nsam/,probe,probe-from-label='NSAM'
PDCI,People's Democratic Conference of India,pdci,,,,,,,https://www.indiavotes.com/parties/pdci/,probe,probe-from-label='PDCI'
PDF,Peoples Democratic Front,pdf,,,,,,,https://www.indiavotes.com/parties/pdf/,probe,probe-from-label='PDF'
PDS,Party for Democratic Socialism,pds,,,,,,,https://www.indiavotes.com/parties/pds/,probe,probe-from-label='PDS'
PLC,Punjab Lok Congress Party,plc,,,,,,,https://www.indiavotes.com/parties/plc/,probe,probe-from-label='PLC'
PMK,Pattali Makkal Katchi,pmk,state,16,58,901,1989,2026,https://www.indiavotes.com/parties/pmk/,listing,
PMSP,Pragtisheel Manav Samaj Party,pmsp,,,,,,,https://www.indiavotes.com/parties/pmsp/,probe,probe-from-label='PMSP'
PPOI,Pyramid Party of India,ppoi,,,,,,,https://www.indiavotes.com/parties/ppoi/,probe,probe-from-label='PPOI'
PRAJA-VIJAY-PAKSH,Praja Vijay Paksh,praja-vijay-paksh,,,,,,,https://www.indiavotes.com/parties/praja-vijay-paksh/,probe,probe-from-label='Praja Vijay Paksh'
PRAP,Praja Rajyam Party,prap,,,,,,,https://www.indiavotes.com/parties/prap/,probe,probe-from-label='PRAP'
PRSHP,Praja Shanthi Party,prshp,,,,,,,https://www.indiavotes.com/parties/prshp/,probe,probe-from-label='PRSHP'
PRSP,Prajatantrik Samadhan Party,prsp,,,,,,,https://www.indiavotes.com/parties/prsp/,probe,probe-from-label='PRSP'
PSPL,Pragatishil Samajwadi Party (Lohia),pspl,,,,,,,https://www.indiavotes.com/parties/pspl/,probe,probe-from-label='PSPL'
PSS,Pratap Shiv Sena,pss,,,,,,,https://www.indiavotes.com/parties/pss/,probe,probe-from-label='PSS'
PWP,Peasants & Workers Party,pwp,state,14,49,318,1952,1995,https://www.indiavotes.com/parties/pwp/,listing,
QED,Quami Ekta Dal,qed,,,,,,,https://www.indiavotes.com/parties/qed/,probe,probe-from-label='QED'
RADP,Rashtriya Alpsankhyak Dalit Party,radp,,,,,,,https://www.indiavotes.com/parties/radp/,probe,probe-from-label='RADP'
RAHS,Rashtriya Hindustan Sena Karnataka,rahs,,,,,,,https://www.indiavotes.com/parties/rahs/,probe,probe-from-label='RAHS'
RARS,Rashtriya Arya Raj Sabha,rars,,,,,,,https://www.indiavotes.com/parties/rars/,probe,probe-from-label='RARS'
RDHP,Rajyadhikara Party,rdhp,,,,,,,https://www.indiavotes.com/parties/rdhp/,probe,probe-from-label='RDHP'
RDMP,Rashtriya Dehat Morcha Party,rdmp,,,,,,,https://www.indiavotes.com/parties/rdmp/,probe,probe-from-label='RDMP'
RGOP,Rashtriya Gondvana Party,rgop,,,,,,,https://www.indiavotes.com/parties/rgop/,probe,probe-from-label='RGOP'
RJD,Rashtriya Janata Dal,rjd,state,60,479,"2,150",1998,2026,https://www.indiavotes.com/parties/rjd/,listing,
RJPK,Rashtriya Janwadi Party (Krantikari),rjpk,,,,,,,https://www.indiavotes.com/parties/rjpk/,probe,probe-from-label='RJPK'
RJVP,Rajasthan Vikash Party,rjvp,,,,,,,https://www.indiavotes.com/parties/rjvp/,probe,probe-from-label='RJVP'
RLD,Rashtriya Lok Dal,rld,state,12,44,"1,066",1999,2024,https://www.indiavotes.com/parties/rld/,listing,
RLM,Rashtriya lokmanch,rlm,,,,,,,https://www.indiavotes.com/parties/rlm/,probe,probe-from-label='RLM'
RLNP,Rashtriya Lok Nirman Party,rlnp,,,,,,,https://www.indiavotes.com/parties/rlnp/,probe,probe-from-label='RLNP'
RPD,Rashtriya Parivartan Dal,rpd,,,,,,,https://www.indiavotes.com/parties/rpd/,probe,probe-from-label='RPD'
RSBP,Rashtriya Swabhimaan Party,rsbp,,,,,,,https://www.indiavotes.com/parties/rsbp/,probe,probe-from-label='RSBP'
RSMD,Rashtriya Samanta Dal,rsmd,,,,,,,https://www.indiavotes.com/parties/rsmd/,probe,probe-from-label='RSMD'
RSOSP,Rashtriya Shoshit Samaj Party,rsosp,,,,,,,https://www.indiavotes.com/parties/rsosp/,probe,probe-from-label='RSOSP'
RSP,Revolutionary Socialist Party,rsp,state,46,189,497,1952,2022,https://www.indiavotes.com/parties/rsp/,listing,
RSTJLKPS,Rashtrawadi Janlok Party (Satya),rstjlkps,,,,,,,https://www.indiavotes.com/parties/rstjlkps/,probe,probe-from-label='RSTJLKPS'
RSWD,Rashtra Sewa Dal,rswd,,,,,,,https://www.indiavotes.com/parties/rswd/,probe,probe-from-label='RSWD'
RTKP,Rashtriya Kranti Party,rtkp,,,,,,,https://www.indiavotes.com/parties/rtkp/,probe,probe-from-label='RTKP'
RVLP,Rashtriya Viklang Party,rvlp,,,,,,,https://www.indiavotes.com/parties/rvlp/,probe,probe-from-label='RVLP'
SAD,Shiromani Akali Dal,sad,state,59,412,"1,009",1952,2024,https://www.indiavotes.com/parties/sad/,listing,
SAJP,Samajwadi Janata Party(Karnataka),sajp,,,,,,,https://www.indiavotes.com/parties/sajp/,probe,probe-from-label='SAJP'
SAMO,Samruddha Odisha,samo,,,,,,,https://www.indiavotes.com/parties/samo/,probe,probe-from-label='SAMO'
SAP,Samata Party,sap,registered_unrecognised,20,49,"1,340",1994,2026,https://www.indiavotes.com/parties/sap/,listing,
SDF,Sikkim Democratic Front,sdf,state,6,143,199,1994,2024,https://www.indiavotes.com/parties/sdf/,listing,
SGPP,Sikkim Gorkha Prajatantric Party,sgpp,,,,,,,https://www.indiavotes.com/parties/sgpp/,probe,probe-from-label='SGPP'
SHS,Shiv Sena,shs,state,107,476,"4,035",1971,2024,https://www.indiavotes.com/parties/shs/,listing,
SJPA,Sarva Janata Party,sjpa,,,,,,,https://www.indiavotes.com/parties/sjpa/,probe,probe-from-label='SJPA'
SKD,Sampooran Kranti Das,skd,,,,,,,https://www.indiavotes.com/parties/skd/,probe,probe-from-label='SKD'
SKLP,Sarvajan Kalyan Loktantrik Party,sklp,,,,,,,https://www.indiavotes.com/parties/sklp/,probe,probe-from-label='SKLP'
SKP,S.K. Paksha,skp,,,,,,,https://www.indiavotes.com/parties/skp/,probe,probe-from-label='SKP'
SMBHP,Smast Bhartiya Party,smbhp,,,,,,,https://www.indiavotes.com/parties/smbhp/,probe,probe-from-label='SMBHP'
SP,Samajwadi Party,sp,state,169,883,"7,696",1993,2024,https://www.indiavotes.com/parties/sp/,listing,
SSP,Sikkim Sangram Parishad,ssp-2,registered_unrecognised,2,79,140,1985,2004,https://www.indiavotes.com/parties/ssp-2/,listing,
SUP,Surajya Party,sup,,,,,,,https://www.indiavotes.com/parties/sup/,probe,probe-from-label='SUP'
SWA,Swatantra,swa,national,70,0,410,1962,1971,https://www.indiavotes.com/parties/swa/,listing,
TDP,Telugu Desam,tdp,state,148,954,"2,273",1983,2024,https://www.indiavotes.com/parties/tdp/,listing,
TMC(M),Tamil Maanila Congress (Moopanar),tmc-m,state,23,69,155,1996,2024,https://www.indiavotes.com/parties/tmc-m/,listing,
TPLRSP,The Plurals Party,tplrsp,,,,,,,https://www.indiavotes.com/parties/tplrsp/,probe,probe-from-label='TPLRSP'
TPPP,Trilinga Praja Pragati Party,tppp,,,,,,,https://www.indiavotes.com/parties/tppp/,probe,probe-from-label='TPPP'
TRS,Telangana Rashtra Samithi,trs,state,27,187,402,2004,2019,https://www.indiavotes.com/parties/trs/,listing,
TVK,Tamilaga Vettri Kazhagam,tvk,other,0,110,261,2026,2026,https://www.indiavotes.com/parties/tvk/,listing,
UDP,United Democratic Party,udp,state,0,54,247,1998,2024,https://www.indiavotes.com/parties/udp/,listing,
UGDP,United Goans Democratic Party,ugdp,,,,,,,https://www.indiavotes.com/parties/ugdp/,probe,probe-from-label='UGDP'
UKDP,Uttarakhand Kranti Dal(P),ukdp,,,,,,,https://www.indiavotes.com/parties/ukdp/,probe,probe-from-label='UKDP'
UPP,Uttarakhand Parivartan Party,upp,,,,,,,https://www.indiavotes.com/parties/upp/,probe,probe-from-label='UPP'
UTTAMA-PRAJAAKEEYA-PARTY,Uttama Prajaakeeya Party,uttama-prajaakeeya-party,,,,,,,https://www.indiavotes.com/parties/uttama-prajaakeeya-party/,probe,probe-from-label='Uttama Prajaakeeya Party'
VAJP,Vanchit Jamat Party,vajp,,,,,,,https://www.indiavotes.com/parties/vajp/,probe,probe-from-label='VAJP'
VIP,Vanchitsamaj Insaaf Party,vip,,,,,,,https://www.indiavotes.com/parties/vip/,probe,probe-from-label='VIP'
VOTERS-PARTY-INTERNATIONAL,Voters Party International,voters-party-international,,,,,,,https://www.indiavotes.com/parties/voters-party-international/,probe,probe-from-label='Voters Party  International'
YSRCP,Yuvajana Sramika Rythu Congress Party,ysrcp,registered_unrecognised,35,221,529,2014,2024,https://www.indiavotes.com/parties/ysrcp/,listing,
