entity_id,time,primary_source,value,source_id
IN,2005,coal,205.62979862743686,src-1d5665f61d9f
IN,2005,gas,38.345536293187344,src-1d5665f61d9f
IN,2005,hydro,8.86058,src-1d5665f61d9f
IN,2005,nuclear,4.49258787878788,src-1d5665f61d9f
IN,2005,oil,121.94609508333329,src-1d5665f61d9f
IN,2005,renewable,0.590218,src-1d5665f61d9f
IN,2006,coal,216.9712522023961,src-1d5665f61d9f
IN,2006,gas,40.0125341175487,src-1d5665f61d9f
IN,2006,hydro,9.798324,src-1d5665f61d9f
IN,2006,nuclear,4.84909696969697,src-1d5665f61d9f
IN,2006,oil,128.712378,src-1d5665f61d9f
IN,2006,renewable,0.866536,src-1d5665f61d9f
IN,2007,coal,233.5187631364839,src-1d5665f61d9f
IN,2007,gas,42.17343312712892,src-1d5665f61d9f
IN,2007,hydro,10.670708,src-1d5665f61d9f
IN,2007,nuclear,4.37218787878788,src-1d5665f61d9f
IN,2007,oil,136.35150625,src-1d5665f61d9f
IN,2007,renewable,2.283816,src-1d5665f61d9f
IN,2008,coal,252.92680895022676,src-1d5665f61d9f
IN,2008,gas,42.25985403345499,src-1d5665f61d9f
IN,2008,hydro,9.737522,src-1d5665f61d9f
IN,2008,nuclear,3.83429696969697,src-1d5665f61d9f
IN,2008,oil,143.01853933333334,src-1d5665f61d9f
IN,2008,renewable,2.678384,src-1d5665f61d9f
IN,2009,coal,280.90327578441435,src-1d5665f61d9f
IN,2009,gas,57.8084708765206,src-1d5665f61d9f
IN,2009,hydro,9.187466,src-1d5665f61d9f
IN,2009,nuclear,4.85665454545454,src-1d5665f61d9f
IN,2009,oil,155.78844691666671,src-1d5665f61d9f
IN,2009,renewable,3.117586,src-1d5665f61d9f
IN,2010,coal,279.3007496042009,src-1d5665f61d9f
IN,2010,gas,62.71981900114052,src-1d5665f61d9f
IN,2010,hydro,9.838916,src-1d5665f61d9f
IN,2010,nuclear,6.84507878787879,src-1d5665f61d9f
IN,2010,oil,159.6009950833333,src-1d5665f61d9f
IN,2010,renewable,3.70703,src-1d5665f61d9f
IN,2011,coal,304.77586824150563,src-1d5665f61d9f
IN,2011,gas,63.66739878042658,src-1d5665f61d9f
IN,2011,hydro,11.235298,src-1d5665f61d9f
IN,2011,nuclear,8.41418787878788,src-1d5665f61d9f
IN,2011,oil,165.63134583333328,src-1d5665f61d9f
IN,2011,renewable,4.563762,src-1d5665f61d9f
IN,2012,coal,326.3399522809559,src-1d5665f61d9f
IN,2012,gas,56.36947817563445,src-1d5665f61d9f
IN,2012,hydro,9.790068,src-1d5665f61d9f
