entity_id,time,primary_source,value,source_id
IN,2012,nuclear,8.56507878787879,src-1d5665f61d9f
IN,2012,oil,177.5393059166667,src-1d5665f61d9f
IN,2012,renewable,5.171696,src-1d5665f61d9f
IN,2013,coal,340.1946458012594,src-1d5665f61d9f
IN,2013,gas,50.93912939525027,src-1d5665f61d9f
IN,2013,hydro,11.608022,src-1d5665f61d9f
IN,2013,nuclear,8.92002424242424,src-1d5665f61d9f
IN,2013,oil,177.70249933333332,src-1d5665f61d9f
IN,2013,renewable,5.799152,src-1d5665f61d9f
IN,2014,coal,384.39066065596285,src-1d5665f61d9f
IN,2014,gas,49.480811597680486,src-1d5665f61d9f
IN,2014,hydro,11.127368,src-1d5665f61d9f
IN,2014,nuclear,9.4084,src-1d5665f61d9f
IN,2014,oil,188.11588316666666,src-1d5665f61d9f
IN,2014,renewable,7.019406,src-1d5665f61d9f
IN,2015,coal,387.6636170547753,src-1d5665f61d9f
IN,2015,gas,49.39660632473872,src-1d5665f61d9f
IN,2015,hydro,10.447882,src-1d5665f61d9f
IN,2015,nuclear,9.75031515151515,src-1d5665f61d9f
IN,2015,oil,209.4305726666667,src-1d5665f61d9f
IN,2015,renewable,7.645572,src-1d5665f61d9f
IN,2016,coal,384.9984117211331,src-1d5665f61d9f
IN,2016,gas,53.222484681973626,src-1d5665f61d9f
IN,2016,hydro,10.536806,src-1d5665f61d9f
IN,2016,nuclear,9.88113939393939,src-1d5665f61d9f
IN,2016,oil,226.0922014166667,src-1d5665f61d9f
IN,2016,renewable,7.20895,src-1d5665f61d9f
IN,2017,coal,396.190543232957,src-1d5665f61d9f
IN,2017,gas,56.92318755410765,src-1d5665f61d9f
IN,2017,hydro,10.85621,src-1d5665f61d9f
IN,2017,nuclear,9.9932,src-1d5665f61d9f
IN,2017,oil,230.2524774166667,src-1d5665f61d9f
IN,2017,renewable,8.958448,src-1d5665f61d9f
IN,2018,coal,431.0342755190427,src-1d5665f61d9f
IN,2018,gas,58.81669089767716,src-1d5665f61d9f
IN,2018,hydro,11.624104,src-1d5665f61d9f
IN,2018,nuclear,9.85429696969697,src-1d5665f61d9f
IN,2018,oil,238.57029933333328,src-1d5665f61d9f
IN,2018,renewable,11.217238,src-1d5665f61d9f
IN,2019,coal,435.1259354725056,src-1d5665f61d9f
IN,2019,gas,60.63227244884805,src-1d5665f61d9f
IN,2019,hydro,13.426062,src-1d5665f61d9f
IN,2019,nuclear,12.1108848484848,src-1d5665f61d9f
IN,2019,oil,237.80879975000005,src-1d5665f61d9f
IN,2019,renewable,12.439642,src-1d5665f61d9f
IN,2020,coal,407.8130954978078,src-1d5665f61d9f
IN,2020,gas,58.92641981489973,src-1d5665f61d9f
IN,2020,hydro,12.95496432,src-1d5665f61d9f
IN,2020,nuclear,11.2136181818182,src-1d5665f61d9f
IN,2020,oil,213.99401675000001,src-1d5665f61d9f
IN,2020,renewable,13.278916,src-1d5665f61d9f
IN,2021,coal,429.87612126008656,src-1d5665f61d9f
IN,2021,gas,62.27507806047818,src-1d5665f61d9f
IN,2021,hydro,13.07059476,src-1d5665f61d9f
IN,2021,nuclear,12.2776727272727,src-1d5665f61d9f
IN,2021,oil,218.8709875833333,src-1d5665f61d9f
IN,2021,renewable,15.28435,src-1d5665f61d9f
IN,2022,coal,490.3007495791374,src-1d5665f61d9f
IN,2022,gas,58.36171040992136,src-1d5665f61d9f
IN,2022,hydro,13.96549442,src-1d5665f61d9f
IN,2022,nuclear,11.9516545454545,src-1d5665f61d9f
IN,2022,oil,252.90561122758933,src-1d5665f61d9f
IN,2022,renewable,18.2526916,src-1d5665f61d9f
IN,2023,coal,547.4298540399096,src-1d5665f61d9f
IN,2023,gas,65.43141412047146,src-1d5665f61d9f
IN,2023,hydro,11.55216414,src-1d5665f61d9f
IN,2023,nuclear,12.4927795757576,src-1d5665f61d9f
IN,2023,oil,257.05541079039625,src-1d5665f61d9f
IN,2023,renewable,20.17006418,src-1d5665f61d9f
IN,2024,coal,554.2496462474134,src-1d5665f61d9f
IN,2024,gas,68.75027445121823,src-1d5665f61d9f
IN,2024,hydro,12.81520228,src-1d5665f61d9f
IN,2024,nuclear,14.7713678181818,src-1d5665f61d9f
IN,2024,oil,262.8793574445724,src-1d5665f61d9f
IN,2024,renewable,23.03159034,src-1d5665f61d9f
