indicator_id,name,concept_id,unit,derivation,topic,source_id,update_period_days,time_min,time_max,entity_kinds
power-purchase-share-pct-small-hydro,Small-hydro purchase share,small-hydro-purchase-share,percent,,energy,src-1401f8087b0d,365,,,
power-purchase-share-pct-solar,Solar purchase share,solar-purchase-share,percent,,energy,src-1401f8087b0d,365,,,
power-purchase-share-pct-trading-other,Trading & others share,trading-others-share,percent,,energy,src-1401f8087b0d,365,,,
power-purchase-share-pct-wind,Wind purchase share,wind-purchase-share,percent,,energy,src-1401f8087b0d,365,,,
renewable-grid-capacity-mw,Renewable grid capacity,renewable-grid-capacity,MW,,energy,src-1f51c8d742bf,365,,,
rooftop-solar-capacity-mw,Rooftop solar capacity,rooftop-solar-capacity,MW,,energy,src-018bb42f9519,365,,,
rpo-compliance-pct,RPO compliance,rpo-compliance,%,,energy,,365,,,
rpo-compliance-pct-non-solar,Non-solar RPO,non-solar-rpo,%,,energy,src-0ea63ed47704,365,,,
rpo-compliance-pct-solar,Solar RPO,solar-rpo,%,,energy,src-0ea63ed47704,365,,,
rpo-compliance-pct-total,Total RPO,total-rpo,%,,energy,src-0ea63ed47704,365,,,
solar-potential-mw,Solar power potential,solar-energy-potential,MW,,energy,src-518795193989,365,2025,2025,country state
substation-capacity-commissioned-mva,Transmission substation capacity commissioned (MVA),substation-capacity-commissioned,MVA,"Sum of nameplate substation capacity (MVA) commissioned each fiscal year, grouped by governing voltage class (the highest winding voltage of each asset, bucketed into hvdc / 765kv / 400kv / 220kv / other). National only - the feed has no per-state attribution.",energy,src-d9484e65a17e,365,2015,2026,country
turnout-pct,State turnout,state-turnout,%,,elections,,365,,,
under-construction-capacity-gw,Under-construction capacity (pipeline),under-construction-capacity,GW,,energy,src-e0b2a084d204,30,,,
votes-polled,State votes,state-votes,votes,,elections,,365,,,
wind-potential-mw,Wind power potential,wind-energy-potential,MW,,energy,src-36e84f35548b,365,2025,2025,country state
winning-party-id,Winning party,winning-party-state,entity_id,,elections,,365,,,
winning-party-seats,Winning seats,winning-seats,ACs,,elections,,365,,,
