external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
parties.IN.AAP,parties.IN.AAP,Aam Aadmi Party,parties.IN.AAP,parties.IN.AAP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AAPP,parties.IN.AAPP,Apna Dal (Sonelal),parties.IN.AAPP,parties.IN.AAPP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AGP,parties.IN.AGP,Asom Gana Parishad,parties.IN.AGP,parties.IN.AGP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AIADMK,parties.IN.AIADMK,All India Anna Dravida Munnetra Kazhagam,parties.IN.AIADMK,parties.IN.AIADMK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AIADMK_OPS,parties.IN.AIADMK_OPS,All India Anna Dravida Munnetra Kazhagam (OPS),parties.IN.AIADMK_OPS,parties.IN.AIADMK_OPS,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AIFB,parties.IN.AIFB,All India Forward Bloc,parties.IN.AIFB,parties.IN.AIFB,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AIMIM,parties.IN.AIMIM,All India Majlis-e-Ittehadul Muslimeen,parties.IN.AIMIM,parties.IN.AIMIM,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AINRC,parties.IN.AINRC,All India N.R. Congress,parties.IN.AINRC,parties.IN.AINRC,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AITC,parties.IN.AITC,All India Trinamool Congress,parties.IN.AITC,parties.IN.AITC,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AIUDF,parties.IN.AIUDF,All India United Democratic Front,parties.IN.AIUDF,parties.IN.AIUDF,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.AMMK,parties.IN.AMMK,Amma Makkal Munnetra Kazhagam,parties.IN.AMMK,parties.IN.AMMK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
