entity_id,time,sector,fuel,value,source_id
IN,2009,industry,coal,76.73727539023702,src-29ecbb6dce9d
IN,2009,industry,electricity,25.59489,src-29ecbb6dce9d
IN,2009,industry,gas,0.650269654805353,src-29ecbb6dce9d
IN,2009,industry,oil,12.473666,src-29ecbb6dce9d
IN,2009,non-energy,gas,15.0496262925791,src-29ecbb6dce9d
IN,2009,non-energy,oil,15.815511,src-29ecbb6dce9d
IN,2009,other,electricity,2.383232,src-29ecbb6dce9d
IN,2009,other,oil,61.4029665,src-29ecbb6dce9d
IN,2009,residential,electricity,12.19867,src-29ecbb6dce9d
IN,2009,residential,oil,22.352204,src-29ecbb6dce9d
IN,2009,transport,electricity,1.06554,src-29ecbb6dce9d
IN,2009,transport,oil,25.007987,src-29ecbb6dce9d
IN,2010,agriculture,electricity,10.868422,src-29ecbb6dce9d
IN,2010,agriculture,gas,0.178523532542579,src-29ecbb6dce9d
IN,2010,agriculture,oil,0.71138195,src-29ecbb6dce9d
IN,2010,cgd-and-others,gas,10.1499415678224,src-29ecbb6dce9d
IN,2010,commercial,electricity,5.496432,src-29ecbb6dce9d
IN,2010,commercial,oil,1.1829294,src-29ecbb6dce9d
IN,2010,industry,coal,79.87137055178184,src-29ecbb6dce9d
IN,2010,industry,electricity,27.616062,src-29ecbb6dce9d
IN,2010,industry,gas,1.41431337439173,src-29ecbb6dce9d
IN,2010,industry,oil,10.76048255,src-29ecbb6dce9d
IN,2010,non-energy,gas,12.5225470650852,src-29ecbb6dce9d
IN,2010,non-energy,oil,15.9247795,src-29ecbb6dce9d
IN,2010,other,electricity,2.841096,src-29ecbb6dce9d
IN,2010,other,oil,64.747501,src-29ecbb6dce9d
IN,2010,residential,electricity,13.355886,src-29ecbb6dce9d
IN,2010,residential,oil,23.0910984,src-29ecbb6dce9d
IN,2010,transport,electricity,1.145778,src-29ecbb6dce9d
IN,2010,transport,oil,27.2284345,src-29ecbb6dce9d
