state_code,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,winner_party_id_consensus,winner_party_id_per_oracle,winner_candidate_per_oracle,verdict,curator_note,curator_source_id
andhra-pradesh,437,NARSAPURAM,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA)|yen-gov-canonical-pc=BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),VERIFIED,,
andhra-pradesh,438,NELLORE,2,1,yen-gov-canonical-pc,bhukyavenkatamahesh-pc,parties.IN.TDP,bhukyavenkatamahesh-pc=parties.IN.UNK|yen-gov-canonical-pc=parties.IN.TDP,bhukyavenkatamahesh-pc=PRABHAKAR REDDY VEMIREDDY|yen-gov-canonical-pc=PRABHAKAR REDDY VEMIREDDY,DISPUTED,oracles disagreeing on winner_party_id: bhukyavenkatamahesh-pc=parties.IN.UNK,
andhra-pradesh,440,ONGOLE,2,1,yen-gov-canonical-pc,bhukyavenkatamahesh-pc,parties.IN.TDP,bhukyavenkatamahesh-pc=parties.IN.UNK|yen-gov-canonical-pc=parties.IN.TDP,bhukyavenkatamahesh-pc=MAGUNTA SREENIVASULU REDDY|yen-gov-canonical-pc=MAGUNTA SREENIVASULU REDDY,DISPUTED,oracles disagreeing on winner_party_id: bhukyavenkatamahesh-pc=parties.IN.UNK,
andhra-pradesh,442,RAJAHMUNDRY,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=DAGGUBATI PURANDHESHWARI|yen-gov-canonical-pc=DAGGUBATI PURANDHESHWARI,VERIFIED,,
andhra-pradesh,443,RAJAMPET,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.YSRCP,bhukyavenkatamahesh-pc=parties.IN.YSRCP|yen-gov-canonical-pc=parties.IN.YSRCP,bhukyavenkatamahesh-pc=P V MIDHUN REDDY|yen-gov-canonical-pc=P V MIDHUN REDDY,VERIFIED,,
andhra-pradesh,445,SRIKAKULAM,2,1,yen-gov-canonical-pc,bhukyavenkatamahesh-pc,parties.IN.TDP,bhukyavenkatamahesh-pc=parties.IN.UNK|yen-gov-canonical-pc=parties.IN.TDP,bhukyavenkatamahesh-pc=KINJARAPU RAMMOHAN NAIDU|yen-gov-canonical-pc=KINJARAPU RAMMOHAN NAIDU,DISPUTED,oracles disagreeing on winner_party_id: bhukyavenkatamahesh-pc=parties.IN.UNK,
andhra-pradesh,446,THIRUPATHI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.YSRCP,bhukyavenkatamahesh-pc=parties.IN.YSRCP|yen-gov-canonical-pc=parties.IN.YSRCP,bhukyavenkatamahesh-pc=GURUMOORTHY MADDILA|yen-gov-canonical-pc=GURUMOORTHY MADDILA,VERIFIED,,
andhra-pradesh,447,VIJAYAWADA,2,1,yen-gov-canonical-pc,bhukyavenkatamahesh-pc,parties.IN.TDP,bhukyavenkatamahesh-pc=parties.IN.UNK|yen-gov-canonical-pc=parties.IN.TDP,bhukyavenkatamahesh-pc=KESINENI SIVANATH (CHINNI)|yen-gov-canonical-pc=KESINENI SIVANATH (CHINNI),DISPUTED,oracles disagreeing on winner_party_id: bhukyavenkatamahesh-pc=parties.IN.UNK,
andhra-pradesh,448,VISAKHAPATNAM,2,1,yen-gov-canonical-pc,bhukyavenkatamahesh-pc,parties.IN.TDP,bhukyavenkatamahesh-pc=parties.IN.UNK|yen-gov-canonical-pc=parties.IN.TDP,bhukyavenkatamahesh-pc=SRIBHARAT MATHUKUMILI|yen-gov-canonical-pc=SRIBHARAT MATHUKUMILI,DISPUTED,oracles disagreeing on winner_party_id: bhukyavenkatamahesh-pc=parties.IN.UNK,
andhra-pradesh,449,VIZIANAGARAM,2,1,yen-gov-canonical-pc,bhukyavenkatamahesh-pc,parties.IN.TDP,bhukyavenkatamahesh-pc=parties.IN.UNK|yen-gov-canonical-pc=parties.IN.TDP,bhukyavenkatamahesh-pc=APPALANAIDU KALISETTI|yen-gov-canonical-pc=APPALANAIDU KALISETTI,DISPUTED,oracles disagreeing on winner_party_id: bhukyavenkatamahesh-pc=parties.IN.UNK,
