entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-PC-1976-andaman-and-nicobar-islands-1,andaman-and-nicobar-islands,1999,ANDAMAN & NICOBAR ISLANDS,247384,145791,58.93,Bishnu Pada Ray,parties.IN.BJP,BJP,76891,52.74,Manoranjan Bhakta,parties.IN.INC,INC,62944,13947,9.57,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-1,andhra-pradesh,1999,SRIKAKULAM,985232,658100,66.8,Yerrannaidu Kinjarapu,parties.IN.TDP,TDP,373851,56.81,Kanithi Viswanadaham,parties.IN.INC,INC,276969,96882,14.72,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-10,andhra-pradesh,1999,NARASAPUR,1020409,704453,69.04,Uppalapati Venkata Krishnam Raju,parties.IN.BJP,BJP,421099,59.78,Kanumuru Bapiraju,parties.IN.INC,INC,255151,165948,23.56,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-11,andhra-pradesh,1999,ELURU,1147205,834469,72.74,Bolla Bulli Ramaiah,parties.IN.TDP,TDP,435884,52.23,Maganti Venkateswara Rao (Babu),parties.IN.INC,INC,373653,62231,7.45,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-12,andhra-pradesh,1999,MACHILIPATNAM,1006429,711867,70.73,Ambati Brahmanaiah,parties.IN.TDP,TDP,387533,54.44,Kavuru Sambasiva Rao,parties.IN.INC,INC,304537,82996,11.66,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-13,andhra-pradesh,1999,VIJAYAWADA,1384393,929476,67.14,Gadde Rama Mohan,parties.IN.TDP,TDP,482968,51.96,Upendra Parvathaneni,parties.IN.INC,INC,395902,87066,9.37,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-14,andhra-pradesh,1999,TENALI,960447,645601,67.22,Ummareddy Venkateswarlu,parties.IN.TDP,TDP,339800,52.63,P.Shiv Shanker,parties.IN.INC,INC,266771,73029,11.31,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-15,andhra-pradesh,1999,GUNTUR,1239626,781254,63.02,Yemparala Venkateswararao,parties.IN.TDP,TDP,399065,51.08,Rayapati Sambasiva Rao,parties.IN.INC,INC,358735,40330,5.16,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-16,andhra-pradesh,1999,BAPATLA,1077815,715681,66.4,D. Rama Naidu,parties.IN.TDP,TDP,399596,55.83,Jesudasu Seelam,parties.IN.INC,INC,307139,92457,12.91,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-17,andhra-pradesh,1999,NARASARAOPET,1262560,859857,68.1,Janardhanareddy Nedurumalli,parties.IN.INC,INC,432266,50.27,Lal Janbasha S.M,parties.IN.TDP,TDP,418384,13882,1.61,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
