entity_id,year,current_file,proposed_file,formation_event_id
IN-PC-1976-S01-16-LsGenMay2004-C05,2004,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C01,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C02,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C03,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C04,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C05,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C06,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-16-LsGenOct1999-C07,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-17,1999,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-17,2004,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-17-LsGenMay2004-C01,2004,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-17-LsGenMay2004-C02,2004,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
IN-PC-1976-S01-17-LsGenMay2004-C03,2004,datasets/data/datapoints/electoral/andhra-pradesh_election_results.csv,datasets/data/datapoints/electoral/andhra-pradesh-1956-2013_election_results.csv,ap-telangana-2014-bifurcation
