state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
assam,1991,16822818,11,95.1,16,4.9,0,ADC | AJD | AJP | AMB | CPI(ML) | DDP | GGS | IPF | JD(S) | JP | LKD | PTCA | RCPI | RCPI(RB) | SLP | UPCA
assam,1996,18501010,7,95.7,13,4.3,0,AMB | CPI | CPI(ML)(L) | ICS | JD | JP | RCPI(R) | SAP | SHS | SP | UMFA | URMCA | UTNLF
assam,1998,8614795,7,95.2,11,4.8,0,CPI | CPI(ML)(L) | JD | PDF | PTCA | RCPI(R) | RJD | SP | UMF | URMCA | UTNLF
assam,1999,9912467,7,96.1,13,3.9,0,AJBP | AMB | CPI | JD(S) | NCP | PDF | RCPI(R) | RJD | SHS | SP | UBNLF | UMFA | UTNLF
bihar,1962,19803409,7,97.0,4,3.0,0,HMS | JS | RCP | RRP
bihar,1963,29301,2,100.0,0,0.0,0,
bihar,1964,423311,3,97.5,1,2.5,0,JS
bihar,1967,27184785,7,96.8,3,3.2,0,CPM | JKD | RPI
bihar,1968,316680,4,95.0,1,5.0,0,BJS
bihar,1969,15003629,10,96.7,12,3.3,0,BCP | BPS | CPM | FBL | HMS | PBI | PHJ | RPI | RRP | RSP | SUC | SWA
bihar,1970,326252,5,97.9,4,2.1,0,BKD | CPM | JKP | NCN
bihar,1971,14895420,9,95.5,16,4.5,0,BRP | CPM | FBL | HSD | ISP | JAP | JKP | MUL | PBI | PHJ | RCI | RRP | RSM | SOC | SUC | SWA
bihar,1972,17630917,7,95.5,16,4.5,0,BCP | BKD | BRP | FBL | HJS | HSD | ILP | JKD | JKP | MUL | PHJ | RPI | RSM | RSP | SUC | SWA
bihar,1977,38267621,5,97.6,12,2.4,0,BRP | CPM | FBL | JKD | JKP | MUL | PBI | PHJ | RPI | SSD | SUC | WPI
bihar,1978,584464,4,100.0,0,0.0,0,
bihar,1979,64337,5,96.8,1,3.2,0,IND
bihar,1980,42746566,9,95.9,12,4.1,0,BSP | CPM | FBL | JKD | JMM | JNP(SR) | LKD | RPI | RRP | RSP | SSD | SUC
bihar,1981,416382,7,98.2,3,1.8,0,CPM | JKD | JMM
bihar,1982,453546,6,95.4,3,4.6,0,JKD | LKD | SUC
bihar,1984,25194017,6,95.7,5,4.3,0,CPM | FBL | ICJ | ICS | JMM
bihar,1985,25470384,6,95.7,8,4.3,0,CPM | DDP | FBL | ICJ | ICS | JMM | RSP | SUC
bihar,1986,655183,4,96.3,2,3.7,0,BJP | CPI
bihar,1989,30853493,7,95.2,21,4.8,0,AMB | BJS | BKS | BKUS | BLKD | BSP | CPM | DDP | DMM | HJD | JKD | JNP (JP) | LKD (B) | LMS | M-COR | PBI | PHJ | PVP | SOP(L) | SSD | SUC
bihar,1990,32063503,9,95.8,37,4.2,0,ABSP | AMB | AVM | AZP | BBP | BDC | BJS | BKUS | BSP | CPI(ML) | DBM | DDP | DMKP | DMM | FBL | HJD | HMS | ICS(SCS) | IML | IP | JKD | JKP | LKD(B) | LSM | MCOR | MCPI | MUL | PBI | PHJD | PVP | RPI | RRP | RSP | SOP(L) | SSD | SUC | UCPI
bihar,1991,30594991,7,95.1,26,4.9,0,ABSP | AMB | AZP | BKUS | BSP | CPM | DBM | DDP | DMM | FBL | HMS | ICS(SCS) | IPF | JF | JKP | JMS | JNP | LAJM | LKD | M-COR | MSD | PBI | RRP(S) | SKD | SOP(L) | SSD
bihar,1992,478891,3,96.9,4,3.1,0,ABMSD | BKUS | IND | JP
bihar,1993,635422,4,97.8,3,2.2,0,ABDM | IND | JP
bihar,1995,34561054,13,96.3,43,3.7,0,ABA-SJM | ABDBM | ABJS | ABSP | AHFB | AMB | AVAM | BADP | BKD | BKUS | BMS | BRD | CSP-JSD | CVP | DDP | DS | FBL | HJP | HMS | I | ICS | JKP | JLF | JMM(M) | JNMK | JP | JPP | KD | KSP | LKD | LTSM | MCOR | MCPI | MUL | PHJP | PSSS | RSP | SHS | SJP(R) | SMM | SOP(L) | SSD | SUCI
bihar,1996,35597857,9,96.5,30,3.5,0,ABDBM | ABJS | ABJVP | ABLTASJM | AIIC(J) | AIIC(T) | AMB | BKUS | BLPY | BPI | BSP | CPI(ML) | CPM | FBL | IUML | JKP | JKP(N) | JKPP | JMM(M) | JP | JPP | MCO | PHK | PSSS | RAM | RMEP | SHS | SJP(R) | SSD | VJP
bihar,1997,118959,4,100.0,0,0.0,0,
bihar,1998,38314050,11,95.4,28,4.6,0,ABHM | ABMSD | AIIC(S) | AIMF | AIRJP | AJBP | AMB | BJC | BKKGP | BLLP | BMF | BSP | CPI (ML)(L) | CPM | FBL | ICS | JKP | JKPP | JMM(M) | JP | LS | LSWP | MCO | PSSS | RAM | SHS | SSD | SWJP
bihar,1999,35652429,10,95.3,27,4.7,0,ABHM | ABJS | AJBP | AMB | BHJC | BHJVP | BJC(R) | BMF | BSP | CPM | CVP | FBL | JD(S) | JKP | JMM(U) | JP | KVSB | LS | LSWP | MCO | RLD | RSP | SHS | SJP(R) | SPSP | SSD | UGDP
chandigarh,1967,49155,4,96.8,1,3.2,0,CPM
chandigarh,1971,72302,3,99.8,1,0.2,0,VHP
chandigarh,1977,107081,3,97.7,1,2.3,0,CPI
chandigarh,1980,124115,4,99.2,1,0.8,0,JNP(S)
chandigarh,1984,156143,3,95.2,1,4.8,0,IND
chandigarh,1989,216903,4,97.8,5,2.2,0,BSP | DDP | JNP (JP) | LKD (B) | SAD(M)
chandigarh,1991,213662,5,97.0,5,3.0,0,DDP | FBL | JD | KMS | MPP
chandigarh,1996,259007,6,96.0,8,4.0,0,AIIC(T) | BSP(A) | ICS | JD | JP | PHK | SHS | SMP
chandigarh,1998,282755,3,95.6,7,4.4,0,AD | AJBP | BSP(A) | IND | LS | RJD | SP
chandigarh,1999,282816,3,95.2,4,4.8,0,AJBP | BSP | BSP(A) | SP
dadra-and-nagar-haveli,1967,21248,4,95.9,1,4.1,0,BJS
dadra-and-nagar-haveli,1971,21658,3,100.0,0,0.0,0,
dadra-and-nagar-haveli,1977,24131,3,100.0,0,0.0,0,
dadra-and-nagar-haveli,1980,31146,4,100.0,0,0.0,0,
