body,state_slug,year,event_id,publisher_label,n_rows,tcpd_party_id,tcpd_party_name,tcpd_party_type,tcpd_start_year,tcpd_last_year,tcpd_state_name,skip_reason,next_lookup_source
assembly,delhi,2003,2003,JSMP,1,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-2003
assembly,delhi,2004,2004,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2004
assembly,delhi,2008,2008,DBP,3,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-2008
assembly,delhi,2013,2013,JSMP,1,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-2013
assembly,delhi,2015,2015,BVLP,1,18229,Bharat Vishal Party,,2015,2015,Delhi,tcpd-state-year-collision,eci-statreport-2015
assembly,goa,1999,1999,GMLP,1,3112,Gomant Lok Party,Local Party,1989,1999,Goa,,eci-statreport-1999
assembly,goa,2005,2005,M.G.,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,goa,2022,2022,GOENCHO SWABHIMAN PARTY,4,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,gujarat,1981,1981,IN D,1,,,,,,,tcpd-placeholder-only,eci-statreport-1981
assembly,gujarat,1996,1996,RJP(G),1,,,,,,,tcpd-placeholder-only,eci-statreport-1996
assembly,gujarat,1997,1997,RJP(G),1,,,,,,,tcpd-placeholder-only,eci-statreport-1997
assembly,gujarat,1997,1997,SDP (MP),1,,,,,,,tcpd-placeholder-only,eci-statreport-1997
assembly,gujarat,2020,2020,RASHTRAWADI JAN CHETNA PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2020
assembly,gujarat,2022,2022,GANA SURAKSHA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,haryana,1970,1970,NCJ,5,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,haryana,1972,1972,BAS,5,394,Akhil Bhartiya Arya Sabha,,1972,1972,Haryana,tcpd-state-disambig-contradiction,wikipedia-and-press
assembly,haryana,1991,1991,DBP,1,10139,Desh Bhakt Party,Local Party,1991,2009,All_States,tcpd-state-year-collision,eci-statreport-1991
assembly,haryana,1991,1991,SJJP,4,12651,Sarv Jati Janata Parishad,Local Party,1991,1991,All_States,tcpd-state-year-collision,eci-statreport-1991
assembly,haryana,2011,2011,BSMP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2011
assembly,haryana,2019,2019,LSR,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,haryana,2019,2019,PPI(D),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,jammu-and-kashmir,1962,1962,DNC,20,2920,DEMOCRATIC NATIONAL CONFERENCE,Local Party,1962,1967,All_States,tcpd-state-year-collision,wikipedia-and-press
assembly,jammu-and-kashmir,1967,1967,DNC,20,2920,DEMOCRATIC NATIONAL CONFERENCE,Local Party,1962,1967,All_States,tcpd-state-year-collision,wikipedia-and-press
assembly,jammu-and-kashmir,1972,1972,JMI,22,4059,JAMAIT-I-ISLAMI,,1972,1977,Jammu_&_Kashmir,tcpd-state-year-collision,wikipedia-and-press
assembly,jammu-and-kashmir,1977,1977,JMI,19,4059,JAMAIT-I-ISLAMI,,1972,1977,Jammu_&_Kashmir,tcpd-state-year-collision,eci-statreport-1977
assembly,jammu-and-kashmir,1983,1983,JMI,26,4059,JAMAIT-I-ISLAMI,,1972,1977,Jammu_&_Kashmir,tcpd-state-year-collision,eci-statreport-1983
assembly,jammu-and-kashmir,2006,2006,NKNPP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2006
assembly,jharkhand,2008,2008,JVMP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2008
assembly,jharkhand,2018,2018,JAP (L),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,jharkhand,2018,2018,JMM(ULGULAN),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,karnataka,1992,1992,UNKNOWN PARTY,6,,,,,,,not-in-tcpd-catalogue,eci-statreport-1992
assembly,karnataka,1993,1993,UNKNOWN PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-1993
assembly,karnataka,1994,1994,KCP,218,4833,KERALA CONGRESS (PILLAI GROUP),Local Party,1977,1980,Kerala,tcpd-state-year-collision,eci-statreport-1994
assembly,karnataka,1995,1995,UNKNOWN PARTY,4,,,,,,,not-in-tcpd-catalogue,eci-statreport-1995
assembly,karnataka,1996,1996,KCP,2,4833,KERALA CONGRESS (PILLAI GROUP),Local Party,1977,1980,Kerala,tcpd-state-year-collision,eci-statreport-1996
assembly,karnataka,2003,2003,AIPJD,1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,karnataka,2004,2004,USP,2,8459,Uttarakhand Sanskriti Parishad,,2004,2007,Uttarakhand,tcpd-state-disambig-contradiction,eci-statreport-2004
assembly,karnataka,2018,2018,JD(SECECULAR),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,karnataka,2018,2018,PRRJP,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,karnataka,2018,2018,RPI(KARNATAKA),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,karnataka,2018,2018,RRI(A),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,karnataka,2018,2018,SJPL,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,karnataka,2019,2019,BEROJGAR  AADMI  ADHIKAR PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,karnataka,2019,2019,YUVA KARNATAKA PAKSHA,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,kerala,1965,1965,ML,16,11621,MUSLIM LEAGE,State-based Party,1962,2002,Uttar_Pradesh,,wikipedia-and-press
assembly,kerala,1970,1970,KSP,1,4881,Kosal Party,,1995,2004,Odisha,,wikipedia-and-press
assembly,kerala,1977,1977,KCP,15,4833,KERALA CONGRESS (PILLAI GROUP),Local Party,1977,1980,Kerala,tcpd-state-year-collision,eci-statreport-1977
assembly,kerala,1979,1979,KCP,1,4833,KERALA CONGRESS (PILLAI GROUP),Local Party,1977,1980,Kerala,tcpd-state-year-collision,eci-statreport-1979
assembly,kerala,1980,1980,KCP,2,4833,KERALA CONGRESS (PILLAI GROUP),Local Party,1977,1980,Kerala,tcpd-state-year-collision,eci-statreport-1980
assembly,kerala,1991,1991,CPM(K),4,14635,COMMUNIST MARXIST PARTY OF INDIA,State-based Party,1965,2021,Puducherry,,eci-statreport-1991
assembly,kerala,1992,1992,IC (S),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-1992
assembly,kerala,2003,2003,KC(M),1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,kerala,2003,2003,NB,1,,,,,,,tcpd-placeholder-only,eci-statreport-2003
assembly,kerala,2005,2005,CMP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,kerala,2006,2006,MLKSC,1,,,,,,,tcpd-placeholder-only,eci-statreport-2006
assembly,kerala,2018,2018,SUCI (COMMUNIST ),1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2018
assembly,kerala,2026,2026,DHRMP,6,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,kerala,2026,2026,EPI,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,kerala,2026,2026,ISJD,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,kerala,2026,2026,JNMRP,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,kerala,2026,2026,KRSPLM,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,madhya-pradesh,1970,1970,NCJ,8,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,madhya-pradesh,2006,2006,G.G.P,1,,,,,,,tcpd-placeholder-only,eci-statreport-2006
assembly,madhya-pradesh,2006,2006,S.P,1,,,,,,,tcpd-placeholder-only,eci-statreport-2006
assembly,madhya-pradesh,2007,2007,BJ,1,,,,,,,tcpd-placeholder-only,eci-statreport-2007
assembly,madhya-pradesh,2007,2007,GGT,1,,,,,,,tcpd-placeholder-only,eci-statreport-2007
assembly,madhya-pradesh,2018,2018,JSMP,3,4144,Jan Samanta Party,Local Party,1998,2014,All_States,tcpd-state-year-collision,eci-statreport-2018
assembly,maharashtra,1986,1986,JOR,1,,,,,,,tcpd-placeholder-only,eci-statreport-1986
assembly,maharashtra,2005,2005,KJS,1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,manipur,2022,2022,KPA,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,meghalaya,1993,1993,AHLC(AM),27,813,ALL PARTY HILL LEADER'S CONFERENCE (ARMISON MARAK GR,,1988,1993,Meghalaya,,eci-statreport-1993
assembly,meghalaya,2023,2023,GANA SURAKSHA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2023
assembly,nagaland,2023,2023,RISING PEOPLE'S PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2023
assembly,odisha,1971,1971,PHJ,1,2081,Bihar Prant Hul Jharkhand,Local Party,1969,1977,All_States,tcpd-state-year-collision,wikipedia-and-press
assembly,odisha,1996,1996,JTKM,1,,,,,,,tcpd-placeholder-only,eci-statreport-1996
assembly,odisha,2004,2004,KSP,4,4881,Kosal Party,,1995,2004,Odisha,,eci-statreport-2004
assembly,puducherry,2001,2001,PMC,9,6266,Pudhucherry Makkal Congress,,2001,2001,Puducherry,tcpd-state-year-collision,eci-statreport-2001
assembly,puducherry,2006,2006,PMC,9,6266,Pudhucherry Makkal Congress,,2001,2001,Puducherry,tcpd-state-year-collision,eci-statreport-2006
assembly,puducherry,2019,2019,PEOPLE LIBERATION PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,punjab,1970,1970,NCJ,2,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,punjab,2009,2009,ABSSR,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,punjab,2009,2009,BSP (KR),1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,punjab,2009,2009,RKKSP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,punjab,2022,2022,KRISHAK BHARTI PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2022
assembly,rajasthan,1970,1970,NCJ,2,,,,,,,tcpd-placeholder-only,wikipedia-and-press
assembly,rajasthan,2023,2023,JSR,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2023
assembly,tamil-nadu,2000,2000,MT,1,,,,,,,tcpd-placeholder-only,eci-statreport-2000
assembly,tamil-nadu,2002,2002,F,1,,,,,,,tcpd-placeholder-only,eci-statreport-2002
assembly,tamil-nadu,2005,2005,JU(U),1,,,,,,,tcpd-placeholder-only,eci-statreport-2005
assembly,tamil-nadu,2007,2007,MMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2007
assembly,tamil-nadu,2009,2009,AADMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,ABHMS,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,AIAMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
