state,event,constituency_name,source,winner_party,winner_name,votes,margin,agrees,delta_notes
chhattisgarh,general-2024,IN-PC-2008-S26-1,yen-gov,parties.IN.BJP,IN-PC-2008-S26-1-LsGenJun2024-C01,1456077,64822,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-10,yen-gov,parties.IN.BJP,IN-PC-2008-S26-10-LsGenJun2024-C01,1008923,55245,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-11,yen-gov,parties.IN.BJP,IN-PC-2008-S26-11-LsGenJun2024-C01,1267551,1884,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-2,yen-gov,parties.IN.BJP,IN-PC-2008-S26-2-LsGenJun2024-C01,1453542,240391,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-3,yen-gov,parties.IN.BJP,IN-PC-2008-S26-3-LsGenJun2024-C01,1394953,60000,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-4,yen-gov,parties.IN.INC,IN-PC-2008-S26-4-LsGenJun2024-C01,1226934,43283,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-5,yen-gov,parties.IN.BJP,IN-PC-2008-S26-5-LsGenJun2024-C01,1365126,164558,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-6,yen-gov,parties.IN.BJP,IN-PC-2008-S26-6-LsGenJun2024-C01,1447888,44411,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-7,yen-gov,parties.IN.BJP,IN-PC-2008-S26-7-LsGenJun2024-C01,1543861,438226,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-8,yen-gov,parties.IN.BJP,IN-PC-2008-S26-8-LsGenJun2024-C01,1592011,575285,false,no indiavotes match
chhattisgarh,general-2024,IN-PC-2008-S26-9,yen-gov,parties.IN.BJP,IN-PC-2008-S26-9-LsGenJun2024-C01,1326441,145456,false,no indiavotes match
chhattisgarh,general-2024,Bastar,indiavotes,BJP,MAHESH KASHYAP,,,false,no yen-gov match
chhattisgarh,general-2024,Bilaspur,indiavotes,BJP,TOKHAN SAHU,,,false,no yen-gov match
chhattisgarh,general-2024,Durg,indiavotes,BJP,VIJAY BAGHEL,,,false,no yen-gov match
chhattisgarh,general-2024,Janjgir-Champa,indiavotes,BJP,KAMLESH JANGDE,,,false,no yen-gov match
chhattisgarh,general-2024,Kanker,indiavotes,BJP,BHOJRAJ NAG,,,false,no yen-gov match
chhattisgarh,general-2024,Korba,indiavotes,INC,JYOTSNA CHARANDAS MAHANT,,,false,no yen-gov match
chhattisgarh,general-2024,Mahasamund,indiavotes,BJP,ROOP KUMARI CHOUDHARY,,,false,no yen-gov match
chhattisgarh,general-2024,Raigarh,indiavotes,BJP,RADHESHYAM RATHIYA,,,false,no yen-gov match
chhattisgarh,general-2024,Raipur,indiavotes,BJP,BRIJMOHAN AGRAWAL,,,false,no yen-gov match
chhattisgarh,general-2024,Rajnandgaon,indiavotes,BJP,SANTOSH PANDEY,,,false,no yen-gov match
chhattisgarh,general-2024,Sarguja,indiavotes,BJP,CHINTAMANI MAHARAJ,,,false,no yen-gov match
