party_id,body,period_label,state,year,seats,vote_share_pct,contested,party_votes,total_votes,source_ids,derivation
parties.IN.AAP,assembly,AcGenMay2018,karnataka,2018,0,0.050079,13,18343,36627978,src-f3b63ed575e8,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenMay2023,karnataka,2023,0,0.480611,139,188184,39155182,src-6bda0daa4ff0,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenMay2026,assam,2026,0,0.132648,17,28738,21664898,src-074239c7b852,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenMay2026,kerala,2026,0,0.165404,45,35719,21595055,src-920426012b16,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2018,chhattisgarh,2018,0,0.86521,85,123526,14276991,src-7433352a7424,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2018,madhya-pradesh,2018,0,0.663642,208,253101,38138186,src-549efa82d0e1,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2022,himachal-pradesh,2022,0,1.04547,61,44115,4219635,src-b7f0dd7f9087,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2023,chhattisgarh,2023,0,0.799249,40,124962,15634933,src-1194e3295b48,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2023,madhya-pradesh,2023,0,0.511896,56,222640,43493222,src-b353edd3cdf7,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2023,mizoram,2023,0,0.087526,4,615,702646,src-4c77ab7c8b18,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2023,rajasthan,2023,0,0.307774,57,122589,39830823,src-bdf8cace4996,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenNov2025,bihar,2025,0,0.105962,23,53201,50207733,src-a6ff45d1f5fb,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenOct2019,haryana,2019,0,0.173752,8,21754,12520177,src-6f664e14e065,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenOct2019,maharashtra,2019,0,0.104901,24,57853,55149929,src-558e9e7bac87,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenOct2024,haryana,2024,0,1.545862,61,214740,13891280,src-9550572f6944,computed_from_canonical_electoral_rows
parties.IN.AAP,assembly,AcGenOct2024,jammu-and-kashmir,2024,1,0.486047,4,27716,5702324,src-be294aed1bd6,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,andaman-and-nicobar,2014,0,1.963453,1,3737,190328,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,andhra-pradesh,2014,0,0.19229,13,55639,28934993,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,arunachal-pradesh,2014,0,0.610933,1,3647,596956,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,assam,2014,0,0.189667,8,28613,15085883,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,bihar,2014,0,0.943664,39,338637,35885332,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,chandigarh,2014,0,23.966877,1,108679,453455,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,chhattisgarh,2014,0,1.147902,10,140682,12255579,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,dadra-and-nagar-haveli-and-daman-and-diu,2014,0,0.534613,2,1350,252519,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,delhi,2014,0,32.917844,7,2722887,8271766,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,goa,2014,0,3.317381,2,27103,817000,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,gujarat,2014,0,1.167743,24,301558,25824003,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,haryana,2014,0,4.244755,10,487941,11495151,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,himachal-pradesh,2014,0,2.04457,4,63351,3098500,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,jammu-and-kashmir,2014,0,0.189136,2,6523,3448834,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,jharkhand,2014,0,0.687841,10,89302,12982940,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,karnataka,2014,0,0.819943,28,254501,31038861,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,kerala,2014,0,1.427812,15,256662,17975895,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,madhya-pradesh,2014,0,1.179117,29,349488,29639807,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,maharashtra,2014,0,2.235334,48,1088997,48717419,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,manipur,2014,0,0.538284,2,7604,1412636,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,meghalaya,2014,0,0.817674,1,8815,1078058,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,mizoram,2014,0,2.744684,1,11890,433201,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,odisha,2014,0,0.686928,18,147888,21528883,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,puducherry,2014,0,1.122542,1,8307,740017,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,punjab,2014,4,24.362801,13,3373062,13845132,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,rajasthan,2014,0,1.021816,23,277021,27110642,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,sikkim,2014,0,0.822418,1,2541,308967,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,tamil-nadu,2014,0,0.499976,24,203026,40607149,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,telangana,2014,0,0.241084,8,46848,19432195,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,tripura,2014,0,0.4868,2,9852,2023829,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,uttar-pradesh,2014,0,1.012789,76,821302,81093120,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,uttarakhand,2014,0,1.601315,5,70328,4391890,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2014,west-bengal,2014,0,0.023214,4,11986,51631828,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,andaman-and-nicobar,2019,0,1.369539,1,2839,207296,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,bihar,2019,0,0.064075,3,26147,40806661,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,chandigarh,2019,0,3.018389,1,13781,456568,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,delhi,2019,0,18.109054,7,1571687,8679012,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,goa,2019,0,3.005967,2,25647,853203,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,haryana,2019,0,0.358774,3,45498,12681536,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,odisha,2019,0,0.027797,1,6614,23794122,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,punjab,2019,1,7.379158,13,1015773,13765432,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAP,parliament,LsGenMay2019,uttar-pradesh,2019,0,0.009994,4,8643,86481398,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAPP,assembly,AcGenOct2019,maharashtra,2019,0,0.001465,3,808,55149929,src-558e9e7bac87,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenJun2024,delhi,2024,0,0.042969,2,3843,8943585,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenJun2024,maharashtra,2024,0,0.00308,1,1763,57248402,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenJun2024,uttar-pradesh,2024,0,0.000485,1,427,87997543,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenMay2019,delhi,2019,0,0.074709,6,6484,8679012,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenMay2019,haryana,2019,0,0.053061,8,6729,12681536,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenMay2019,maharashtra,2019,0,0.003496,3,1890,54054245,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAPP,parliament,LsGenMay2019,uttar-pradesh,2019,0,0.004351,5,3763,86481398,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.AAS,parliament,LsGenJun2024,maharashtra,2024,0,0.000992,1,568,57248402,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AAS,parliament,LsGenJun2024,uttar-pradesh,2024,0,0.013015,4,11453,87997543,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AASAMP,parliament,LsGenJun2024,madhya-pradesh,2024,0,0.002897,1,1100,37972368,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AASAP,parliament,LsGenJun2024,delhi,2024,0,0.010566,1,945,8943585,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.AASPP,parliament,LsGenJun2024,chhattisgarh,2024,0,0.003501,1,528,15083307,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABAP,parliament,LsGenJun2024,rajasthan,2024,0,0.002463,1,818,33211938,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABASP,parliament,LsGenJun2024,madhya-pradesh,2024,0,0.001433,1,544,37972368,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,assembly,AcGenDec2003,rajasthan,2003,0,0.0336,6,7654,22780055,src-a403cedd49aa,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,assembly,AcGenDec2007,gujarat,2007,0,0.0144,5,3094,21485372,src-542153f504f1,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,assembly,AcGenDec2008,rajasthan,2008,0,0.042569,7,10210,23984658,src-50c93d074c18,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,assembly,AcGenDec2013,rajasthan,2013,0,0.000998,1,308,30860626,src-484300621f4c,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,assembly,AcGenDec2017,gujarat,2017,0,0.000363,1,109,30018086,src-953e9d223ef8,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,parliament,LsGenJun2024,rajasthan,2024,0,0.008361,1,2777,33211938,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,parliament,LsGenMay2004,rajasthan,2004,0,0.112783,2,19548,17332448,src-6e952de88bcd,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,parliament,LsGenMay2009,rajasthan,2009,0,0.12749,4,22861,17931593,src-9be18d311190,computed_from_canonical_electoral_rows
parties.IN.ABCD_A,parliament,LsGenMay2014,gujarat,2014,0,0.003466,1,895,25824003,src-85c74b162cce,computed_from_canonical_electoral_rows
