party_id,body,rank,entity_id,constituency_name,state,wins,contested,last_won_year,results,source_ids,derivation
parties.IN.AAP,parliament,3,IN-PC-2008-S19-5,Hoshiarpur,punjab,1,4,2024,LLLW,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AAP,parliament,4,IN-PC-2008-S19-6,Anandpur Sahib,punjab,1,4,2024,LLLW,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AAP,parliament,5,IN-PC-2008-S19-8,Fatehgarh Sahib,punjab,1,4,2014,LWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AAP,parliament,6,IN-PC-2008-S19-9,Faridkot,punjab,1,4,2014,LWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.ABHM,assembly,1,IN-S24-AC-1976-169,GORAKHPUR,uttar-pradesh,1,10,2002,LLLLLLLLWL,src-183b4a86ce1d|src-5230abac31bb|src-7bfa105ca7d0|src-94d607058787|src-9ce4fd3d9d7f|src-a4526341e90d|src-acb75d0ef1ff|src-bdcfe935f24b|src-bf60101d230f|src-d72503dc3f96,computed_from_canonical_winner_rows
parties.IN.ABHS,assembly,1,IN-S13-AC-1976-25,CHINCHPOKLI,maharashtra,1,10,2004,LLLLLLLLLW,src-071f67ad16c1|src-1ab4290c6901|src-4bea2515fd9d|src-4f1bf04ee531|src-68d6a0109259|src-701a81e72fbb|src-a6ca5a69db75|src-b96bca4d5290|src-ba67b2879885|src-cbd0cce08734,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,1,IN-S22-AC-1976-101,METTUPALAYAM,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,2,IN-S22-AC-1976-103,THONOAMUTHUR,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,3,IN-S22-AC-1976-108,KINATHUKKADAVU,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,4,IN-S22-AC-1976-109,POLLACHI,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,5,IN-S22-AC-1976-112,DHARAPURAM,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,6,IN-S22-AC-1976-115,PALLADAM,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,7,IN-S22-AC-1976-117,KANGAYAM,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,8,IN-S22-AC-1976-118,MODAKURICHI,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,9,IN-S22-AC-1976-120,ERODE,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK,assembly,10,IN-S22-AC-1976-121,BHAVANI,tamil-nadu,4,9,1991,LWWWLWLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,1,IN-S22-AC-1976-100,EDAPADI,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,2,IN-S22-AC-1976-102,AVANASHI,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,3,IN-S22-AC-1976-109,POLLACHI,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,4,IN-S22-AC-1976-110,VALPARAI,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,5,IN-S22-AC-1976-113,VELLAKOIL,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,6,IN-S22-AC-1976-117,KANGAYAM,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,7,IN-S22-AC-1976-119,PERUNDURAI,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,8,IN-S22-AC-1976-122,ANDHIYUR,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,9,IN-S22-AC-1976-123,GOBICHETTIPALAYAM,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JL,assembly,10,IN-S22-AC-1976-124,BHAVANISAGAR,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JR,assembly,1,IN-S22-AC-1976-150,VEDASANDUR,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADK_JR,assembly,2,IN-S22-AC-1976-220,CHERANMAHADEVI,tamil-nadu,1,9,1989,LLLLWLLLL,src-401ec179ced9|src-6215471dcc6d|src-6591ed259187|src-7b4f21307492|src-80f8486f3490|src-98ee4fb27493|src-be9e304342b6|src-edde438a4885|src-f4d9506c4aec,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,1,IN-S24-AC-2008-247,Bishwavnathganj,uttar-pradesh,2,3,2022,LWW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,2,IN-S24-AC-2008-302,Shohratgarh,uttar-pradesh,2,3,2022,LWW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,3,IN-S24-AC-2008-370,Mariyahu,uttar-pradesh,2,3,2022,LWW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,4,IN-S24-AC-2008-387,Rohaniya,uttar-pradesh,2,3,2022,WLW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,5,IN-S24-AC-2008-395,Chhanbey,uttar-pradesh,2,3,2022,LWW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,6,IN-S24-AC-2008-192,Kaimganj,uttar-pradesh,1,3,2022,LLW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,7,IN-S24-AC-2008-218,Ghatampur,uttar-pradesh,1,3,2022,LLW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,8,IN-S24-AC-2008-224,Mauranipur,uttar-pradesh,1,3,2022,LLW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,9,IN-S24-AC-2008-237,Manikpur,uttar-pradesh,1,3,2022,LLW,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,assembly,10,IN-S24-AC-2008-238,Jahanabad,uttar-pradesh,1,3,2017,LWL,src-5c0c9c3de1ed|src-aa76f1ea922c|src-dbf28a8e250e,computed_from_canonical_winner_rows
parties.IN.ADS,parliament,1,IN-PC-2008-S24-79,Mirzapur,uttar-pradesh,3,4,2024,LWWW,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.ADS,parliament,2,IN-PC-2008-S24-39,Pratapgarh,uttar-pradesh,1,4,2014,LWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.ADS,parliament,3,IN-PC-2008-S24-80,Robertsganj,uttar-pradesh,1,4,2019,LLWL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,1,IN-S03-AC-1976-32,BONGAIGAON,assam,4,6,2006,LLWWWW,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,2,IN-S03-AC-2008-32,Bongaigaon,assam,3,4,2021,WWWL,src-074239c7b852|src-44984d9c7550|src-a94ea3c673d8|src-efde9ed05ca4,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,3,IN-S03-AC-2008-89,Kaliabor,assam,3,4,2021,WWWL,src-074239c7b852|src-44984d9c7550|src-a94ea3c673d8|src-efde9ed05ca4,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,4,IN-S03-AC-1976-34,ABHAYAPURI NORTH,assam,3,6,2001,LLWWWL,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,5,IN-S03-AC-1976-66,SIPAJHAR,assam,3,6,2001,LLWWWL,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,6,IN-S03-AC-1976-71,DHEKIAJULI,assam,3,6,2006,LLLWWW,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,7,IN-S03-AC-1976-87,BARHAMPUR,assam,3,6,2001,LLLWWW,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-4280140bc721|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,8,IN-S03-AC-1976-113,DHEMAJI,assam,3,7,2001,LLLWWWL,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-4280140bc721|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,9,IN-S03-AC-1976-27,BILASIPARA EAST,assam,3,7,2006,LLLLWWW,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-4280140bc721|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,assembly,10,IN-S03-AC-1976-49,CHAYGAON,assam,3,7,2006,LLLWWLW,src-022a83aa5fe3|src-165b4ac67603|src-3d6e606da97b|src-421cf8d49abb|src-4280140bc721|src-5dd3d997bf7a|src-ff8f98360b1b,computed_from_canonical_winner_rows
parties.IN.AGP,parliament,1,IN-PC-1976-S03-13,DIBRUGARH,assam,1,2,2004,LW,src-6e952de88bcd|src-84efcb6e2cc4,computed_from_canonical_winner_rows
parties.IN.AGP,parliament,2,IN-PC-1976-S03-14,LAKHIMPUR,assam,1,2,2004,LW,src-6e952de88bcd|src-84efcb6e2cc4,computed_from_canonical_winner_rows
parties.IN.AGP,parliament,3,IN-PC-2008-S03-3,Barpeta,assam,1,4,2024,LLLW,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AGP,parliament,4,IN-PC-2008-S03-9,Nagaon,assam,1,4,2009,WLLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,1,IN-S22-AC-2008-103,Perundurai,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,2,IN-S22-AC-2008-104,Bhavani,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,3,IN-S22-AC-2008-119,Thondamuthur,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,4,IN-S22-AC-2008-165,Vedaranyam,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,5,IN-S22-AC-2008-169,Nannilam,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
