entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-bihar-1,bihar,2005,DHANAHA,120846,59357,49.12,RAJESH SINGH,parties.IN.RJD,RJD,19164,32.29,RAMADHAR YADAV,parties.IN.SP,SP,17700,1464,2.47,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-2,bihar,2005,BAGHA,237157,119904,50.56,PURNMASI RAM,parties.IN.JDU,JD(U),60794,50.7,NARSINGH BAITHA,parties.IN.INC,INC,42403,18391,15.34,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-3,bihar,2005,RAMNAGAR,200302,104534,52.19,CHANDRA MOHAN RAI,parties.IN.BJP,BJP,39147,37.45,FAKROODIN KHAN,parties.IN.RJD,RJD,38228,919,0.88,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-4,bihar,2005,SHIKARPUR,203432,98341,48.34,BHAGIRATHI DEVI,parties.IN.BJP,BJP,35147,35.74,SUBODH KUMAR,parties.IN.NCP,NCP,29893,5254,5.34,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-5,bihar,2005,SIKTA,185625,106046,57.13,KHURSHED ALIAS FIROZ ALAM,parties.IN.INC,INC,35811,33.77,DILIP VERMA,parties.IN.SP,SP,28212,7599,7.17,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-6,bihar,2005,LAURIA,188125,98222,52.21,PRADEEP SINGH,parties.IN.JDU,JD(U),28089,28.6,SHAMBHU TIWARI,parties.IN.BSP,BSP,26065,2024,2.06,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-7,bihar,2005,CHANPATIA,189761,88836,46.81,SATISH CHANDRA DUBEY,parties.IN.BJP,BJP,42960,48.36,VISHWA MOHAN SHARMA,parties.IN.INC,INC,22086,20874,23.5,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-8,bihar,2005,BETTIAH,250250,115271,46.06,RENU DEVI,parties.IN.BJP,BJP,55184,47.87,MOHAMMAD SHAMIM AKTHAR,parties.IN.INC,INC,38718,16466,14.28,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-9,bihar,2005,NAUTAN,195780,94597,48.32,BAIDHANATH PRASAD MAHTO,parties.IN.JDU,JD(U),35497,37.52,AMAR YADAV,parties.IN.RJD,RJD,30194,5303,5.6,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-10,bihar,2005,RAXAUL,202251,96817,47.87,DR. AJAY KUMAR SINGH,parties.IN.BJP,BJP,38448,39.71,RAJNANDAN RAI,parties.IN.LJP,LJP,29999,8449,8.72,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-11,bihar,2005,SUGAULI,219751,110680,50.37,RAMCHANDRA SAHNI,parties.IN.BJP,BJP,35869,32.41,VIJAY PRASAD GUPTA,parties.IN.RJD,RJD,29264,6605,5.97,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-12,bihar,2005,MOTIHARI,249145,123333,49.5,PRAMOD KUMAR,parties.IN.BJP,BJP,56119,45.5,RAMA DEVI,parties.IN.RJD,RJD,35416,20703,16.78,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-13,bihar,2005,ADAPUR,211221,110185,52.17,SHYAM BIHARI PRASAD,parties.IN.JDU,JD(U),44714,40.58,SABIR ALI,parties.IN.LJP,LJP,28706,16008,14.53,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-14,bihar,2005,DHAKA,230980,102474,44.36,AWANEESH KUMAR SINGH,parties.IN.BJP,BJP,33162,32.36,BHAI PAWAN JAISWAL,parties.IN.LJP,LJP,30472,2690,2.62,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-15,bihar,2005,GHORASAHAN,198424,97282,49.03,LAXMI NARAYAN PRASAD YADAV,parties.IN.RJD,RJD,30951,31.82,PRAMOD KUMAR SINHA,parties.IN.JDU,JD(U),30137,814,0.84,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-16,bihar,2005,MADHUBAN,209821,100669,47.98,SHIVJEE RAI,parties.IN.JDU,JD(U),47990,47.67,RANA RANDHIR,parties.IN.RJD,RJD,28512,19478,19.35,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-17,bihar,2005,PIPRA,186797,88950,47.62,KRISHNANANDAN PASWAN,parties.IN.BJP,BJP,43239,48.61,SURENDRA KR. CHANDRA URF SATISH PASWAN,parties.IN.RJD,RJD,32760,10479,11.78,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
