Date,SL No,STATE/UT,CASH (in Rs. Cr.),LIQUOR Qty in Lakh litres,LIQUOR value in Rs. Cr.,DRUGS/ NARCOTICS Quantity in Kg,DRUGS/ NARCOTICS value in Rs. Cr.,"PRECIOUS METALS GOLD, SILVER etc. Qty in Kg","PRECIOUS METALS GOLD, SILVER etc. value in Rs. Cr.",OTHER ITEMS/ FREEBIES seizure,TOTAL seizure (value in Rs. Cr.)
30-Mar-19,33,Tripura,0.18,0.17,0.29,,0.53,,0,0,1
30-Mar-19,34,Uttarakhand,1.49,0.39,1.44,,0.58,0.6,0.214,0.04,3.764
30-Mar-19,35,Uttar Pradesh,18.62,10.417,29.56,,20.34,,59.23,,127.75
30-Mar-19,36,West Bengal,12.04,5.82,7.47,,0.23,,14.42,2.005,36.165
31-Mar-19,1,Andaman & Nicobar Islands(UT),0.02,,0.052,,0.063,,0,0,0.135
31-Mar-19,2,Andhra Pradesh,94.23,5.4,20.5,,0.28,,29.85,10.64,155.5
31-Mar-19,3,Arunachal Pradesh,3.54,,,1.175,,,,,3.54
31-Mar-19,4,Assam,4.87,0.79,0.5,,0.032,,0.36,,5.762
31-Mar-19,5,Bihar,2.13,0.4,,19,,11.62,,0,2.13
31-Mar-19,6,Chandigarh (UT),0.015,0.02,0.035,,0.06,,,,0.11
31-Mar-19,7,Chhattisgarh,0.38,0.03,0.05,,0,,0.17,0.34,0.94
31-Mar-19,8,Dadra and Nagar Haveli (UT),0.41,0.06,0.09,,0,0,0,0,0.5
31-Mar-19,9,Daman and Diu (UT),0.49,0.048,0.088,,0,,0,0.003,0.581
31-Mar-19,10,Goa,0.344,0.58,2.61,,0.187,,,,3.141
31-Mar-19,11,Gujarat,3.38,2.22,6.24,100,500,,,,509.62
31-Mar-19,12,Haryana,0.99,0.74,1.36,,0.63,0,0,0,2.98
31-Mar-19,13,Himachal Pradesh,0.075,1.27,0.81,,0.71,0,0,0,1.595
31-Mar-19,14,Jammu and Kashmir,0.147,0.015,0.018,,0,,0,0,0.165
31-Mar-19,15,Jharkhand,1.05,0.79,0.86,1.4,0.59,,0.0049,0.067,2.5719
31-Mar-19,16,Karnataka,11.15,6.77,30.39,144,0.1,36,0.19,2.23,44.06
31-Mar-19,17,Kerala,0.67,0.024,0.089,,13.96,,0.091,0,14.81
31-Mar-19,18,Lakshadweep (UT),0,,0,,0,,0,0,0
31-Mar-19,19,Madhya Pradesh,4.92,1.98,4.97,1081,1.96,112,0.44,2.03,14.32
31-Mar-19,20,Maharashtra,15.51,16.63,12.79,14303,3.83,,30.94,0.004,63.074
31-Mar-19,21,Manipur,0.1,0.35,0.36,,24.74,,1.58,0,26.78
31-Mar-19,22,Meghalaya,0.39,0.04,0.1,,0.003,,0,0,0.493
31-Mar-19,23,Mizoram,0,,0.145,,0.24,,,,0.385
31-Mar-19,24,Nagaland,0.72,0.59,1.67,221,0.1,,0,0,2.49
31-Mar-19,25,NCT of Delhi,3.126,,0,,0,,0,0,3.126
31-Mar-19,26,Odisha,0.7,0.78,2.25,,0,,0,0.013,2.963
31-Mar-19,27,Puducherry,2.67,0.03,0.05,,0,,1.88,0.14,4.74
31-Mar-19,28,Punjab,7.388,2.1,4.15,,104.87,,2.704,0.15,119.262
31-Mar-19,29,Rajasthan,0.372,1.61,3.45,,4.15,,0,1.88,9.852
31-Mar-19,30,Sikkim,0.001,0.004,0.004,,0.006,,0,0,0.011
31-Mar-19,31,Tamil Nadu,91.01,0.079,0.18,,0.229,684,88.27,5.7,185.389
31-Mar-19,32,Telangana,19.03,2.29,2.86,,2.49,3.3,0.27,0.039,24.689
31-Mar-19,33,Tripura,0.18,0.17,0.296,,0.566,,0,0,1.042
31-Mar-19,34,Uttarakhand,1.49,0.39,1.44,,0.58,0.6,0.214,0.04,3.764
31-Mar-19,35,Uttar Pradesh,18.62,10.417,29.56,,20.34,,59.23,,127.75
31-Mar-19,36,West Bengal,12.04,6.57,7.73,,0.26,,14.42,2.01,36.46
01-Apr-19,1,Andaman & Nicobar Islands (UT),0.062,0.09,0.059,,0.063,0,0,0,0.184
01-Apr-19,2,Andhra Pradesh,95.79,5.55,21.23,,0.28,,30.48,10.83,158.61
01-Apr-19,3,Arunachal Pradesh,3.61,,,1.175,,0,0,,3.61
01-Apr-19,4,Assam,5.09,0.88,0.55,,0.035,,0.36,0.22,6.255
01-Apr-19,5,Bihar,2.375,0.4,,19,,11.62,,0,2.375
01-Apr-19,6,Chandigarh (UT),0.015,0.02,0.036,,0.06,,,,0.111
01-Apr-19,7,Chhattisgarh,0.38,0.03,0.05,,0,,0.17,0.34,0.94
01-Apr-19,8,Dadra and Nagar Haveli (UT),0.41,0.06,0.09,,0,0,0,0,0.5
01-Apr-19,9,Daman and Diu (UT),0.5,0.05,0.091,0,0,0,0,0.003,0.594
01-Apr-19,10,Goa,0.46,0.64,2.83,,0.192,0,0,0.002,3.484
01-Apr-19,11,Gujarat,3.38,2.37,6.54,100,500,0,0,0,509.92
01-Apr-19,12,Haryana,0.99,1.19,2.13,,0.67,0,0,0,3.79
01-Apr-19,13,Himachal Pradesh,0.075,1.5,1.65,36.7,0.73,0,0,0,2.455
01-Apr-19,14,Jammu and Kashmir,0.179,0.015,0.018,0,0,0,0,0,0.197
01-Apr-19,15,Jharkhand,1.18,0.82,0.87,9.3,1.21,,0.0049,0.071,3.3359
01-Apr-19,16,Karnataka,11.15,6.77,30.39,144,0.1,36,0.19,2.23,44.06
01-Apr-19,17,Kerala,0.88,0.03,0.12,,14.04,,2.96,0,18
01-Apr-19,18,Lakshadweep (UT),0,1.2,,,0,,0,0,0
01-Apr-19,19,Madhya Pradesh,5.03,2.14,5.27,4693.5,2.68,112,0.44,2.35,15.77
01-Apr-19,20,Maharashtra,19.82,18.07,13.64,14376,3.96,,38.36,0.004,75.784
01-Apr-19,21,Manipur,0.1,0.36,0.36,,24.74,,1.6,0,26.8
01-Apr-19,22,Meghalaya,0.27,0.07,0.11,,0.003,,0,0,0.383
01-Apr-19,23,Mizoram,0,,0.148,,0.28,,,,0.428
01-Apr-19,24,Nagaland,0.72,0.6,1.68,221,0.24,,0,0,2.64
01-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
01-Apr-19,26,Odisha,0.864,0.8,2.3,,0,,0,0.013,3.177
01-Apr-19,27,Puducherry,2.67,0.03,0.05,,0,,1.88,0.14,4.74
01-Apr-19,28,Punjab,16.13,2.17,4.39,,113.21,230,10.51,0.15,144.39
01-Apr-19,29,Rajasthan,0.7,1.92,4.1,,4.39,,0.67,2.46,12.32
01-Apr-19,30,Sikkim,0.001,0.005,0.004,,0.006,,0,0,0.011
01-Apr-19,31,Tamil Nadu,108.75,0.09,0.25,,0.25,738,93.36,5.94,208.55
01-Apr-19,32,Telangana,20.18,2.38,3.03,,2.49,3.3,0.27,0.039,26.009
01-Apr-19,33,Tripura,0.181,0.175,0.299,,0.52,0,0,0,1
01-Apr-19,34,Uttarakhand,1.54,0.46,1.69,,0.69,0.6,0.214,0.04,4.174
01-Apr-19,35,Uttar Pradesh,21.56,11.26,31.98,,21.54,,60.05,0,135.13
01-Apr-19,36,West Bengal,12.58,6.57,7.89,,0.27,,14.42,2.01,37.17
02-Apr-19,1,Andaman & Nicobar Islands(UT),0.062,0.09,0.06,,0.064,0,0,0,0.186
02-Apr-19,2,Andhra Pradesh,95.79,5.55,21.23,,0.28,,30.48,10.83,158.61
02-Apr-19,3,Arunachal Pradesh,3.66,,,1.175,,0,0,,3.66
02-Apr-19,4,Assam,5.16,0.93,0.62,,0.054,,0.36,0.22,6.414
02-Apr-19,5,Bihar,2.49,0.44,,57,,11.62,,0,2.49
02-Apr-19,6,Chandigarh (UT),0.015,0.02,0.037,,0.06,0,0,0,0.112
02-Apr-19,7,Chhattisgarh,0.41,0.03,0.06,,0,,0.17,0.34,0.98
02-Apr-19,8,Dadra and Nagar Haveli (UT),0.54,0.06,0.09,,0,0,0,0,0.63
02-Apr-19,9,Daman and Diu (UT),0.5,0.05,0.091,0,0,0,0,0.003,0.594
02-Apr-19,10,Goa,0.46,0.64,2.83,,0.192,0,0,0.002,3.484
02-Apr-19,11,Gujarat,3.38,2.42,6.67,100,500,0,0,0,510.05
02-Apr-19,12,Haryana,1,1.3,2.29,7,0.67,0,0,0,3.96
02-Apr-19,13,Himachal Pradesh,0.077,2.59,3.16,36.7,0.73,0,0,0,3.967
02-Apr-19,14,Jammu and Kashmir,0.179,0.015,0.018,0,0,0,0,0,0.197
02-Apr-19,15,Jharkhand,1.2,0.82,0.88,9.3,1.23,,0.0049,0.079,3.3939
02-Apr-19,16,Karnataka,11.15,6.77,30.39,144,0.1,36,0.19,2.23,44.06
02-Apr-19,17,Kerala,1.02,0.03,0.15,,14.06,,2.96,0,18.19
02-Apr-19,18,Lakshadweep (UT),0,1.74,,,0.0015,,0,0,0.0015
02-Apr-19,19,Madhya Pradesh,5.31,2.27,5.53,6215,3.2,112,0.44,2.52,17
02-Apr-19,20,Maharashtra,21.28,18.37,13.88,14394,3.98,,38.36,0.004,77.504
02-Apr-19,21,Manipur,0.1,0.37,0.37,,25.33,,1.11,0,26.91
02-Apr-19,22,Meghalaya,0.47,0.07,0.11,,0.003,,0,0,0.583
02-Apr-19,23,Mizoram,0,,0.148,,0.28,,,,0.428
02-Apr-19,24,Nagaland,0.72,0.6,1.69,221,0.24,,0,0,2.65
02-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
02-Apr-19,26,Odisha,0.98,0.88,2.63,0,0,0,0,0.02,3.63
02-Apr-19,27,Puducherry,0.2,0.03,0.06,,0,,1.88,0.01,2.15
02-Apr-19,28,Punjab,16.25,2.41,4.69,,114.37,230,10.51,0.15,145.97
02-Apr-19,29,Rajasthan,0.93,2.13,4.83,,5.04,,0.67,2.93,14.4
02-Apr-19,30,Sikkim,0.01,0.005,0.006,,0.007,0,0,0,0.023
02-Apr-19,31,Tamil Nadu,121.46,0.1,0.26,,0.25,884,135.19,5.96,263.12
02-Apr-19,32,Telangana,20.2,2.44,3.13,,2.49,3.3,0.27,0.04,26.13
02-Apr-19,33,Tripura,0.18,0.18,0.32,,0.57,0,0,0,1.07
02-Apr-19,34,Uttarakhand,2.21,0.54,1.98,,0.72,0.6,0.214,0.04,5.164
02-Apr-19,35,Uttar Pradesh,22.22,11.96,34.14,,22.55,,60.29,0,139.2
02-Apr-19,36,West Bengal,13.55,6.9,7.96,,0.34,,17.05,2.16,41.06
03-Apr-19,1,Andaman & Nicobar Islands(UT),0.11,0.09,0.06,,0.07,0,0,0,0.24
03-Apr-19,2,Andhra Pradesh,95.79,5.55,21.23,,0.28,,30.48,10.83,158.61
03-Apr-19,3,Arunachal Pradesh,5.5,,,1.175,,0,0,,5.5
03-Apr-19,4,Assam,5.21,1.01,0.65,,0.49,,0.36,0.22,6.93
03-Apr-19,5,Bihar,2.58,0.44,,57,,11.62,,0,2.58
03-Apr-19,6,Chandigarh (UT),0.015,0.02,0.037,,0.06,0,0,0,0.112
03-Apr-19,7,Chhattisgarh,0.41,0.03,0.06,,0,,0.17,0.34,0.98
03-Apr-19,8,Dadra and Nagar Haveli (UT),0.54,0.06,0.09,,0,0,0,0,0.63
03-Apr-19,9,Daman and Diu (UT),0.5,0.05,0.095,0,0,0,0,0.003,0.598
03-Apr-19,10,Goa,0.46,0.64,2.83,,0.192,0,0,0.002,3.484
03-Apr-19,11,Gujarat,3.38,2.42,6.67,100,500,0,0,0,510.05
03-Apr-19,12,Haryana,1,1.54,2.82,,4.43,0,0,0,8.25
03-Apr-19,13,Himachal Pradesh,0.08,3.61,5.03,36.7,0.73,0,0,0,5.84
03-Apr-19,14,Jammu and Kashmir,0.33,0.019,0.018,0,0.04,0,0,0,0.388
03-Apr-19,15,Jharkhand,1.2,0.88,0.93,10.4,1.47,,0.005,0.18,3.785
03-Apr-19,16,Karnataka,12.89,7.44,31.92,144,0.1,42,0.92,2.42,48.25
03-Apr-19,17,Kerala,1.37,0.03,0.17,,14.1,,2.98,0,18.62
03-Apr-19,18,Lakshadweep (UT),0,3.99,0.0001,,0.0015,,0,0,0.0016
03-Apr-19,19,Madhya Pradesh,5.59,2.56,6.16,6215,3.3,112,0.44,2.9,18.39
03-Apr-19,20,Maharashtra,26.69,19.09,14.38,14396,4.08,,39.04,0.004,84.194
03-Apr-19,21,Manipur,0.1,0.38,0.38,,27.13,,1.11,0,28.72
03-Apr-19,22,Meghalaya,0.2,0,0,,0,,0,0,0.2
03-Apr-19,23,Mizoram,0,,0.17,,0.28,,,,0.45
03-Apr-19,24,Nagaland,0.75,0.6,1.69,221,0.26,,0,0,2.7
03-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
03-Apr-19,26,Odisha,0.98,0.88,2.63,0,0,0,0,0.02,3.63
03-Apr-19,27,Puducherry,0.2,0.03,0.06,,0,,1.88,0.01,2.15
03-Apr-19,28,Punjab,16.51,2.49,4.75,,116.18,259,18.32,0.15,155.91
03-Apr-19,29,Rajasthan,0.93,2.18,5.04,,5.41,,3.73,3.11,18.22
03-Apr-19,30,Sikkim,0.1,0.006,0.009,,0.007,0,0,0,0.116
03-Apr-19,31,Tamil Nadu,127.84,0.1,0.26,,0.26,884,135.6,6.19,270.15
03-Apr-19,32,Telangana,21.72,2.53,3.28,,2.5,3.3,0.27,0.04,27.81
03-Apr-19,33,Tripura,0.18,0.19,0.33,,0.57,0,0,0,1.08
03-Apr-19,34,Uttarakhand,2.75,0.59,2.11,,0.72,0.6,0.214,0.04,5.834
03-Apr-19,35,Uttar Pradesh,24.11,12.34,35.21,,22.7,,60.29,0,142.31
03-Apr-19,36,West Bengal,14.37,6.92,8.42,,0.34,,17.05,2.17,42.35
04-Apr-19,1,Andaman & Nicobar Islands(UT),0.2,0.1,0.07,,0.07,0,0,0,0.34
04-Apr-19,2,Andhra Pradesh,95.79,5.55,21.23,,0.28,,30.48,10.83,158.61
04-Apr-19,3,Arunachal Pradesh,5.62,,,1.175,,0,0,,5.62
04-Apr-19,4,Assam,6.07,1.07,0.67,,0.49,,0.36,0.22,7.81
04-Apr-19,5,Bihar,3.16,0.46,,57,,11.62,,0,3.16
04-Apr-19,6,Chandigarh (UT),0.015,0.02,0.037,,0.07,0,0,0,0.122
04-Apr-19,7,Chhattisgarh,0.41,0.03,0.06,,,,0.17,0.4,1.04
04-Apr-19,8,Dadra and Nagar Haveli (UT),1.53,0.06,0.09,,0,0,0,0,1.62
04-Apr-19,9,Daman and Diu (UT),0.5,0.05,0.096,0,0,0,0,0.003,0.599
04-Apr-19,10,Goa,0.46,0.72,2.86,,0.22,0,0,0.002,3.542
04-Apr-19,11,Gujarat,3.64,2.8,8.19,111,500.01,0,0,0,511.84
04-Apr-19,12,Haryana,1,1.58,2.89,,4.43,0,0,0,8.32
04-Apr-19,13,Himachal Pradesh,0.08,4.11,5.84,42,0.74,0,0,0,6.66
04-Apr-19,14,Jammu and Kashmir,0.33,0.02,0.02,,,0,0,0,0.35
04-Apr-19,15,Jharkhand,1.6,0.89,0.93,10.4,1.55,,0.005,0.25,4.335
04-Apr-19,16,Karnataka,15.5,7.46,31.99,145,0.1,42,0.92,2.43,50.94
04-Apr-19,17,Kerala,1.58,0.03,0.16,,14.2,,2.98,0,18.92
04-Apr-19,18,Lakshadweep (UT),0,3.99,0.0001,,0.0015,,0,0,0.0016
04-Apr-19,19,Madhya Pradesh,5.96,2.69,6.44,6215,3.41,112,0.44,3.17,19.42
04-Apr-19,20,Maharashtra,28.75,19.62,14.99,14398,4.17,,39.04,0.004,86.954
04-Apr-19,21,Manipur,0.1,0.38,0.38,,28.18,,1.11,0,29.77
04-Apr-19,22,Meghalaya,0.2,0,0,,0,,0,0,0.2
04-Apr-19,23,Mizoram,0,,0.17,,0.29,,,,0.46
04-Apr-19,24,Nagaland,0.75,0.61,1.71,221,0.26,,0,0,2.72
04-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
04-Apr-19,26,Odisha,1.684,1,3.14,0,0,0,0,0.113,4.937
04-Apr-19,27,Puducherry,0.2,0.03,0.06,,0,,1.88,0.01,2.15
04-Apr-19,28,Punjab,17.58,2.5,4.77,,117.33,259,18.32,0.17,158.17
04-Apr-19,29,Rajasthan,0.93,2.18,5.04,,5.41,,3.73,3.11,18.22
04-Apr-19,30,Sikkim,0.1,0.006,0.009,,0.007,0,0,0,0.116
04-Apr-19,31,Tamil Nadu,137.81,0.12,0.27,,0.26,942.2,141.14,6.38,285.86
04-Apr-19,32,Telangana,21.72,2.53,3.28,,2.5,3.3,0.27,0.04,27.81
04-Apr-19,33,Tripura,0.18,0.2,0.34,,0.57,0,0,0,1.09
04-Apr-19,34,Uttarakhand,2.79,0.61,2.2,,0.74,0.6,0.21,0.04,5.98
04-Apr-19,35,Uttar Pradesh,25.42,12.68,35.96,,22.8,,60.39,0,144.57
04-Apr-19,36,West Bengal,14.72,13.58,9,,0.46,,17.05,2.17,43.4
05-Apr-19,1,Andaman & Nicobar Islands(UT),0.24,,0.08,,0.07,0,0,0,0.39
05-Apr-19,2,Andhra Pradesh,95.79,5.55,21.23,,0.28,,30.48,10.83,158.61
05-Apr-19,3,Arunachal Pradesh,5.73,,,1.2,,0,0,,5.73
05-Apr-19,4,Assam,6.62,1.13,0.69,,0.51,,0.36,0.22,8.4
05-Apr-19,5,Bihar,3.5,0.47,,57,,11.62,,0,3.5
05-Apr-19,6,Chandigarh (UT),0.015,0.02,0.037,,0.07,0,0,0,0.122
05-Apr-19,7,Chhattisgarh,0.56,0.04,0.07,,,,0.17,0.4,1.2
05-Apr-19,8,Dadra and Nagar Haveli (UT),1.39,0.06,0.09,,0,0,0,0,1.48
05-Apr-19,9,Daman and Diu (UT),0.66,0.05,0.096,0,0,0,0,0.003,0.759
05-Apr-19,10,Goa,0.75,0.73,2.88,,0.22,0,0,0.002,3.852
05-Apr-19,11,Gujarat,3.64,2.8,8.19,111,500.01,0,0,0,511.84
05-Apr-19,12,Haryana,1,1.61,2.93,,4.45,0,0,,8.38
05-Apr-19,13,Himachal Pradesh,0.08,4.14,5.92,42,0.75,0,0,0,6.75
05-Apr-19,14,Jammu and Kashmir,0.33,0.02,0.02,,,0,0,0,0.35
05-Apr-19,15,Jharkhand,1.6,0.89,0.93,10.4,1.55,,0.005,0.25,4.335
05-Apr-19,16,Karnataka,24.75,7.5,32.14,145,0.1,42,0.92,2.29,60.2
05-Apr-19,17,Kerala,1.58,0.03,0.16,,14.2,,2.98,0,18.92
05-Apr-19,18,Lakshadweep (UT),0,3.99,0.0001,,0.004,,0,0,0.0041
05-Apr-19,19,Madhya Pradesh,5.96,2.69,6.44,6215,3.41,112,0.44,3.17,19.42
05-Apr-19,20,Maharashtra,29.62,20.42,15.51,14408,4.24,,39.04,0.004,88.414
05-Apr-19,21,Manipur,0.1,0.39,0.39,,28.18,,1.11,0,29.78
05-Apr-19,22,Meghalaya,0.5,0.1,0.13,,0.003,,0,0,0.633
05-Apr-19,23,Mizoram,0,,0.18,,0.3,,,,0.48
05-Apr-19,24,Nagaland,0.89,0.61,1.72,221,0.34,,0,0,2.95
05-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
05-Apr-19,26,Odisha,1.97,1.02,3.17,0,0,0,0,0.12,5.26
05-Apr-19,27,Puducherry,0.2,0.03,0.06,,0,,0,0.03,0.29
05-Apr-19,28,Punjab,17.89,2.53,4.88,,118.8,259,18.43,0.17,160.17
05-Apr-19,29,Rajasthan,1.04,2.79,6.7,,5.81,,3.94,3.4,20.89
05-Apr-19,30,Sikkim,0.1,0.007,0.013,,0.007,0,0,0,0.12
05-Apr-19,31,Tamil Nadu,143.14,0.15,0.3,,0.26,1131,181.23,6.46,331.39
05-Apr-19,32,Telangana,32.51,2.68,3.55,,2.74,3.3,0.27,0.04,39.11
05-Apr-19,33,Tripura,0.18,0.21,0.35,,0.81,0,0,0,1.34
05-Apr-19,34,Uttarakhand,2.86,0.7,2.6,,0.74,0.6,0.21,0.04,6.45
05-Apr-19,35,Uttar Pradesh,26.42,13.05,36.82,,22.86,,60.39,0,146.49
05-Apr-19,36,West Bengal,19.29,7.92,9.56,,0.47,,17.52,2.18,49.02
06-Apr-19,1,Andaman & Nicobar Islands(UT),0.32,,0.08,,0.07,0,0,0,0.47
06-Apr-19,2,Andhra Pradesh,107.79,5.92,22.6,,0.47,,31.317,13.14,175.317
06-Apr-19,3,Arunachal Pradesh,5.75,,,1.2,,0,0,,5.75
06-Apr-19,4,Assam,7.85,1.17,0.72,,0.51,,0.36,0.22,9.66
06-Apr-19,5,Bihar,3.5,0.47,,57,,11.62,,0,3.5
06-Apr-19,6,Chandigarh (UT),0.015,0.02,0.037,,0.141,0,0,0,0.193
06-Apr-19,7,Chhattisgarh,0.56,0.04,0.07,,,,0.17,0.42,1.22
06-Apr-19,8,Dadra and Nagar Haveli (UT),1.48,0.06,0.09,,0,0,0,0,1.57
06-Apr-19,9,Daman and Diu (UT),0.66,0.05,0.096,0,0,0,0,0.003,0.759
06-Apr-19,10,Goa,0.75,0.73,2.88,,0.22,0,0,0.002,3.852
06-Apr-19,11,Gujarat,3.72,2.98,8.7,111,500.01,0,0.77,0,513.2
06-Apr-19,12,Haryana,1,1.62,2.95,,4.51,0,0,,8.46
