33 - CONSTITUENCY WISE DETAILED RESULT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Votes Secured,,,% of Votes Secured,,,,,,
State Name,PC Name,Candidate Name,Gender,Age,Category,Party Name,Party Symbol,"Total Votes Polled In
The Constituency",Valid Votes,General,Postal,Total,Over Total Electors In Constituency,Over Total Votes Polled In Constituency,Over Total Valid Votes Polled In Constituency,Total Electors,,,
Andhra Pradesh,Srikakulam,TILAK PERADA,MALE,50,GENERAL,YSRCP,Ceiling fan,1241169,1211081,420394,6033,426427,25.9,34.36,35.21,1646686,,,
Andhra Pradesh,Srikakulam,NOTA,,,,NOTA,NOTA,1241169,1211081,24498,107,24605,1.49,1.98,2.03,1646686,,,
Andhra Pradesh,Srikakulam,PEDADA PARAMESWARA RAO,MALE,59,GENERAL,INC,Hand,1241169,1211081,6724,448,7172,0.44,0.58,0.59,1646686,,,
Andhra Pradesh,Srikakulam,SANAPALA SRAVAN KUMAR,MALE,38,GENERAL,IND,Bangles,1241169,1211081,5950,8,5958,0.36,0.48,0.49,1646686,,,
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,MALE,40,GENERAL,BSP,Elephant,1241169,1211081,4661,81,4742,0.29,0.38,0.39,1646686,,,
Andhra Pradesh,Srikakulam,VABA YOGESWARA RAO,MALE,39,ST,IND,Road roller,1241169,1211081,3472,126,3598,0.22,0.29,0.3,1646686,,,
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,MALE,38,GENERAL,IND,Matchbox,1241169,1211081,2523,13,2536,0.15,0.2,0.21,1646686,,,
Andhra Pradesh,Srikakulam,YEDDU LAKSHMINARAYANA,MALE,66,GENERAL,IND,Sewing machine,1241169,1211081,1598,7,1605,0.1,0.13,0.13,1646686,,,
Andhra Pradesh,Srikakulam,BORUBADRA CHANDRAKALA,FEMALE,37,GENERAL,BCYP,Ganna kisan,1241169,1211081,1315,42,1357,0.08,0.11,0.11,1646686,,,
Andhra Pradesh,Srikakulam,IPPILI SEETHARAJU,MALE,47,GENERAL,JBNP,Battery Torch,1241169,1211081,1080,50,1130,0.07,0.09,0.09,1646686,,,
Andhra Pradesh,Srikakulam,KAYA DURGARAO,MALE,34,SC,NRCP,Bucket,1241169,1211081,811,7,818,0.05,0.07,0.07,1646686,,,
Andhra Pradesh,Srikakulam,CHELLURI DANIYAL,MALE,49,SC,IND,Scissors,1241169,1211081,796,20,816,0.05,0.07,0.07,1646686,,,
Andhra Pradesh,Srikakulam,BOMMALI TIRUPATI RAO,MALE,29,GENERAL,PPOI,Flute,1241169,1211081,589,5,594,0.04,0.05,0.05,1646686,,,
Andhra Pradesh,Vizianagaram,APPALANAIDU KALISETTI,MALE,50,GENERAL,TDP,Bicycle,1307632,1275992,729284,13829,743113,46.71,56.83,58.24,1590994,,,
Andhra Pradesh,Vizianagaram,BELLANA CHANDRASEKHAR,MALE,62,GENERAL,YSRCP,Ceiling fan,1307632,1275992,487691,6071,493762,31.03,37.76,38.7,1590994,,,
Andhra Pradesh,Vizianagaram,NOTA,,,,NOTA,NOTA,1307632,1275992,23097,153,23250,1.46,1.78,1.82,1590994,,,
Andhra Pradesh,Vizianagaram,BOBBILI SRINU,MALE,33,GENERAL,INC,Hand,1307632,1275992,10270,353,10623,0.67,0.81,0.83,1590994,,,
Andhra Pradesh,Vizianagaram,PEERUBANDI PRAKASH RAO,MALE,69,SC,BSP,Elephant,1307632,1275992,7985,53,8038,0.51,0.61,0.63,1590994,,,
Andhra Pradesh,Vizianagaram,VELURI VENKATA TRINADHARAO,MALE,58,GENERAL,IND,Sitar,1307632,1275992,4146,6,4152,0.26,0.32,0.33,1590994,,,
Andhra Pradesh,Vizianagaram,ALLU SRIRAMULU,MALE,48,GENERAL,IND,Baby walker,1307632,1275992,3396,5,3401,0.21,0.26,0.27,1590994,,,
Andhra Pradesh,Vizianagaram,SIYYADULA YELLA RAO,MALE,42,SC,IND,Telephone,1307632,1275992,3105,2,3107,0.2,0.24,0.24,1590994,,,
Andhra Pradesh,Vizianagaram,SRINIVASA RAO SAMBHANA (VASU),MALE,45,GENERAL,YGATLSIP,Road roller,1307632,1275992,1758,3,1761,0.11,0.13,0.14,1590994,,,
Andhra Pradesh,Vizianagaram,MARISERLA KRISHNAMURTHY NAIDU,MALE,50,GENERAL,IND,Pot,1307632,1275992,1617,12,1629,0.1,0.12,0.13,1590994,,,
Andhra Pradesh,Vizianagaram,VANGAPANDU MAHESWARA RAO,MALE,37,GENERAL,NBBHNRSVP,Television,1307632,1275992,1544,9,1553,0.1,0.12,0.12,1590994,,,
Andhra Pradesh,Vizianagaram,CHINNAM ARUNA KUMAR,MALE,46,SC,JRBP,Coat,1307632,1275992,1401,10,1411,0.09,0.11,0.11,1590994,,,
Andhra Pradesh,Vizianagaram,ATCHIYYA NAIDU SAMIREDDY,MALE,55,GENERAL,SP,Bicycle pump,1307632,1275992,1059,11,1070,0.07,0.08,0.08,1590994,,,
Andhra Pradesh,Vizianagaram,ADINARAYANA TADDI,MALE,61,GENERAL,IND,Belt,1307632,1275992,855,1,856,0.05,0.07,0.07,1590994,,,
Andhra Pradesh,Vizianagaram,P V A ANANDA SAGAR,MALE,60,GENERAL,IND,Cot,1307632,1275992,787,4,791,0.05,0.06,0.06,1590994,,,
Andhra Pradesh,Vizianagaram,SAKHINETI ANANTHA RAJU,MALE,50,GENERAL,PPOI,Flute,1307632,1275992,715,10,725,0.05,0.06,0.06,1590994,,,
Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,MALE,35,GENERAL,TDP,Bicycle,1391130,1381812,893884,13583,907467,46.98,65.23,65.67,1931398,,,
Andhra Pradesh,Visakhapatnam,JHANSI LAKSHMI. BOTCHA.,FEMALE,61,GENERAL,YSRCP,Ceiling fan,1391130,1381812,397821,5399,403220,20.88,28.99,29.18,1931398,,,
Andhra Pradesh,Visakhapatnam,P. SATYA REDDY,MALE,52,GENERAL,INC,Hand,1391130,1381812,29430,837,30267,1.57,2.18,2.19,1931398,,,
Andhra Pradesh,Visakhapatnam,K.A. PAUL,MALE,60,GENERAL,PRSHP,Pot,1391130,1381812,7529,167,7696,0.4,0.55,0.56,1931398,,,
Andhra Pradesh,Visakhapatnam,PEDAPENKI SIVA PRASADA RAO,MALE,57,GENERAL,BSP,Elephant,1391130,1381812,6006,85,6091,0.32,0.44,0.44,1931398,,,
Andhra Pradesh,Visakhapatnam,NOTA,,,,NOTA,NOTA,1391130,1381812,5171,142,5313,0.28,0.38,0.38,1931398,,,
Andhra Pradesh,Visakhapatnam,BIKKAVOLU. CHALAMAJI,MALE,43,GENERAL,NRCP,Bucket,1391130,1381812,4883,1,4884,0.25,0.35,0.35,1931398,,,
Andhra Pradesh,Visakhapatnam,V.N. SATYA NARAYANA,MALE,44,GENERAL,RPC(S),Ring,1391130,1381812,2534,3,2537,0.13,0.18,0.18,1931398,,,
Andhra Pradesh,Visakhapatnam,ARUNA SRI MURALA,FEMALE,53,GENERAL,IND,Mixee,1391130,1381812,1991,2,1993,0.1,0.14,0.14,1931398,,,
Andhra Pradesh,Visakhapatnam,VASUPILLI SURESH,MALE,54,GENERAL,IND,Lighter,1391130,1381812,1931,2,1933,0.1,0.14,0.14,1931398,,,
Andhra Pradesh,Visakhapatnam,SONDI KRISHNA.,MALE,52,SC,IND,Basket containing Fruits,1391130,1381812,1811,7,1818,0.09,0.13,0.13,1931398,,,
Andhra Pradesh,Visakhapatnam,ANDUKURI VIJAYA BHASKAR,MALE,55,GENERAL,IPBP,Trumpet,1391130,1381812,1098,11,1109,0.06,0.08,0.08,1931398,,,
Andhra Pradesh,Visakhapatnam,DR. GANAPATHI KONGARAPU.,MALE,42,SC,RPI(A),Diamond,1391130,1381812,944,6,950,0.05,0.07,0.07,1931398,,,
Andhra Pradesh,Visakhapatnam,BANNA. RAMESH,MALE,49,SC,DABAP,Gas cylinder,1391130,1381812,941,7,948,0.05,0.07,0.07,1931398,,,
Andhra Pradesh,Visakhapatnam,P. SATYA VANI,FEMALE,53,GENERAL,PPOI,Flute,1391130,1381812,875,7,882,0.05,0.06,0.06,1931398,,,
Andhra Pradesh,Visakhapatnam,DURGA PRASAD. GUNTU,MALE,57,GENERAL,BRRTD,Computer,1391130,1381812,760,7,767,0.04,0.06,0.06,1931398,,,
Andhra Pradesh,Visakhapatnam,CHAPPIDI RAMU,MALE,49,SC,IND,Room cooler,1391130,1381812,756,1,757,0.04,0.05,0.05,1931398,,,
Andhra Pradesh,Visakhapatnam,M.G.M. KHAN,MALE,37,GENERAL,IND,Pen nib with seven rays,1391130,1381812,738,4,742,0.04,0.05,0.05,1931398,,,
Andhra Pradesh,Visakhapatnam,SHANKAR DEVARA YADAV,MALE,26,GENERAL,IND,Scissors,1391130,1381812,656,5,661,0.03,0.05,0.05,1931398,,,
Andhra Pradesh,Visakhapatnam,VENU MADHAV KARRI,MALE,48,GENERAL,IND,Ship,1391130,1381812,646,1,647,0.03,0.05,0.05,1931398,,,
Andhra Pradesh,Visakhapatnam,DR. ACHUTHA BALAJI YADAV (MURAPALA),MALE,39,GENERAL,BCYP,Ganna kisan,1391130,1381812,628,10,638,0.03,0.05,0.05,1931398,,,
Andhra Pradesh,Visakhapatnam,THOTA VENKATA SAI MUKUND,MALE,29,GENERAL,PRJPP,Boat with man and sail,1391130,1381812,628,5,633,0.03,0.05,0.05,1931398,,,
Andhra Pradesh,Visakhapatnam,PIDIDHI APPARAO,MALE,44,SC,IND,Sewing machine,1391130,1381812,576,4,580,0.03,0.04,0.04,1931398,,,
Andhra Pradesh,Visakhapatnam,G.A.N. ANAND,MALE,38,GENERAL,IND,Bat,1391130,1381812,543,0,543,0.03,0.04,0.04,1931398,,,
Andhra Pradesh,Visakhapatnam,VADDI. HARI GANESH,MALE,42,GENERAL,IND,CCTV Camera,1391130,1381812,518,2,520,0.03,0.04,0.04,1931398,,,
Andhra Pradesh,Visakhapatnam,JANARDHAN PONNADA.,MALE,31,SC,IND,Funnel,1391130,1381812,499,1,500,0.03,0.04,0.04,1931398,,,
Andhra Pradesh,Visakhapatnam,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),MALE,49,GENERAL,JMBP,Whistle,1391130,1381812,494,6,500,0.03,0.04,0.04,1931398,,,
Andhra Pradesh,Visakhapatnam,JALADI VIJAYA KUMARI,FEMALE,52,SC,SP,Bicycle pump,1391130,1381812,463,3,466,0.02,0.03,0.03,1931398,,,
Andhra Pradesh,Visakhapatnam,CHINTADA SURYAM,MALE,56,SC,NBBHNRSVP,Television,1391130,1381812,443,5,448,0.02,0.03,0.03,1931398,,,
Andhra Pradesh,Visakhapatnam,GANDIKOTA RAJESH,MALE,43,GENERAL,NavaP,Mike,1391130,1381812,392,1,393,0.02,0.03,0.03,1931398,,,
Andhra Pradesh,Visakhapatnam,KOLLI NAGA RAJU,MALE,38,SC,IND,Biscuit,1391130,1381812,322,7,329,0.02,0.02,0.02,1931398,,,
Andhra Pradesh,Visakhapatnam,METTA RAMA RAO,MALE,58,GENERAL,IND,Cot,1391130,1381812,320,6,326,0.02,0.02,0.02,1931398,,,
Andhra Pradesh,Visakhapatnam,LAGUDU. GOVINDA RAO,MALE,44,GENERAL,IND,Pressure cooker,1391130,1381812,293,1,294,0.02,0.02,0.02,1931398,,,
Andhra Pradesh,Visakhapatnam,MALLA SRAVANI,FEMALE,51,GENERAL,IND,Bench,1391130,1381812,271,2,273,0.01,0.02,0.02,1931398,,,
Andhra Pradesh,Anakapalle,C.M.RAMESH,MALE,58,GENERAL,BJP,Lotus,1328726,1299097,750027,12042,762069,47.59,57.35,58.66,1601365,,,
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,MALE,60,GENERAL,YSRCP,Ceiling fan,1328726,1299097,459762,5777,465539,29.07,35.04,35.84,1601365,,,
Andhra Pradesh,Anakapalle,NOTA,,,,NOTA,NOTA,1328726,1299097,26084,151,26235,1.64,1.97,2.02,1601365,,,
Andhra Pradesh,Anakapalle,VEGI VENKATESH,MALE,50,GENERAL,INC,Hand,1328726,1299097,24833,818,25651,1.6,1.93,1.97,1601365,,,
Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,MALE,54,GENERAL,BSP,Elephant,1328726,1299097,19082,75,19157,1.2,1.44,1.47,1601365,,,
Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,MALE,70,GENERAL,IND,Air conditioner,1328726,1299097,4001,1,4002,0.25,0.3,0.31,1601365,,,
Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,MALE,36,GENERAL,IND,Telephone,1328726,1299097,3845,7,3852,0.24,0.29,0.3,1601365,,,
Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,MALE,50,SC,DABAP,Gas cylinder,1328726,1299097,3549,8,3557,0.22,0.27,0.27,1601365,,,
Andhra Pradesh,Anakapalle,GARA SURYA RAO,MALE,70,SC,IND,Slate,1328726,1299097,3116,8,3124,0.2,0.24,0.24,1601365,,,
Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,MALE,54,GENERAL,BCYP,Ganna kisan,1328726,1299097,2589,30,2619,0.16,0.2,0.2,1601365,,,
Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,MALE,60,SC,IND,Lighter,1328726,1299097,2179,5,2184,0.14,0.16,0.17,1601365,,,
Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,MALE,39,GENERAL,JBNP,Battery Torch,1328726,1299097,1886,27,1913,0.12,0.14,0.15,1601365,,,
Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,FEMALE,43,GENERAL,PPOI,Flute,1328726,1299097,1578,13,1591,0.1,0.12,0.12,1601365,,,
Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI SHANKAR,MALE,35,GENERAL,IND,Mike,1328726,1299097,1567,9,1576,0.1,0.12,0.12,1601365,,,
Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,MALE,54,GENERAL,IND,Bat,1328726,1299097,1195,6,1201,0.07,0.09,0.09,1601365,,,
Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,MALE,42,GENERAL,IND,Cot,1328726,1299097,1055,7,1062,0.07,0.08,0.08,1601365,,,
Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),MALE,38,GENERAL,JnP,Glass tumbler,1331386,1312583,718971,10728,729699,44.63,54.81,55.59,1634921,,,
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,MALE,54,GENERAL,YSRCP,Ceiling fan,1331386,1312583,495188,5020,500208,30.6,37.57,38.11,1634921,,,
Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,MALE,56,GENERAL,INC,Hand,1331386,1312583,20258,851,21109,1.29,1.59,1.61,1634921,,,
Andhra Pradesh,Kakinada,NOTA,,,,NOTA,NOTA,1331386,1312583,17105,115,17220,1.05,1.29,1.31,1634921,,,
Andhra Pradesh,Kakinada,UDAY,MALE,41,GENERAL,NRCP,Bucket,1331386,1312583,15578,125,15703,0.96,1.18,1.2,1634921,,,
Andhra Pradesh,Kakinada,KANDREGULA NARASIMHAM,MALE,55,GENERAL,BSP,Elephant,1331386,1312583,11916,63,11979,0.73,0.9,0.91,1634921,,,
Andhra Pradesh,Kakinada,DR ANUSHA YADAV,FEMALE,25,GENERAL,BCYP,Ganna kisan,1331386,1312583,9818,36,9854,0.6,0.74,0.75,1634921,,,
Andhra Pradesh,Kakinada,TANGELLA SRINIVASU,MALE,32,GENERAL,JJSP,Pen stand,1331386,1312583,6516,43,6559,0.4,0.49,0.5,1634921,,,
Andhra Pradesh,Kakinada,YEDIDA VARA PRASAD KUMAR,MALE,55,SC,RPI(A),Ship,1331386,1312583,3924,3,3927,0.24,0.29,0.3,1634921,,,
Andhra Pradesh,Kakinada,BUGATHA BANGARRAO,MALE,63,GENERAL,CPI(ML)(L),Flag with three stars,1331386,1312583,2816,7,2823,0.17,0.21,0.22,1634921,,,
Andhra Pradesh,Kakinada,SUDHA VEERA GANESH,MALE,33,GENERAL,IND,CCTV Camera,1331386,1312583,2645,2,2647,0.16,0.2,0.2,1634921,,,
Andhra Pradesh,Kakinada,BHAVANI SANKAR PRASAD MERLA,MALE,64,GENERAL,IND,Pressure cooker,1331386,1312583,1963,6,1969,0.12,0.15,0.15,1634921,,,
Andhra Pradesh,Kakinada,YENUGUPALLI KRISHNA,MALE,44,SC,JRBP,Coat,1331386,1312583,1762,18,1780,0.11,0.13,0.14,1634921,,,
Andhra Pradesh,Kakinada,BODDETI APPARAO,MALE,31,GENERAL,IND,Diamond,1331386,1312583,1687,0,1687,0.1,0.13,0.13,1634921,,,
Andhra Pradesh,Kakinada,NEELAKANTAM DONAM,MALE,52,SC,IND,Ring,1331386,1312583,1401,11,1412,0.09,0.11,0.11,1634921,,,
Andhra Pradesh,Kakinada,PASUPULETI S.V.S.BHUSHANAM,MALE,53,GENERAL,IND,Matchbox,1331386,1312583,1222,5,1227,0.08,0.09,0.09,1634921,,,
Andhra Pradesh,Amalapuram,G M HARISH (BALAYOGI),MALE,33,SC,TDP,Bicycle,1301934,1287588,786149,10832,796981,52.01,61.22,61.9,1532229,,,
Andhra Pradesh,Amalapuram,RAPAKA VARAPRASADA RAO,MALE,65,SC,YSRCP,Ceiling fan,1301934,1287588,450362,4423,454785,29.68,34.93,35.32,1532229,,,
Andhra Pradesh,Amalapuram,GOUTHAM JANGA,MALE,54,SC,INC,Hand,1301934,1287588,14523,559,15082,0.98,1.16,1.17,1532229,,,
Andhra Pradesh,Amalapuram,NOTA,,,,NOTA,NOTA,1301934,1287588,13418,100,13518,0.88,1.04,1.05,1532229,,,
Andhra Pradesh,Amalapuram,DORABABU YALLA,MALE,59,SC,BSP,Elephant,1301934,1287588,5202,186,5388,0.35,0.41,0.42,1532229,,,
Andhra Pradesh,Amalapuram,KATRU NAGA BABU,MALE,30,SC,TLGUNGP,Diamond,1301934,1287588,3736,5,3741,0.24,0.29,0.29,1532229,,,
Andhra Pradesh,Amalapuram,VADDI LALITH KUMAR,MALE,64,SC,IND,Bucket,1301934,1287588,2974,3,2977,0.19,0.23,0.23,1532229,,,
Andhra Pradesh,Amalapuram,MAKEY DAVY PRASAD,MALE,71,SC,IND,Whistle,1301934,1287588,2104,7,2111,0.14,0.16,0.16,1532229,,,
Andhra Pradesh,Amalapuram,GUDE VENKATESWARULU,MALE,51,SC,IND,Coconut farm,1301934,1287588,1741,4,1745,0.11,0.13,0.14,1532229,,,
Andhra Pradesh,Amalapuram,RAMESH JILLELLA,MALE,28,SC,JJSP,Pen stand,1301934,1287588,866,6,872,0.06,0.07,0.07,1532229,,,
Andhra Pradesh,Amalapuram,YALANGI RAMESH,MALE,61,SC,JRBP,Coat,1301934,1287588,738,2,740,0.05,0.06,0.06,1532229,,,
Andhra Pradesh,Amalapuram,GIDDI JNANA PRAKASA RAO,MALE,62,SC,RPI,Apple,1301934,1287588,717,9,726,0.05,0.06,0.06,1532229,,,
Andhra Pradesh,Amalapuram,MATHA KRISHNA,MALE,39,SC,PPOI,Television,1301934,1287588,718,1,719,0.05,0.06,0.06,1532229,,,
Andhra Pradesh,Amalapuram,YADLA RAJESH,MALE,32,SC,LBCP,Well,1301934,1287588,628,7,635,0.04,0.05,0.05,1532229,,,
Andhra Pradesh,Amalapuram,KAPA KALYAN,MALE,47,SC,RPPRINAT,Jackfruit,1301934,1287588,579,2,581,0.04,0.04,0.05,1532229,,,
Andhra Pradesh,Amalapuram,PATHURI RAMESH,MALE,39,SC,PPID,Air conditioner,1301934,1287588,502,3,505,0.03,0.04,0.04,1532229,,,
Andhra Pradesh,Rajahmundry,DAGGUBATI PURANDHESHWARI,FEMALE,67,GENERAL,BJP,Lotus,1329162,1300862,718641,7874,726515,44.74,54.66,55.85,1623852,,,
Andhra Pradesh,Rajahmundry,DR. GUDURI SRINIVAS,MALE,60,GENERAL,YSRCP,Ceiling fan,1329162,1300862,483172,4204,487376,30.01,36.67,37.47,1623852,,,
Andhra Pradesh,Rajahmundry,GIDUGU RUDRARAJU,MALE,55,GENERAL,INC,Hand,1329162,1300862,31441,1067,32508,2,2.45,2.5,1623852,,,
Andhra Pradesh,Rajahmundry,NOTA,,,,NOTA,NOTA,1329162,1300862,24302,133,24435,1.5,1.84,1.88,1623852,,,
Andhra Pradesh,Rajahmundry,GANESWARA RAO PARAMATA,MALE,62,SC,BSP,Elephant,1329162,1300862,20277,132,20409,1.26,1.54,1.57,1623852,,,
Andhra Pradesh,Rajahmundry,BATTULA BALARAMAKRISHNA,MALE,31,GENERAL,NRCP,Bucket,1329162,1300862,16930,78,17008,1.05,1.28,1.31,1623852,,,
Andhra Pradesh,Rajahmundry,SALOPANTULA RAGHAVENDRA RAO,MALE,50,GENERAL,IND,CCTV Camera,1329162,1300862,3261,17,3278,0.2,0.25,0.25,1623852,,,
Andhra Pradesh,Rajahmundry,DR. MEDISI RATNARAO ALIAS VINAY,MALE,45,GENERAL,IND,Funnel,1329162,1300862,3109,6,3115,0.19,0.23,0.24,1623852,,,
Andhra Pradesh,Rajahmundry,MOHANARAO SINGULURI,MALE,35,GENERAL,JBNP,Battery Torch,1329162,1300862,2818,15,2833,0.17,0.21,0.22,1623852,,,
Andhra Pradesh,Rajahmundry,MEDA SRINIVASA RAO,MALE,54,GENERAL,RPC(S),Gas cylinder,1329162,1300862,2422,7,2429,0.15,0.18,0.19,1623852,,,
Andhra Pradesh,Rajahmundry,BOMMANABOINA VSR MURTHY,MALE,67,GENERAL,IND,Batsman,1329162,1300862,2173,6,2179,0.13,0.16,0.17,1623852,,,
Andhra Pradesh,Rajahmundry,BHANU CHANDAR KURUVELLA,MALE,39,SC,IND,Cauliflower,1329162,1300862,1955,3,1958,0.12,0.15,0.15,1623852,,,
Andhra Pradesh,Rajahmundry,JALLI BALA NAVEENA,FEMALE,43,SC,IND,Telephone,1329162,1300862,1250,4,1254,0.08,0.09,0.1,1623852,,,
