33 - CONSTITUENCY WISE DETAILED RESULT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Votes Secured,,,% of Votes Secured,,,,,,
State Name,PC Name,Candidate Name,Gender,Age,Category,Party Name,Party Symbol,"Total Votes Polled In
The Constituency",Valid Votes,General,Postal,Total,Over Total Electors In Constituency,Over Total Votes Polled In Constituency,Over Total Valid Votes Polled In Constituency,Total Electors,,,
Andhra Pradesh,Thirupathi,GURUMOORTHY MADDILA,MALE,38,SC,YSRCP,Ceiling fan,1387466,1366452,626702,5526,632228,36.54,45.57,46.27,1730318,,,
Andhra Pradesh,Thirupathi,VARA PRASAD RAO VELAGAPALLI,MALE,71,SC,BJP,Lotus,1387466,1366452,608494,9165,617659,35.7,44.52,45.2,1730318,,,
Andhra Pradesh,Thirupathi,CHINTA MOHAN,MALE,69,SC,INC,Hand,1387466,1366452,63790,1733,65523,3.79,4.72,4.8,1730318,,,
Andhra Pradesh,Thirupathi,NOTA,,,,NOTA,NOTA,1387466,1366452,15909,209,16118,0.93,1.16,1.18,1730318,,,
Andhra Pradesh,Thirupathi,PENUMURU. GURAPPA,MALE,66,SC,BSP,Elephant,1387466,1366452,10300,206,10506,0.61,0.76,0.77,1730318,,,
Andhra Pradesh,Thirupathi,KATTAMANCHI. PRABHAKAR,MALE,53,SC,IND,Bat,1387466,1366452,5796,6,5802,0.34,0.42,0.42,1730318,,,
Andhra Pradesh,Thirupathi,M UMADEVI,FEMALE,36,SC,JAC,Ganna kisan,1387466,1366452,5387,38,5425,0.31,0.39,0.4,1730318,,,
Andhra Pradesh,Thirupathi,ALLAM.RAJA,MALE,61,SC,IND,Bench,1387466,1366452,4948,22,4970,0.29,0.36,0.36,1730318,,,
Andhra Pradesh,Thirupathi,VIJAY KUMAR G.SRKR,MALE,61,SC,LBCP,Well,1387466,1366452,4108,194,4302,0.25,0.31,0.31,1730318,,,
Andhra Pradesh,Thirupathi,ANJAIAH.P,MALE,59,SC,RPI(A),Sewing machine,1387466,1366452,3657,9,3666,0.21,0.26,0.27,1730318,,,
Andhra Pradesh,Thirupathi,V.C. NAVEEN GUPTA,MALE,46,SC,IND,Table,1387466,1366452,1723,8,1731,0.1,0.12,0.13,1730318,,,
Andhra Pradesh,Thirupathi,A. VARAPRASAD,MALE,51,SC,JJSP,Pen stand,1387466,1366452,1668,30,1698,0.1,0.12,0.12,1730318,,,
Andhra Pradesh,Thirupathi,SYAMDHAN KURAPATI,MALE,53,SC,AHNP,Chapati roller,1387466,1366452,1567,1,1568,0.09,0.11,0.11,1730318,,,
Andhra Pradesh,Thirupathi,C. PUNYAMURTHY,MALE,50,SC,URPI,Gas cylinder,1387466,1366452,1511,4,1515,0.09,0.11,0.11,1730318,,,
Andhra Pradesh,Thirupathi,KARRA SIVA,MALE,34,SC,PPOI,Television,1387466,1366452,1501,9,1510,0.09,0.11,0.11,1730318,,,
Andhra Pradesh,Thirupathi,VELURU. THEJOVATHI,FEMALE,41,SC,SP,Bicycle pump,1387466,1366452,1362,27,1389,0.08,0.1,0.1,1730318,,,
Andhra Pradesh,Thirupathi,C. DAVID,MALE,43,SC,IBP,Almirah,1387466,1366452,1237,2,1239,0.07,0.09,0.09,1730318,,,
Andhra Pradesh,Thirupathi,K. JEEVARATHNAM,MALE,38,SC,IND,Binoculars,1387466,1366452,1203,1,1204,0.07,0.09,0.09,1730318,,,
Andhra Pradesh,Thirupathi,DASARI. GOWTHAM,MALE,28,SC,IND,Black board,1387466,1366452,1077,10,1087,0.06,0.08,0.08,1730318,,,
Andhra Pradesh,Thirupathi,VIJAYA KUMAR.G,MALE,46,SC,IND,Brief case,1387466,1366452,797,4,801,0.05,0.06,0.06,1730318,,,
Andhra Pradesh,Thirupathi,A. MADHU,MALE,31,SC,JHUP,T.V. Remote,1387466,1366452,711,0,711,0.04,0.05,0.05,1730318,,,
Andhra Pradesh,Thirupathi,B. BHARANI BAS,MALE,45,SC,ANC,Balloon,1387466,1366452,688,0,688,0.04,0.05,0.05,1730318,,,
Andhra Pradesh,Thirupathi,Y. MAHESH,MALE,26,SC,IND,Battery Torch,1387466,1366452,615,7,622,0.04,0.04,0.05,1730318,,,
Andhra Pradesh,Thirupathi,PRASAD PATIBANDLA,MALE,40,SC,IND,Brick,1387466,1366452,607,1,608,0.04,0.04,0.04,1730318,,,
Andhra Pradesh,Rajampet,P V MIDHUN REDDY,MALE,46,GENERAL,YSRCP,Ceiling fan,1337920,1321539,639111,5733,644844,38.67,48.2,48.79,1667385,,,
Andhra Pradesh,Rajampet,NALLARI KIRAN KUMAR REDDY,MALE,63,GENERAL,BJP,Lotus,1337920,1321539,557030,11743,568773,34.11,42.51,43.04,1667385,,,
Andhra Pradesh,Rajampet,SHAIK BASHEED,MALE,38,GENERAL,INC,Hand,1337920,1321539,52229,1071,53300,3.2,3.98,4.03,1667385,,,
Andhra Pradesh,Rajampet,ABBAVARAM UGENDRA,MALE,44,SC,BSP,Elephant,1337920,1321539,12306,57,12363,0.74,0.92,0.94,1667385,,,
Andhra Pradesh,Rajampet,NOTA,,,,NOTA,NOTA,1337920,1321539,11324,76,11400,0.68,0.85,0.86,1667385,,,
Andhra Pradesh,Rajampet,POOLA REDDY SEKHAR,MALE,71,ST,IND,Bangles,1337920,1321539,6097,3,6100,0.37,0.46,0.46,1667385,,,
Andhra Pradesh,Rajampet,NAGARAJU JETTI,MALE,26,GENERAL,IND,Baby walker,1337920,1321539,5984,15,5999,0.36,0.45,0.45,1667385,,,
Andhra Pradesh,Rajampet,PRADEEP PENUNADU,MALE,40,GENERAL,IND,Basket containing Fruits,1337920,1321539,5671,1,5672,0.34,0.42,0.43,1667385,,,
Andhra Pradesh,Rajampet,SUBBANARASAIAH CHOUDVARAM,MALE,26,SC,IND,Bat,1337920,1321539,4731,4,4735,0.28,0.35,0.36,1667385,,,
Andhra Pradesh,Rajampet,PULI SREENIVASULU,MALE,44,GENERAL,IND,Chappals,1337920,1321539,4613,3,4616,0.28,0.35,0.35,1667385,,,
Andhra Pradesh,Rajampet,MARRIPATI SREENIVASULU,MALE,50,SC,IND,Diamond,1337920,1321539,4436,7,4443,0.27,0.33,0.34,1667385,,,
Andhra Pradesh,Rajampet,AKBAR M BASHA,MALE,65,GENERAL,AYSRCP,Whistle,1337920,1321539,2394,17,2411,0.14,0.18,0.18,1667385,,,
Andhra Pradesh,Rajampet,NAGESWARA RAJU SANGARAJU,MALE,37,GENERAL,IND,Balloon,1337920,1321539,1523,12,1535,0.09,0.11,0.12,1667385,,,
Andhra Pradesh,Rajampet,MADA RAJA,MALE,34,GENERAL,JCVIVP,Gas cylinder,1337920,1321539,1415,0,1415,0.08,0.11,0.11,1667385,,,
Andhra Pradesh,Rajampet,BATTHALA RAMANAIAH,MALE,49,GENERAL,JBNP,Battery Torch,1337920,1321539,1360,6,1366,0.08,0.1,0.1,1667385,,,
Andhra Pradesh,Rajampet,DODDAPANENI RAJA NAIDU,MALE,25,GENERAL,IND,Almirah,1337920,1321539,1315,3,1318,0.08,0.1,0.1,1667385,,,
Andhra Pradesh,Rajampet,MAYANA MOHAMMED SALMAN KHAN,MALE,30,GENERAL,LBCP,Well,1337920,1321539,1069,2,1071,0.06,0.08,0.08,1667385,,,
Andhra Pradesh,Rajampet,KASTURI OBAIAH NAIDU,MALE,69,GENERAL,IND,Apple,1337920,1321539,885,2,887,0.05,0.07,0.07,1667385,,,
Andhra Pradesh,Rajampet,ASADI VENKATADRI,MALE,62,SC,IND,Air conditioner,1337920,1321539,689,2,691,0.04,0.05,0.05,1667385,,,
Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,MALE,62,SC,TDP,Bicycle,1425910,1406881,765536,12535,778071,47.34,54.57,55.3,1643593,,,
Andhra Pradesh,Chittoor,REDDEPPA.N .,MALE,73,SC,YSRCP,Ceiling fan,1425910,1406881,552469,5123,557592,33.93,39.1,39.63,1643593,,,
Andhra Pradesh,Chittoor,MOTUKUR JAGAPATHI,MALE,48,SC,INC,Hand,1425910,1406881,29431,719,30150,1.83,2.11,2.14,1643593,,,
Andhra Pradesh,Chittoor,THOGURU VIJAYA KUMAR,MALE,64,SC,BSP,Elephant,1425910,1406881,13389,122,13511,0.82,0.95,0.96,1643593,,,
Andhra Pradesh,Chittoor,NOTA,,,,NOTA,NOTA,1425910,1406881,11812,164,11976,0.73,0.84,0.85,1643593,,,
Andhra Pradesh,Chittoor,YUGANDAR . KONDA,MALE,36,SC,IND,Glass tumbler,1425910,1406881,6889,84,6973,0.42,0.49,0.5,1643593,,,
Andhra Pradesh,Chittoor,K.MUNI KRISHNA,MALE,35,SC,IND,Almirah,1425910,1406881,3954,2,3956,0.24,0.28,0.28,1643593,,,
Andhra Pradesh,Chittoor,P.JANAKI RAMA RAO ( BABU),MALE,52,SC,NMSP,Hockey and ball,1425910,1406881,2822,11,2833,0.17,0.2,0.2,1643593,,,
Andhra Pradesh,Chittoor,PETA.MOHAN .,MALE,35,SC,IND,Cot,1425910,1406881,2365,1,2366,0.14,0.17,0.17,1643593,,,
Andhra Pradesh,Chittoor,C.SUDHAKAR,MALE,48,SC,IND,Camera,1425910,1406881,1934,1,1935,0.12,0.14,0.14,1643593,,,
Andhra Pradesh,Chittoor,N.CHANDRABABU,MALE,40,SC,IND,Bangles,1425910,1406881,1878,7,1885,0.11,0.13,0.13,1643593,,,
Andhra Pradesh,Chittoor,MADASI SUDHARSHAN,MALE,32,SC,IND,Bucket,1425910,1406881,1575,3,1578,0.1,0.11,0.11,1643593,,,
Andhra Pradesh,Chittoor,D.MAHESH,MALE,36,SC,IND,Bat,1425910,1406881,1109,10,1119,0.07,0.08,0.08,1643593,,,
Andhra Pradesh,Chittoor,P.MADHU,MALE,34,SC,IND,Stumps,1425910,1406881,902,4,906,0.06,0.06,0.06,1643593,,,
Andhra Pradesh,Chittoor,N.BHUPATHI,MALE,33,SC,IND,Ganna kisan,1425910,1406881,862,32,894,0.05,0.06,0.06,1643593,,,
Andhra Pradesh,Chittoor,A. PURNA CHANDRA,MALE,37,SC,IND,Rubber stamp,1425910,1406881,856,1,857,0.05,0.06,0.06,1643593,,,
Andhra Pradesh,Chittoor,PALLIPATTU.ABHINAV VISHNU,MALE,32,SC,SP,Bicycle pump,1425910,1406881,670,6,676,0.04,0.05,0.05,1643593,,,
Andhra Pradesh,Chittoor,N.GANGAIAH .,MALE,34,SC,IND,Apple,1425910,1406881,547,5,552,0.03,0.04,0.04,1643593,,,
Andhra Pradesh,Chittoor,T NARESH,MALE,30,SC,IND,Batsman,1425910,1406881,532,2,534,0.03,0.04,0.04,1643593,,,
Andhra Pradesh,Chittoor,BANDAPALLI RAMESH,MALE,37,SC,IND,Air conditioner,1425910,1406881,490,3,493,0.03,0.03,0.04,1643593,,,
Arunachal Pradesh,Arunachal West,KIREN RIJIJU,MALE,53,ST,BJP,Lotus,402330,397508,196415,9002,205417,39.5,51.06,51.68,520085,,,
Arunachal Pradesh,Arunachal West,NABAM TUKI,MALE,56,ST,INC,Hand,402330,397508,100100,4579,104679,20.13,26.02,26.33,520085,,,
Arunachal Pradesh,Arunachal West,TECHI RANA,MALE,28,ST,IND,Television,402330,397508,31106,2208,33314,6.41,8.28,8.38,520085,,,
Arunachal Pradesh,Arunachal West,TOKO SHEETAL,FEMALE,43,ST,GNASURKP,Battery Torch,402330,397508,27670,2860,30530,5.87,7.59,7.68,520085,,,
Arunachal Pradesh,Arunachal West,BIMPAK SIGA,MALE,41,ST,IND,Throwing a javelin,402330,397508,10569,949,11518,2.21,2.86,2.9,520085,,,
Arunachal Pradesh,Arunachal West,RUHI TAGUNG,MALE,53,ST,IND,CCTV Camera,402330,397508,7559,262,7821,1.5,1.94,1.97,520085,,,
Arunachal Pradesh,Arunachal West,NOTA,,,,NOTA,NOTA,402330,397508,2133,163,2296,0.44,0.57,0.58,520085,,,
Arunachal Pradesh,Arunachal West,LEKI NORBU,MALE,38,ST,IND,Balloon,402330,397508,2139,132,2271,0.44,0.56,0.57,520085,,,
Arunachal Pradesh,Arunachal West,TANIA JUNE,MALE,36,ST,IND,Auto- rickshaw,402330,397508,1920,38,1958,0.38,0.49,0.49,520085,,,
Arunachal Pradesh,Arunachal East,TAPIR GAO,MALE,59,ST,BJP,Lotus,326063,318548,140715,4866,145581,38.48,44.65,45.7,378357,,,
Arunachal Pradesh,Arunachal East,BOSIRAM SIRAM,MALE,57,ST,INC,Hand,326063,318548,109433,5727,115160,30.44,35.32,36.15,378357,,,
Arunachal Pradesh,Arunachal East,TAMAT GAMOH,MALE,55,ST,IND,Battery Torch,326063,318548,26691,912,27603,7.3,8.47,8.67,378357,,,
Arunachal Pradesh,Arunachal East,SOTAI KRI,MALE,54,ST,IND,Gas cylinder,326063,318548,13227,986,14213,3.76,4.36,4.46,378357,,,
Arunachal Pradesh,Arunachal East,OMAK NITIK,MALE,30,ST,IND,Truck,326063,318548,9074,295,9369,2.48,2.87,2.94,378357,,,
Arunachal Pradesh,Arunachal East,BANDEY MILI,MALE,43,ST,ANCHDMCP,Diamond,326063,318548,6419,203,6622,1.75,2.03,2.08,378357,,,
Arunachal Pradesh,Arunachal East,NOTA,,,,NOTA,NOTA,326063,318548,4654,241,4895,1.29,1.5,1.54,378357,,,
Assam,Kokrajhar,JOYANTA BASUMATARY,MALE,48,ST,UPPL,Tractor chalata kisan,1254499,1227584,484681,4314,488995,32.72,38.98,39.83,1494404,,,
Assam,Kokrajhar,KAMPA BORGOYARI,MALE,58,ST,BOPF,Nangol,1254499,1227584,432768,4644,437412,29.27,34.87,35.63,1494404,,,
Assam,Kokrajhar,GARJAN MASHAHARY,MALE,49,ST,INC,Hand,1254499,1227584,112624,1112,113736,7.61,9.07,9.27,1494404,,,
Assam,Kokrajhar,BINITA DEKA,FEMALE,38,ST,GNASURKP,Battery Torch,1254499,1227584,93266,923,94189,6.3,7.51,7.67,1494404,,,
Assam,Kokrajhar,PRITHVIRAJ NARAYAN DEV MECH,MALE,26,ST,IND,Auto- rickshaw,1254499,1227584,33636,101,33737,2.26,2.69,2.75,1494404,,,
Assam,Kokrajhar,GAURI SANKAR SARANIA,MALE,59,ST,AITC,Flowers and Grass,1254499,1227584,23362,157,23519,1.57,1.87,1.92,1494404,,,
Assam,Kokrajhar,NOTA,,,,NOTA,NOTA,1254499,1227584,13662,250,13912,0.93,1.11,1.13,1494404,,,
Assam,Kokrajhar,RANJAY KR BRAHMA,MALE,35,ST,IND,Ship,1254499,1227584,8782,48,8830,0.59,0.7,0.72,1494404,,,
Assam,Kokrajhar,LALIT PEGU,MALE,42,ST,VPI,Gas cylinder,1254499,1227584,7891,41,7932,0.53,0.63,0.65,1494404,,,
Assam,Kokrajhar,JYOTISH KUMAR DAS,MALE,46,ST,IND,Diamond,1254499,1227584,5944,162,6106,0.41,0.49,0.5,1494404,,,
Assam,Kokrajhar,TRIPTINA RABHA,FEMALE,30,ST,IND,Nagrik,1254499,1227584,4425,115,4540,0.3,0.36,0.37,1494404,,,
Assam,Kokrajhar,PANKAJ ISLARY,MALE,58,ST,IND,Pot,1254499,1227584,4473,35,4508,0.3,0.36,0.37,1494404,,,
Assam,Kokrajhar,AJOY NARZARY,MALE,53,ST,IND,Trumpet,1254499,1227584,4032,48,4080,0.27,0.33,0.33,1494404,,,
Assam,Dhubri,RAKIBUL HUSSAIN,MALE,59,GENERAL,INC,Hand,2458780,2438593,1468549,3336,1471885,55.25,59.86,60.36,2663987,,,
Assam,Dhubri,MOHAMMED BADRUDDIN AJMAL,MALE,68,GENERAL,AIUDF,Lock and key,2458780,2438593,458202,1207,459409,17.25,18.68,18.84,2663987,,,
Assam,Dhubri,ZABED ISLAM,MALE,55,GENERAL,AGP,Elephant,2458780,2438593,435822,2772,438594,16.46,17.84,17.99,2663987,,,
Assam,Dhubri,NOTA,,,,NOTA,NOTA,2458780,2438593,14912,103,15015,0.56,0.61,0.62,2663987,,,
Assam,Dhubri,S. M. JIAUL HAQUE,MALE,53,GENERAL,BGanP,Pot,2458780,2438593,11978,128,12106,0.45,0.49,0.5,2663987,,,
Assam,Dhubri,FARUK KHAN,MALE,47,GENERAL,IND,Auto- rickshaw,2458780,2438593,10986,8,10994,0.41,0.45,0.45,2663987,,,
Assam,Dhubri,BISWAJIT RAY,MALE,50,GENERAL,IND,Truck,2458780,2438593,7615,88,7703,0.29,0.31,0.32,2663987,,,
Assam,Dhubri,ALAKESH ROY,MALE,44,GENERAL,IND,Sitar,2458780,2438593,6950,40,6990,0.26,0.28,0.29,2663987,,,
Assam,Dhubri,HAFIZ BURHANUDDIN,MALE,62,GENERAL,TNRMPI,Gas Stove,2458780,2438593,6934,6,6940,0.26,0.28,0.28,2663987,,,
Assam,Dhubri,RADHARANI BISWAS,FEMALE,48,SC,HSP,Cauliflower,2458780,2438593,6137,150,6287,0.24,0.26,0.26,2663987,,,
Assam,Dhubri,TAHIDUR RAHMAN,MALE,44,GENERAL,VPI,Gas cylinder,2458780,2438593,5384,8,5392,0.2,0.22,0.22,2663987,,,
Assam,Dhubri,SHUKUR ALI,MALE,30,GENERAL,AJM,Coconut farm,2458780,2438593,4749,43,4792,0.18,0.19,0.2,2663987,,,
Assam,Dhubri,SURAT ZAMAN MONDAL,MALE,69,GENERAL,SUCI,Battery Torch,2458780,2438593,3984,31,4015,0.15,0.16,0.16,2663987,,,
Assam,Dhubri,REJAUL KARIM,MALE,40,GENERAL,RPPRINAT,Ship,2458780,2438593,3481,5,3486,0.13,0.14,0.14,2663987,,,
Assam,Barpeta,PHANI BHUSAN CHOUDHURY,MALE,72,GENERAL,AGP,Elephant,1690051,1668826,853642,6471,860113,43.46,50.89,51.54,1979051,,,
Assam,Barpeta,DEEP BAYAN,MALE,50,GENERAL,INC,Hand,1690051,1668826,635411,2351,637762,32.23,37.74,38.22,1979051,,,
Assam,Barpeta,MANORANJAN TALUKDAR,MALE,70,GENERAL,CPI(M),"Hammer, Sickle and Star",1690051,1668826,95020,1118,96138,4.86,5.69,5.76,1979051,,,
Assam,Barpeta,NOTA,,,,NOTA,NOTA,1690051,1668826,16888,229,17117,0.86,1.01,1.03,1979051,,,
Assam,Barpeta,ABUL KALAM AZAD,MALE,59,GENERAL,AITC,Flowers and Grass,1690051,1668826,16359,73,16432,0.83,0.97,0.98,1979051,,,
Assam,Barpeta,DEWAN MOHIBUL ISLAM,MALE,26,GENERAL,IND,Road roller,1690051,1668826,9930,11,9941,0.5,0.59,0.6,1979051,,,
Assam,Barpeta,SAMEJ UDDIN,MALE,46,GENERAL,BOPF,Nangol,1690051,1668826,9515,177,9692,0.49,0.57,0.58,1979051,,,
Assam,Barpeta,DULU AHMED,MALE,49,GENERAL,IND,Ship,1690051,1668826,9275,63,9338,0.47,0.55,0.56,1979051,,,
Assam,Barpeta,MATIAR RAHMAN,MALE,40,GENERAL,IND,Diesel pump,1690051,1668826,7920,15,7935,0.4,0.47,0.48,1979051,,,
Assam,Barpeta,JAGANNATH RAY,MALE,54,GENERAL,IND,Nagrik,1690051,1668826,5474,74,5548,0.28,0.33,0.33,1979051,,,
Assam,Barpeta,SHAJAHAN ALI KHAN,MALE,46,GENERAL,VPI,Auto- rickshaw,1690051,1668826,4441,7,4448,0.22,0.26,0.27,1979051,,,
Assam,Barpeta,AYNAL HAQUE,MALE,52,GENERAL,IND,Truck,1690051,1668826,3174,18,3192,0.16,0.19,0.19,1979051,,,
Assam,Barpeta,CHITRALEKHA DAS,FEMALE,67,GENERAL,SUCI,Battery Torch,1690051,1668826,3060,71,3131,0.16,0.19,0.19,1979051,,,
Assam,Barpeta,AMZAD ALI,MALE,37,GENERAL,RPPRINAT,Ganna kisan,1690051,1668826,2657,22,2679,0.14,0.16,0.16,1979051,,,
Assam,Barpeta,ABUBAKKAR SIDDIQUE,MALE,51,GENERAL,RUC,Gas cylinder,1690051,1668826,2463,14,2477,0.13,0.15,0.15,1979051,,,
Assam,Darrang-Udalguri,DILIP SAIKIA,MALE,50,GENERAL,BJP,Lotus,1820644,1787996,864583,3804,868387,39.21,47.7,48.57,2214516,,,
Assam,Darrang-Udalguri,MADHAB RAJBANGSHI,MALE,67,GENERAL,INC,Hand,1820644,1787996,538032,1343,539375,24.36,29.63,30.17,2214516,,,
Assam,Darrang-Udalguri,DURGADAS BORO,MALE,65,ST,BOPF,Nangol,1820644,1787996,309040,1534,310574,14.02,17.06,17.37,2214516,,,
Assam,Darrang-Udalguri,NOTA,,,,NOTA,NOTA,1820644,1787996,23086,118,23204,1.05,1.27,1.3,2214516,,,
Assam,Darrang-Udalguri,DANIEL MARDI,MALE,37,GENERAL,IND,Truck,1820644,1787996,14277,14,14291,0.65,0.78,0.8,2214516,,,
Assam,Darrang-Udalguri,AROON BAROOA,MALE,67,GENERAL,BHRJWNKP,Diamond,1820644,1787996,12519,44,12563,0.57,0.69,0.7,2214516,,,
Assam,Darrang-Udalguri,SWARNA DEVI,FEMALE,48,GENERAL,GNASURKP,Battery Torch,1820644,1787996,11067,45,11112,0.5,0.61,0.62,2214516,,,
Assam,Darrang-Udalguri,LALIT PEGU,MALE,42,ST,VPI,Gas cylinder,1820644,1787996,10887,28,10915,0.49,0.6,0.61,2214516,,,
Assam,Darrang-Udalguri,JITENDRA CHALIHA,MALE,54,GENERAL,SUCI,Glass tumbler,1820644,1787996,7421,31,7452,0.34,0.41,0.42,2214516,,,
Assam,Darrang-Udalguri,ABUL KASEM,MALE,72,GENERAL,RPPRINAT,Ganna kisan,1820644,1787996,4956,17,4973,0.22,0.27,0.28,2214516,,,
Assam,Darrang-Udalguri,BIREN BASAK,MALE,50,GENERAL,BGanP,Pot,1820644,1787996,4605,18,4623,0.21,0.25,0.26,2214516,,,
Assam,Darrang-Udalguri,ABDUL HAMED,MALE,28,GENERAL,RUC,Bat,1820644,1787996,3721,10,3731,0.17,0.2,0.21,2214516,,,
Assam,Guwahati,BIJULI KALITA MEDHI,FEMALE,45,GENERAL,BJP,Lotus,1602455,1579140,891901,2986,894887,43.87,55.84,56.67,2039765,,,
Assam,Guwahati,MIRA BORTHAKUR GOSWAMI,FEMALE,51,GENERAL,INC,Hand,1602455,1579140,642353,1444,643797,31.56,40.18,40.77,2039765,,,
Assam,Guwahati,NOTA,,,,NOTA,NOTA,1602455,1579140,20139,110,20249,0.99,1.26,1.28,2039765,,,
Assam,Guwahati,DIPAK KR BORO,MALE,41,ST,VPI,Gas cylinder,1602455,1579140,8494,54,8548,0.42,0.53,0.54,2039765,,,
Assam,Guwahati,COLONEL GOKUL CHANDRA SINGHA,MALE,71,GENERAL,IND,Camera,1602455,1579140,7644,34,7678,0.38,0.48,0.49,2039765,,,
Assam,Guwahati,AMITABH SARMA,MALE,34,GENERAL,ESBD,Flute,1602455,1579140,7508,19,7527,0.37,0.47,0.48,2039765,,,
Assam,Guwahati,KAZI NEKIB AHMED,MALE,65,GENERAL,IND,Ship,1602455,1579140,6753,8,6761,0.33,0.42,0.43,2039765,,,
Assam,Guwahati,SAMAD CHOUDHURY,MALE,63,GENERAL,BGanP,Pot,1602455,1579140,5081,14,5095,0.25,0.32,0.32,2039765,,,
Assam,Guwahati,SHEJON GOYARY,MALE,41,ST,BAHUMP,Whistle,1602455,1579140,4826,21,4847,0.24,0.3,0.31,2039765,,,
Assam,Diphu,AMARSING TISSO,MALE,56,ST,BJP,Lotus,687376,666568,332440,2180,334620,37.1,48.68,50.2,902050,,,
Assam,Diphu,J. I. KATHAR,MALE,73,ST,IND,Scissors,687376,666568,185864,1153,187017,20.73,27.21,28.06,902050,,,
Assam,Diphu,JOY RAM ENGLENG,MALE,64,ST,INC,Hand,687376,666568,123055,964,124019,13.75,18.04,18.61,902050,,,
Assam,Diphu,NOTA,,,,NOTA,NOTA,687376,666568,16127,132,16259,1.8,2.37,2.44,902050,,,
Assam,Diphu,JOHN BARNARD SANGMA,MALE,75,ST,GNASURKP,Battery Torch,687376,666568,11241,38,11279,1.25,1.64,1.69,902050,,,
Assam,Diphu,JOTSON BEY,MALE,62,ST,ASDC,Nagrik,687376,666568,9561,72,9633,1.07,1.4,1.45,902050,,,
Assam,Karimganj,KRIPANATH MALLAH,MALE,50,SC,BJP,Lotus,1147607,1143942,541220,3873,545093,38.54,47.5,47.65,1414520,,,
Assam,Karimganj,HAFIZ RASHID AHMED CHOUDHURY,MALE,71,GENERAL,INC,Hand,1147607,1143942,524390,2343,526733,37.24,45.9,46.05,1414520,,,
Assam,Karimganj,SAHABUL ISLAM CHOUDHURY,MALE,55,GENERAL,AIUDF,Lock and key,1147607,1143942,29070,135,29205,2.06,2.54,2.55,1414520,,,
Assam,Karimganj,JIBESH DEB,MALE,56,GENERAL,IND,Grapes,1147607,1143942,7105,4,7109,0.5,0.62,0.62,1414520,,,
Assam,Karimganj,DEBOJYOTI NATH,MALE,51,GENERAL,IND,Almirah,1147607,1143942,5900,7,5907,0.42,0.51,0.52,1414520,,,
Assam,Karimganj,AHAD UDDIN,MALE,38,GENERAL,RUC,Coconut farm,1147607,1143942,4186,6,4192,0.3,0.37,0.37,1414520,,,
Assam,Karimganj,BINAY KRISHNA ROY,MALE,61,GENERAL,IND,Sitar,1147607,1143942,3621,7,3628,0.26,0.32,0.32,1414520,,,
Assam,Karimganj,NOTA,,,,NOTA,NOTA,1147607,1143942,2851,89,2940,0.21,0.26,0.26,1414520,,,
Assam,Karimganj,DILIP KUMAR,MALE,52,GENERAL,IND,Television,1147607,1143942,2623,7,2630,0.19,0.23,0.23,1414520,,,
Assam,Karimganj,ROSID AHMED LASKAR,MALE,57,GENERAL,IND,Pen nib with seven rays,1147607,1143942,2600,1,2601,0.18,0.23,0.23,1414520,,,
Assam,Karimganj,MUZAKKIR HASAN LASKAR,MALE,33,GENERAL,IND,Gas cylinder,1147607,1143942,2287,4,2291,0.16,0.2,0.2,1414520,,,
Assam,Karimganj,ABDUL BASIT TAPADAR,MALE,53,GENERAL,IND,Vacuum cleaner,1147607,1143942,1912,11,1923,0.14,0.17,0.17,1414520,,,
Assam,Karimganj,GOPAL CHANDRA PAUL,MALE,64,GENERAL,IND,Black board,1147607,1143942,1650,7,1657,0.12,0.14,0.14,1414520,,,
Assam,Karimganj,MD. NAZRUL ISLAM LASKAR,MALE,66,GENERAL,IND,Auto- rickshaw,1147607,1143942,1382,0,1382,0.1,0.12,0.12,1414520,,,
Assam,Karimganj,SAHEL AHMED,MALE,29,GENERAL,IND,Nagrik,1147607,1143942,1110,1,1111,0.08,0.1,0.1,1414520,,,
Assam,Karimganj,ABDUL GOFFAR TALUKDAR,MALE,43,GENERAL,IND,Ear rings,1147607,1143942,1094,1,1095,0.08,0.1,0.1,1414520,,,
Assam,Karimganj,SAFIKUR RAHMAN HAZARI,MALE,51,GENERAL,IND,Bat,1147607,1143942,1031,0,1031,0.07,0.09,0.09,1414520,,,
Assam,Karimganj,PRAJJWAL SUDIP DEB,MALE,51,GENERAL,SUCI,Battery Torch,1147607,1143942,994,7,1001,0.07,0.09,0.09,1414520,,,
Assam,Karimganj,ABDUL KALAM MAZUMDER,MALE,39,GENERAL,IND,Camera,1147607,1143942,975,0,975,0.07,0.08,0.09,1414520,,,
Assam,Karimganj,ALIM UDDIN MAZUMDER,MALE,55,GENERAL,IND,Bucket,1147607,1143942,881,1,882,0.06,0.08,0.08,1414520,,,
Assam,Karimganj,ABDUL HAMEED,MALE,59,GENERAL,IND,Ring,1147607,1143942,841,1,842,0.06,0.07,0.07,1414520,,,
Assam,Karimganj,DEBASHISH GHOSH,MALE,36,GENERAL,BNGNBNRMS,Boat with man and sail,1147607,1143942,800,17,817,0.06,0.07,0.07,1414520,,,
Assam,Karimganj,RASHID AHMED CHOUDHURY,MALE,36,GENERAL,IND,Table,1147607,1143942,719,2,721,0.05,0.06,0.06,1414520,,,
