Sl No.,District No,Name of District,AC No.,Name of Assembly Constituency,Male,Female,Third Gender,Total
111,16,Tiruchirappalli,138,Manapparai,132135,135856,8,267999
112,16,Tiruchirappalli,139,Srirangam,139129,147851,47,287027
113,16,Tiruchirappalli,140,Tiruchirappalli (West),114425,124460,35,238920
114,16,Tiruchirappalli,141,Tiruchirappalli (East),106255,113882,54,220191
115,16,Tiruchirappalli,142,Thiruverumbur,125854,133638,54,259546
116,16,Tiruchirappalli,143,Lalgudi,102636,109513,28,212177
117,16,Tiruchirappalli,144,Manachanallur,114314,122148,38,236500
118,16,Tiruchirappalli,145,Musiri,104259,109732,15,214006
119,16,Tiruchirappalli,146,Thuraiyur,101893,108761,31,210685
Total,,,,,1040900,1105841,310,2147051
120,17,Perambalur,147,Perambalur,140937,149700,29,290666
121,17,Perambalur,148,Kunnam,132318,135774,3,268095
Total,,,,,273255,285474,32,558761
122,18,Cuddalore,151,Tittakudi,102727,106253,4,208984
123,18,Cuddalore,152,Vriddhachalam,119650,121111,22,240783
124,18,Cuddalore,153,Neyveli,95509,95746,16,191271
125,18,Cuddalore,154,Panruti,117245,124450,72,241767
126,18,Cuddalore,155,Cuddalore,106187,116882,80,223149
127,18,Cuddalore,156,Kurinjipadi,116838,121305,46,238189
128,18,Cuddalore,157,Bhuvanagiri,115772,117468,19,233259
129,18,Cuddalore,158,Chidambaram,113561,117645,30,231236
130,18,Cuddalore,159,Kattumannarkoil,112479,113844,10,226333
Total,,,,,999968,1034704,299,2034971
131,19,Nagapattinam,163,Nagapattinam,85266,89395,22,174683
132,19,Nagapattinam,164,Kilvelur,84100,86451,7,170558
133,19,Nagapattinam,165,Vedaranyam,92348,95090,1,187439
Total,,,,,261714,270936,30,532680
134,20,Thiruvarur,166,Thiruthuraipoondi,111565,115267,13,226845
135,20,Thiruvarur,167,Mannargudi,113605,120821,4,234430
136,20,Thiruvarur,168,Thiruvarur,127030,132977,20,260027
137,20,Thiruvarur,169,Nannilam,132348,135070,14,267432
Total,,,,,484548,504135,51,988734
138,21,Thanjavur,170,Thiruvidaimarudur,126222,130700,8,256930
139,21,Thanjavur,171,Kumbakonam,123507,130796,15,254318
140,21,Thanjavur,172,Papanasam,124740,131755,23,256518
141,21,Thanjavur,173,Thiruvaiyaru,126231,132123,20,258374
142,21,Thanjavur,174,Thanjavur,120317,132309,50,252676
143,21,Thanjavur,175,Orathanadu,113315,120221,6,233542
144,21,Thanjavur,176,Pattukkottai,116032,126368,20,242420
145,21,Thanjavur,177,Peravurani,104786,109145,15,213946
Total,,,,,955150,1013417,157,1968724
146,22,Pudukkottai,178,Gandarvakkottai,98574,97441,9,196024
147,22,Pudukkottai,179,Viralimalai,110869,114187,34,225090
148,22,Pudukkottai,180,Pudukkottai,110809,115113,22,225944
149,22,Pudukkottai,181,Thirumayam,107590,112975,3,220568
150,22,Pudukkottai,182,Alangudi,104774,107304,0,212078
151,22,Pudukkottai,183,Aranthangi,113197,116593,2,229792
Total,,,,,645813,663613,70,1309496
152,23,Sivaganga,184,Karaikudi,149286,156610,29,305925
153,23,Sivaganga,185,Tiruppattur,135436,140464,4,275904
154,23,Sivaganga,186,Sivaganga,136035,142086,3,278124
155,23,Sivaganga,187,Manamadurai,127349,132026,7,259382
Total,,,,,548106,571186,43,1119335
156,24,Madurai,188,Melur,114032,115778,11,229821
157,24,Madurai,189,Madurai East,163848,172622,57,336527
158,24,Madurai,190,Sholavandan,105300,109473,12,214785
159,24,Madurai,191,Madurai North,107416,113708,50,221174
160,24,Madurai,192,Madurai South,88266,91604,49,179919
161,24,Madurai,193,Madurai Central,96947,102645,26,199618
162,24,Madurai,194,Madurai West,135052,140452,12,275516
163,24,Madurai,195,Thiruparankundram,152389,158980,31,311400
164,24,Madurai,196,Thirumangalam,126708,134521,9,261238
165,24,Madurai,197,Usilampatti,132351,133833,8,266192
Total,,,,,1222309,1273616,265,2496190
166,25,Theni,198,Andipatti,125525,130974,30,256529
167,25,Theni,199,Periyakulam,129399,136321,110,265830
168,25,Theni,200,Bodinayakanur,127593,135683,16,263292
169,25,Theni,201,Cumbum,123541,132325,22,255888
Total,,,,,506058,535303,178,1041539
170,26,Virudhunagar,202,Rajapalayam,104157,110002,33,214192
171,26,Virudhunagar,203,Srivilliputhur,108936,115147,39,224122
172,26,Virudhunagar,204,Sattur,111357,117911,62,229330
173,26,Virudhunagar,205,Sivakasi,110737,117440,28,228205
174,26,Virudhunagar,206,Virudhunagar,97391,103186,41,200618
175,26,Virudhunagar,207,Aruppukkottai,100607,107114,29,207750
176,26,Virudhunagar,208,Tiruchuli,101165,104121,15,205301
Total,,,,,734350,774921,247,1509518
177,27,Ramanathapuram,209,Paramakudi,116282,118308,18,234608
178,27,Ramanathapuram,210,Tiruvadanai,140937,142904,23,283864
179,27,Ramanathapuram,211,Ramanathapuram,153430,158860,13,312303
180,27,Ramanathapuram,212,Mudhukulathur,148876,150080,2,298958
Total,,,,,559525,570152,56,1129733
181,28,Thoothukudi,213,Vilathikulam,100484,104482,16,204982
182,28,Thoothukudi,214,Thoothukkudi,121695,128827,65,250587
183,28,Thoothukudi,215,Tiruchendur,113407,119496,30,232933
184,28,Thoothukudi,216,Srivaikuntam,105728,108535,5,214268
185,28,Thoothukudi,217,Ottapidaram,118710,124990,56,243756
186,28,Thoothukudi,218,Kovilpatti,116980,124651,29,241660
Total,,,,,677004,710981,201,1388186
187,29,Tirunelveli,224,Tirunelveli,133571,142206,80,275857
188,29,Tirunelveli,225,Ambasamudram,110357,117509,12,227878
189,29,Tirunelveli,226,Palayamkottai,124935,132376,18,257329
190,29,Tirunelveli,227,Nanguneri,126452,130712,13,257177
191,29,Tirunelveli,228,Radhapuram,121596,125442,23,247061
Total,616911,648245,146,1265302,,,,
192,30,Kanniyakumari,229,Kanniyakumari,142078,146695,94,288867
193,30,Kanniyakumari,230,Nagercoil,126738,132180,10,258928
194,30,Kanniyakumari,231,Colachal,132540,132474,1,265015
195,30,Kanniyakumari,232,Padmanabhapuram,117488,118020,3,235511
196,30,Kanniyakumari,233,Vilavancode,112612,114043,3,226658
197,30,Kanniyakumari,234,Killiyoor,123798,121546,15,245359
Total,,,,,755254,764958,126,1520338
198,31,Ariyalur,149,Ariyalur,130194,132732,16,262942
199,31,Ariyalur,150,Jayankondam,130371,133067,12,263450
Total,,,,,260565,265799,28,526392
200,32,Tiruppur,101,Dharapuram,106875,115523,8,222406
201,32,Tiruppur,102,Kangayam,105073,114467,13,219553
202,32,Tiruppur,112,Avanashi,121260,132093,8,253361
203,32,Tiruppur,113,Tiruppur (North),155070,160642,125,315837
204,32,Tiruppur,114,Tiruppur (South),96191,100876,24,197091
205,32,Tiruppur,115,Palladam,159554,170265,30,329849
206,32,Tiruppur,125,Udumalaipettai,110178,120771,27,230976
207,32,Tiruppur,126,Madathukulam,103252,111541,16,214809
Total,,,,,957453,1026178,251,1983882
208,33,Kallakurichi,77,Ulundurpettai,150411,150244,44,300699
209,33,Kallakurichi,78,Rishivandiyam,136637,136883,51,273571
210,33,Kallakurichi,79,Sankarapuram,131507,134400,44,265951
211,33,Kallakurichi,80,Kallakurichi,138968,142546,68,281582
Total,,,,,557523,564073,207,1121803
212,34,Tenkasi,219,Sankarankovil,115541,122524,17,238082
213,34,Tenkasi,220,Vasudevanallur,111507,117037,13,228557
214,34,Tenkasi,221,Kadayanallur,133009,136194,17,269220
215,34,Tenkasi,222,Tenkasi,137240,144282,102,281624
216,34,Tenkasi,223,Alangulam,124706,130730,21,255457
Total,,,,,622003,650767,170,1272940
217,35,Chengalpattu,27,Shozhinganallur,270668,283121,116,553905
218,35,Chengalpattu,30,Pallavaram,164338,172601,24,336963
219,35,Chengalpattu,31,Tambaram,160449,169560,51,330060
220,35,Chengalpattu,32,Chengalpattu,181069,191713,57,372839
221,35,Chengalpattu,33,Thiruporur,143244,151112,54,294410
222,35,Chengalpattu,34,Cheyyur,100917,103061,20,203998
223,35,Chengalpattu,35,Madurantakam,104496,108078,65,212639
Total,,,,,1125181,1179246,387,2304814
224,36,Tirupathur,47,Vaniyambadi,119595,122894,51,242540
225,36,Tirupathur,48,Ambur,104331,110097,41,214469
226,36,Tirupathur,49,Jolarpet,116714,119393,20,236127
227,36,Tirupathur,50,Tirupattur,112703,113959,29,226691
Total,,,,,453343,466343,141,919827
228,37,Ranipet,38,Arakkonam,97690,103057,26,200773
229,37,Ranipet,39,Sholinghur,126667,130843,12,257522
230,37,Ranipet,41,Ranipet,120173,128026,45,248244
231,37,Ranipet,42,Arcot,119900,125391,28,245319
Total,,,,,464430,487317,111,951858
232,38,Mayiladuthurai,160,Sirkazhi,119539,121767,13,241319
233,38,Mayiladuthurai,161,Mayiladuthurai,115452,119076,26,234554
234,38,Mayiladuthurai,162,Poompuhar,127948,131306,8,259262
Total,,,,,362939,372149,47,735135
Grand Total,,,,,28030658,29304905,7728,57343291
