state_slug,pc_name_normalized,tcpd_reservation,eci_2024_derived_reservation,agreement
assam,barpeta,GEN,GEN,AGREE
assam,darrang udalguri,,GEN,ECI_ONLY
assam,dhubri,GEN,GEN,AGREE
assam,dibrugarh,GEN,GEN,AGREE
assam,diphu,,ST,ECI_ONLY
assam,gauhati,GEN,,TCPD_ONLY
assam,guwahati,,GEN,ECI_ONLY
assam,jorhat,GEN,GEN,AGREE
assam,kaliabor,GEN,,TCPD_ONLY
assam,karimganj,SC,GEN,DISAGREE
assam,kaziranga,,GEN,ECI_ONLY
assam,kokrajhar,ST,ST,AGREE
assam,lakhimpur,GEN,GEN,AGREE
assam,"lakhimpur , district, lakhimpur",GEN,,TCPD_ONLY
assam,mangaldoi,GEN,,TCPD_ONLY
assam,nagaon,,GEN,ECI_ONLY
assam,nowgong,GEN,,TCPD_ONLY
assam,silchar,GEN,SC,DISAGREE
assam,sonitpur,,GEN,ECI_ONLY
assam,tezpur,GEN,,TCPD_ONLY
bihar,araria,GEN,GEN,AGREE
bihar,arrah,GEN,GEN,AGREE
bihar,aurangabad,GEN,GEN,AGREE
bihar,banka,GEN,GEN,AGREE
bihar,begusarai,GEN,GEN,AGREE
bihar,bhagalpur,GEN,GEN,AGREE
bihar,buxar,GEN,GEN,AGREE
bihar,darbhanga,GEN,GEN,AGREE
bihar,gaya,SC,SC,AGREE
bihar,gaya (sc),SC,,TCPD_ONLY
bihar,gopalganj,SC,SC,AGREE
bihar,gopalganj (sc),SC,,TCPD_ONLY
bihar,hajipur,SC,SC,AGREE
bihar,hajipur (sc),SC,,TCPD_ONLY
bihar,jahanabad,GEN,GEN,AGREE
bihar,jamui,SC,SC,AGREE
bihar,jamui (sc),SC,,TCPD_ONLY
bihar,jhanjharpur,GEN,GEN,AGREE
bihar,karakat,GEN,GEN,AGREE
bihar,katihar,GEN,GEN,AGREE
bihar,khagaria,GEN,GEN,AGREE
bihar,kishanganj,GEN,GEN,AGREE
bihar,madhepura,GEN,GEN,AGREE
bihar,madhubani,GEN,GEN,AGREE
bihar,maharajganj,GEN,GEN,AGREE
bihar,munger,GEN,GEN,AGREE
bihar,muzaffarpur,GEN,GEN,AGREE
bihar,nalanda,GEN,GEN,AGREE
bihar,nawada,GEN,GEN,AGREE
bihar,paschim champaran,GEN,GEN,AGREE
bihar,pataliputra,GEN,,TCPD_ONLY
bihar,patliputra,,GEN,ECI_ONLY
bihar,patna sahib,GEN,GEN,AGREE
bihar,purnia,GEN,GEN,AGREE
bihar,purvi champaran,GEN,GEN,AGREE
