election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenApr2021,U07,AC,15,OUPALAM,27882,23717,85.06,6,NOTA,NOTA,,219,0.92,0,1,,,
AcGenApr2021,U07,AC,16,ORLEAMPETH,24718,20257,81.95,1,G. NEHRU @ KUPPUSAMY,IND,,9580,47.29,1,0,M,56,GEN
AcGenApr2021,U07,AC,16,ORLEAMPETH,24718,20257,81.95,2,S. GOPAL,DMK,,7487,36.96,0,0,M,46,GEN
AcGenApr2021,U07,AC,16,ORLEAMPETH,24718,20257,81.95,3,OMSAKTHISEKAR,ADMK,,1787,8.82,0,0,M,61,GEN
AcGenApr2021,U07,AC,16,ORLEAMPETH,24718,20257,81.95,4,KARUNANITHI,NTK,,507,2.5,0,0,M,36,GEN
AcGenApr2021,U07,AC,16,ORLEAMPETH,24718,20257,81.95,5,S. SAKTIVEL,MNM,,364,1.8,0,0,M,46,GEN
AcGenApr2021,U07,AC,16,ORLEAMPETH,24718,20257,81.95,6,NOTA,NOTA,,181,0.89,0,1,,,
AcGenApr2021,U07,AC,17,NELLITHOPE,33700,27823,82.56,1,RICHARDS JOHNKUMAR,BJP,,11757,42.26,1,0,M,29,GEN
AcGenApr2021,U07,AC,17,NELLITHOPE,33700,27823,82.56,2,V. CARTIGUEYANE,DMK,,11261,40.47,0,0,M,54,GEN
AcGenApr2021,U07,AC,17,NELLITHOPE,33700,27823,82.56,3,P MURUGESAN,MNM,,1659,5.96,0,0,M,69,GEN
AcGenApr2021,U07,AC,17,NELLITHOPE,33700,27823,82.56,4,S SASI KUMAR,NTK,,1521,5.47,0,0,M,39,GEN
AcGenApr2021,U07,AC,17,NELLITHOPE,33700,27823,82.56,5,S PRITHIVIRAJAN,IND,,178,0.64,0,0,M,34,GEN
AcGenApr2021,U07,AC,17,NELLITHOPE,33700,27823,82.56,6,NOTA,NOTA,,537,1.93,0,1,,,
AcGenApr2021,U07,AC,18,MUDALIARPET,35583,29536,83.01,1,L. SAMBATH,DMK,,15151,51.3,1,0,M,41,GEN
AcGenApr2021,U07,AC,18,MUDALIARPET,35583,29536,83.01,2,A. BASKAR,ADMK,,10972,37.15,0,0,M,49,GEN
AcGenApr2021,U07,AC,18,MUDALIARPET,35583,29536,83.01,3,M. ARIKRISHNAN,MNM,,1321,4.47,0,0,M,54,GEN
AcGenApr2021,U07,AC,18,MUDALIARPET,35583,29536,83.01,4,M. VELAVAN,NTK,,1304,4.41,0,0,M,28,GEN
AcGenApr2021,U07,AC,18,MUDALIARPET,35583,29536,83.01,5,M. MANIKANDAN,AMMKMNKZ,,105,0.36,0,0,M,27,GEN
AcGenApr2021,U07,AC,18,MUDALIARPET,35583,29536,83.01,6,NOTA,NOTA,,452,1.53,0,1,,,
AcGenApr2021,U07,AC,19,ARIANKUPPAM,39027,32874,84.23,1,R. BASKAR @ DATCHANAMOURTTY,AINRC,,17858,54.32,1,0,M,57,GEN
AcGenApr2021,U07,AC,19,ARIANKUPPAM,39027,32874,84.23,2,T. DJEAMOURTHY,INC,,11440,34.8,0,0,M,61,GEN
AcGenApr2021,U07,AC,19,ARIANKUPPAM,39027,32874,84.23,3,SUNDARAVADIVELU,NTK,,1094,3.33,0,0,M,27,GEN
AcGenApr2021,U07,AC,19,ARIANKUPPAM,39027,32874,84.23,4,V RUTHRAKUMARAN,MNM,,1055,3.21,0,0,M,61,GEN
AcGenApr2021,U07,AC,19,ARIANKUPPAM,39027,32874,84.23,5,S KUMARAVELU,IND,,823,2.5,0,0,M,51,GEN
