ac_entity_id,parent_pc_entity_id,parent_pc_eci_no,match_method,overlap_frac,source_id
IN-AC-2008-andhra-pradesh-eci21,IN-PC-2008-andhra-pradesh-448,4,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci22,IN-PC-2008-andhra-pradesh-448,4,geometric_overlap,0.9996,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci23,IN-PC-2008-andhra-pradesh-448,4,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci24,IN-PC-2008-andhra-pradesh-448,4,geometric_overlap,0.9579,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci25,IN-PC-2008-andhra-pradesh-448,4,soi_centroid,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci26,IN-PC-2008-andhra-pradesh-412,5,geometric_overlap,0.9914,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci28,IN-PC-2008-andhra-pradesh-414,1,geometric_overlap,0.9811,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci29,IN-PC-2008-andhra-pradesh-414,1,geometric_overlap,0.9866,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci3,IN-PC-2008-andhra-pradesh-445,2,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci31,IN-PC-2008-andhra-pradesh-412,5,geometric_overlap,0.9583,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci34,IN-PC-2008-andhra-pradesh-412,5,geometric_overlap,0.971,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci35,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,0.978,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci36,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,0.9958,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci37,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci38,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,0.962,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci39,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,0.9838,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci4,IN-PC-2008-andhra-pradesh-445,2,geometric_overlap,0.9806,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci40,IN-PC-2008-andhra-pradesh-442,8,geometric_overlap,0.9259,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci41,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci42,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9845,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci43,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9482,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci44,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9728,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci45,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9333,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci46,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9945,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci47,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9432,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci48,IN-PC-2008-andhra-pradesh-411,7,geometric_overlap,0.9317,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci49,IN-PC-2008-andhra-pradesh-442,8,geometric_overlap,0.968,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci5,IN-PC-2008-andhra-pradesh-445,2,geometric_overlap,0.9516,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci50,IN-PC-2008-andhra-pradesh-442,8,geometric_overlap,0.9971,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci52,IN-PC-2008-andhra-pradesh-424,6,geometric_overlap,0.9725,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci53,IN-PC-2008-andhra-pradesh-414,1,geometric_overlap,0.985,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci54,IN-PC-2008-andhra-pradesh-442,8,geometric_overlap,0.9977,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci55,IN-PC-2008-andhra-pradesh-442,8,geometric_overlap,0.8908,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci56,IN-PC-2008-andhra-pradesh-437,9,geometric_overlap,0.986,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci57,IN-PC-2008-andhra-pradesh-437,9,geometric_overlap,0.9886,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci58,IN-PC-2008-andhra-pradesh-437,9,geometric_overlap,0.9928,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci59,IN-PC-2008-andhra-pradesh-437,9,geometric_overlap,0.995,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci6,IN-PC-2008-andhra-pradesh-445,2,geometric_overlap,0.9526,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci60,IN-PC-2008-andhra-pradesh-437,9,geometric_overlap,0.9515,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci61,IN-PC-2008-andhra-pradesh-437,9,geometric_overlap,0.9684,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci64,IN-PC-2008-andhra-pradesh-419,10,geometric_overlap,0.9975,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci65,IN-PC-2008-andhra-pradesh-419,10,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci66,IN-PC-2008-andhra-pradesh-442,8,geometric_overlap,0.96,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci67,IN-PC-2008-andhra-pradesh-419,10,geometric_overlap,0.9808,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci68,IN-PC-2008-andhra-pradesh-419,10,geometric_overlap,0.9846,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci69,IN-PC-2008-andhra-pradesh-447,12,geometric_overlap,0.9616,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci7,IN-PC-2008-andhra-pradesh-449,3,geometric_overlap,0.9816,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci70,IN-PC-2008-andhra-pradesh-419,10,geometric_overlap,0.9809,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci71,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9483,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci72,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9742,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci73,IN-PC-2008-andhra-pradesh-419,10,geometric_overlap,0.9654,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci74,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9822,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci75,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9827,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci76,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9538,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci77,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9979,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci78,IN-PC-2008-andhra-pradesh-428,11,geometric_overlap,0.9835,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci8,IN-PC-2008-andhra-pradesh-445,2,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci80,IN-PC-2008-andhra-pradesh-447,12,geometric_overlap,0.9513,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci81,IN-PC-2008-andhra-pradesh-447,12,soi_centroid,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci82,IN-PC-2008-andhra-pradesh-447,12,geometric_overlap,0.9743,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci83,IN-PC-2008-andhra-pradesh-447,12,geometric_overlap,0.9727,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci84,IN-PC-2008-andhra-pradesh-447,12,geometric_overlap,0.9741,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci85,IN-PC-2008-andhra-pradesh-436,14,geometric_overlap,0.9737,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci86,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,0.9449,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci87,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,0.9909,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci88,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,0.9633,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci89,IN-PC-2008-andhra-pradesh-415,15,geometric_overlap,0.9732,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci9,IN-PC-2008-andhra-pradesh-449,3,geometric_overlap,0.9423,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci90,IN-PC-2008-andhra-pradesh-415,15,geometric_overlap,0.9868,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci91,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,0.9248,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci92,IN-PC-2008-andhra-pradesh-415,15,geometric_overlap,0.9898,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci93,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,0.984,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci94,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci95,IN-PC-2008-andhra-pradesh-420,13,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci96,IN-PC-2008-andhra-pradesh-436,14,geometric_overlap,0.9376,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci97,IN-PC-2008-andhra-pradesh-436,14,geometric_overlap,0.9747,src-7cd5269de2e7
IN-AC-2008-andhra-pradesh-eci99,IN-PC-2008-andhra-pradesh-436,14,geometric_overlap,0.9864,src-7cd5269de2e7
IN-AC-2008-bihar-eci182,IN-PC-2008-bihar-179,30,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-bihar-eci184,IN-PC-2008-bihar-179,30,geometric_overlap,0.8974,src-7cd5269de2e7
IN-AC-2008-delhi-eci1,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.9243,src-7cd5269de2e7
IN-AC-2008-delhi-eci10,IN-PC-2008-delhi-eci5,5,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci11,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.9908,src-7cd5269de2e7
IN-AC-2008-delhi-eci12,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.9823,src-7cd5269de2e7
IN-AC-2008-delhi-eci13,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.96,src-7cd5269de2e7
IN-AC-2008-delhi-eci14,IN-PC-2008-delhi-eci1,1,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci15,IN-PC-2008-delhi-eci1,1,geometric_overlap,0.9216,src-7cd5269de2e7
IN-AC-2008-delhi-eci16,IN-PC-2008-delhi-eci1,1,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci17,IN-PC-2008-delhi-eci1,1,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci18,IN-PC-2008-delhi-eci1,1,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci19,IN-PC-2008-delhi-eci1,1,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci2,IN-PC-2008-delhi-eci2,2,geometric_overlap,0.8135,src-7cd5269de2e7
IN-AC-2008-delhi-eci20,IN-PC-2008-delhi-eci1,1,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci21,IN-PC-2008-delhi-eci1,1,geometric_overlap,0.9967,src-7cd5269de2e7
IN-AC-2008-delhi-eci22,IN-PC-2008-delhi-eci1,1,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci23,IN-PC-2008-delhi-eci1,1,geometric_overlap,0.8362,src-7cd5269de2e7
IN-AC-2008-delhi-eci24,IN-PC-2008-delhi-eci4,4,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci25,IN-PC-2008-delhi-eci4,4,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci26,IN-PC-2008-delhi-eci6,6,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci27,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9861,src-7cd5269de2e7
IN-AC-2008-delhi-eci28,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9632,src-7cd5269de2e7
IN-AC-2008-delhi-eci29,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9964,src-7cd5269de2e7
IN-AC-2008-delhi-eci3,IN-PC-2008-delhi-eci2,2,geometric_overlap,0.9413,src-7cd5269de2e7
IN-AC-2008-delhi-eci30,IN-PC-2008-delhi-eci6,6,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci31,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.874,src-7cd5269de2e7
IN-AC-2008-delhi-eci32,IN-PC-2008-delhi-eci6,6,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci33,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9912,src-7cd5269de2e7
IN-AC-2008-delhi-eci34,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9892,src-7cd5269de2e7
