layer_id,level,entity_state,entity_district,entity_city,partition_path,format,crs,simplification_algorithm,simplification_tolerance_deg,original_feature_count,retained_feature_count,unkeyed_count,unkeyed_keys_json,size_bytes,source_id,notes,delimitation_vintage
boundaries.in.blocks.state=in_u01,block,U01,,,boundaries/in/blocks/state=in_u01/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,9,9,0,,1003255,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u02,block,U02,,,boundaries/in/blocks/state=in_u02/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,1,1,0,,10381,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u03,block,U03,,,boundaries/in/blocks/state=in_u03/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,3,3,0,,42064,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u04,block,U04,,,boundaries/in/blocks/state=in_u04/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,10,10,0,,24257,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u05,block,U05,,,boundaries/in/blocks/state=in_u05/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,12,12,0,,133275,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u07,block,U07,,,boundaries/in/blocks/state=in_u07/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,7,7,0,,77081,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u08,block,U08,,,boundaries/in/blocks/state=in_u08/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,257,257,0,,2073320,src-a1dd899f902d,,
boundaries.in.blocks.state=in_u09,block,U09,,,boundaries/in/blocks/state=in_u09/all.geojson,geojson,EPSG:4326,coord-precision-round,0.001,22,22,0,,267885,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=502,panchayat,S01,502,,boundaries/in/panchayats/state=in_s01/district=502/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,438,438,0,,1769655,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=503,panchayat,S01,503,,boundaries/in/panchayats/state=in_s01/district=503/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,581,581,0,,1921086,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=504,panchayat,S01,504,,boundaries/in/panchayats/state=in_s01/district=504/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,570,570,0,,1938483,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=505,panchayat,S01,505,,boundaries/in/panchayats/state=in_s01/district=505/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,255,255,0,,825550,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=506,panchayat,S01,506,,boundaries/in/panchayats/state=in_s01/district=506/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,216,216,0,,670306,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=510,panchayat,S01,510,,boundaries/in/panchayats/state=in_s01/district=510/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,444,444,0,,1385261,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=511,panchayat,S01,511,,boundaries/in/panchayats/state=in_s01/district=511/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,431,431,0,,1493410,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=515,panchayat,S01,515,,boundaries/in/panchayats/state=in_s01/district=515/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,598,598,0,,1847526,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=517,panchayat,S01,517,,boundaries/in/panchayats/state=in_s01/district=517/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,630,630,0,,3042688,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=519,panchayat,S01,519,,boundaries/in/panchayats/state=in_s01/district=519/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,907,907,0,,2523738,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=520,panchayat,S01,520,,boundaries/in/panchayats/state=in_s01/district=520/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,103,103,0,,334325,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=521,panchayat,S01,521,,boundaries/in/panchayats/state=in_s01/district=521/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,738,738,0,,2324382,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=523,panchayat,S01,523,,boundaries/in/panchayats/state=in_s01/district=523/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,282,282,0,,832062,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=743,panchayat,S01,743,,boundaries/in/panchayats/state=in_s01/district=743/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,413,413,0,,1009109,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=744,panchayat,S01,744,,boundaries/in/panchayats/state=in_s01/district=744/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,608,608,0,,1795147,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=745,panchayat,S01,745,,boundaries/in/panchayats/state=in_s01/district=745/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,906,906,0,,2661146,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=746,panchayat,S01,746,,boundaries/in/panchayats/state=in_s01/district=746/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,341,341,0,,1185129,src-a1dd899f902d,,
