party_id,short,full,eci_codes,brand_colour,symbol_asset,wikipedia,aliases,recognition_scope,home_state_codes,founded_year,dissolved_year,predecessor_party_ids,successor_party_ids,name_history,claims_to_parent_name,name_native_script,is_sentinel
parties.IN.BMSP,BMSP,BMSP,,,,,,,,2004,,,,,,,
parties.IN.BMUP,BMUP,BMUP,,,,,BAHUJAN MUKTI PARTY|BMP,,,2014,,,,,,,
parties.IN.BNJD,BNJD,BNJD,,,,,,,,2009,,,,,,,
parties.IN.BNP,BNP,BNP,,,,,,,,2002,,,,,,,
parties.IN.BNS,BNS,BNS,,,,,,,,2014,,,,,,,
parties.IN.BOPF,BOPF,Bodoland People's Front,436,,,,BPF,state,IN-AS,,,,,,,,
parties.IN.BPI,BPI,BPI,,,,,BKP,,,1969,,,,,,,
parties.IN.BPP,BPP,BPP,,,,,,,,2009,,,,,,,
parties.IN.BPSJP,BPSJP,BPSJP,,,,,,,,2019,,,,,,,
parties.IN.BRAP,BRAP,BRAP,,,,,,,,1999,,,,,,,
parties.IN.BRC,BRC,BRC,,,,,,,,1992,,,,,,,
parties.IN.BREM,BREM,BREM,,,,,,,,2009,,,,,,,
parties.IN.BRP,BRP,BRP,,,,,,,,1971,,,,,,,
parties.IN.BRS,BRS,Bharat Rashtra Samithi,,#F84996,party-symbols/car.png,https://en.wikipedia.org/wiki/Bharat_Rashtra_Samithi,,state,IN-TG,2001,,,,,,,
parties.IN.BRSCP,BRSCP,BRSCP,,,,,,,,2004,,,,,,,
parties.IN.BRSS,BRSS,BRSS,,,,,ABRSSD,,,1990,,,,,,,
parties.IN.BSAP,BSAP,BSAP,,,,,,,,2017,,,,,,,
parties.IN.BSDL,BSDL,BSDL,,,,,,,,2012,,,,,,,
parties.IN.BSP,BSP,Bahujan Samaj Party,,#22409A,party-symbols/elephant.svg,https://en.wikipedia.org/wiki/Bahujan_Samaj_Party,,national,,,,,,,,,
parties.IN.BSP_A,BSP(A),BSP(A),,,,,,,,1993,,,,,,,
parties.IN.BTP,BTP,Bharatiya Tribal Party,,,,,BHARTIYA TRIBAL PARTY,,,2017,,,,,,,
parties.IN.BVA,BVA,BVA,,,,,,,,2009,,,,,,,
parties.IN.CDF,CDF,CDF,,,,,,,,2009,,,,,,,
parties.IN.CMPKSC,CMPKSC,Communist Marxist Party Kerala State Committee,540,,,,,,,1996,,,,,,,
parties.IN.CNMK,CNMK,CNMK,,,,,,,,2001,,,,,,,
parties.IN.CPI,CPI,Communist Party of India,544,#F50222,party-symbols/ears-of-corn-and-sickle.svg,https://en.wikipedia.org/wiki/Communist_Party_of_India,CP,state,IN-KL|IN-TN|IN-WB,1962,,,,,,,
parties.IN.CPIM,CPI(M),Communist Party of India (Marxist),547,#CC0D0D,party-symbols/hammer-sickle-and-star.png,https://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),CPM,national,,,,,,,,,
parties.IN.CPIMLL,CPI(ML)L,Communist Party of India (Marxist–Leninist) Liberation,,,,,CPI (ML) (L)|CPI (ML)(L)|CPI (MLL)|CPI( (LML)|CPI( ML (L)|CPI(M (L)L)|CPI(M)(L)|CPI(M0L)(L)|CPI(ML (L))|CPI(ML)|CPI(ML)(L)|CPI(MARXIST)|CPIM|CPIML,state,IN-BR,1995,,,,,,,
parties.IN.CPI_ML_L,CPI(ML)( L),CPI(ML)( L),,,,,,,,,,,,,,,
parties.IN.CSM,CSM,CSM,,,,,,,,2011,,,,,,,
parties.IN.DBSP,DBSP,DBSP,,,,,,,,2002,,,,,,,
parties.IN.DCLF,DCLF,DCLF,,,,,,,,2016,,,,,,,
parties.IN.DDP,DDP,DDP,,,,,,,,1984,,,,,,,
parties.IN.DESA_MAKKAL_MUNNETRAK_KAZHGAM,Desa Makkal Munnetrak Kazhgam,Desa Makkal Munnetrak Kazhgam,,,,,,,,2016,,,,,,,
parties.IN.DESEP,DESEP,DESEP,,,,,,,,2009,,,,,,,
parties.IN.DESIYA_MAKKAL_SAKTHI_KATCHI,Desiya Makkal Sakthi Katchi,Desiya Makkal Sakthi Katchi,,,,,,,,2016,,,,,,,
parties.IN.DESIYA_SIRUPANMAYINAR_MAKKAL_IYAKKAM,Desiya Sirupanmayinar Makkal Iyakkam,Desiya Sirupanmayinar Makkal Iyakkam,,,,,,,,2021,,,,,,,
parties.IN.DFB,DFB,DFB,,,,,,,,2001,,,,,,,
parties.IN.DHESIYA_MAKKAL_KAZHAGAM,Dhesiya Makkal Kazhagam,Dhesiya Makkal Kazhagam,,,,,DAMK,,,2019,,,,,,,
parties.IN.DJHP,DJHP,DJHP,,,,,,,,2019,,,,,,,
