party_id,short,full,eci_codes,brand_colour,symbol_asset,wikipedia,aliases,recognition_scope,home_state_codes,founded_year,dissolved_year,predecessor_party_ids,successor_party_ids,name_history,claims_to_parent_name,name_native_script,is_sentinel
parties.IN.JDU,JD(U),Janata Dal (United),,#003366,party-symbols/arrow.svg,https://en.wikipedia.org/wiki/Janata_Dal_(United),JDU,state,IN-AR|IN-BR|IN-MN,1999,,parties.IN.JD,,,,,
parties.IN.JEBAMANI_JANATA,Jebamani Janata,Jebamani Janata,,,,,,,,2004,,,,,,,
parties.IN.JJ,JJ,JJ,,,,,,,,,,,,,,,
parties.IN.JJJKP,JJJKP,JJJKP,,,,,,,,2017,,,,,,,
parties.IN.JJP,JJP,Jannayak Janta Party,,#71B218,party-symbols/key.svg,https://en.wikipedia.org/wiki/Jannayak_Janta_Party,,unrecognised_registered,IN-HR,,,,,,,,
parties.IN.JKNC,JKNC,Jammu & Kashmir National Conference,,,party-symbols/plough.png,,JKN|NC,state,,1962,,,,,,,
parties.IN.JKNPP,JKNPP,JKNPP,,,,,,,,1999,,,,,,,
parties.IN.JKPDP,JKPDP,Jammu & Kashmir Peoples Democratic Party,,#058532,party-symbols/ink-pot-and-pen.png,https://en.wikipedia.org/wiki/Jammu_and_Kashmir_Peoples_Democratic_Party,PDP,,,2002,,,,,,,
parties.IN.JMBP,JMBP,JMBP,,,,,,,,2009,,,,,,,
parties.IN.JMM,JMM,Jharkhand Mukti Morcha,,#337316,party-symbols/bow-and-arrow.svg,https://en.wikipedia.org/wiki/Jharkhand_Mukti_Morcha,,state,IN-JH,1980,,,,,,,
parties.IN.JMM_U,JMM(U),JMM(U),,,,,,,,1999,,,,,,,
parties.IN.JMP,JMP,JMP,,,,,,,,2004,,,,,,,
parties.IN.JNJP,JNJP,Jannayak Janta Party,,,,,,,,,,,,,,,
parties.IN.JNP_JP,JNP(JP),JNP(JP),,,,,,,,,,,,,,,
parties.IN.JNP_SC,JNP(SC),JNP(SC),,,,,,national,,1980,,,,,,,
parties.IN.JNP_SR,JNP(SR),JNP(SR),,,,,,,,1980,,,,,,,
parties.IN.JP,JP,Janata Party,,,,https://en.wikipedia.org/wiki/Janata_Party,JANATA PARTY|JAP|JNP|JNP (JP),defunct,,1977,1988,parties.IN.BJS,parties.IN.BJP|parties.IN.JD,,,,
parties.IN.JS,JS,JS,,,,,,,,,,,,,,,
parties.IN.JSP,JSP,Janasena Party,,#E8232A,party-symbols/glass-tumbler.svg,https://en.wikipedia.org/wiki/Janasena_Party,JANA SENA|JANA SENA PARTY,state,IN-AP,2014,,,,,,,
parties.IN.JSS,JSS,JSS,,,,,,,,2004,,,,,,,
parties.IN.JUVJANP,JUVJANP,JUVJANP,,,,,,,,2019,,,,,,,
parties.IN.JVM,JVM,Jharkhand Vikas Morcha (Prajatantrik),,,,,J.V.M (P)|JVM(P),,,2007,,,,,,,
parties.IN.KAADMK,KAADMK,KAADMK,,,,,,,,2001,,,,,,,
parties.IN.KAMARAJAR_DESEEYA_CONGRESS,Kamarajar Deseeya Congress,Kamarajar Deseeya Congress,,,,,KDC,,,2009,,,,,,,
parties.IN.KEC,KEC,Kerala Congress,911,#809FFF,party-symbols/auto-rickshaw.svg,https://en.wikipedia.org/wiki/Kerala_Congress,KC|KERALA CONGRESS,state,IN-KL,1965,,,,,,,
parties.IN.KECJ,KEC(J),Kerala Congress (Jacob),913,,,,KCJ,,,1982,,,,,,,
parties.IN.KECM,KEC(M),Kerala Congress (M),,,party-symbols/two-leaves.svg,,KCM,state,IN-KL,1989,,,,,,,
parties.IN.KISP,KiSP,KiSP,,,,,,,,2017,,,,,,,
parties.IN.KKJHS,KKJHS,KKJHS,,,,,KJHS,,,2003,,,,,,,
parties.IN.KLP,KLP,KLP,,,,,,,,1975,,,,,,,
parties.IN.KMDK,KMDK,Kongunadu Makkal Desia Katchi,,,,,,,,2016,,,,,,,
parties.IN.KMK,KMK,KMK,,,,,,,,1996,,,,,,,
parties.IN.KNMK,KNMK,KNMK,,,,,,,,2009,,,,,,,
parties.IN.KONGU_DESA_MARUMALARCHI_MAKKAL_KATCHI,Kongu  Desa  Marumalarchi  Makkal  Katchi,Kongu  Desa  Marumalarchi  Makkal  Katchi,,,,,,,,2021,,,,,,,
parties.IN.KRS,KRS,Karnataka Rashtra Samithi,,,,,,,,,,,,,,,
parties.IN.KTSTP,KTSTP,KTSTP,,,,,,,,2019,,,,,,,
parties.IN.LAP,LAP,LAP,,,,,,,,2014,,,,,,,
parties.IN.LB,LB,LB,,,,,,,,2008,,,,,,,
parties.IN.LCOP,LCOP,LCOP,,,,,,,,2011,,,,,,,
parties.IN.LD,LD,LD,,,,,,,,,,,,,,,
parties.IN.LJD,LJD,LJD,,,,,LOKTANTRIK JANTA DAL,,,2018,,,,,,,
parties.IN.LJGP,LJGP,LJGP,,,,,,,,2019,,,,,,,
parties.IN.LJK,LJK,Latchiya Jananayaka Katchi,2672,,,,,,,,,,,,,,
parties.IN.LJNSP,LJNSP,LJNSP,,,,,,,,,,,,,,,
parties.IN.LJP,LJP,Lok Janshakti Party,,,,,,,,2000,,parties.IN.JD,,,,,
parties.IN.LJPRV,LJP(RV),Lok Janshakti Party (Ram Vilas),,#5B006A,party-symbols/helicopter.jpg,https://en.wikipedia.org/wiki/Lok_Janshakti_Party_(Ram_Vilas),LJPRV,unrecognised_registered,IN-BR,,,,,,,,
parties.IN.LJSP,LJSP,LJSP,,,,,LJS P,,,2001,,,,,,,
parties.IN.LKD,LKD,LKD,,,,,,national,,1969,,,,,,,
parties.IN.LKD_B,LKD(B),LKD(B),,,,,,,,,,,,,,,
parties.IN.LKPT,LKPT,LKPT,,,,,,,,2006,,,,,,,
parties.IN.LKSGM,LKSGM,LKSGM,,,,,,,,2009,,,,,,,
parties.IN.LKSNP,LKSNP,LKSNP,,,,,,,,2019,,,,,,,
parties.IN.LMD,LMD,LMD,,,,,BLMD|BLTMD,,,1989,,,,,,,
parties.IN.LOGAP,LOGAP,LOGAP,,,,,,,,2017,,,,,,,
parties.IN.LOKSP,LOKSP,LOKSP,,,,,,,,2003,,,,,,,
parties.IN.LORP,LoRP,LoRP,,,,,,,,2014,,,,,,,
parties.IN.LPI,LPI,LPI,,,,,,,,1989,,,,,,,
parties.IN.LPSP,LPSP,LPSP,,,,,,,,2002,,,,,,,
parties.IN.LRP,LRP,LRP,,,,,,,,2004,,,,,,,
parties.IN.LSP,LSP,LSP,,,,,LOK SATTA,,,2008,,,,,,,
parties.IN.LSPS,LSPS,LSPS,,,,,,,,2017,,,,,,,
parties.IN.LSWP,LSWP,LSWP,,,,,,,,1996,,,,,,,
parties.IN.LVM,LVM,LVM,,,,,,,,2017,,,,,,,
parties.IN.MADMK,MADMK,MADMK,,,,,,,,1998,,,,,,,
parties.IN.MAG,MAG,MAG,,,,,,,,1967,,,,,,,
parties.IN.MAHATHMA_MAKKAL_MUNNETRA_KAZHAKAM,Mahathma Makkal Munnetra Kazhakam,Mahathma Makkal Munnetra Kazhakam,,,,,,,,2021,,,,,,,
parties.IN.MAHKRS,MAHKRS,MAHKRS,,,,,KM,,,2009,,,,,,,
parties.IN.MAJP,MaJP,MaJP,,,,,,,,2012,,,,,,,
parties.IN.MAKKALATCHI_KATCHI,Makkalatchi Katchi,Makkalatchi Katchi,,,,,,,,2016,,,,,,,
parties.IN.MAKKAL_MUNNETRA_PERAVAI,Makkal Munnetra Peravai,Makkal Munnetra Peravai,,,,,,,,2021,,,,,,,
parties.IN.MAKKAL_NALA_KAZHAGAM,Makkal Nala Kazhagam,Makkal Nala Kazhagam,,,,,,,,2021,,,,,,,
parties.IN.MAKKAL_NALVAAZHVUK_KATCHI,Makkal Nalvaazhvuk Katchi,Makkal Nalvaazhvuk Katchi,,,,,,,,2021,,,,,,,
parties.IN.MAKKAL_SAKTHI_KATCHI,MAKKAL SAKTHI KATCHI,MAKKAL SAKTHI KATCHI,,,,,,,,2011,,,,,,,
parties.IN.MAKKAL_SANANAYAGA_KUDIYARASU_KATCHI,"Makkal Sananayaga Kudiyarasu Katchi,","Makkal Sananayaga Kudiyarasu Katchi,",,,,,,,,2016,,,,,,,
parties.IN.MAKKAL_THILAGAM_MUNNETRA_KAZHAGAM,"Makkal Thilagam Munnetra Kazhagam,","Makkal Thilagam Munnetra Kazhagam,",,,,,,,,2021,,,,,,,
parties.IN.MAKKK,MAKKK,MAKKK,,,,,,,,2016,,,,,,,
parties.IN.MAMAK,MAMAK,MAMAK,,,,,,,,2009,,,,,,,
parties.IN.MANITHA_URIMAIGAL_KALAAGAM,Manitha Urimaigal Kalaagam,Manitha Urimaigal Kalaagam,,,,,,,,2021,,,,,,,
