ge_year,tcpd_state,tcpd_constituency_no,state_code,pc_no,match_method,note
1999,Dadra & Nagar Haveli,1,U03,2,merge,Dadra & Nagar Haveli merged with Daman & Diu into U03 on 26 January 2020; modern pc_no 2. Coded to U03 for all years.
1999,Daman & Diu,1,U03,1,merge,Daman & Diu merged with Dadra & Nagar Haveli into U03 on 26 January 2020; modern pc_no 1. Coded to U03 for all years.
2004,Dadra & Nagar Haveli,1,U03,2,merge,Dadra & Nagar Haveli merged with Daman & Diu into U03 on 26 January 2020; modern pc_no 2. Coded to U03 for all years.
2004,Daman & Diu,1,U03,1,merge,Daman & Diu merged with Dadra & Nagar Haveli into U03 on 26 January 2020; modern pc_no 1. Coded to U03 for all years.
2009,Andhra Pradesh,1,S29,1,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,2,S29,2,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,3,S29,3,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,4,S29,4,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,5,S29,5,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,6,S29,6,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,7,S29,7,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,8,S29,8,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,9,S29,9,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,10,S29,10,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,11,S29,11,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,12,S29,12,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,13,S29,13,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,14,S29,14,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,15,S29,15,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,16,S29,16,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,17,S29,17,state_split,Telangana seat; Telangana split from Andhra Pradesh on 2 June 2014. Coded to modern Telangana (S29).
2009,Andhra Pradesh,18,S01,1,state_split,"Residual Andhra Pradesh seat after the 2 June 2014 Telangana split; TCPD numbers it within undivided AP (1-42), modern AP renumbers 1-25 (offset -17)."
2009,Andhra Pradesh,19,S01,2,state_split,"Residual Andhra Pradesh seat after the 2 June 2014 Telangana split; TCPD numbers it within undivided AP (1-42), modern AP renumbers 1-25 (offset -17)."
2009,Andhra Pradesh,20,S01,3,state_split,"Residual Andhra Pradesh seat after the 2 June 2014 Telangana split; TCPD numbers it within undivided AP (1-42), modern AP renumbers 1-25 (offset -17)."
2009,Andhra Pradesh,21,S01,4,state_split,"Residual Andhra Pradesh seat after the 2 June 2014 Telangana split; TCPD numbers it within undivided AP (1-42), modern AP renumbers 1-25 (offset -17)."
2009,Andhra Pradesh,22,S01,5,state_split,"Residual Andhra Pradesh seat after the 2 June 2014 Telangana split; TCPD numbers it within undivided AP (1-42), modern AP renumbers 1-25 (offset -17)."
2009,Andhra Pradesh,23,S01,6,state_split,"Residual Andhra Pradesh seat after the 2 June 2014 Telangana split; TCPD numbers it within undivided AP (1-42), modern AP renumbers 1-25 (offset -17)."
