electoral_id,lgd_district_id,is_primary,lgd_snapshot,source_id
IN-AC-2008-andhra-pradesh-3194,andhra-pradesh/prakasam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3195,andhra-pradesh/bapatla,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3196,andhra-pradesh/bapatla,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3197,andhra-pradesh/bapatla,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3198,andhra-pradesh/bapatla,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3199,andhra-pradesh/prakasam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3200,andhra-pradesh/bapatla,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3215,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3216,andhra-pradesh/chittoor,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3217,andhra-pradesh/chittoor,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3218,andhra-pradesh/chittoor,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3219,andhra-pradesh/chittoor,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3219,andhra-pradesh/tirupati,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3220,andhra-pradesh/chittoor,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3221,andhra-pradesh/chittoor,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3222,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3223,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3224,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3225,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3226,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3227,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3228,andhra-pradesh/eluru,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3228,andhra-pradesh/west-godavari,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3229,andhra-pradesh/guntur,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3231,andhra-pradesh/guntur,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3232,andhra-pradesh/guntur,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3233,andhra-pradesh/guntur,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3234,andhra-pradesh/guntur,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3235,andhra-pradesh/guntur,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3236,andhra-pradesh/sri-sathya-sai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3237,andhra-pradesh/sri-sathya-sai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3238,andhra-pradesh/sri-sathya-sai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3239,andhra-pradesh/sri-sathya-sai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3240,andhra-pradesh/sri-sathya-sai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3241,andhra-pradesh/sri-sathya-sai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3242,andhra-pradesh/ananthapuramu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3242,andhra-pradesh/sri-sathya-sai,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3250,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3251,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
