entity_id,name,parent,entity_kind,aliases,census_2001_code,census_2011_code
andhra-pradesh/parvathipuram-manyam,Parvathipuram Manyam,andhra-pradesh,district,lgd:743,,
andhra-pradesh/polavaram,Polavaram,andhra-pradesh,district,lgd:791,,
andhra-pradesh/prakasam,Prakasam,andhra-pradesh,district,lgd:517,18,549
andhra-pradesh/sri-potti-sriramulu-nellore,Sri Potti Sriramulu Nellore,andhra-pradesh,district,lgd:515,19,550
andhra-pradesh/sri-sathya-sai,Sri Sathya Sai,andhra-pradesh,district,lgd:754,,
andhra-pradesh/srikakulam,Srikakulam,andhra-pradesh,district,lgd:519,11,542
andhra-pradesh/tirupati,Tirupati,andhra-pradesh,district,lgd:752,,
andhra-pradesh/visakhapatnam,Visakhapatnam,andhra-pradesh,district,lgd:520,13,544
andhra-pradesh/vizianagaram,Vizianagaram,andhra-pradesh,district,lgd:521,12,543
andhra-pradesh/west-godavari,West Godavari,andhra-pradesh,district,lgd:523,15,546
andhra-pradesh/y-s-r-kadapa,Y.S.R. Kadapa,andhra-pradesh,district,lgd:504,20,551
arunachal-pradesh,Arunachal Pradesh,IN,state,IN-AR|S02|lgd:12,12,12
arunachal-pradesh/anjaw,Anjaw,arunachal-pradesh,district,lgd:628,,260
arunachal-pradesh/bichom,Bichom,arunachal-pradesh,district,lgd:787,,
arunachal-pradesh/changlang,Changlang,arunachal-pradesh,district,lgd:229,12,253
arunachal-pradesh/dibang-valley,Dibang Valley,arunachal-pradesh,district,lgd:230,10,257
arunachal-pradesh/east-kameng,East Kameng,arunachal-pradesh,district,lgd:231,3,247
arunachal-pradesh/east-siang,East Siang,arunachal-pradesh,district,lgd:232,8,251
arunachal-pradesh/kamle,Kamle,arunachal-pradesh,district,lgd:718,,
arunachal-pradesh/keyi-panyor,Keyi Panyor,arunachal-pradesh,district,lgd:786,,
arunachal-pradesh/kra-daadi,Kra Daadi,arunachal-pradesh,district,lgd:677,,
arunachal-pradesh/kurung-kumey,Kurung Kumey,arunachal-pradesh,district,lgd:233,14,256
arunachal-pradesh/leparada,Leparada,arunachal-pradesh,district,lgd:724,,
arunachal-pradesh/lohit,Lohit,arunachal-pradesh,district,lgd:234,11,259
arunachal-pradesh/longding,Longding,arunachal-pradesh,district,lgd:666,,
arunachal-pradesh/lower-dibang-valley,Lower Dibang Valley,arunachal-pradesh,district,lgd:235,15,258
arunachal-pradesh/lower-siang,Lower Siang,arunachal-pradesh,district,lgd:719,,
arunachal-pradesh/lower-subansiri,Lower Subansiri,arunachal-pradesh,district,lgd:236,5,255
arunachal-pradesh/namsai,Namsai,arunachal-pradesh,district,lgd:678,,
arunachal-pradesh/pakke-kessang,Pakke Kessang,arunachal-pradesh,district,lgd:723,,
arunachal-pradesh/papum-pare,Papum Pare,arunachal-pradesh,district,lgd:237,4,248
arunachal-pradesh/shi-yomi,Shi Yomi,arunachal-pradesh,district,lgd:725,,
arunachal-pradesh/siang,Siang,arunachal-pradesh,district,lgd:679,,
arunachal-pradesh/tawang,Tawang,arunachal-pradesh,district,lgd:238,1,245
arunachal-pradesh/tirap,Tirap,arunachal-pradesh,district,lgd:239,13,254
arunachal-pradesh/upper-siang,Upper Siang,arunachal-pradesh,district,lgd:240,9,252
arunachal-pradesh/upper-subansiri,Upper Subansiri,arunachal-pradesh,district,lgd:241,6,249
arunachal-pradesh/west-kameng,West Kameng,arunachal-pradesh,district,lgd:242,2,246
arunachal-pradesh/west-siang,West Siang,arunachal-pradesh,district,lgd:243,7,250
assam,Assam,IN,state,IN-AS|S03|lgd:18,18,18
assam/bajali,Bajali,assam,district,lgd:739,,
assam/baksa,Baksa,assam,district,lgd:616,,324
assam/barpeta,Barpeta,assam,district,lgd:280,5,303
assam/biswanath,Biswanath,assam,district,lgd:705,,
assam/bongaigaon,Bongaigaon,assam,district,lgd:281,4,319
assam/cachar,Cachar,assam,district,lgd:282,21,316
assam/charaideo,Charaideo,assam,district,lgd:708,,
assam/chirang,Chirang,assam,district,lgd:612,,320
assam/darrang,Darrang,assam,district,lgd:283,8,325
assam/dhemaji,Dhemaji,assam,district,lgd:284,13,308
assam/dhubri,Dhubri,assam,district,lgd:285,2,301
assam/dibrugarh,Dibrugarh,assam,district,lgd:286,15,310
assam/dima-hasao,Dima Hasao,assam,district,lgd:299,20,315
assam/goalpara,Goalpara,assam,district,lgd:287,3,302
assam/golaghat,Golaghat,assam,district,lgd:288,18,313
assam/hailakandi,Hailakandi,assam,district,lgd:289,23,318
assam/hojai,Hojai,assam,district,lgd:709,,
assam/jorhat,Jorhat,assam,district,lgd:290,17,312
assam/kamrup,Kamrup,assam,district,lgd:291,6,321
assam/kamrup-metro,Kamrup Metro,assam,district,lgd:618,,322
assam/karbi-anglong,Karbi Anglong,assam,district,lgd:292,19,314
assam/kokrajhar,Kokrajhar,assam,district,lgd:294,1,300
assam/lakhimpur,Lakhimpur,assam,district,lgd:295,12,307
assam/majuli,Majuli,assam,district,lgd:706,,
assam/marigaon,Marigaon,assam,district,lgd:296,9,304
assam/nagaon,Nagaon,assam,district,lgd:297,10,305
assam/nalbari,Nalbari,assam,district,lgd:298,7,323
assam/sivasagar,Sivasagar,assam,district,lgd:300,16,311
assam/sonitpur,Sonitpur,assam,district,lgd:301,11,306
assam/south-salmara-mancachar,South Salmara Mancachar,assam,district,lgd:707,,
assam/sribhumi,Sribhumi,assam,district,lgd:293,22,317
assam/tamulpur,Tamulpur,assam,district,lgd:756,,
assam/tinsukia,Tinsukia,assam,district,lgd:302,14,309
assam/udalguri,Udalguri,assam,district,lgd:617,,326
assam/west-karbi-anglong,West Karbi Anglong,assam,district,lgd:710,,
bihar,Bihar,IN,state,IN-BR|S04|lgd:10,10,10
bihar/araria,Araria,bihar,district,lgd:188,7,209
bihar/arwal,Arwal,bihar,district,lgd:611,33,240
bihar/aurangabad,Aurangabad,bihar,district,lgd:189,34,235
bihar/banka,Banka,bihar,district,lgd:190,23,225
bihar/begusarai,Begusarai,bihar,district,lgd:191,20,222
bihar/bhagalpur,Bhagalpur,bihar,district,lgd:192,22,224
bihar/bhojpur,Bhojpur,bihar,district,lgd:193,29,231
bihar/buxar,Buxar,bihar,district,lgd:194,30,232
bihar/darbhanga,Darbhanga,bihar,district,lgd:195,13,215
bihar/gaya,Gaya,bihar,district,lgd:196,35,236
bihar/gopalganj,Gopalganj,bihar,district,lgd:197,15,217
bihar/jamui,Jamui,bihar,district,lgd:198,37,238
bihar/jehanabad,Jehanabad,bihar,district,lgd:199,33,239
bihar/kaimur-bhabua,Kaimur (Bhabua),bihar,district,lgd:200,31,233
bihar/katihar,Katihar,bihar,district,lgd:201,10,212
bihar/khagaria,Khagaria,bihar,district,lgd:202,21,223
bihar/kishanganj,Kishanganj,bihar,district,lgd:203,8,210
bihar/lakhisarai,Lakhisarai,bihar,district,lgd:204,25,227
bihar/madhepura,Madhepura,bihar,district,lgd:205,11,213
bihar/madhubani,Madhubani,bihar,district,lgd:206,5,207
bihar/munger,Munger,bihar,district,lgd:207,24,226
bihar/muzaffarpur,Muzaffarpur,bihar,district,lgd:208,14,216
bihar/nalanda,Nalanda,bihar,district,lgd:209,27,229
bihar/nawada,Nawada,bihar,district,lgd:210,36,237
bihar/pashchim-champaran,Pashchim Champaran,bihar,district,lgd:211,1,203
bihar/patna,Patna,bihar,district,lgd:212,28,230
bihar/purbi-champaran,Purbi Champaran,bihar,district,lgd:213,2,204
bihar/purnia,Purnia,bihar,district,lgd:214,9,211
bihar/rohtas,Rohtas,bihar,district,lgd:215,32,234
