entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-punjab-241,punjab,2017,KHEM KARAN,199217,154504,77.56,SUKHPAL SINGH BHULLAR,,81897,53.01,VIRSA SINGH,,62295,19602,12.69,src-1b7bc1c9d39a
IN-AC-2008-punjab-242,punjab,2017,PATTI,189850,143413,75.54,HARMINDER SINGH GILL,,64617,45.06,ADESH PARTAP SINGH KAIRON,,56254,8363,5.83,src-1b7bc1c9d39a
IN-AC-2008-punjab-243,punjab,2017,SULTANPUR LODHI,141015,108482,76.93,NAVTEJ SINGH CHEEMA,,41843,38.57,UPINDERJIT KAUR,,33681,8162,7.52,src-1b7bc1c9d39a
IN-AC-2008-punjab-244,punjab,2017,TARN TARAN,183580,132573,72.22,DR. DHARAMBIR AGNIHOTRI,,59794,45.1,HARMEET SINGH SANDHU,,45165,14629,11.03,src-1b7bc1c9d39a
IN-AC-2008-punjab-245,punjab,2017,ZIRA,177916,151373,85.08,KULBIR SINGH,,69899,46.18,HARI SINGH ZIRA,,46828,23071,15.24,src-1b7bc1c9d39a
IN-AC-2008-punjab-246,punjab,2017,ATAM NAGAR,157578,107119,67.98,SIMARJEET SINGH BAINS,,53421,49.87,KAMAL JIT SINGH KARWAL,,36508,16913,15.79,src-1b7bc1c9d39a
IN-AC-2008-punjab-247,punjab,2017,DAKHA,179549,146287,81.47,HARVINDER SINGH PHOOLKA,,58923,40.28,MANPREET SINGH AYALI,,54754,4169,2.85,src-1b7bc1c9d39a
IN-AC-2008-punjab-248,punjab,2017,GILL,239146,181224,75.78,KULDEEP SINGH VAID(BULARA),,67927,37.48,JIWAN SINGH SANGOWAL,,59286,8641,4.77,src-1b7bc1c9d39a
IN-AC-2008-punjab-249,punjab,2017,JAGRAON,175752,135658,77.19,SARAVJIT KAUR MANUKE,,61521,45.35,MALKIT SINGH DAKHA,,35945,25576,18.85,src-1b7bc1c9d39a
IN-AC-2008-punjab-250,punjab,2017,LUDHIANA CENTRAL,147646,103012,69.77,SURINDER KUMAR DAWAR,,47871,46.47,GURDEV SHARMA DEBI,,27391,20480,19.88,src-1b7bc1c9d39a
IN-AC-2008-punjab-251,punjab,2017,LUDHIANA EAST,182228,130213,71.46,SANJEEV TALWAR,,43010,33.03,DALJIT SINGH GREWAL (BHOLA),,41429,1581,1.21,src-1b7bc1c9d39a
IN-AC-2008-punjab-252,punjab,2017,LUDHIANA NORTH,181931,124557,68.46,RAKESH PANDEY,,44864,36.02,PARVEEN BANSAL,,39732,5132,4.12,src-1b7bc1c9d39a
IN-AC-2008-punjab-253,punjab,2017,LUDHIANA SOUTH,149582,101713,68,BALVINDER SINGH BAINS,,53955,53.05,BHUPINDER SINGH SIDHU,,23038,30917,30.4,src-1b7bc1c9d39a
IN-AC-2008-punjab-254,punjab,2017,LUDHIANA WEST,176915,122515,69.25,BHARAT BHUSHAN (ASHU),,66627,54.38,AHBAAB SINGH GREWAL,,30106,36521,29.81,src-1b7bc1c9d39a
IN-AC-2008-punjab-255,punjab,2017,DERA BASSI,239885,178140,74.26,NARINDER KUMAR SHARMA,,70792,39.74,DEEPINDER SINGH,,68871,1921,1.08,src-1b7bc1c9d39a
IN-AC-2008-punjab-256,punjab,2017,GHANAUR,155927,125479,80.47,THEKEDAR MADAN LAL JALALPUR,,65965,52.57,HARPREET KAUR MUKHMAILPUR,,29408,36557,29.13,src-1b7bc1c9d39a
IN-AC-2008-punjab-257,punjab,2017,NABHA,175673,142432,81.08,SADHU SINGH,,60861,42.73,GURDEV SINGH DEV MANN,,41866,18995,13.34,src-1b7bc1c9d39a
