external_key,party_short_raw,state,year,n_rows,bucket,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,tcpd_start_year,tcpd_last_year,tcpd_state_disambiguation,current_party_id,proposed_party_id,action,oracle,curator_note
AABHP,AABHP,madhya-pradesh,2018,4,B2,11,,Aajad Bharat Party (Democratic),AABHAP,2017,2019,singleton,parties.IN.UNK,parties.IN.AABHAP,alias-add,tcpd-catalogue-B2,TCPD pid 11 ('Aajad Bharat Party (Democratic)'); bridges to existing canonical via abbreviation 'AABHAP'.
ABJP,ABJP,jharkhand|punjab,2009-2012,2,B2,508,Local Party,All India Bharti Jug Party,ABJP,2007,2009,singleton,parties.IN.UNK,parties.IN.ABJP,mint-new,tcpd-catalogue-B2,TCPD pid 508 ('All India Bharti Jug Party'); minting new slug 'parties.IN.ABJP' from frequent_abbrev 'ABJP'.
ABKP,ABKP,madhya-pradesh,2008,2,B2,402,Local Party,Akhil Bharatiya Hind Kranti Party,ABHKP,2008,2018,singleton,parties.IN.UNK,parties.IN.ABHKP,alias-add,tcpd-catalogue-B2,TCPD pid 402 ('Akhil Bharatiya Hind Kranti Party'); bridges to existing canonical via abbreviation 'ABHKP'.
ABLP,ABLP,uttar-pradesh,2019,1,B2,24425,,Akhil Bhartiya Lok Dal,ABLP,2019,2019,year-match,parties.IN.UNK,parties.IN.ABLP,mint-new,tcpd-catalogue-B2,TCPD pid 24425 ('Akhil Bhartiya Lok Dal'); minting new slug 'parties.IN.ABLP' from frequent_abbrev 'ABLP'.
ABVCP TEL,ABVCP Tel,delhi,2013,3,B2,440,Local Party,Akhil Bhartiya Vikas Congress Party,ABVCP,2013,2017,singleton,parties.IN.UNK,parties.IN.ABVCP,alias-add,tcpd-catalogue-B2,TCPD pid 440 ('Akhil Bhartiya Vikas Congress Party'); bridges to existing canonical via abbreviation 'ABVCP'.
ACP,ACP,andhra-pradesh|uttar-pradesh,2016-2019,5,B2,17074,,Andhra Chaitanya Party,ACP,2019,2019,singleton,parties.IN.UNK,parties.IN.ACP,mint-new,tcpd-catalogue-B2,TCPD pid 17074 ('Andhra Chaitanya Party'); minting new slug 'parties.IN.ACP' from frequent_abbrev 'ACP'.
ADRSP,ADRSP,uttar-pradesh,2017-2024,8,B2,85,Local Party,Adarsh Samaj Party,A S P,2012,2019,singleton,parties.IN.UNK,parties.IN.A_S_P,alias-add,tcpd-catalogue-B2,TCPD pid 85 ('Adarsh Samaj Party'); bridges to existing canonical via abbreviation 'A S P'.
ADS,ADS,uttar-pradesh,2019-2022,18,B2,17049,Local Party,AKALI DAL - SANT FATEH SINGH GROUP,ADS,1967,1968,singleton,parties.IN.UNK,parties.IN.ADS_IN_UP,mint-new,tcpd-catalogue-B2,TCPD pid 17049 ('AKALI DAL - SANT FATEH SINGH GROUP'); minting new slug 'parties.IN.ADS_IN_UP' from disambiguated abbreviation 'ADS'. Disambiguated against existing canonical parties.IN.ADS with incompatible Party_Name.
ADSMP,ADSMP,madhya-pradesh,2018,1,B2,6,,Aadim Samaj Party,AASAMP,2017,2018,singleton,parties.IN.UNK,parties.IN.AASAMP,alias-add,tcpd-catalogue-B2,TCPD pid 6 ('Aadim Samaj Party'); bridges to existing canonical via abbreviation 'AASAMP'.
AKBAP,AKBAP,rajasthan,2013-2024,13,B2,390,Local Party,Akhil Bhartiya Aamjan Party,ABAP,2013,2018,singleton,parties.IN.UNK,parties.IN.ABAP,alias-add,tcpd-catalogue-B2,TCPD pid 390 ('Akhil Bhartiya Aamjan Party'); bridges to existing canonical via abbreviation 'ABAP'.
AKHIL BHARTIYA LOK DAL,Akhil Bhartiya Lok Dal,uttar-pradesh,2022,1,B1,24425,,Akhil Bhartiya Lok Dal,ABLP,2019,2019,singleton,parties.IN.UNK,parties.IN.ABLP,mint-new,tcpd-catalogue-B1,TCPD pid 24425 ('Akhil Bhartiya Lok Dal'); minting new slug 'parties.IN.ABLP' from frequent_abbrev 'ABLP'.
