external_key,party_short_raw,state,year,n_rows,bucket,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,tcpd_start_year,tcpd_last_year,tcpd_state_disambiguation,current_party_id,proposed_party_id,action,oracle,curator_note,skip_reason
AIAMK,AIAMK,tamil-nadu,2015,1,B2,,,,,,,,parties.IN.UNK,,,tcpd-catalogue-B2,"all 2 TCPD candidate(s) are placeholder rows (['24589', '24590']).",tcpd-placeholder-only
AIBPSP,AIBPSP,telangana,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AIJYMKG,AIJYMKG,tamil-nadu,2024-2026,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AIMK,AIMK,tamil-nadu,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AINDKSJNTP,AINDKSJNTP,andhra-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AINRS,AINRS,maharashtra,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AIPDP,AIPDP,tamil-nadu,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AIYDPMP,AIYDPMP,tamil-nadu,2024-2026,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AJPK,AJPK,tamil-nadu,2024-2026,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AJPTY,AJPty,delhi,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AKBRPRVP,AKBRPRVP,bihar|chandigarh|chhattisgarh|delhi|goa|himachal-pradesh|jharkhand|madhya-pradesh|maharashtra|odisha|punjab|uttar-pradesh|uttarakhand,2024,36,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AKHAND BHARAT VIKAS PARTY,Akhand Bharat Vikas Party,uttar-pradesh|uttarakhand,2022,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AKHIL BHARTIYA JANSATTA PARTY,Akhil Bhartiya Jansatta Party,uttar-pradesh,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AKHIL BHARTIYA NAITIK PARTY,Akhil Bhartiya Naitik Party,uttar-pradesh,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AKLVJYP,AKLVJYP,gujarat,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AKNDBRTSMR,AKNDBRTSMR,madhya-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ALP,ALP,rajasthan,2023,11,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ALPU,ALPU,punjab,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AMGRDMK,AMGRDMK,tamil-nadu,2024,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AMM,AMM,tamil-nadu,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ANCHDMCP,ANCHDMCP,arunachal-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ANDC,ANDC,andaman-and-nicobar-islands,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AODRP,AODRP,telangana,2024,14,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APANA DAL BALIHARI PARTY,Apana Dal Balihari Party,uttar-pradesh,2022,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APKAWZP,APKAWZP,gujarat,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APKGNTRP,APKGNTRP,madhya-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNA BHARATIYA SANATAN PARTY,Apna Bharatiya Sanatan Party,uttar-pradesh,2022,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNA DAL (KAMERAWADI),Apna Dal (Kamerawadi),uttar-pradesh,2022,6,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNA SANGHARSH KISANI EKTA PARTY,Apna Sangharsh Kisani Ekta Party,punjab,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNDLK,APNDLK,uttar-pradesh,2024,11,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNEP,APNEP,punjab,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNHQP,APNHQP,uttar-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNI EKTA PARTY,Apni Ekta Party,punjab,2022,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNI JANTA PARTY,Apni Janta Party,gujarat|punjab|uttar-pradesh,2022,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNIPP,apnipp,maharashtra,2024,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APNJBP,APNJBP,punjab,2024,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APRS,APRS,andhra-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
APTADMK,APTADMK,tamil-nadu,2024-2026,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ARJAK ADHIKAR DAL,Arjak Adhikar Dal,uttar-pradesh,2020-2022,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ARJP,ARJP,rajasthan,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ARPS,ARPS,andhra-pradesh,2012-2024,12,B2,,,,,,,,parties.IN.UNK,,,tcpd-catalogue-B2,"2 TCPD candidates (['926', '927']) for bucket B2; disambiguation failed: tcpd-no-year-coverage.",tcpd-no-year-coverage
ASMJTYP,ASMJTYP,assam,2024-2026,11,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
ATAL JANSHAKTI PARTY,Atal Janshakti Party,uttar-pradesh,2022,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AVRMK,AVRMK,tamil-nadu,2024,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AWMIPCHDAP,AWMIPCHDAP,uttar-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BAHUJAN ANDOLAN PARTY,Bahujan Andolan Party,uttar-pradesh,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BAHUJAN BHARAT PARTY,Bahujan Bharat Party,karnataka|maharashtra,2021-2023,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BAHUJAN MUKT PARTY,Bahujan Mukt Party,uttar-pradesh,2018,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BAHUJAN REPUBLICANSOCIALIST PARTY,Bahujan RepublicanSocialist Party,gujarat,2022,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BAP(R),BAP(R),uttar-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BCYP,BCYP,andhra-pradesh,2024,7,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BEROJGAR  AADMI  ADHIKAR PARTY,Berojgar  Aadmi  Adhikar Party,karnataka,2019,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BGDRPP,BGDRPP,bihar|jharkhand|uttar-pradesh,2024,15,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BGPM,BGPM,west-bengal,2026,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BGVKP,BGVKP,rajasthan,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHAGP,BHAGP,bihar,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHAJASP,BHAJASP,chhattisgarh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARAT MAHAPARIVAR PARTY,Bharat Mahaparivar Party,uttar-pradesh,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARAT SWABHIMAN PARTY,Bharat Swabhiman Party,uttar-pradesh,2022,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARAT VAIBHAV PARTY,Bharat Vaibhav Party,uttar-pradesh,2022,3,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATHIYA BELAKU PARTY,Bharathiya Belaku Party,karnataka,2023,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
