external_key,party_short_raw,state,year,n_rows,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,current_party_id,proposed_party_id,action,oracle,curator_note
AASP,AASP,madhya-pradesh|rajasthan,2013-2023,14,61,,Aarthik Samanta Party,AASP,parties.IN.UNK,parties.IN.AASP,mint-new,tcpd-unique,TCPD Party_ID 61 ('Aarthik Samanta Party'); minting new slug 'parties.IN.AASP' from frequent_abbrev 'AASP'.
AASPP,AASPP,chhattisgarh,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
AASPS,AASPS,delhi,2020,1,24480,,Aam Aadmi Sangharsh Party (S),AASPS,parties.IN.UNK,parties.IN.AASPS,mint-new,tcpd-unique,TCPD Party_ID 24480 ('Aam Aadmi Sangharsh Party (S)'); minting new slug 'parties.IN.AASPS' from frequent_abbrev 'AASPS'.
AB,AB,tripura|west-bengal,2012-2016,6,894,Local Party,AMARA BENGALI,AMB,parties.IN.UNK,parties.IN.AMB,alias-add,tcpd-state,TCPD Party_ID 894 ('AMARA BENGALI'); bridges to existing canonical via abbreviation 'AMB'.
ABAC,ABAC,delhi,2009,1,229,,Akhil Bharatiya Aman Committee,ABAC,parties.IN.UNK,parties.IN.ABAC,mint-new,tcpd-unique,TCPD Party_ID 229 ('Akhil Bharatiya Aman Committee'); minting new slug 'parties.IN.ABAC' from frequent_abbrev 'ABAC'.
ABAD,ABAD,madhya-pradesh,2018,2,393,,Akhil Bhartiya Apna Dal,AKBHAD,parties.IN.UNK,parties.IN.AKBHAD,mint-new,tcpd-unique,TCPD Party_ID 393 ('Akhil Bhartiya Apna Dal'); minting new slug 'parties.IN.AKBHAD' from frequent_abbrev 'AKBHAD'.
ABAP,ABAP,rajasthan,2014-2018,4,390,Local Party,Akhil Bhartiya Aamjan Party,ABAP,parties.IN.UNK,parties.IN.ABAP,mint-new,tcpd-unique,TCPD Party_ID 390 ('Akhil Bhartiya Aamjan Party'); minting new slug 'parties.IN.ABAP' from frequent_abbrev 'ABAP'.
ABAPSMP,ABAPSMP,bihar,2010,2,396,,AKHIL BHARTIYA ATYANT PICHARA SANGHARSH MORCHA PARTY,ABAPSMP,parties.IN.UNK,parties.IN.ABAPSMP,mint-new,tcpd-unique,TCPD Party_ID 396 ('AKHIL BHARTIYA ATYANT PICHARA SANGHARSH MORCHA PARTY'); minting new slug 'parties.IN.ABAPSMP' from frequent_abbrev 'ABAPSMP'.
ABAS,ABAS,bihar|uttar-pradesh,2009-2014,12,8632,Local Party,Akhil Bharatiya Ashok Sena,ABAS,parties.IN.UNK,parties.IN.ABAS,mint-new,tcpd-unique,TCPD Party_ID 8632 ('Akhil Bharatiya Ashok Sena'); minting new slug 'parties.IN.ABAS' from frequent_abbrev 'ABAS'.
ABASP,ABASP,madhya-pradesh,2018-2024,2,392,,Akhil Bhartiya Aarakshit Samaj Party,ABASP,parties.IN.UNK,parties.IN.ABASP,mint-new,tcpd-unique,TCPD Party_ID 392 ('Akhil Bhartiya Aarakshit Samaj Party'); minting new slug 'parties.IN.ABASP' from frequent_abbrev 'ABASP'.
