external_key,party_short_raw,state,year,n_rows,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,current_party_id,proposed_party_id,action,oracle,curator_note
BJD(B),BJD(B),odisha,2012,1,24627,,NA's,BJD(B),parties.IN.UNK,parties.IN.BJD_B,mint-new,tcpd-unique,"TCPD Party_ID 24627 (""NA's""); minting new slug 'parties.IN.BJD_B' from frequent_abbrev 'BJD(B)'."
BJD(T),BJD(T),uttar-pradesh,2017,2,1300,,Bharat Janta Dal (Tughlaq),BJD(T),parties.IN.UNK,parties.IN.BJD_T,mint-new,tcpd-unique,TCPD Party_ID 1300 ('Bharat Janta Dal (Tughlaq)'); minting new slug 'parties.IN.BJD_T' from frequent_abbrev 'BJD(T)'.
BJDI,BJDI,delhi|uttar-pradesh,2013-2020,19,1940,Local Party,Bhartiya Janta Dal (Integrated),BJDI,parties.IN.UNK,parties.IN.BJDI,mint-new,tcpd-unique,TCPD Party_ID 1940 ('Bhartiya Janta Dal (Integrated)'); minting new slug 'parties.IN.BJDI' from frequent_abbrev 'BJDI'.
BJHP,BJHP,bihar|rajasthan,2015-2018,8,1909,,Bhartiya Jan Hitkari Party,BJHP,parties.IN.UNK,parties.IN.BJHP,mint-new,tcpd-unique,TCPD Party_ID 1909 ('Bhartiya Jan Hitkari Party'); minting new slug 'parties.IN.BJHP' from frequent_abbrev 'BJHP'.
BJJP,BJJP,delhi|madhya-pradesh,2018-2024,3,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 3 Party_IDs (1911|408|9084); state-disambiguation also failed across our states (delhi|madhya-pradesh).
BJKD(D),BJKD(D),bihar|rajasthan,2014-2018,7,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (24628|9086); state-disambiguation also failed across our states (bihar|rajasthan).
BJLP,BJLP,telangana,2018,70,1275,,Bahujana Left Party,BJLP,parties.IN.UNK,parties.IN.BJLP,mint-new,tcpd-unique,TCPD Party_ID 1275 ('Bahujana Left Party'); minting new slug 'parties.IN.BJLP' from frequent_abbrev 'BJLP'.
BJM,BJM,delhi,2014-2015,2,15862,Local Party,Bhartiya Jan Manch,BJM,parties.IN.UNK,parties.IN.BJM,mint-new,tcpd-unique,TCPD Party_ID 15862 ('Bhartiya Jan Manch'); minting new slug 'parties.IN.BJM' from frequent_abbrev 'BJM'.
BJMP,BJMP,madhya-pradesh,2018,2,1420,,Bharatiya Jan Morcha Party,BHJMP,parties.IN.UNK,parties.IN.BHJMP,mint-new,tcpd-unique,TCPD Party_ID 1420 ('Bharatiya Jan Morcha Party'); minting new slug 'parties.IN.BHJMP' from frequent_abbrev 'BHJMP'.
BJND,BJND,bihar,2015,6,1931,,Bhartiya Janhit Dal,BJND,parties.IN.UNK,parties.IN.BJND,mint-new,tcpd-state,TCPD Party_ID 1931 ('Bhartiya Janhit Dal'); minting new slug 'parties.IN.BJND' from frequent_abbrev 'BJND'.
BJNJGD,BJNJGD,bihar,2020-2024,4,24939,,Bharat Jan Jagran Dal,BJNJGD,parties.IN.UNK,parties.IN.BJNJGD,mint-new,tcpd-unique,TCPD Party_ID 24939 ('Bharat Jan Jagran Dal'); minting new slug 'parties.IN.BJNJGD' from frequent_abbrev 'BJNJGD'.
BJNP,BJNP,bihar|gujarat|rajasthan|uttar-pradesh,2019-2024,7,24944,,Bhartiya Jan Nayak Party,BJNP,parties.IN.UNK,parties.IN.BJNP,mint-new,tcpd-unique,TCPD Party_ID 24944 ('Bhartiya Jan Nayak Party'); minting new slug 'parties.IN.BJNP' from frequent_abbrev 'BJNP'.
BJPART Y,BJPART Y,bihar,2015,1,15882,Local Party,Bihar Janta Party,BJPART Y,parties.IN.UNK,parties.IN.BJPART_Y,mint-new,tcpd-unique,TCPD Party_ID 15882 ('Bihar Janta Party'); minting new slug 'parties.IN.BJPART_Y' from frequent_abbrev 'BJPART Y'.
BJSAP,BJSAP,chandigarh|haryana|punjab|rajasthan,2019-2024,8,18782,,Bhartiya Jan Samman Party,BJSAP,parties.IN.UNK,parties.IN.BJSAP,mint-new,tcpd-unique,TCPD Party_ID 18782 ('Bhartiya Jan Samman Party'); minting new slug 'parties.IN.BJSAP' from frequent_abbrev 'BJSAP'.
BJSC,BJSC,karnataka,2018,20,1289,,Bhaarateeya Janashakthi Congress,BJSC,parties.IN.UNK,parties.IN.BJSC,mint-new,tcpd-unique,TCPD Party_ID 1289 ('Bhaarateeya Janashakthi Congress'); minting new slug 'parties.IN.BJSC' from frequent_abbrev 'BJSC'.
BJSMP,BJSMP,madhya-pradesh,2018,1,1915,,Bhartiya Jan Sampark Party,BJSMP,parties.IN.UNK,parties.IN.BJSMP,mint-new,tcpd-unique,TCPD Party_ID 1915 ('Bhartiya Jan Sampark Party'); minting new slug 'parties.IN.BJSMP' from frequent_abbrev 'BJSMP'.
BJSPP,BJSPP,madhya-pradesh,2019,1,1915,,Bhartiya Jan Sampark Party,BJSMP,parties.IN.UNK,parties.IN.BJSMP,mint-new,tcpd-unique,TCPD Party_ID 1915 ('Bhartiya Jan Sampark Party'); minting new slug 'parties.IN.BJSMP' from frequent_abbrev 'BJSMP'.
BJSSP,BJSSP,delhi,2008,1,1914,,Bhartiya Jan Sahyog Samanvaya Party,BJSSP,parties.IN.UNK,parties.IN.BJSSP,mint-new,tcpd-unique,TCPD Party_ID 1914 ('Bhartiya Jan Sahyog Samanvaya Party'); minting new slug 'parties.IN.BJSSP' from frequent_abbrev 'BJSSP'.
BJSTP,BJSTP,rajasthan,2018-2019,2,1917,,Bhartiya Jan Satta Party,BJSTP,parties.IN.UNK,parties.IN.BJSTP,mint-new,tcpd-unique,TCPD Party_ID 1917 ('Bhartiya Jan Satta Party'); minting new slug 'parties.IN.BJSTP' from frequent_abbrev 'BJSTP'.
BJTP,BJTP,uttar-pradesh,2009,1,1976,Local Party,Bharatiya Jantantrik Parishad,BJTP,parties.IN.UNK,parties.IN.BJTP,mint-new,tcpd-unique,TCPD Party_ID 1976 ('Bharatiya Jantantrik Parishad'); minting new slug 'parties.IN.BJTP' from frequent_abbrev 'BJTP'.
BJVA,BJVA,maharashtra,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BJVP,BJVP,uttar-pradesh,2012-2017,2,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (1678|409); state-disambiguation also failed across our states (uttar-pradesh).
BJYP,BJYP,madhya-pradesh,2014-2018,5,15863,Local Party,Bhartiya Jan Yug Party,BJYP,parties.IN.UNK,parties.IN.BJYP,mint-new,tcpd-unique,TCPD Party_ID 15863 ('Bhartiya Jan Yug Party'); minting new slug 'parties.IN.BJYP' from frequent_abbrev 'BJYP'.
BKDL,BKDL,uttarakhand,2017,1,1305,,Bharat Kaumi Dal,BKDL,parties.IN.UNK,parties.IN.BKDL,mint-new,tcpd-unique,TCPD Party_ID 1305 ('Bharat Kaumi Dal'); minting new slug 'parties.IN.BKDL' from frequent_abbrev 'BKDL'.
BKJP,BKJP,uttar-pradesh,2017,1,1977,,Bhartiya Kisan Janshakti Party,BKJP,parties.IN.UNK,parties.IN.BKJP,mint-new,tcpd-unique,TCPD Party_ID 1977 ('Bhartiya Kisan Janshakti Party'); minting new slug 'parties.IN.BKJP' from frequent_abbrev 'BKJP'.
BKKMP,BKKMP,bihar,2015-2020,3,1301,,Bharat Ka Kisan Majdoor Party,BKKMP,parties.IN.UNK,parties.IN.BKKMP,mint-new,tcpd-unique,TCPD Party_ID 1301 ('Bharat Ka Kisan Majdoor Party'); minting new slug 'parties.IN.BKKMP' from frequent_abbrev 'BKKMP'.
BKLJP,BKLJP,uttar-pradesh|uttarakhand,2009-2024,4,9361,Local Party,Bharat Ki Lok Jimmedar Party,BKLJP,parties.IN.UNK,parties.IN.BKLJP,mint-new,tcpd-unique,TCPD Party_ID 9361 ('Bharat Ki Lok Jimmedar Party'); minting new slug 'parties.IN.BKLJP' from frequent_abbrev 'BKLJP'.
BKNP,BKNP,chandigarh|chhattisgarh|delhi|haryana|maharashtra|rajasthan|uttar-pradesh,2019,19,1979,,Bhartiya Kisan Party,BKNP,parties.IN.UNK,parties.IN.BKNP,mint-new,tcpd-unique,TCPD Party_ID 1979 ('Bhartiya Kisan Party'); minting new slug 'parties.IN.BKNP' from frequent_abbrev 'BKNP'.
BKP(MA),BKP(MA),uttar-pradesh,2014,1,24630,,NA's,BKP(MA),parties.IN.UNK,parties.IN.BKP_MA,mint-new,tcpd-unique,"TCPD Party_ID 24630 (""NA's""); minting new slug 'parties.IN.BKP_MA' from frequent_abbrev 'BKP(MA)'."
BKPP,BKPP,uttar-pradesh,2012-2024,12,1684,Local Party,Bharatiya Kisan Parivartan Party,BKPP,parties.IN.UNK,parties.IN.BKPP,mint-new,tcpd-unique,TCPD Party_ID 1684 ('Bharatiya Kisan Parivartan Party'); minting new slug 'parties.IN.BKPP' from frequent_abbrev 'BKPP'.
BKRD,BKRD,uttar-pradesh,2012-2024,38,1982,Local Party,Bhartiya Krishak Dal,BKRD,parties.IN.UNK,parties.IN.BKRD,mint-new,tcpd-unique,TCPD Party_ID 1982 ('Bhartiya Krishak Dal'); minting new slug 'parties.IN.BKRD' from frequent_abbrev 'BKRD'.
BKRP,BKRP,uttar-pradesh,2012-2017,12,1308,Local Party,Bharat Kranti Rakshak Party,BKRP,parties.IN.UNK,parties.IN.BKRP,mint-new,tcpd-unique,TCPD Party_ID 1308 ('Bharat Kranti Rakshak Party'); minting new slug 'parties.IN.BKRP' from frequent_abbrev 'BKRP'.
BKS,BKS,uttar-pradesh,2017,3,1682,,Bharatiya Karyasth Sena,BKS,parties.IN.UNK,parties.IN.BKS,mint-new,tcpd-state,TCPD Party_ID 1682 ('Bharatiya Karyasth Sena'); minting new slug 'parties.IN.BKS' from frequent_abbrev 'BKS'.
BKSL,BKSL,uttar-pradesh,2014-2018,4,15837,Local Party,Bharatiya Kisan Sena Loktantrik,BKSL,parties.IN.UNK,parties.IN.BKSL,mint-new,tcpd-unique,TCPD Party_ID 15837 ('Bharatiya Kisan Sena Loktantrik'); minting new slug 'parties.IN.BKSL' from frequent_abbrev 'BKSL'.
BKVP,BKVP,bihar,2015-2024,4,1981,,Bhartiya Kranti Vir Party,BKVP,parties.IN.UNK,parties.IN.BKVP,mint-new,tcpd-unique,TCPD Party_ID 1981 ('Bhartiya Kranti Vir Party'); minting new slug 'parties.IN.BKVP' from frequent_abbrev 'BKVP'.
BLFP,BLFP,telangana,2024,2,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BLIP,BLIP,telangana,2024,2,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BLKD,BLKD,uttar-pradesh,2009,1,9406,Local Party,Bharatiya Lok  Kalyan Dal,BLKD,parties.IN.UNK,parties.IN.BLKD,mint-new,tcpd-unique,TCPD Party_ID 9406 ('Bharatiya Lok  Kalyan Dal'); minting new slug 'parties.IN.BLKD' from frequent_abbrev 'BLKD'.
BLKSKTIP,BLKSKTIP,maharashtra,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BLND,BLND,bihar,2019-2020,8,24953,,Bihar Lok Nirman Dal,BLND,parties.IN.UNK,parties.IN.BLND,mint-new,tcpd-unique,TCPD Party_ID 24953 ('Bihar Lok Nirman Dal'); minting new slug 'parties.IN.BLND' from frequent_abbrev 'BLND'.
BLNDBHRTP,BLNDBHRTP,haryana,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BLOKSP,BLOKSP,delhi|jharkhand|uttar-pradesh,2017-2024,8,1312,,Bharat Lok Sewak Party,BLOKSP,parties.IN.UNK,parties.IN.BLOKSP,mint-new,tcpd-unique,TCPD Party_ID 1312 ('Bharat Lok Sewak Party'); minting new slug 'parties.IN.BLOKSP' from frequent_abbrev 'BLOKSP'.
BLPGL,BLPGL,bihar|delhi,2009-2020,2,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (24488|9417); state-disambiguation also failed across our states (bihar|delhi).
BLSD,BLSD,jharkhand|punjab|uttar-pradesh,2019,8,24397,,Bhartiya Lok Seva Dal,BLSD,parties.IN.UNK,parties.IN.BLSD,mint-new,tcpd-unique,TCPD Party_ID 24397 ('Bhartiya Lok Seva Dal'); minting new slug 'parties.IN.BLSD' from frequent_abbrev 'BLSD'.
BMAP,BMAP,maharashtra|rajasthan,2023-2024,2,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BMD,BMD,uttar-pradesh,2017-2024,4,2993,,Dr. Bhimrao Ambedkar Dal,BMD,parties.IN.UNK,parties.IN.BMD,mint-new,tcpd-state,TCPD Party_ID 2993 ('Dr. Bhimrao Ambedkar Dal'); minting new slug 'parties.IN.BMD' from frequent_abbrev 'BMD'.
BMJP,BMJP,uttar-pradesh,2019-2024,3,24431,,Bharatiya Majdoor Janta Party,BMJP,parties.IN.UNK,parties.IN.BMJP,mint-new,tcpd-unique,TCPD Party_ID 24431 ('Bharatiya Majdoor Janta Party'); minting new slug 'parties.IN.BMJP' from frequent_abbrev 'BMJP'.
BMKCP,BMKCP,uttar-pradesh,2012,1,1721,,Bharatiya Mazdoor Kisaan Congress Party,BMKCP,parties.IN.UNK,parties.IN.BMKCP,mint-new,tcpd-unique,TCPD Party_ID 1721 ('Bharatiya Mazdoor Kisaan Congress Party'); minting new slug 'parties.IN.BMKCP' from frequent_abbrev 'BMKCP'.
BMM,BMM,madhya-pradesh|uttar-pradesh,2009-2012,3,9427,Local Party,Bundelkhand Mukti Morcha,BMM,parties.IN.UNK,parties.IN.BMM,mint-new,tcpd-unique,TCPD Party_ID 9427 ('Bundelkhand Mukti Morcha'); minting new slug 'parties.IN.BMM' from frequent_abbrev 'BMM'.
BMNSP,BMNSP,uttarakhand,2014,1,15841,Local Party,Bharatiya Mool Niwasi Samaj Party,BMNSP,parties.IN.UNK,parties.IN.BMNSP,mint-new,tcpd-unique,TCPD Party_ID 15841 ('Bharatiya Mool Niwasi Samaj Party'); minting new slug 'parties.IN.BMNSP' from frequent_abbrev 'BMNSP'.
BMSKM,BMSKM,uttar-pradesh,2012,1,1992,,Bhartiya Mahashakti Morcha,BMSKM,parties.IN.UNK,parties.IN.BMSKM,mint-new,tcpd-unique,TCPD Party_ID 1992 ('Bhartiya Mahashakti Morcha'); minting new slug 'parties.IN.BMSKM' from frequent_abbrev 'BMSKM'.
BMTP,BMTP,uttar-pradesh,2017,1,1319,,Bharat Mata Party,BMTP,parties.IN.UNK,parties.IN.BMTP,mint-new,tcpd-unique,TCPD Party_ID 1319 ('Bharat Mata Party'); minting new slug 'parties.IN.BMTP' from frequent_abbrev 'BMTP'.
BMTRP,BMTRP,bihar|odisha,2015-2019,7,1995,,Bhartiya Mitra Party,BMTRP,parties.IN.UNK,parties.IN.BMTRP,mint-new,tcpd-unique,TCPD Party_ID 1995 ('Bhartiya Mitra Party'); minting new slug 'parties.IN.BMTRP' from frequent_abbrev 'BMTRP'.
BMVSP,BMVSP,madhya-pradesh|uttar-pradesh,2019,3,24381,,Bhartiya Manav Samaj Party,BMVSP,parties.IN.UNK,parties.IN.BMVSP,mint-new,tcpd-unique,TCPD Party_ID 24381 ('Bhartiya Manav Samaj Party'); minting new slug 'parties.IN.BMVSP' from frequent_abbrev 'BMVSP'.
BNARP,BNARP,odisha|west-bengal,2019-2024,15,24466,,Bharatiya Nyay-Adhikar Raksha Party,BNARP,parties.IN.UNK,parties.IN.BNARP,mint-new,tcpd-unique,TCPD Party_ID 24466 ('Bharatiya Nyay-Adhikar Raksha Party'); minting new slug 'parties.IN.BNARP' from frequent_abbrev 'BNARP'.
BNAVP,BNAVP,uttar-pradesh,2017-2019,2,2003,,Bhartiya Navodaya Party,BNAVP,parties.IN.UNK,parties.IN.BNAVP,mint-new,tcpd-unique,TCPD Party_ID 2003 ('Bhartiya Navodaya Party'); minting new slug 'parties.IN.BNAVP' from frequent_abbrev 'BNAVP'.
BND,BND,uttar-pradesh,2019,1,9440,Local Party,Bharatiya Naujawan Dal,BND,parties.IN.UNK,parties.IN.BND,mint-new,tcpd-unique,TCPD Party_ID 9440 ('Bharatiya Naujawan Dal'); minting new slug 'parties.IN.BND' from frequent_abbrev 'BND'.
BNDL,BNDL,bihar|uttar-pradesh,2015-2020,11,1087,,Bahujan Nyay Dal,BNDL,parties.IN.UNK,parties.IN.BNDL,mint-new,tcpd-unique,TCPD Party_ID 1087 ('Bahujan Nyay Dal'); minting new slug 'parties.IN.BNDL' from frequent_abbrev 'BNDL'.
BNGLRNNP,BNGLRNNP,andhra-pradesh,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BNGNBNRMS,BNGNBNRMS,assam,2024,2,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BNIP,BNIP,chhattisgarh|delhi|uttar-pradesh,2013-2019,5,1746,Local Party,Bharatiya Naujawan Inklav party,BNIP,parties.IN.UNK,parties.IN.BNIP,mint-new,tcpd-unique,TCPD Party_ID 1746 ('Bharatiya Naujawan Inklav party'); minting new slug 'parties.IN.BNIP' from frequent_abbrev 'BNIP'.
BNJ,BNJ,gujarat,2014,1,24632,,NA's,BNJ,parties.IN.UNK,parties.IN.BNJ,mint-new,tcpd-unique,"TCPD Party_ID 24632 (""NA's""); minting new slug 'parties.IN.BNJ' from frequent_abbrev 'BNJ'."
BNJP,BNJP,gujarat,2014,1,24633,,NA's,BNJP,parties.IN.UNK,parties.IN.BNJP,mint-new,tcpd-state,"TCPD Party_ID 24633 (""NA's""); minting new slug 'parties.IN.BNJP' from frequent_abbrev 'BNJP'."
BNKP,BNKP,uttar-pradesh,2014,1,24634,,NA's,BNKP,parties.IN.UNK,parties.IN.BNKP,mint-new,tcpd-unique,"TCPD Party_ID 24634 (""NA's""); minting new slug 'parties.IN.BNKP' from frequent_abbrev 'BNKP'."
BNPA,BNPA,delhi,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BNRP,BNRP,uttar-pradesh,2009-2024,2,9446,Local Party,Bharatiya Nagrik Party,BNRP,parties.IN.UNK,parties.IN.BNRP,mint-new,tcpd-unique,TCPD Party_ID 9446 ('Bharatiya Nagrik Party'); minting new slug 'parties.IN.BNRP' from frequent_abbrev 'BNRP'.
BNSKP,BNSKP,bihar,2015,12,2005,,Bhartiya New Sanskar Krantikari Party,BNSKP,parties.IN.UNK,parties.IN.BNSKP,mint-new,tcpd-unique,TCPD Party_ID 2005 ('Bhartiya New Sanskar Krantikari Party'); minting new slug 'parties.IN.BNSKP' from frequent_abbrev 'BNSKP'.
BOP,BOP,odisha,2009,3,2094,Local Party,Bira Oriya Party,BOP,parties.IN.UNK,parties.IN.BOP,mint-new,tcpd-unique,TCPD Party_ID 2094 ('Bira Oriya Party'); minting new slug 'parties.IN.BOP' from frequent_abbrev 'BOP'.
BP,BP,maharashtra,2018,1,1282,,Bam Party,BP,parties.IN.UNK,parties.IN.BP,mint-new,tcpd-unique,TCPD Party_ID 1282 ('Bam Party'); minting new slug 'parties.IN.BP' from frequent_abbrev 'BP'.
BPA,BPA,uttar-pradesh,2017,1,1088,,Bahujan Party,BPA,parties.IN.UNK,parties.IN.BPA,mint-new,tcpd-unique,TCPD Party_ID 1088 ('Bahujan Party'); minting new slug 'parties.IN.BPA' from frequent_abbrev 'BPA'.
BPC,BPC,delhi|uttar-pradesh,2008-2020,20,2013,Local Party,Bhartiya Pragatisheel Congress,BPC,parties.IN.UNK,parties.IN.BPC,mint-new,tcpd-unique,TCPD Party_ID 2013 ('Bhartiya Pragatisheel Congress'); minting new slug 'parties.IN.BPC' from frequent_abbrev 'BPC'.
BPCP,BPCP,chhattisgarh|madhya-pradesh|rajasthan,2018,47,2011,,Bhartiya Panchyat Party,BPCP,parties.IN.UNK,parties.IN.BPCP,mint-new,tcpd-unique,TCPD Party_ID 2011 ('Bhartiya Panchyat Party'); minting new slug 'parties.IN.BPCP' from frequent_abbrev 'BPCP'.
BPD,BPD,andhra-pradesh|bihar|delhi|uttar-pradesh,2008-2012,14,1328,Local Party,Bharat Punarnirman Dal,BPD,parties.IN.UNK,parties.IN.BPD,mint-new,tcpd-state,TCPD Party_ID 1328 ('Bharat Punarnirman Dal'); minting new slug 'parties.IN.BPD' from frequent_abbrev 'BPD'.
BPJP,BPJP,karnataka,2008-2018,16,1758,Local Party,Bharatiya Praja Paksha,BPJP,parties.IN.UNK,parties.IN.BPJP,mint-new,tcpd-unique,TCPD Party_ID 1758 ('Bharatiya Praja Paksha'); minting new slug 'parties.IN.BPJP' from frequent_abbrev 'BPJP'.
BPKP,BPKP,karnataka,2018-2024,12,1762,,Bharatiya Prajagala Kalyana Paksha,BPKP,parties.IN.UNK,parties.IN.BPKP,mint-new,tcpd-unique,TCPD Party_ID 1762 ('Bharatiya Prajagala Kalyana Paksha'); minting new slug 'parties.IN.BPKP' from frequent_abbrev 'BPKP'.
BPL,BPL,bihar,2020,20,24949,,Bhartiya Party (Loktantrik),BPL,parties.IN.UNK,parties.IN.BPL,mint-new,tcpd-unique,TCPD Party_ID 24949 ('Bhartiya Party (Loktantrik)'); minting new slug 'parties.IN.BPL' from frequent_abbrev 'BPL'.
BPLP,BPLP,rajasthan,2023,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
BPNP,BPNP,uttar-pradesh,2012,3,1766,,Bharatiya Prajatantra Nirman Party,BPNP,parties.IN.UNK,parties.IN.BPNP,mint-new,tcpd-unique,TCPD Party_ID 1766 ('Bharatiya Prajatantra Nirman Party'); minting new slug 'parties.IN.BPNP' from frequent_abbrev 'BPNP'.
BPS,BPS,maharashtra,2024,1,2085,,Bihar Prantiya Sudharavadi Party,BPS,parties.IN.UNK,parties.IN.BPS,mint-new,tcpd-unique,TCPD Party_ID 2085 ('Bihar Prantiya Sudharavadi Party'); minting new slug 'parties.IN.BPS' from frequent_abbrev 'BPS'.
BPSGKD,BPSGKD,chhattisgarh,2008-2018,2,9465,Local Party,Bharatiya Prajatantrik Shudh Gandhiwadi Krish,BPSGKD,parties.IN.UNK,parties.IN.BPSGKD,mint-new,tcpd-unique,TCPD Party_ID 9465 ('Bharatiya Prajatantrik Shudh Gandhiwadi Krish'); minting new slug 'parties.IN.BPSGKD' from frequent_abbrev 'BPSGKD'.
BPSP,BPSP,maharashtra,2018,1,9466,Local Party,Bihar People?s Party,BPSP,parties.IN.UNK,parties.IN.BPSP,mint-new,tcpd-unique,TCPD Party_ID 9466 ('Bihar People?s Party'); minting new slug 'parties.IN.BPSP' from frequent_abbrev 'BPSP'.
BPULP,BPULP,rajasthan,2018,1,2017,,Bhartiya Public Labour Party,BPULP,parties.IN.UNK,parties.IN.BPULP,mint-new,tcpd-unique,TCPD Party_ID 2017 ('Bhartiya Public Labour Party'); minting new slug 'parties.IN.BPULP' from frequent_abbrev 'BPULP'.
BRABSVP,BRABSVP,uttar-pradesh,2012-2017,5,1784,Local Party,Bharatiya Rashtriya Bahujan Samaj Vikas Party,BRABSVP,parties.IN.UNK,parties.IN.BRABSVP,mint-new,tcpd-unique,TCPD Party_ID 1784 ('Bharatiya Rashtriya Bahujan Samaj Vikas Party'); minting new slug 'parties.IN.BRABSVP' from frequent_abbrev 'BRABSVP'.
BRAVP,BRAVP,delhi|haryana|uttar-pradesh,2009-2014,5,2104,Local Party,Braj Vikas Party,BRAVP,parties.IN.UNK,parties.IN.BRAVP,mint-new,tcpd-unique,TCPD Party_ID 2104 ('Braj Vikas Party'); minting new slug 'parties.IN.BRAVP' from frequent_abbrev 'BRAVP'.
BRCTP,BRCTP,bihar,2020,6,24942,,Bhartiya Chetna Party,BRCTP,parties.IN.UNK,parties.IN.BRCTP,mint-new,tcpd-unique,TCPD Party_ID 24942 ('Bhartiya Chetna Party'); minting new slug 'parties.IN.BRCTP' from frequent_abbrev 'BRCTP'.
BRED,BRED,uttarakhand,2024,2,1786,,BHARATIYA RASHTRIYA EKTA DAL,BRED,parties.IN.UNK,parties.IN.BRED,mint-new,tcpd-unique,TCPD Party_ID 1786 ('BHARATIYA RASHTRIYA EKTA DAL'); minting new slug 'parties.IN.BRED' from frequent_abbrev 'BRED'.
BRJ,BRJ,uttar-pradesh,2017-2024,5,2022,,Bhartiya Rashtriya Jansatta,BRJ,parties.IN.UNK,parties.IN.BRJ,mint-new,tcpd-unique,TCPD Party_ID 2022 ('Bhartiya Rashtriya Jansatta'); minting new slug 'parties.IN.BRJ' from frequent_abbrev 'BRJ'.
BRJNJGGWP,BRJNJGGWP,jharkhand,2019,3,24493,,Bhartiya Janjagran Gandhiwadi Party,BRJNJGGWP,parties.IN.UNK,parties.IN.BRJNJGGWP,mint-new,tcpd-unique,TCPD Party_ID 24493 ('Bhartiya Janjagran Gandhiwadi Party'); minting new slug 'parties.IN.BRJNJGGWP' from frequent_abbrev 'BRJNJGGWP'.
BRKD,BRKD,uttar-pradesh,2012-2017,2,2107,,Brij Kranti Dal,BRKD,parties.IN.UNK,parties.IN.BRKD,mint-new,tcpd-unique,TCPD Party_ID 2107 ('Brij Kranti Dal'); minting new slug 'parties.IN.BRKD' from frequent_abbrev 'BRKD'.
BRKP(D),BRKP(D),rajasthan,2019-2024,3,24402,,Bharat Rakshak Party (Democratic),BRKP(D),parties.IN.UNK,parties.IN.BRKP_D,mint-new,tcpd-unique,TCPD Party_ID 24402 ('Bharat Rakshak Party (Democratic)'); minting new slug 'parties.IN.BRKP_D' from frequent_abbrev 'BRKP(D)'.
BRM,BRM,bihar|uttar-pradesh,2009-2024,5,1792,Local Party,Bharatiya Rashtriya Morcha,BRM,parties.IN.UNK,parties.IN.BRM,mint-new,tcpd-unique,TCPD Party_ID 1792 ('Bharatiya Rashtriya Morcha'); minting new slug 'parties.IN.BRM' from frequent_abbrev 'BRM'.
BRMD,BRMD,madhya-pradesh,2013-2018,4,1789,Local Party,Bharatiya Rashtriya Mazdoor Dal,BRMD,parties.IN.UNK,parties.IN.BRMD,mint-new,tcpd-unique,TCPD Party_ID 1789 ('Bharatiya Rashtriya Mazdoor Dal'); minting new slug 'parties.IN.BRMD' from frequent_abbrev 'BRMD'.
BRMNP,BRMNP,bihar|maharashtra,2020-2024,3,24948,,Bhartiya Manavta Party,BRMNP,parties.IN.UNK,parties.IN.BRMNP,mint-new,tcpd-unique,TCPD Party_ID 24948 ('Bhartiya Manavta Party'); minting new slug 'parties.IN.BRMNP' from frequent_abbrev 'BRMNP'.
BRMSC,BRMSC,karnataka,2018,5,1787,,Bharatiya Rashtriya Mahila Sarvodaya Congress,BRMSC,parties.IN.UNK,parties.IN.BRMSC,mint-new,tcpd-unique,TCPD Party_ID 1787 ('Bharatiya Rashtriya Mahila Sarvodaya Congress'); minting new slug 'parties.IN.BRMSC' from frequent_abbrev 'BRMSC'.
BRP(I),BRP(I),karnataka,2018,2,15871,Local Party,Bhartiya Republican Party (Insan),BRPI,parties.IN.UNK,parties.IN.BRPI,mint-new,tcpd-unique,TCPD Party_ID 15871 ('Bhartiya Republican Party (Insan)'); minting new slug 'parties.IN.BRPI' from frequent_abbrev 'BRPI'.
