entity_id,time,fuel_type,value,source_id
IN,2015,all,1167584.06,src-90a0132fd807
IN,2016,all,1235357.98,src-90a0132fd807
IN,2017,all,1303454.69,src-90a0132fd807
IN,2018,all,1371779.48,src-90a0132fd807
IN,2019,all,1383416.73,src-90a0132fd807
IN,2020,all,1373186.82,src-90a0132fd807
IN,2021,all,1484463.08,src-90a0132fd807
IN,2022,all,1617723.12,src-90a0132fd807
IN,2023,all,1734375.07,src-90a0132fd807
IN,2024,all,1824213.75,src-90a0132fd807
IN,2025,all,1836653.11,src-90a0132fd807
andaman-and-nicobar,2015,all,207.88,src-90a0132fd807
andaman-and-nicobar,2015,gas,182.85,src-90a0132fd807
andaman-and-nicobar,2015,renewable,25.03,src-90a0132fd807
andaman-and-nicobar,2016,all,242.24,src-90a0132fd807
andaman-and-nicobar,2016,gas,215.56,src-90a0132fd807
andaman-and-nicobar,2016,renewable,26.68,src-90a0132fd807
andaman-and-nicobar,2017,all,285.25,src-90a0132fd807
andaman-and-nicobar,2017,gas,258.79,src-90a0132fd807
andaman-and-nicobar,2017,renewable,26.46,src-90a0132fd807
andaman-and-nicobar,2018,all,151.92,src-90a0132fd807
andaman-and-nicobar,2018,gas,120.73,src-90a0132fd807
andaman-and-nicobar,2018,renewable,31.189999999999998,src-90a0132fd807
andaman-and-nicobar,2019,all,113.49,src-90a0132fd807
andaman-and-nicobar,2019,gas,96.19,src-90a0132fd807
andaman-and-nicobar,2019,renewable,17.3,src-90a0132fd807
andaman-and-nicobar,2020,all,157.99,src-90a0132fd807
andaman-and-nicobar,2020,gas,118.48,src-90a0132fd807
andaman-and-nicobar,2020,renewable,39.51,src-90a0132fd807
andaman-and-nicobar,2021,all,152.02,src-90a0132fd807
andaman-and-nicobar,2021,gas,117.24,src-90a0132fd807
andaman-and-nicobar,2021,renewable,34.78,src-90a0132fd807
andaman-and-nicobar,2022,all,252.48,src-90a0132fd807
andaman-and-nicobar,2022,gas,214.57,src-90a0132fd807
andaman-and-nicobar,2022,renewable,37.910000000000004,src-90a0132fd807
andaman-and-nicobar,2023,all,375.29,src-90a0132fd807
andaman-and-nicobar,2023,gas,335.79,src-90a0132fd807
andaman-and-nicobar,2023,renewable,39.5,src-90a0132fd807
andaman-and-nicobar,2024,all,413.17,src-90a0132fd807
andaman-and-nicobar,2024,gas,374.18,src-90a0132fd807
andaman-and-nicobar,2024,renewable,38.99,src-90a0132fd807
andaman-and-nicobar,2025,all,392.38,src-90a0132fd807
andaman-and-nicobar,2025,gas,363.88,src-90a0132fd807
andaman-and-nicobar,2025,renewable,28.5,src-90a0132fd807
andhra-pradesh,2015,all,61337.18,src-90a0132fd807
andhra-pradesh,2015,coal,52023.75,src-90a0132fd807
andhra-pradesh,2015,gas,5535.51,src-90a0132fd807
andhra-pradesh,2015,hydro,671.33,src-90a0132fd807
andhra-pradesh,2015,renewable,3106.59,src-90a0132fd807
andhra-pradesh,2016,all,71069.5,src-90a0132fd807
andhra-pradesh,2016,coal,58334.04,src-90a0132fd807
andhra-pradesh,2016,gas,5921.6,src-90a0132fd807
andhra-pradesh,2016,hydro,992.52,src-90a0132fd807
andhra-pradesh,2016,renewable,5821.34,src-90a0132fd807
andhra-pradesh,2017,all,72859.24,src-90a0132fd807
andhra-pradesh,2017,coal,57202.51,src-90a0132fd807
andhra-pradesh,2017,gas,3490.26,src-90a0132fd807
andhra-pradesh,2017,hydro,1159.03,src-90a0132fd807
andhra-pradesh,2017,renewable,11007.44,src-90a0132fd807
andhra-pradesh,2018,all,77692.33,src-90a0132fd807
andhra-pradesh,2018,coal,56120.18,src-90a0132fd807
andhra-pradesh,2018,gas,4750.71,src-90a0132fd807
andhra-pradesh,2018,hydro,2272.94,src-90a0132fd807
andhra-pradesh,2018,renewable,14548.5,src-90a0132fd807
andhra-pradesh,2019,all,76936.33,src-90a0132fd807
andhra-pradesh,2019,coal,56916.07,src-90a0132fd807
andhra-pradesh,2019,gas,3013.62,src-90a0132fd807
andhra-pradesh,2019,hydro,3013.43,src-90a0132fd807
andhra-pradesh,2019,renewable,13993.21,src-90a0132fd807
andhra-pradesh,2020,all,66882.89,src-90a0132fd807
andhra-pradesh,2020,coal,46145.71,src-90a0132fd807
andhra-pradesh,2020,gas,3323.24,src-90a0132fd807
andhra-pradesh,2020,hydro,3280.12,src-90a0132fd807
andhra-pradesh,2020,renewable,14133.82,src-90a0132fd807
andhra-pradesh,2021,all,74197.51,src-90a0132fd807
andhra-pradesh,2021,coal,53326.74,src-90a0132fd807
andhra-pradesh,2021,gas,2094.34,src-90a0132fd807
andhra-pradesh,2021,hydro,3113.83,src-90a0132fd807
andhra-pradesh,2021,renewable,15662.6,src-90a0132fd807
andhra-pradesh,2022,all,81701.42,src-90a0132fd807
andhra-pradesh,2022,coal,60931.93,src-90a0132fd807
andhra-pradesh,2022,gas,610,src-90a0132fd807
andhra-pradesh,2022,hydro,3747.58,src-90a0132fd807
andhra-pradesh,2022,renewable,16411.91,src-90a0132fd807
andhra-pradesh,2023,all,90081.32,src-90a0132fd807
andhra-pradesh,2023,coal,71241.24,src-90a0132fd807
andhra-pradesh,2023,gas,2.41,src-90a0132fd807
andhra-pradesh,2023,hydro,1373.19,src-90a0132fd807
andhra-pradesh,2023,renewable,17464.48,src-90a0132fd807
andhra-pradesh,2024,all,92072.29,src-90a0132fd807
andhra-pradesh,2024,coal,72832.94,src-90a0132fd807
andhra-pradesh,2024,gas,34.04,src-90a0132fd807
andhra-pradesh,2024,hydro,3303.08,src-90a0132fd807
andhra-pradesh,2024,renewable,15902.23,src-90a0132fd807
andhra-pradesh,2025,all,98383.5,src-90a0132fd807
andhra-pradesh,2025,coal,73517.16,src-90a0132fd807
andhra-pradesh,2025,gas,311.49,src-90a0132fd807
andhra-pradesh,2025,hydro,6190.59,src-90a0132fd807
