entity_id,time,fuel_type,value,source_id
andhra-pradesh,2024,gas,4715.34,src-4f495cca1e69
andhra-pradesh,2024,hydro,1610,src-4f495cca1e69
andhra-pradesh,2024,renewable,10504.48,src-4f495cca1e69
andhra-pradesh,2025,all,31646.31,src-4f495cca1e69
andhra-pradesh,2025,coal,13890,src-4f495cca1e69
andhra-pradesh,2025,gas,1776.2,src-4f495cca1e69
andhra-pradesh,2025,hydro,3290,src-4f495cca1e69
andhra-pradesh,2025,renewable,12690.11,src-4f495cca1e69
arunachal-pradesh,2015,all,511.8,src-4f495cca1e69
arunachal-pradesh,2015,hydro,405,src-4f495cca1e69
arunachal-pradesh,2015,renewable,106.8,src-4f495cca1e69
arunachal-pradesh,2016,all,511.83,src-4f495cca1e69
arunachal-pradesh,2016,hydro,405,src-4f495cca1e69
arunachal-pradesh,2016,renewable,106.83,src-4f495cca1e69
arunachal-pradesh,2017,all,517,src-4f495cca1e69
arunachal-pradesh,2017,hydro,405,src-4f495cca1e69
arunachal-pradesh,2017,renewable,112,src-4f495cca1e69
arunachal-pradesh,2018,all,655.69,src-4f495cca1e69
arunachal-pradesh,2018,hydro,515,src-4f495cca1e69
arunachal-pradesh,2018,renewable,140.69000000000003,src-4f495cca1e69
arunachal-pradesh,2019,all,955.98,src-4f495cca1e69
arunachal-pradesh,2019,hydro,815,src-4f495cca1e69
arunachal-pradesh,2019,renewable,140.98000000000002,src-4f495cca1e69
arunachal-pradesh,2020,all,1256.27,src-4f495cca1e69
arunachal-pradesh,2020,hydro,1115,src-4f495cca1e69
arunachal-pradesh,2020,renewable,141.27,src-4f495cca1e69
arunachal-pradesh,2021,all,1257.34,src-4f495cca1e69
arunachal-pradesh,2021,hydro,1115,src-4f495cca1e69
arunachal-pradesh,2021,renewable,142.34,src-4f495cca1e69
arunachal-pradesh,2022,all,1259.75,src-4f495cca1e69
arunachal-pradesh,2022,hydro,1115,src-4f495cca1e69
arunachal-pradesh,2022,renewable,144.75,src-4f495cca1e69
arunachal-pradesh,2023,all,1259.9,src-4f495cca1e69
arunachal-pradesh,2023,hydro,1115,src-4f495cca1e69
arunachal-pradesh,2023,renewable,144.9,src-4f495cca1e69
arunachal-pradesh,2024,all,1270.46,src-4f495cca1e69
arunachal-pradesh,2024,hydro,1115,src-4f495cca1e69
arunachal-pradesh,2024,renewable,155.46,src-4f495cca1e69
arunachal-pradesh,2025,all,2021.05,src-4f495cca1e69
arunachal-pradesh,2025,hydro,1865,src-4f495cca1e69
arunachal-pradesh,2025,renewable,156.05,src-4f495cca1e69
assam,2015,all,1238.45,src-4f495cca1e69
assam,2015,coal,310,src-4f495cca1e69
assam,2015,gas,567.2,src-4f495cca1e69
assam,2015,hydro,325,src-4f495cca1e69
assam,2015,renewable,36.25,src-4f495cca1e69
assam,2016,all,1547.48,src-4f495cca1e69
assam,2016,coal,560,src-4f495cca1e69
assam,2016,gas,614.45,src-4f495cca1e69
assam,2016,hydro,325,src-4f495cca1e69
assam,2016,renewable,48.03,src-4f495cca1e69
assam,2017,all,1457.84,src-4f495cca1e69
assam,2017,coal,500,src-4f495cca1e69
assam,2017,gas,579.45,src-4f495cca1e69
assam,2017,hydro,325,src-4f495cca1e69
assam,2017,renewable,53.39,src-4f495cca1e69
assam,2018,all,1733.78,src-4f495cca1e69
assam,2018,coal,750,src-4f495cca1e69
assam,2018,gas,619.2,src-4f495cca1e69
assam,2018,hydro,300,src-4f495cca1e69
