action,proposed_party_id,party_short_raw,tcpd_frequent_abbrev,tcpd_party_name,tcpd_party_type,state,tcpd_start_year,tcpd_last_year
mint-new,parties.IN.AADMPRVTNP,AADMPRVTNP,AADMPRVTNP,AADMPRVTNP,,,,
mint-new,parties.IN.AADP,AADP,AADP,AADP,,,,
mint-new,parties.IN.AAS,AAS,AAS,AAS,,,,
mint-new,parties.IN.AASPP,AASPP,AASPP,AASPP,,,,
mint-new,parties.IN.ABHRTJNSVP,ABHRTJNSVP,ABHRTJNSVP,ABHRTJNSVP,,,,
mint-new,parties.IN.ABHSP,ABHSP,ABHSP,ABHSP,,,,
mint-new,parties.IN.ABSHP,ABSHP,ABSHP,ABSHP,,,,
mint-new,parties.IN.ABSPARTY,ABSPARTY,ABSPARTY,ABSPARTY,,,,
mint-new,parties.IN.ABSSP,ABSSP,ABSSP,ABSSP,,,,
mint-new,parties.IN.ABSTP,ABSTP,ABSTP,ABSTP,,,,
mint-new,parties.IN.ABTP,ABTP,ABTP,ABTP,,,,
mint-new,parties.IN.ABUAJP,ABUAJP,ABUAJP,ABUAJP,,,,
mint-new,parties.IN.ADJP,ADJP,ADJP,ADJP,,,,
mint-new,parties.IN.AIAM,AIAM,AIAM,AIAM,,,,
mint-new,parties.IN.AIBPSP,AIBPSP,AIBPSP,AIBPSP,,,,
mint-new,parties.IN.AIJYMKG,AIJYMKG,AIJYMKG,AIJYMKG,,,,
mint-new,parties.IN.AIMK,AIMK,AIMK,AIMK,,,,
mint-new,parties.IN.AINDKSJNTP,AINDKSJNTP,AINDKSJNTP,AINDKSJNTP,,,,
mint-new,parties.IN.AINRS,AINRS,AINRS,AINRS,,,,
mint-new,parties.IN.AIPDP,AIPDP,AIPDP,AIPDP,,,,
mint-new,parties.IN.AIYDPMP,AIYDPMP,AIYDPMP,AIYDPMP,,,,
mint-new,parties.IN.AJPK,AJPK,AJPK,AJPK,,,,
mint-new,parties.IN.AJPTY,AJPty,AJPty,AJPty,,,,
mint-new,parties.IN.AKBRPRVP,AKBRPRVP,AKBRPRVP,AKBRPRVP,,,,
mint-new,parties.IN.AKLVJYP,AKLVJYP,AKLVJYP,AKLVJYP,,,,
mint-new,parties.IN.AKNDBRTSMR,AKNDBRTSMR,AKNDBRTSMR,AKNDBRTSMR,,,,
mint-new,parties.IN.ALPU,ALPU,ALPU,ALPU,,,,
mint-new,parties.IN.AMGRDMK,AMGRDMK,AMGRDMK,AMGRDMK,,,,
mint-new,parties.IN.AMM,AMM,AMM,AMM,,,,
mint-new,parties.IN.ANCHDMCP,ANCHDMCP,ANCHDMCP,ANCHDMCP,,,,
mint-new,parties.IN.ANDC,ANDC,ANDC,ANDC,,,,
mint-new,parties.IN.AODRP,AODRP,AODRP,AODRP,,,,
mint-new,parties.IN.APKAWZP,APKAWZP,APKAWZP,APKAWZP,,,,
mint-new,parties.IN.APKGNTRP,APKGNTRP,APKGNTRP,APKGNTRP,,,,
mint-new,parties.IN.APNDLK,APNDLK,APNDLK,APNDLK,,,,
mint-new,parties.IN.APNEP,APNEP,APNEP,APNEP,,,,
mint-new,parties.IN.APNHQP,APNHQP,APNHQP,APNHQP,,,,
mint-new,parties.IN.APNJBP,APNJBP,APNJBP,APNJBP,,,,
mint-new,parties.IN.APRS,APRS,APRS,APRS,,,,
mint-new,parties.IN.APTADMK,APTADMK,APTADMK,APTADMK,,,,
mint-new,parties.IN.ARJP,ARJP,ARJP,ARJP,,,,
mint-new,parties.IN.ARPS,ARPS,ARPS,ARPS,,,,
mint-new,parties.IN.ASMJTYP,ASMJTYP,ASMJTYP,ASMJTYP,,,,
mint-new,parties.IN.AVRMK,AVRMK,AVRMK,AVRMK,,,,
mint-new,parties.IN.AWMIPCHDAP,AWMIPCHDAP,AWMIPCHDAP,AWMIPCHDAP,,,,
mint-new,parties.IN.BAP_R,BAP(R),BAP(R),BAP(R),,,,
mint-new,parties.IN.BCYP,BCYP,BCYP,BCYP,,,,
mint-new,parties.IN.BGDRPP,BGDRPP,BGDRPP,BGDRPP,,,,
mint-new,parties.IN.BGVKP,BGVKP,BGVKP,BGVKP,,,,
mint-new,parties.IN.BHAGP,BHAGP,BHAGP,BHAGP,,,,
mint-new,parties.IN.BHAJASP,BHAJASP,BHAJASP,BHAJASP,,,,
mint-new,parties.IN.BHLBP,BHLBP,BHLBP,BHLBP,,,,
mint-new,parties.IN.BHMPP,BHMPP,BHMPP,BHMPP,,,,
mint-new,parties.IN.BHMS,BHMS,BHMS,BHMS,,,,
mint-new,parties.IN.BHRASP,BHRASP,BHRASP,BHRASP,,,,
mint-new,parties.IN.BHRBKP,BHRBKP,BHRBKP,BHRBKP,,,,
mint-new,parties.IN.BHRJAP,BHRJAP,BHRJAP,BHRJAP,,,,
mint-new,parties.IN.BHRJWNKP,BHRJWNKP,BHRJWNKP,BHRJWNKP,,,,
mint-new,parties.IN.BHRLVP,BHRLVP,BHRLVP,BHRLVP,,,,
mint-new,parties.IN.BHRS,BHRS,BHRS,BHRS,,,,
mint-new,parties.IN.BHRTASP,BHRTASP,BHRTASP,BHRTASP,,,,
mint-new,parties.IN.BHRTJDOP,BHRTJDOP,BHRTJDOP,BHRTJDOP,,,,
mint-new,parties.IN.BHRTJNTM,BHRTJNTM,BHRTJNTM,BHRTJNTM,,,,
mint-new,parties.IN.BHRTPNCLP,BHRTPNCLP,BHRTPNCLP,BHRTPNCLP,,,,
mint-new,parties.IN.BHRTPRJAIK,BHRTPRJAIK,BHRTPRJAIK,BHRTPRJAIK,,,,
mint-new,parties.IN.BHRTSP,BHRTSP,BHRTSP,BHRTSP,,,,
mint-new,parties.IN.BHRTSRVDHN,BHRTSRVDHN,BHRTSRVDHN,BHRTSRVDHN,,,,
mint-new,parties.IN.BHRTYLKVNP,BHRTYLKVNP,BHRTYLKVNP,BHRTYLKVNP,,,,
mint-new,parties.IN.BHUNP,BHUNP,BHUNP,BHUNP,,,,
mint-new,parties.IN.BHYUJEP,BHYUJEP,BHYUJEP,BHYUJEP,,,,
mint-new,parties.IN.BJVA,BJVA,BJVA,BJVA,,,,
mint-new,parties.IN.BLFP,BLFP,BLFP,BLFP,,,,
mint-new,parties.IN.BLIP,BLIP,BLIP,BLIP,,,,
mint-new,parties.IN.BLKSKTIP,BLKSKTIP,BLKSKTIP,BLKSKTIP,,,,
mint-new,parties.IN.BLNDBHRTP,BLNDBHRTP,BLNDBHRTP,BLNDBHRTP,,,,
mint-new,parties.IN.BMAP,BMAP,BMAP,BMAP,,,,
mint-new,parties.IN.BNGLRNNP,BNGLRNNP,BNGLRNNP,BNGLRNNP,,,,
mint-new,parties.IN.BNGNBNRMS,BNGNBNRMS,BNGNBNRMS,BNGNBNRMS,,,,
mint-new,parties.IN.BNPA,BNPA,BNPA,BNPA,,,,
mint-new,parties.IN.BRSBD,BRSBD,BRSBD,BRSBD,,,,
mint-new,parties.IN.BSSSSP,BSSSSP,BSSSSP,BSSSSP,,,,
mint-new,parties.IN.BTC,BTC,BTC,BTC,,,,
mint-new,parties.IN.BTJP,BTJP,BTJP,BTJP,,,,
mint-new,parties.IN.BTJSP,BTJSP,BTJSP,BTJSP,,,,
mint-new,parties.IN.BUJNBHRTP,BUJNBHRTP,BUJNBHRTP,BUJNBHRTP,,,,
mint-new,parties.IN.BUP,BUP,BUP,BUP,,,,
mint-new,parties.IN.BYKD,BYKD,BYKD,BYKD,,,,
mint-new,parties.IN.CAPS,CAPS,CAPS,CAPS,,,,
mint-new,parties.IN.CCP,CCP,CCP,CCP,,,,
mint-new,parties.IN.CHNYUTP,CHNYUTP,CHNYUTP,CHNYUTP,,,,
mint-new,parties.IN.CSBGP,CSBGP,CSBGP,CSBGP,,,,
mint-new,parties.IN.DHBHP,DHBHP,DHBHP,DHBHP,,,,
mint-new,parties.IN.DHRMSMJP,DHRMSMJP,DHRMSMJP,DHRMSMJP,,,,
mint-new,parties.IN.DIGVBHP,DIGVBHP,DIGVBHP,DIGVBHP,,,,
mint-new,parties.IN.DPAP,DPAP,DPAP,DPAP,,,,
mint-new,parties.IN.DPRMP,DPRMP,DPRMP,DPRMP,,,,
mint-new,parties.IN.DSPI,DSPI,DSPI,DSPI,,,,
mint-new,parties.IN.DRAPP,DrAPP,DrAPP,DrAPP,,,,
mint-new,parties.IN.ESBD,ESBD,ESBD,ESBD,,,,
mint-new,parties.IN.GBLRPBP,GBLRPBP,GBLRPBP,GBLRPBP,,,,
mint-new,parties.IN.GJRTLKTNTP,GJRTLKTNTP,GJRTLKTNTP,GJRTLKTNTP,,,,
mint-new,parties.IN.GNASURKP,GNASURKP,GNASURKP,GNASURKP,,,,
