entity_id,time,value,source_id
IN,1994,23233,src-9a614b64f314
IN,2000,52552.3,src-9a614b64f314
IN,2007,57725.2,src-9a614b64f314
IN,2010,65052.5,src-9a614b64f314
IN,2011,70442,src-9a614b64f314
IN,2012,73208,src-9a614b64f314
IN,2013,76539,src-9a614b64f314
IN,2014,78227.1,src-9a614b64f314
IN,2015,73247,src-9a614b64f314
IN,2016,75232.4,src-9a614b64f314
IN,2017,69716,src-9a614b64f314
IN,2018,71733,src-9a614b64f314
IN,2019,73189,src-9a614b64f314
IN,2020,75641.1,src-9a614b64f314
