state,event,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing_party,n_oracles_agreeing_candidate,yen_gov_winner_party_id,yen_gov_winner_candidate_name,yen_gov_winner_votes,other_sources,party_id_alliance,verdict_party,verdict_candidate,verdict,curator_note,curator_source_id
rajasthan,AcGenNov2023,1,SADULSHAHAR,1,1,1,parties.IN.BJP,GURVEER SINGH,74433,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,2,GANGANAGAR,1,1,1,parties.IN.BJP,JAYDEEP BIHANI,81001,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,3,KARANPUR,1,1,1,parties.IN.INC,RUPINDER SINGH KOONER,94950,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,4,SURATGARH,1,1,1,parties.IN.INC,Dungarram Gedar,116841,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,5,RAISINGH NAGAR,1,1,1,parties.IN.INC,SOHAN LAL NAYAK,79586,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,6,ANUPGARH,1,1,1,parties.IN.INC,SHIMLA DEVI,102746,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,7,SANGARIA,1,1,1,parties.IN.INC,ABHIMANYU,98341,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,8,HANUMANGARH,1,1,1,parties.IN.IND,GANESHRAJ BANSAL,89323,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,9,PILIBANGA,1,1,1,parties.IN.INC,VINOD KUMAR,143091,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,10,NOHAR,1,1,1,parties.IN.INC,AMIT CHACHAN,103623,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,11,BHADRA,1,1,1,parties.IN.BJP,SANJEEV KUMAR,102748,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,12,KHAJUWALA,1,1,1,parties.IN.BJP,DR VISHWANATH MEGHWAL,91276,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,13,BIKANER WEST,1,1,1,parties.IN.BJP,JETHANAND VYAS,98648,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,14,BIKANER EAST,1,1,1,parties.IN.BJP,Siddhi Kumari,89917,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,15,KOLAYAT,1,1,1,parties.IN.BJP,ANSHUMAN SINGH BHATI,101093,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,16,LUNKARANSAR,1,1,1,parties.IN.BJP,SUMIT GODARA,60452,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,17,DUNGARGARH,1,1,1,parties.IN.BJP,TARACHAND,65690,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,18,NOKHA,1,1,1,parties.IN.INC,SUSHILA RAMESHWAR DUDI,83215,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,19,SADULPUR,1,1,1,parties.IN.BSP,MANOJ KUMAR S/O SWAI SINGH,64368,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,20,TARANAGAR,1,1,1,parties.IN.INC,NARENDRA BUDANIA,108236,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
rajasthan,AcGenNov2023,21,SARDARSHAHAR,1,1,1,parties.IN.INC,ANIL KUMAR SHARMA,99582,,,UNVERIFIED,UNVERIFIED,UNVERIFIED,,
