external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
24482,AAAAP,Aapki Apni Adhikar Party,parties.IN.AAAAP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
11,AABHAP,Aajad Bharat Party (Democratic),parties.IN.AABHAP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
89,AACP,Adarshwaadi Congress Party,parties.IN.AACP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
43,AAHPty,Aap Aur Hum Party,parties.IN.AAHPTY,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
24923,AAM,Aam Adhikar Morcha,parties.IN.AAM,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
15592,AAMJP,Aam Janata Party,parties.IN.AAMJP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
45,AAMP,Aapka Hamara Party,parties.IN.AAMP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
24327,,Aanaithinthiya Jananayaka Pathukappu Kazhagam,parties.IN.AANAITHINTHIYA_JANANAYAKA_PATHUKAPPU_KAZHA,parties.IN.AANAITHINTHIYA_JANANAYAKA_PATHUKAPPU_KAZHA,enrich,2,2,tcpd-parties|yen-gov-canonical,,VERIFIED,,
1000,AAP,awami aamjan party,parties.IN.AAP,parties.IN.AAP,conflict,2,2,tcpd-parties|yen-gov-canonical,,VERIFIED,abbreviation/slug collision: TCPD party shares a short with a different canonical party. Curator: mint TCPD as a new id (e.g. parties.IN.<UPPER_FULL_PREFIX>) and add the upstream short to canonical's aliases only if both parties genuinely share the publisher's preferred short.,src-4040a970f10c
4,AAPA,Aadhi Aabadi Party,parties.IN.AAPA,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
18403,AAPP,Aapki Apni Party (Peoples),parties.IN.AAPP,parties.IN.AAPP,enrich,2,2,tcpd-parties|yen-gov-canonical,,VERIFIED,,
6,AaSamP,Aadim Samaj Party,parties.IN.AASAMP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
819,AaSaP,Aman Samaj Party,parties.IN.AASAP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
61,AaSP,Aarthik Samanta Party,parties.IN.AASP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
24480,AASPS,Aam Aadmi Sangharsh Party (S),parties.IN.AASPS,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
137,AB,Akhand Bharti,parties.IN.AB,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
229,ABAC,Akhil Bharatiya Aman Committee,parties.IN.ABAC,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
390,ABAP,Akhil Bhartiya Aamjan Party,parties.IN.ABAP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
396,ABAPSMP,AKHIL BHARTIYA ATYANT PICHARA SANGHARSH MORCHA PARTY,parties.IN.ABAPSMP,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
8632,ABAS,Akhil Bharatiya Ashok Sena,parties.IN.ABAS,,mint-new,1,1,tcpd-parties,,UNVERIFIED,,
