action,proposed_party_id,party_short_raw,tcpd_frequent_abbrev,tcpd_party_name,tcpd_party_type,state,tcpd_start_year,tcpd_last_year
alias-add,parties.IN.CPIMLL,CPI(ML) (L),CPI(ML)(L),CPI(ML) (L),,rajasthan,,
alias-add,parties.IN.CPIMLL,Communist Party of India(Marxist-Leninist)(Liberation),CPI(ML)(L),Communist Party of India(Marxist-Leninist)(Liberation),,gujarat,,
alias-add,parties.IN.CCP,Country Citizen Party,CCP,Country Citizen Party,,karnataka,,
mint-new,parties.IN.DSBHP,Desh Bachao Party,DSBHP,Desh Bachao Party,,uttar-pradesh,,
alias-add,parties.IN.DPRMP,Desh Prem Party,DPRMP,Desh Prem Party,,karnataka,,
alias-add,parties.IN.DHBHP,Dhanwan Bharat Party,DHBHP,Dhanwan Bharat Party,,gujarat,,
alias-add,parties.IN.DRAPP,Dr. Ambedkar People's Party,DrAPP,Dr. Ambedkar People's Party,,karnataka,,
alias-add,parties.IN.GNASURKP,GSP_ABBR_2,GNASURKP,GSP_ABBR_2,,rajasthan,,
mint-new,parties.IN.GBVP,Garib Berozgar Vikas Party,GBVP,Garib Berozgar Vikas Party,,uttar-pradesh,,
mint-new,parties.IN.GNNS,Gujarat Nav Nirman Sena,GNNS,Gujarat Nav Nirman Sena,,gujarat,,
alias-add,parties.IN.GSSP,Gujarat Sarva Samaj Party,GSSP,Gujarat Sarva Samaj Party,,gujarat,,
alias-add,parties.IN.GSNJP,Gunj Satya Ni Janata Party,GSNJP,Gunj Satya Ni Janata Party,,gujarat,,
mint-new,parties.IN.HP,Hamdard Party,HP,Hamdard Party,,uttar-pradesh,,
alias-add,parties.IN.HCHLJP,Himachal Janta Party,HCHLJP,Himachal Janta Party,,himachal-pradesh,,
alias-add,parties.IN.HJPS,Hindustan Janta Party Secular,HJPS,Hindustan Janta Party Secular,,karnataka,,
alias-add,parties.IN.HINDSMJP,Hindustan Samaj Party,HINDSMJP,Hindustan Samaj Party,,uttar-pradesh,,
mint-new,parties.IN.INJSP,India Janshakti Party,INJSP,India Janshakti Party,,uttar-pradesh,,
alias-add,parties.IN.IMP,Indian Movement Party,IMP,Indian Movement Party,,karnataka,,
mint-new,parties.IN.INAPI,Indian Nationalist Alliance Party (India),INAPI,Indian Nationalist Alliance Party (India),,uttar-pradesh,,
mint-new,parties.IN.IWP,Insaafwadi Party,IWP,Insaafwadi Party,,uttar-pradesh,,
mint-new,parties.IN.ILVK,Insaniyat Lok Vikas Party,ILVK,Insaniyat Lok Vikas Party,,punjab,,
alias-add,parties.IN.ISP,Insaniyat Party,ISP,Insaniyat Party,,gujarat,,
alias-add,parties.IN.JAISMP,Jai Samta Party,JAISMP,Jai Samta Party,,uttar-pradesh,,
mint-new,parties.IN.JNABHNP,Jan Abhiyan Party,JNABHNP,Jan Abhiyan Party,,uttar-pradesh,,
mint-new,parties.IN.JNASRP,Jan Asra Party,JNASRP,Jan Asra Party,,punjab,,
mint-new,parties.IN.JJUI,Jan Jan (United) Party,JJUI,Jan Jan (United) Party,,uttar-pradesh,,
mint-new,parties.IN.JNMNP,Jan Man Party,JNMNP,Jan Man Party,,gujarat,,
alias-add,parties.IN.JSDP,Jan Sewa Driver Party,JSDP,Jan Sewa Driver Party,,gujarat,,
mint-new,parties.IN.JNASPNDNAP,Jana Spandana Party,JNASPNDNAP,Jana Spandana Party,,karnataka,,
mint-new,parties.IN.JNDHRSKTP,Janadhar Shakti Party,JNDHRSKTP,Janadhar Shakti Party,,uttar-pradesh,,
alias-add,parties.IN.JNLKVKSP,Janlok Vikas Party,JNLKVKSP,Janlok Vikas Party,,uttar-pradesh,,
mint-new,parties.IN.JNBRDP,Janta Brigade Party,JNBRDP,Janta Brigade Party,,punjab,,
mint-new,parties.IN.JNTARKSHKP,Janta Rakshak Party,JNTARKSHKP,Janta Rakshak Party,,uttar-pradesh,,
mint-new,parties.IN.KRPP,Kalyana Rajya Pragathi Paksha,KRPP,Kalyana Rajya Pragathi Paksha,,karnataka,,
mint-new,parties.IN.KDP,Kannada Deshada Paksha,KDP,Kannada Deshada Paksha,,karnataka,,
alias-add,parties.IN.KP,KannadaPaksha,KP,KannadaPaksha,,karnataka,,
mint-new,parties.IN.KPL,Kisan Party (Loktantrik),KPL,Kisan Party (Loktantrik),,uttar-pradesh,,
alias-add,parties.IN.KSRSP,Kisan Raksha Party,KSRSP,Kisan Raksha Party,,uttar-pradesh,,
mint-new,parties.IN.LKBNDHP,Lok Bandhu Party,LKBNDHP,Lok Bandhu Party,,uttar-pradesh,,
alias-add,parties.IN.LPRSTRP,Lokpriya Rashtrawadi Party,LPRSTRP,Lokpriya Rashtrawadi Party,,uttar-pradesh,,
mint-new,parties.IN.LTJP,Loktantrik Janwadi Party,LTJP,Loktantrik Janwadi Party,,uttar-pradesh,,
mint-new,parties.IN.MKAD,MKAD,MKAD,MKAD,,rajasthan,,
mint-new,parties.IN.MIHISE,Mihir Sena,MIHISE,Mihir Sena,,uttar-pradesh,,
alias-add,parties.IN.NAFP,NFP,nafp,NFP,,rajasthan,,
mint-new,parties.IN.NHP,NHP,NHP,NHP,,rajasthan,,
mint-new,parties.IN.NKP,Nai Kranti Party,NKP,Nai Kranti Party,,uttar-pradesh,,
alias-add,parties.IN.NMSP,National Maha Sabha Party,NMSP,National Maha Sabha Party,,gujarat,,
alias-add,parties.IN.NBHS,Navabharath Sena,NBHS,Navabharath Sena,,karnataka,,
alias-add,parties.IN.NIUP,New India United Party,NIUP,New India United Party,,gujarat,,
alias-add,parties.IN.PPSP,Pachchasi Parivartan Samaj Party,PPSP,Pachchasi Parivartan Samaj Party,,gujarat|uttar-pradesh,,
mint-new,parties.IN.PRSRBNDHP,Parisara Bandhu Party,PRSRBNDHP,Parisara Bandhu Party,,karnataka,,
mint-new,parties.IN.PKD,Punjab Kisan Dal,PKD,Punjab Kisan Dal,,punjab,,
alias-add,parties.IN.PNJBNP,Punjab National Party,PNJBNP,Punjab National Party,,punjab,,
alias-add,parties.IN.RVYP,RASHTRIYAVYA,RVyP,RASHTRIYAVYA,,rajasthan,,
mint-new,parties.IN.RDF,RDF,RDF,RDF,,rajasthan,,
alias-add,parties.IN.RPPRINAT,RPOIA,RPPRINAT,RPOIA,,rajasthan,,
mint-new,parties.IN.RSHTRJNTS,RSHTRJNTS,RSHTRJNTS,RSHTRJNTS,,rajasthan,,
mint-new,parties.IN.RSTJNSRYP,RSTJNSRYP,RSTJNSRYP,RSTJNSRYP,,rajasthan,,
alias-add,parties.IN.RSUP,Rashtra Uday Party,RSUP,Rashtra Uday Party,,uttar-pradesh,,
mint-new,parties.IN.RSTRVVP,Rashtravadi Vikas Party,RSTRVVP,Rashtravadi Vikas Party,,uttar-pradesh,,
mint-new,parties.IN.RWJD,Rashtrawadi Janlok Dal,RWJD,Rashtrawadi Janlok Dal,,gujarat,,
mint-new,parties.IN.RKKD,Rashtrawadi Kisan Kranti Dal,RKKD,Rashtrawadi Kisan Kranti Dal,,uttar-pradesh,,
alias-add,parties.IN.RAPI,Rashtrawadi Party of India,RAPI,Rashtrawadi Party of India,,punjab|uttar-pradesh,,
mint-new,parties.IN.RTBGP,Rashtriya Bhagidari Party,RTBGP,Rashtriya Bhagidari Party,,uttar-pradesh,,
mint-new,parties.IN.RDEMFR,Rashtriya Democratic Front,RDEMFR,Rashtriya Democratic Front,,uttar-pradesh,,
alias-add,parties.IN.RTRYDVBHMP,Rashtriya Devbhumi Party,RTRYDVBHMP,Rashtriya Devbhumi Party,,himachal-pradesh,,
alias-add,parties.IN.RSTHNDEKD,Rashtriya Hind Ekta Dal,RSTHNDEKD,Rashtriya Hind Ekta Dal,,gujarat,,
mint-new,parties.IN.RSTJNMN,Rashtriya Jan Manch,RSTJNMN,Rashtriya Jan Manch,,uttar-pradesh,,
mint-new,parties.IN.RTJSP,Rashtriya Jan Sahyog Party,RTJSP,Rashtriya Jan Sahyog Party,,uttar-pradesh,,
mint-new,parties.IN.RSTJNHP,Rashtriya Janahita Party,RSTJNHP,Rashtriya Janahita Party,,karnataka,,
mint-new,parties.IN.RKRSKD,Rashtriya Krishak Dal,RKRSKD,Rashtriya Krishak Dal,,uttar-pradesh,,
mint-new,parties.IN.RTLJP,Rashtriya Lok Janta Party,RTLJP,Rashtriya Lok Janta Party,,uttar-pradesh,,
mint-new,parties.IN.RSHTLKNTP,Rashtriya Lokneeti Party,RSHTLKNTP,Rashtriya Lokneeti Party,,himachal-pradesh,,
mint-new,parties.IN.RTVP,Rashtriya Teesara Vikalp Party,RTVP,Rashtriya Teesara Vikalp Party,,uttar-pradesh,,
mint-new,parties.IN.RTYVMRD,Rashtriya Yuva Morcha Dal,RTYVMRD,Rashtriya Yuva Morcha Dal,,uttar-pradesh,,
mint-new,parties.IN.RSTHNDSMJP,Rastriya Hind Samaj Party,RSTHNDSMJP,Rastriya Hind Samaj Party,,uttar-pradesh,,
alias-add,parties.IN.RPIB,Republican Party of India Bharatha,RPIB,Republican Party of India Bharatha,,karnataka,,
alias-add,parties.IN.SADM,SAD(A),SAD(M),SAD(A),,rajasthan,,
mint-new,parties.IN.SADS,SAD(S),SADS,SAD(S),,punjab,,
alias-add,parties.IN.SWNTRABYKT,SAP_ABBR_2,SWNTRABYKT,SAP_ABBR_2,,rajasthan,,
mint-new,parties.IN.SADAHAQ,Sada Haq Party,SADAHAQ,Sada Haq Party,,punjab,,
alias-add,parties.IN.SMJDRP,Samajhdar Party,SMJDRP,Samajhdar Party,,uttar-pradesh,,
alias-add,parties.IN.SMJSNGP,Samajik Sangharsh Party,SMJSNGP,Samajik Sangharsh Party,,punjab,,
mint-new,parties.IN.SMJANDP,Samajwadi Andolan Party,SMJANDP,Samajwadi Andolan Party,,uttar-pradesh,,
mint-new,parties.IN.SAKP,Samarth Kisan Party,SAKP,Samarth Kisan Party,,uttar-pradesh,,
alias-add,parties.IN.SMKP,Samyak Party,SMKP,Samyak Party,,uttar-pradesh,,
mint-new,parties.IN.SNYKSNGRHP,Sanyukt Sangharsh Party,SNYKSNGRHP,Sanyukt Sangharsh Party,,punjab,,
mint-new,parties.IN.SRVSNJP,Sarav Sanjhi Party,SRVSNJP,Sarav Sanjhi Party,,punjab,,
mint-new,parties.IN.SRVRJYP,Sarv Rajya Party,SRVRJYP,Sarv Rajya Party,,uttar-pradesh,,
alias-add,parties.IN.SVSAP,Sarv Samaj Party,SVSAP,Sarv Samaj Party,,uttar-pradesh,,
mint-new,parties.IN.SJAS,Sarvajanika Adarsha Sena,SJAS,Sarvajanika Adarsha Sena,,karnataka,,
alias-add,parties.IN.SJAP,Sarvjan Awaz Party,SJAP,Sarvjan Awaz Party,,uttar-pradesh,,
mint-new,parties.IN.SRVSNTP,Sarvjan Sanatan Party,SRVSNTP,Sarvjan Sanatan Party,,uttar-pradesh,,
alias-add,parties.IN.STWDRKSKP,Satyawadi Rakshak Party,STWDRKSKP,Satyawadi Rakshak Party,,gujarat,,
mint-new,parties.IN.SSJPS,Saurashtra Janta Paksha,SSJPS,Saurashtra Janta Paksha,,gujarat,,
mint-new,parties.IN.SECINQP,Secular Inqlab Party,SECINQP,Secular Inqlab Party,,uttar-pradesh,,
alias-add,parties.IN.SS_UBT,ShivSena (Uddhav Balasaheb Thackeray),SHSUBT,ShivSena (Uddhav Balasaheb Thackeray),,karnataka,,
mint-new,parties.IN.SDJSWP,Swadesh Jan Sewak Party,SDJSWP,Swadesh Jan Sewak Party,,uttar-pradesh,,
mint-new,parties.IN.SILP,Swatantra Indian Labour Party,SILP,Swatantra Indian Labour Party,,uttar-pradesh,,
alias-add,parties.IN.SWNTRABYKT,Swatantrata Abhivyakti Party,SWNTRABYKT,Swatantrata Abhivyakti Party,,gujarat,,
mint-new,parties.IN.SWYMKP,Swayam Krushi Party,SWYMKP,Swayam Krushi Party,,karnataka,,
mint-new,parties.IN.TP,Tuluvere Paksha,TP,Tuluvere Paksha,,karnataka,,
mint-new,parties.IN.VM,VM,VM,VM,,rajasthan,,
mint-new,parties.IN.VJYJNP,Vijaya Janata Party,VJYJNP,Vijaya Janata Party,,karnataka,,
mint-new,parties.IN.VKSHELJNTP,Vikassheel Janta Party,VKSHELJNTP,Vikassheel Janta Party,,uttar-pradesh,,
mint-new,parties.IN.VIPIN,Vishal Party of India,VIPIN,Vishal Party of India,,punjab,,
mint-new,parties.IN.WJP,Watan Janta Party,WJP,Watan Janta Party,,uttar-pradesh,,
alias-add,parties.IN.YSEP,Young Star Empowerment Party,YSEP,Young Star Empowerment Party,,karnataka,,
alias-add,parties.IN.AIMIM,party-unknown-1920,AIMIM,party-unknown-1920,,rajasthan,,
alias-add,parties.IN.BLOKSP,party-unknown-1931,BLokSP,party-unknown-1931,,rajasthan,,
alias-add,parties.IN.BHJD,party-unknown-1945,BaJD,party-unknown-1945,,rajasthan,,
alias-add,parties.IN.JSVP,party-unknown-1967,JSVP,party-unknown-1967,,rajasthan,,
alias-add,parties.IN.PUPP,party-unknown-2003,PuPP,party-unknown-2003,,rajasthan,,
