election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenFeb2023,S17,AC,10,Northern Angami-I (ST),17860,13830,77.44,3,NOTA,NOTA,,72,0.52,0,1,,,
AcGenFeb2023,S17,AC,11,Northern Angami-II (ST),21840,18353,84.03,1,Neiphiu Rio,NDPP,,17045,92.87,1,0,M,72,ST
AcGenFeb2023,S17,AC,11,Northern Angami-II (ST),21840,18353,84.03,2,Seyievilie Sachu,INC,,1221,6.65,0,0,M,37,ST
AcGenFeb2023,S17,AC,11,Northern Angami-II (ST),21840,18353,84.03,3,NOTA,NOTA,,87,0.47,0,1,,,
AcGenFeb2023,S17,AC,12,Tseminyu (ST),24253,22551,92.98,1,Jwenga Seb,JD(U),,8096,35.9,1,0,M,45,ST
AcGenFeb2023,S17,AC,12,Tseminyu (ST),24253,22551,92.98,2,Loguseng Semp,RPPRINAT,,5533,24.54,0,0,M,46,ST
AcGenFeb2023,S17,AC,12,Tseminyu (ST),24253,22551,92.98,3,R. Khing,NDPP,,4781,21.2,0,0,M,73,ST
AcGenFeb2023,S17,AC,12,Tseminyu (ST),24253,22551,92.98,4,Joel Naga,RSNPLSP,,3718,16.49,0,0,M,48,ST
AcGenFeb2023,S17,AC,12,Tseminyu (ST),24253,22551,92.98,5,Er. Levi Rengma,LJPRV,,352,1.56,0,0,M,64,ST
AcGenFeb2023,S17,AC,12,Tseminyu (ST),24253,22551,92.98,6,NOTA,NOTA,,71,0.31,0,1,,,
AcGenFeb2023,S17,AC,13,Pughoboto (ST),15803,14789,93.58,1,Dr. Sukhato A. Sema,LJPRV,,7808,52.8,1,0,M,65,ST
AcGenFeb2023,S17,AC,13,Pughoboto (ST),15803,14789,93.58,2,Y. Vikheho Swu,NDPP,,6958,47.05,0,0,M,57,ST
AcGenFeb2023,S17,AC,13,Pughoboto (ST),15803,14789,93.58,3,NOTA,NOTA,,23,0.16,0,1,,,
AcGenFeb2023,S17,AC,14,Southern Angami-I (ST),14482,13147,90.78,1,Kevipodi Sophie,IND,,6643,50.53,1,0,M,59,ST
AcGenFeb2023,S17,AC,14,Southern Angami-I (ST),14482,13147,90.78,2,Medo Yhokha,NDPP,,6466,49.18,0,0,M,45,ST
AcGenFeb2023,S17,AC,14,Southern Angami-I (ST),14482,13147,90.78,3,NOTA,NOTA,,38,0.29,0,1,,,
AcGenFeb2023,S17,AC,15,Southern Angami-II (ST),17808,16188,90.9,1,Kropol Vitsu,BJP,,5985,36.97,1,0,M,58,ST
AcGenFeb2023,S17,AC,15,Southern Angami-II (ST),17808,16188,90.9,2,Zale Neikha,NCP,,5535,34.19,0,0,M,46,ST
AcGenFeb2023,S17,AC,15,Southern Angami-II (ST),17808,16188,90.9,3,Vipopal Kintso,JD(U),,4624,28.56,0,0,M,52,ST
AcGenFeb2023,S17,AC,15,Southern Angami-II (ST),17808,16188,90.9,4,NOTA,NOTA,,44,0.27,0,1,,,
AcGenFeb2023,S17,AC,16,Pfutsero (ST),20805,19007,91.36,1,Dr.neisatuo Mero,IND,,7995,42.06,1,0,M,49,ST
AcGenFeb2023,S17,AC,16,Pfutsero (ST),20805,19007,91.36,2,Neiba Kronu,NDPP,,7891,41.52,0,0,M,55,ST
AcGenFeb2023,S17,AC,16,Pfutsero (ST),20805,19007,91.36,3,Vivolie Kezo,NPF,,3059,16.09,0,0,M,48,ST
AcGenFeb2023,S17,AC,16,Pfutsero (ST),20805,19007,91.36,4,NOTA,NOTA,,62,0.33,0,1,,,
AcGenFeb2023,S17,AC,17,Chizami (ST),17676,16376,92.65,1,K. G Kenye,NDPP,,7088,43.28,1,0,M,62,ST
AcGenFeb2023,S17,AC,17,Chizami (ST),17676,16376,92.65,2,Kevechutso Doulo,LJPRV,,5809,35.47,0,0,M,53,ST
AcGenFeb2023,S17,AC,17,Chizami (ST),17676,16376,92.65,3,Vevoyi Wideo,NPEP,,3310,20.21,0,0,M,41,ST
AcGenFeb2023,S17,AC,17,Chizami (ST),17676,16376,92.65,4,Kezhienyi Khalo,NPF,,104,0.64,0,0,M,64,ST
AcGenFeb2023,S17,AC,17,Chizami (ST),17676,16376,92.65,5,NOTA,NOTA,,65,0.4,0,1,,,
AcGenFeb2023,S17,AC,18,Chazouba (ST),25714,23052,89.65,1,Kudecho Khamo,NDPP,,9485,41.15,1,0,M,47,ST
AcGenFeb2023,S17,AC,18,Chazouba (ST),25714,23052,89.65,2,Dr. Chotisuh Sazo,LJPRV,,7247,31.44,0,0,M,61,ST
AcGenFeb2023,S17,AC,18,Chazouba (ST),25714,23052,89.65,3,Sovenyi,NPF,,3433,14.89,0,0,M,62,ST
AcGenFeb2023,S17,AC,18,Chazouba (ST),25714,23052,89.65,4,Thepuphi Kapuh,IND,,2452,10.64,0,0,M,50,ST
AcGenFeb2023,S17,AC,18,Chazouba (ST),25714,23052,89.65,5,Veprasa Nyekha,NPEP,,397,1.72,0,0,M,67,ST
AcGenFeb2023,S17,AC,18,Chazouba (ST),25714,23052,89.65,6,NOTA,NOTA,,38,0.16,0,1,,,
AcGenFeb2023,S17,AC,19,Phek (ST),22122,19396,87.68,1,Kuzholuzo Nienu,NPF,,9489,48.92,1,0,M,57,ST
AcGenFeb2023,S17,AC,19,Phek (ST),22122,19396,87.68,2,Kupota Khesoh,NDPP,,9441,48.67,0,0,M,63,ST
AcGenFeb2023,S17,AC,19,Phek (ST),22122,19396,87.68,3,Zacilhu Ringa Vadeo,INC,,427,2.2,0,0,M,71,ST
AcGenFeb2023,S17,AC,19,Phek (ST),22122,19396,87.68,4,NOTA,NOTA,,39,0.2,0,1,,,
AcGenFeb2023,S17,AC,20,Meluri (ST),20851,19393,93.01,1,Z.nyusietho Nyuthe,NDPP,,11256,58.04,1,0,M,57,ST
AcGenFeb2023,S17,AC,20,Meluri (ST),20851,19393,93.01,2,Yitachu,LJPRV,,7676,39.58,0,0,M,56,ST
AcGenFeb2023,S17,AC,20,Meluri (ST),20851,19393,93.01,3,S.akho Leyri,NPF,,304,1.57,0,0,M,61,ST
AcGenFeb2023,S17,AC,20,Meluri (ST),20851,19393,93.01,4,Hopeson Snock,RJD,,102,0.53,0,0,M,48,ST
AcGenFeb2023,S17,AC,20,Meluri (ST),20851,19393,93.01,5,NOTA,NOTA,,55,0.28,0,1,,,
AcGenFeb2023,S17,AC,21,Tuli (ST),18636,17647,94.69,1,A. Pangjung Jamir,BJP,,10319,58.47,1,0,M,56,ST
AcGenFeb2023,S17,AC,21,Tuli (ST),18636,17647,94.69,2,Amenba Yaden,NCP,,7290,41.31,0,0,M,70,ST
AcGenFeb2023,S17,AC,21,Tuli (ST),18636,17647,94.69,3,NOTA,NOTA,,38,0.22,0,1,,,
AcGenFeb2023,S17,AC,22,Arkakong (ST),19479,17592,90.31,1,Nuklutoshi,NPEP,,9387,53.36,1,0,M,56,ST
AcGenFeb2023,S17,AC,22,Arkakong (ST),19479,17592,90.31,2,Imnatiba,NDPP,,8184,46.52,0,0,M,43,ST
AcGenFeb2023,S17,AC,22,Arkakong (ST),19479,17592,90.31,3,NOTA,NOTA,,21,0.12,0,1,,,
AcGenFeb2023,S17,AC,23,Impur (ST),13737,12586,91.62,1,T. N. Mannen,NDPP,,6825,54.23,1,0,M,73,ST
AcGenFeb2023,S17,AC,23,Impur (ST),13737,12586,91.62,2,Bendangkokba,INC,,5730,45.53,0,0,M,63,ST
AcGenFeb2023,S17,AC,23,Impur (ST),13737,12586,91.62,3,NOTA,NOTA,,31,0.25,0,1,,,
AcGenFeb2023,S17,AC,24,Angetyongpang (ST),17946,15734,87.67,1,Tongpang Ozukum,NDPP,,8046,51.14,1,0,M,42,ST
AcGenFeb2023,S17,AC,24,Angetyongpang (ST),17946,15734,87.67,2,Er. K. Wati,IND,,5826,37.03,0,0,M,54,ST
AcGenFeb2023,S17,AC,24,Angetyongpang (ST),17946,15734,87.67,3,S. Maongkaba Ozukum,NPEP,,1842,11.71,0,0,M,47,ST
AcGenFeb2023,S17,AC,24,Angetyongpang (ST),17946,15734,87.67,4,NOTA,NOTA,,20,0.13,0,1,,,
AcGenFeb2023,S17,AC,25,Mongoya (ST),17448,16268,93.24,1,Imkongmar,NDPP,,6818,41.91,1,0,M,47,ST
AcGenFeb2023,S17,AC,25,Mongoya (ST),17448,16268,93.24,2,S. Supongmeren Jamir,INC,,5776,35.51,0,0,M,59,ST
AcGenFeb2023,S17,AC,25,Mongoya (ST),17448,16268,93.24,3,Moasangba Jamir,NPF,,3640,22.38,0,0,M,59,ST
AcGenFeb2023,S17,AC,25,Mongoya (ST),17448,16268,93.24,4,NOTA,NOTA,,34,0.21,0,1,,,
AcGenFeb2023,S17,AC,26,Aonglenden (ST),12491,10241,81.99,1,Sharingain Longkumer,NDPP,,7363,71.9,1,0,M,42,ST
AcGenFeb2023,S17,AC,26,Aonglenden (ST),12491,10241,81.99,2,Toshipokba,INC,,2843,27.76,0,0,M,62,ST
AcGenFeb2023,S17,AC,26,Aonglenden (ST),12491,10241,81.99,3,NOTA,NOTA,,35,0.34,0,1,,,
AcGenFeb2023,S17,AC,27,Mokokchung Town (ST),8252,6761,81.93,1,Metsubo Jamir,NDPP,,5318,78.66,1,0,M,63,ST
AcGenFeb2023,S17,AC,27,Mokokchung Town (ST),8252,6761,81.93,2,Alem Jongshi,INC,,1407,20.81,0,0,M,65,ST
AcGenFeb2023,S17,AC,27,Mokokchung Town (ST),8252,6761,81.93,3,NOTA,NOTA,,36,0.53,0,1,,,
AcGenFeb2023,S17,AC,28,Koridang (ST),21740,19145,88.06,1,Imkong L. Imchen,BJP,,8340,43.56,1,0,M,72,ST
AcGenFeb2023,S17,AC,28,Koridang (ST),21740,19145,88.06,2,Maj. Toshikaba (retd),NPF,,7930,41.42,0,0,M,42,ST
AcGenFeb2023,S17,AC,28,Koridang (ST),21740,19145,88.06,3,I. Talitsuba Imchen,IND,,2696,14.08,0,0,M,57,ST
AcGenFeb2023,S17,AC,28,Koridang (ST),21740,19145,88.06,4,T. Chalukumba Ao,JD(U),,138,0.72,0,0,M,63,ST
AcGenFeb2023,S17,AC,28,Koridang (ST),21740,19145,88.06,5,NOTA,NOTA,,41,0.21,0,1,,,
AcGenFeb2023,S17,AC,29,Jangpetkong (ST),12861,11262,87.57,1,Temjenmenba,NDPP,,6238,55.39,1,0,M,49,ST
AcGenFeb2023,S17,AC,29,Jangpetkong (ST),12861,11262,87.57,2,Imjongwati Longkumer,NPF,,4237,37.62,0,0,M,48,ST
AcGenFeb2023,S17,AC,29,Jangpetkong (ST),12861,11262,87.57,3,Longrineken,LJPRV,,777,6.9,0,0,M,55,ST
AcGenFeb2023,S17,AC,29,Jangpetkong (ST),12861,11262,87.57,4,NOTA,NOTA,,10,0.09,0,1,,,
AcGenFeb2023,S17,AC,30,Alongtaki (ST),16007,14838,92.7,1,Temjen Imna Along,BJP,,9274,62.5,1,0,M,42,ST
AcGenFeb2023,S17,AC,30,Alongtaki (ST),16007,14838,92.7,2,J. Lanu Longchar,JD(U),,5526,37.24,0,0,M,59,ST
AcGenFeb2023,S17,AC,30,Alongtaki (ST),16007,14838,92.7,3,NOTA,NOTA,,38,0.26,0,1,,,
AcGenFeb2023,S17,AC,32,Atoizu (ST),16627,16002,96.24,1,Picto,NCP,,8294,51.83,1,0,M,69,ST
AcGenFeb2023,S17,AC,32,Atoizu (ST),16627,16002,96.24,2,Er Kahuli Sema,BJP,,7692,48.07,0,0,F,57,ST
AcGenFeb2023,S17,AC,32,Atoizu (ST),16627,16002,96.24,3,NOTA,NOTA,,16,0.1,0,1,,,
AcGenFeb2023,S17,AC,33,Suruhuto (ST),16057,13787,85.86,1,S. Toiho Yeptho,NCP,,6919,50.18,1,0,M,50,ST
AcGenFeb2023,S17,AC,33,Suruhuto (ST),16057,13787,85.86,2,H. Khehovi,BJP,,6850,49.68,0,0,M,57,ST
AcGenFeb2023,S17,AC,33,Suruhuto (ST),16057,13787,85.86,3,NOTA,NOTA,,18,0.13,0,1,,,
AcGenFeb2023,S17,AC,34,Aghunato (ST),16040,13706,85.45,1,G. Ikuto Zhimomi,NDPP,,7133,52.04,1,0,M,62,ST
