state,event,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing_party,n_oracles_agreeing_candidate,yen_gov_winner_party_id,yen_gov_winner_candidate_name,yen_gov_winner_votes,other_sources,party_id_alliance,verdict_party,verdict_candidate,verdict,curator_note,curator_source_id
west-bengal,AcGenApr2021,29,ISLAMPUR,2,2,2,parties.IN.AITC,ABDUL KARIM CHOWDHARY,100131,tcpd-state:parties.IN.AITC:ABDUL KARIM CHOWDHARY:100131,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,30,GOALPOKHAR,2,2,2,parties.IN.AITC,MD. GHULAM RABBANI,105649,tcpd-state:parties.IN.AITC:MD. GHULAM RABBANI:105649,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,31,CHAKULIA,2,2,2,parties.IN.AITC,AZAD MINHAJUL ARFIN,86311,tcpd-state:parties.IN.AITC:AZAD MINHAJUL ARFIN:86311,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,32,KARANDIGHI,2,2,2,parties.IN.AITC,GOUTAM PAUL,116594,tcpd-state:parties.IN.AITC:GOUTAM PAUL:116594,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,33,HEMTABAD,2,2,2,parties.IN.AITC,SATYAJIT BARMAN,116425,tcpd-state:parties.IN.AITC:SATYAJIT BARMAN:116425,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,34,KALIAGANJ,2,2,2,parties.IN.BJP,SOUMEN ROY,116768,tcpd-state:parties.IN.BJP:SOUMEN ROY:116768,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,35,RAIGANJ,2,2,2,parties.IN.BJP,KRISHNA KALYANI,79775,tcpd-state:parties.IN.BJP:KRISHNA KALYANI:79775,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,36,ITAHAR,2,2,2,parties.IN.AITC,MOSARAF HUSSEN,114645,tcpd-state:parties.IN.AITC:MOSARAF HUSSEN:114645,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,37,KUSHMANDI,2,2,2,parties.IN.AITC,REKHA ROY,89968,tcpd-state:parties.IN.AITC:REKHA ROY:89968,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,38,KUMARGANJ,2,2,2,parties.IN.AITC,TORAF HOSSAIN MANDAL,89763,tcpd-state:parties.IN.AITC:TORAF HOSSAIN MANDAL:89763,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,39,BALURGHAT,2,2,2,parties.IN.BJP,Ashok Kumar Lahiri,72129,tcpd-state:parties.IN.BJP:Ashok Kumar Lahiri:72129,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,40,TAPAN,2,2,2,parties.IN.BJP,BUDHRAI TUDU,84381,tcpd-state:parties.IN.BJP:BUDHRAI TUDU:84381,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,41,GANGARAMPUR,2,2,2,parties.IN.BJP,SATYENDRA NATH  RAY,88724,tcpd-state:parties.IN.BJP:SATYENDRA NATH  RAY:88724,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,42,HARIRAMPUR,2,2,2,parties.IN.AITC,BIPLAB MITRA,96131,tcpd-state:parties.IN.AITC:BIPLAB MITRA:96131,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,43,HABIBPUR,2,2,2,parties.IN.BJP,JOYEL MURMU,94075,tcpd-state:parties.IN.BJP:JOYEL MURMU:94075,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,44,GAZOLE,2,2,2,parties.IN.BJP,CHINMOY DEB BARMAN,100655,tcpd-state:parties.IN.BJP:CHINMOY DEB BARMAN:100655,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,45,CHANCHAL,2,2,2,parties.IN.AITC,Nihar Ranjan Ghosh,115966,tcpd-state:parties.IN.AITC:Nihar Ranjan Ghosh:115966,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,46,HARISCHANDRAPUR,2,2,2,parties.IN.AITC,TAJMUL HOSSAIN,122527,tcpd-state:parties.IN.AITC:TAJMUL HOSSAIN:122527,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,47,MALATIPUR,2,2,2,parties.IN.AITC,ABDUR RAHIM BOXI,126157,tcpd-state:parties.IN.AITC:ABDUR RAHIM BOXI:126157,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,48,RATUA,2,2,2,parties.IN.AITC,Samar Mukherjee,130674,tcpd-state:parties.IN.AITC:Samar Mukherjee:130674,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,49,MANICKCHAK,2,2,2,parties.IN.AITC,SABITRI MITRA,110234,tcpd-state:parties.IN.AITC:SABITRI MITRA:110234,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,50,MALDAHA,2,2,2,parties.IN.BJP,Gopal Chandra Saha,93398,tcpd-state:parties.IN.BJP:Gopal Chandra Saha:93398,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,51,ENGLISHBAZAR,2,2,2,parties.IN.BJP,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),107755,tcpd-state:parties.IN.BJP:SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI):107755,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,52,MOTHABARI,2,2,2,parties.IN.AITC,YEASMIN SABINA,97397,tcpd-state:parties.IN.AITC:YEASMIN SABINA:97397,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,53,SUJAPUR,2,2,2,parties.IN.AITC,Md Abdul Ghani,152445,tcpd-state:parties.IN.AITC:Md Abdul Ghani:152445,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,54,BAISHNAB NAGAR,2,2,2,parties.IN.AITC,CHANDANA SARKAR,83061,tcpd-state:parties.IN.AITC:CHANDANA SARKAR:83061,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,55,FARAKKA,2,2,2,parties.IN.AITC,MANIRUL ISLAM,102319,tcpd-state:parties.IN.AITC:MANIRUL ISLAM:102319,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,56,SAMSERGANJ,2,2,2,parties.IN.AITC,Amirul Islam,96417,tcpd-state:parties.IN.AITC:Amirul Islam:96417,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,57,SUTI,2,2,2,parties.IN.AITC,EMANI BISWAS,127351,tcpd-state:parties.IN.AITC:EMANI BISWAS:127351,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,58,JANGIPUR,2,2,2,parties.IN.AITC,JAKIR HOSSAIN,136444,tcpd-state:parties.IN.AITC:JAKIR HOSSAIN:136444,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,59,RAGHUNATHGANJ,2,2,2,parties.IN.AITC,Akhruzzaman,126834,tcpd-state:parties.IN.AITC:Akhruzzaman:126834,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,60,SAGARDIGHI,2,2,2,parties.IN.AITC,SUBRATA SAHA,95189,tcpd-state:parties.IN.AITC:SUBRATA SAHA:95189,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,61,LALGOLA,2,2,2,parties.IN.AITC,ALI MOHAMMAD,107860,tcpd-state:parties.IN.AITC:ALI MOHAMMAD:107860,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,62,BHAGABANGOLA,2,2,2,parties.IN.AITC,IDRIS ALI,153795,tcpd-state:parties.IN.AITC:IDRIS ALI:153795,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,63,RANINAGAR,2,2,2,parties.IN.AITC,ABDUL SOUMIK HOSSAIN,134957,tcpd-state:parties.IN.AITC:ABDUL SOUMIK HOSSAIN:134957,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,64,MURSHIDABAD,2,2,2,parties.IN.BJP,GOURI SANKAR GHOSH,95967,tcpd-state:parties.IN.BJP:GOURI SANKAR GHOSH:95967,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,65,NABAGRAM,2,2,2,parties.IN.AITC,KANAI CHANDRA MONDAL,100455,tcpd-state:parties.IN.AITC:KANAI CHANDRA MONDAL:100455,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,66,KHARGRAM,2,2,2,parties.IN.AITC,ASHIS MARJIT,93255,tcpd-state:parties.IN.AITC:ASHIS MARJIT:93255,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,67,BURWAN,2,2,2,parties.IN.AITC,JIBAN KRISHNA SAHA,81890,tcpd-state:parties.IN.AITC:JIBAN KRISHNA SAHA:81890,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,68,KANDI,2,2,2,parties.IN.AITC,APURBA SARKAR (DAVID),95399,tcpd-state:parties.IN.AITC:APURBA SARKAR (DAVID):95399,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,69,BHARATPUR,2,2,2,parties.IN.AITC,HUMAYUN KABIR,96226,tcpd-state:parties.IN.AITC:HUMAYUN KABIR:96226,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,70,REJINAGAR,2,2,2,parties.IN.AITC,RABIUL ALAM CHOWDHURY,118494,tcpd-state:parties.IN.AITC:RABIUL ALAM CHOWDHURY:118494,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,71,BELDANGA,2,2,2,parties.IN.AITC,HASANUZZAMAN SK,112862,tcpd-state:parties.IN.AITC:HASANUZZAMAN SK:112862,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,72,BAHARAMPUR,2,2,2,parties.IN.BJP,Subrata Maitra (Kanchan),89340,tcpd-state:parties.IN.BJP:Subrata Maitra (Kanchan):89340,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,73,HARIHARPARA,2,2,2,parties.IN.AITC,NIAMOT SHEIKH,102660,tcpd-state:parties.IN.AITC:NIAMOT SHEIKH:102660,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,74,NAODA,2,2,2,parties.IN.AITC,SAHINA MOMTAZ KHAN,117684,tcpd-state:parties.IN.AITC:SAHINA MOMTAZ KHAN:117684,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,75,DOMKAL,2,2,2,parties.IN.AITC,JAFIKUL ISLAM,127671,tcpd-state:parties.IN.AITC:JAFIKUL ISLAM:127671,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,76,JALANGI,2,2,2,parties.IN.AITC,ABDUR RAZZAK,123840,tcpd-state:parties.IN.AITC:ABDUR RAZZAK:123840,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,77,KARIMPUR,2,2,2,parties.IN.AITC,Bimalendu Sinha Roy,110911,tcpd-state:parties.IN.AITC:Bimalendu Sinha Roy:110911,,VERIFIED,VERIFIED,VERIFIED,,
