entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3873,2021,69,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3874,2021,84668,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3874,2021,78671,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3874,2021,33,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3875,2021,104013,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3875,2021,95250,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3875,2021,96,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3876,2021,109945,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3876,2021,101791,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3876,2021,36,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3877,2021,116535,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3877,2021,109688,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3877,2021,73,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3879,2021,94476,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3879,2021,87082,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3879,2021,63,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3880,2021,125575,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3880,2021,119207,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3880,2021,121,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3881,2021,104166,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3881,2021,95275,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3881,2021,24,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3882,2021,105549,female,src-99455a24d3c4,minor
