lgd_state_code,ac_lgd_code,lgd_district_code,village_count,is_primary
2,100,26,142,true
2,101,17,462,true
2,102,15,363,true
2,103,17,354,true
2,104,26,79,true
2,105,18,349,true
2,106,16,225,true
2,107,16,196,true
2,108,16,354,true
2,109,16,390,true
2,110,18,108,true
2,111,18,325,true
2,112,18,220,true
2,113,18,274,true
2,114,18,396,true
2,115,18,193,true
2,116,18,176,true
2,117,18,340,true
2,118,18,259,true
2,119,18,291,true
2,120,18,262,true
2,121,18,293,true
2,122,20,79,true
2,123,22,159,true
2,124,20,88,true
2,125,16,436,true
2,126,22,446,true
2,127,22,345,true
2,128,22,345,true
2,129,19,666,true
2,130,20,125,true
2,131,21,522,true
2,132,20,269,true
2,132,22,13,false
2,133,22,200,true
2,134,22,372,true
2,135,23,325,true
2,136,22,305,true
2,137,22,644,true
2,138,22,305,true
2,139,25,708,true
2,140,23,561,true
2,141,25,438,true
2,142,23,5,true
2,143,25,554,true
2,144,23,261,true
2,145,24,207,true
2,146,25,397,true
2,147,24,746,true
2,148,24,102,true
2,149,23,196,true
2,150,24,108,true
2,151,23,645,true
2,152,23,697,true
2,153,25,530,true
2,154,24,194,true
2,155,23,678,true
3,156,27,12,true
3,157,27,189,true
3,158,27,7,true
3,159,27,24,true
3,160,27,7,true
3,161,27,53,true
3,162,27,105,true
3,162,609,5,false
3,163,27,162,true
3,164,27,297,true
3,165,40,523,true
3,165,42,174,false
3,166,42,5,true
3,168,42,196,true
3,169,42,19,true
3,170,42,11,true
3,171,42,4,true
3,172,42,222,true
3,173,42,79,true
3,174,28,65,true
3,175,28,164,true
3,176,28,46,true
3,177,37,91,true
3,178,39,82,true
3,179,37,66,true
3,180,28,32,true
3,181,28,2,false
3,181,37,98,true
3,182,28,10,true
3,183,38,73,true
3,184,38,176,true
3,185,29,97,true
3,186,39,54,true
3,187,29,83,true
3,188,29,257,true
3,188,35,1,false
3,189,38,58,true
3,190,38,70,true
3,191,28,29,true
3,192,30,7,true
3,193,30,98,true
3,194,30,192,true
3,195,30,168,true
3,195,41,1,false
3,196,36,72,true
3,197,36,102,true
3,198,36,77,true
3,199,36,171,true
3,200,36,204,true
3,201,651,165,true
3,202,651,22,true
3,203,651,357,true
3,204,31,66,true
3,205,31,288,true
3,206,31,533,true
3,206,651,9,false
3,207,651,193,true
3,208,39,62,true
3,209,39,79,true
3,210,32,117,true
3,211,662,506,true
3,212,32,250,true
3,213,32,299,true
3,214,32,126,true
3,215,32,94,true
3,216,662,32,true
3,217,32,273,true
3,218,662,36,true
3,219,35,119,true
3,220,33,320,true
3,221,33,73,true
3,222,33,375,true
3,223,33,313,true
3,224,35,139,true
3,225,33,75,true
3,226,32,285,true
3,227,33,421,true
3,228,34,30,true
3,229,34,65,true
3,230,34,82,true
3,231,34,99,true
3,232,34,84,true
3,233,34,99,false
3,233,35,251,true
3,234,34,202,true
3,235,34,244,true
3,236,34,208,false
3,236,35,287,true
3,237,27,109,true
3,237,609,57,false
3,238,27,101,true
3,239,30,3,true
3,240,609,136,true
3,241,609,173,true
3,242,609,135,true
3,243,35,1,true
3,244,609,107,true
3,245,30,2,true
3,246,36,15,true
3,247,36,117,true
3,248,36,161,true
3,249,36,89,true
3,249,605,11,false
3,250,36,2,true
3,251,36,6,true
3,252,36,2,true
3,253,36,2,true
3,254,36,37,true
3,255,608,507,true
3,256,41,257,true
3,256,608,37,false
3,257,41,185,true
3,258,41,207,true
3,259,41,74,true
3,260,30,1,false
3,260,41,1,false
3,260,42,22,true
3,261,41,2,true
3,262,41,35,true
3,263,41,318,true
3,264,605,68,true
3,265,605,73,true
3,266,43,69,true
3,267,43,151,true
3,267,737,55,false
3,268,43,70,true
3,269,737,142,true
3,270,605,57,true
3,271,43,65,true
3,272,43,126,true
5,274,45,332,true
5,274,55,1,false
5,275,46,522,true
5,276,48,384,true
5,277,53,324,true
5,278,51,1,false
5,278,53,430,true
5,279,45,396,true
5,280,53,689,true
5,281,45,385,true
5,282,46,438,true
5,283,48,337,true
5,284,53,304,true
5,285,45,510,true
5,286,45,335,true
5,287,45,306,true
5,288,47,378,true
5,288,56,1,false
5,289,52,819,true
5,290,55,404,true
5,291,47,537,true
5,292,54,314,true
